seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cljw7ndde006n3n6lfm5x8fuv,1210,front,,Abnormal Gait,cerebral palsy,"{'top': 226.0, 'left': 122.0, 'height': 85.0, 'width': 40.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",dXAvAA556gE,https://www.youtube.com/watch?v=dXAvAA556gE
cljw7ndde006n3n6lfm5x8fuv,1211,front,,Abnormal Gait,cerebral palsy,"{'top': 225.75757575757575, 'left': 121.68686868686869, 'height': 85.5858585858586, 'width': 40.39393939393939}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",dXAvAA556gE,https://www.youtube.com/watch?v=dXAvAA556gE
cljw7ndde006n3n6lfm5x8fuv,1212,front,,Abnormal Gait,cerebral palsy,"{'top': 225.5151515151515, 'left': 121.37373737373737, 'height': 86.1717171717172, 'width': 40.787878787878796}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",dXAvAA556gE,https://www.youtube.com/watch?v=dXAvAA556gE
cljw7ndde006n3n6lfm5x8fuv,1213,front,,Abnormal Gait,cerebral palsy,"{'top': 225.27272727272728, 'left': 121.06060606060606, 'height': 86.75757575757572, 'width': 41.18181818181819}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",dXAvAA556gE,https://www.youtube.com/watch?v=dXAvAA556gE
cljw7ndde006n3n6lfm5x8fuv,1214,front,,Abnormal Gait,cerebral palsy,"{'top': 225.03030303030303, 'left': 120.74747474747474, 'height': 87.34343434343432, 'width': 41.57575757575759}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",dXAvAA556gE,https://www.youtube.com/watch?v=dXAvAA556gE
cljw7ndde006n3n6lfm5x8fuv,1215,front,,Abnormal Gait,cerebral palsy,"{'top': 224.78787878787878, 'left': 120.43434343434343, 'height': 87.92929292929293, 'width': 41.96969696969698}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",dXAvAA556gE,https://www.youtube.com/watch?v=dXAvAA556gE
cljw7ndde006n3n6lfm5x8fuv,1216,front,,Abnormal Gait,cerebral palsy,"{'top': 224.54545454545453, 'left': 120.12121212121212, 'height': 88.51515151515153, 'width': 42.363636363636374}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",dXAvAA556gE,https://www.youtube.com/watch?v=dXAvAA556gE
cljw7ndde006n3n6lfm5x8fuv,1217,front,,Abnormal Gait,cerebral palsy,"{'top': 224.3030303030303, 'left': 119.8080808080808, 'height': 89.1010101010101, 'width': 42.75757575757575}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",dXAvAA556gE,https://www.youtube.com/watch?v=dXAvAA556gE
cljw7ndde006n3n6lfm5x8fuv,1218,front,,Abnormal Gait,cerebral palsy,"{'top': 224.06060606060606, 'left': 119.4949494949495, 'height': 89.6868686868687, 'width': 43.15151515151514}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",dXAvAA556gE,https://www.youtube.com/watch?v=dXAvAA556gE
cljw7ndde006n3n6lfm5x8fuv,1219,front,,Abnormal Gait,cerebral palsy,"{'top': 223.8181818181818, 'left': 119.18181818181819, 'height': 90.27272727272725, 'width': 43.54545454545453}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",dXAvAA556gE,https://www.youtube.com/watch?v=dXAvAA556gE
cljw7ndde006n3n6lfm5x8fuv,1220,front,,Abnormal Gait,cerebral palsy,"{'top': 223.57575757575756, 'left': 118.86868686868686, 'height': 90.85858585858585, 'width': 43.93939393939394}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",dXAvAA556gE,https://www.youtube.com/watch?v=dXAvAA556gE
cljw7ndde006n3n6lfm5x8fuv,1221,front,,Abnormal Gait,cerebral palsy,"{'top': 223.33333333333334, 'left': 118.55555555555556, 'height': 91.44444444444443, 'width': 44.33333333333333}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",dXAvAA556gE,https://www.youtube.com/watch?v=dXAvAA556gE
