seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cljwrq524003j3n6lt19gnyf5,1,back,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 0.0, 'height': 420.0, 'width': 270.0}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",-MQBffDuto4,https://www.youtube.com/watch?v=-MQBffDuto4
cljwrq524003j3n6lt19gnyf5,2,back,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 0.5789473684210521, 'height': 418.8157894736842, 'width': 269.15789473684214}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",-MQBffDuto4,https://www.youtube.com/watch?v=-MQBffDuto4
cljwrq524003j3n6lt19gnyf5,3,back,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 1.157894736842105, 'height': 417.63157894736844, 'width': 268.3157894736842}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",-MQBffDuto4,https://www.youtube.com/watch?v=-MQBffDuto4
cljwrq524003j3n6lt19gnyf5,4,back,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 1.736842105263157, 'height': 416.44736842105266, 'width': 267.4736842105263}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",-MQBffDuto4,https://www.youtube.com/watch?v=-MQBffDuto4
cljwrq524003j3n6lt19gnyf5,5,back,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 2.31578947368421, 'height': 415.2631578947368, 'width': 266.63157894736844}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",-MQBffDuto4,https://www.youtube.com/watch?v=-MQBffDuto4
cljwrq524003j3n6lt19gnyf5,6,back,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 2.894736842105263, 'height': 414.07894736842104, 'width': 265.7894736842105}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",-MQBffDuto4,https://www.youtube.com/watch?v=-MQBffDuto4
cljwrq524003j3n6lt19gnyf5,7,back,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 3.473684210526315, 'height': 412.89473684210526, 'width': 264.94736842105266}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",-MQBffDuto4,https://www.youtube.com/watch?v=-MQBffDuto4
cljwrq524003j3n6lt19gnyf5,8,back,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 4.052631578947368, 'height': 411.7105263157895, 'width': 264.10526315789474}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",-MQBffDuto4,https://www.youtube.com/watch?v=-MQBffDuto4
cljwrq524003j3n6lt19gnyf5,9,back,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 4.631578947368421, 'height': 410.5263157894737, 'width': 263.2631578947368}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",-MQBffDuto4,https://www.youtube.com/watch?v=-MQBffDuto4
cljwrq524003j3n6lt19gnyf5,10,back,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 5.210526315789473, 'height': 409.3421052631579, 'width': 262.42105263157896}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",-MQBffDuto4,https://www.youtube.com/watch?v=-MQBffDuto4
cljwrq524003j3n6lt19gnyf5,11,back,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 5.789473684210526, 'height': 408.1578947368421, 'width': 261.57894736842104}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",-MQBffDuto4,https://www.youtube.com/watch?v=-MQBffDuto4
cljwrq524003j3n6lt19gnyf5,12,back,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 6.368421052631579, 'height': 406.9736842105263, 'width': 260.7368421052632}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",-MQBffDuto4,https://www.youtube.com/watch?v=-MQBffDuto4
cljwrq524003j3n6lt19gnyf5,13,back,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 6.947368421052631, 'height': 405.7894736842105, 'width': 259.89473684210526}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",-MQBffDuto4,https://www.youtube.com/watch?v=-MQBffDuto4
cljwrq524003j3n6lt19gnyf5,14,back,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 7.526315789473684, 'height': 404.60526315789474, 'width': 259.05263157894734}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",-MQBffDuto4,https://www.youtube.com/watch?v=-MQBffDuto4
cljwrq524003j3n6lt19gnyf5,15,back,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 8.105263157894736, 'height': 403.42105263157896, 'width': 258.2105263157895}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",-MQBffDuto4,https://www.youtube.com/watch?v=-MQBffDuto4
cljwrq524003j3n6lt19gnyf5,16,back,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 8.68421052631579, 'height': 402.2368421052632, 'width': 257.36842105263156}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",-MQBffDuto4,https://www.youtube.com/watch?v=-MQBffDuto4
cljwrq524003j3n6lt19gnyf5,17,back,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 9.263157894736842, 'height': 401.0526315789474, 'width': 256.5263157894737}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",-MQBffDuto4,https://www.youtube.com/watch?v=-MQBffDuto4
cljwrq524003j3n6lt19gnyf5,18,back,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 9.842105263157896, 'height': 399.86842105263156, 'width': 255.6842105263158}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",-MQBffDuto4,https://www.youtube.com/watch?v=-MQBffDuto4
cljwrq524003j3n6lt19gnyf5,19,back,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 10.421052631578947, 'height': 398.6842105263158, 'width': 254.84210526315786}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",-MQBffDuto4,https://www.youtube.com/watch?v=-MQBffDuto4
cljwrq524003j3n6lt19gnyf5,20,back,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 11.0, 'height': 397.5, 'width': 254.0}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",-MQBffDuto4,https://www.youtube.com/watch?v=-MQBffDuto4
cljwrq524003j3n6lt19gnyf5,21,back,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 11.578947368421051, 'height': 396.3157894736842, 'width': 253.15789473684214}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",-MQBffDuto4,https://www.youtube.com/watch?v=-MQBffDuto4
cljwrq524003j3n6lt19gnyf5,22,back,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 12.157894736842106, 'height': 395.13157894736844, 'width': 252.3157894736842}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",-MQBffDuto4,https://www.youtube.com/watch?v=-MQBffDuto4
cljwrq524003j3n6lt19gnyf5,23,back,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 12.736842105263158, 'height': 393.9473684210526, 'width': 251.47368421052633}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",-MQBffDuto4,https://www.youtube.com/watch?v=-MQBffDuto4
cljwrq524003j3n6lt19gnyf5,24,back,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 13.31578947368421, 'height': 392.7631578947368, 'width': 250.63157894736844}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",-MQBffDuto4,https://www.youtube.com/watch?v=-MQBffDuto4
cljwrq524003j3n6lt19gnyf5,25,back,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 13.894736842105262, 'height': 391.57894736842104, 'width': 249.78947368421052}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",-MQBffDuto4,https://www.youtube.com/watch?v=-MQBffDuto4
cljwrq524003j3n6lt19gnyf5,26,back,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 14.473684210526317, 'height': 390.39473684210526, 'width': 248.94736842105263}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",-MQBffDuto4,https://www.youtube.com/watch?v=-MQBffDuto4
cljwrq524003j3n6lt19gnyf5,27,back,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 15.052631578947368, 'height': 389.2105263157895, 'width': 248.1052631578947}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",-MQBffDuto4,https://www.youtube.com/watch?v=-MQBffDuto4
cljwrq524003j3n6lt19gnyf5,28,back,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 15.631578947368421, 'height': 388.0263157894737, 'width': 247.26315789473685}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",-MQBffDuto4,https://www.youtube.com/watch?v=-MQBffDuto4
cljwrq524003j3n6lt19gnyf5,29,back,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 16.210526315789473, 'height': 386.8421052631579, 'width': 246.42105263157896}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",-MQBffDuto4,https://www.youtube.com/watch?v=-MQBffDuto4
cljwrq524003j3n6lt19gnyf5,30,back,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 16.789473684210527, 'height': 385.6578947368421, 'width': 245.57894736842104}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",-MQBffDuto4,https://www.youtube.com/watch?v=-MQBffDuto4
cljwrq524003j3n6lt19gnyf5,31,back,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 17.36842105263158, 'height': 384.4736842105263, 'width': 244.73684210526315}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",-MQBffDuto4,https://www.youtube.com/watch?v=-MQBffDuto4
cljwrq524003j3n6lt19gnyf5,32,back,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 17.94736842105263, 'height': 383.2894736842105, 'width': 243.8947368421053}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",-MQBffDuto4,https://www.youtube.com/watch?v=-MQBffDuto4
cljwrq524003j3n6lt19gnyf5,33,back,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 18.526315789473685, 'height': 382.10526315789474, 'width': 243.05263157894734}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",-MQBffDuto4,https://www.youtube.com/watch?v=-MQBffDuto4
cljwrq524003j3n6lt19gnyf5,34,back,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 19.105263157894736, 'height': 380.92105263157896, 'width': 242.21052631578948}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",-MQBffDuto4,https://www.youtube.com/watch?v=-MQBffDuto4
cljwrq524003j3n6lt19gnyf5,35,back,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 19.68421052631579, 'height': 379.7368421052632, 'width': 241.36842105263156}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",-MQBffDuto4,https://www.youtube.com/watch?v=-MQBffDuto4
cljwrq524003j3n6lt19gnyf5,36,back,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 20.263157894736842, 'height': 378.5526315789474, 'width': 240.52631578947367}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",-MQBffDuto4,https://www.youtube.com/watch?v=-MQBffDuto4
cljwrq524003j3n6lt19gnyf5,37,back,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 20.842105263157894, 'height': 377.36842105263156, 'width': 239.6842105263158}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",-MQBffDuto4,https://www.youtube.com/watch?v=-MQBffDuto4
cljwrq524003j3n6lt19gnyf5,38,back,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 21.42105263157895, 'height': 376.1842105263158, 'width': 238.84210526315786}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",-MQBffDuto4,https://www.youtube.com/watch?v=-MQBffDuto4
cljwrq524003j3n6lt19gnyf5,39,back,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 22.0, 'height': 375.0, 'width': 238.0}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",-MQBffDuto4,https://www.youtube.com/watch?v=-MQBffDuto4
cljwrq524003j3n6lt19gnyf5,40,back,,Abnormal Gait,cerebral palsy,"{'top': 0.6666666666666661, 'left': 22.54074074074074, 'height': 373.80740740740737, 'width': 237.15555555555554}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",-MQBffDuto4,https://www.youtube.com/watch?v=-MQBffDuto4
cljwrq524003j3n6lt19gnyf5,41,back,,Abnormal Gait,cerebral palsy,"{'top': 1.333333333333333, 'left': 23.081481481481482, 'height': 372.61481481481485, 'width': 236.31111111111113}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",-MQBffDuto4,https://www.youtube.com/watch?v=-MQBffDuto4
cljwrq524003j3n6lt19gnyf5,42,back,,Abnormal Gait,cerebral palsy,"{'top': 2.0, 'left': 23.622222222222224, 'height': 371.4222222222222, 'width': 235.46666666666667}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",-MQBffDuto4,https://www.youtube.com/watch?v=-MQBffDuto4
cljwrq524003j3n6lt19gnyf5,43,back,,Abnormal Gait,cerebral palsy,"{'top': 2.666666666666667, 'left': 24.162962962962965, 'height': 370.2296296296296, 'width': 234.6222222222222}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",-MQBffDuto4,https://www.youtube.com/watch?v=-MQBffDuto4
cljwrq524003j3n6lt19gnyf5,44,back,,Abnormal Gait,cerebral palsy,"{'top': 3.333333333333333, 'left': 24.703703703703702, 'height': 369.03703703703707, 'width': 233.77777777777777}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",-MQBffDuto4,https://www.youtube.com/watch?v=-MQBffDuto4
cljwrq524003j3n6lt19gnyf5,45,back,,Abnormal Gait,cerebral palsy,"{'top': 4.0, 'left': 25.244444444444444, 'height': 367.84444444444443, 'width': 232.93333333333337}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",-MQBffDuto4,https://www.youtube.com/watch?v=-MQBffDuto4
cljwrq524003j3n6lt19gnyf5,46,back,,Abnormal Gait,cerebral palsy,"{'top': 4.666666666666667, 'left': 25.785185185185185, 'height': 366.65185185185186, 'width': 232.0888888888889}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",-MQBffDuto4,https://www.youtube.com/watch?v=-MQBffDuto4
cljwrq524003j3n6lt19gnyf5,47,back,,Abnormal Gait,cerebral palsy,"{'top': 5.333333333333334, 'left': 26.325925925925926, 'height': 365.4592592592593, 'width': 231.24444444444444}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",-MQBffDuto4,https://www.youtube.com/watch?v=-MQBffDuto4
cljwrq524003j3n6lt19gnyf5,48,back,,Abnormal Gait,cerebral palsy,"{'top': 6.0, 'left': 26.866666666666667, 'height': 364.26666666666665, 'width': 230.39999999999998}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",-MQBffDuto4,https://www.youtube.com/watch?v=-MQBffDuto4
cljwrq524003j3n6lt19gnyf5,49,back,,Abnormal Gait,cerebral palsy,"{'top': 6.666666666666666, 'left': 27.40740740740741, 'height': 363.0740740740741, 'width': 229.55555555555557}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",-MQBffDuto4,https://www.youtube.com/watch?v=-MQBffDuto4
cljwrq524003j3n6lt19gnyf5,50,back,,Abnormal Gait,cerebral palsy,"{'top': 7.333333333333334, 'left': 27.94814814814815, 'height': 361.8814814814815, 'width': 228.7111111111111}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",-MQBffDuto4,https://www.youtube.com/watch?v=-MQBffDuto4
