seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cljwshr10001c3n6ln1kkpqs6,1,left side,,Abnormal Gait,cerebral palsy,"{'top': 144.0, 'left': 740.0, 'height': 246.0, 'width': 114.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",SiYe89_WaTQ,https://www.youtube.com/watch?v=SiYe89_WaTQ
cljwshr10001c3n6ln1kkpqs6,2,left side,,Abnormal Gait,cerebral palsy,"{'top': 144.0, 'left': 735.9565217391304, 'height': 246.43478260869563, 'width': 115.43478260869574}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",SiYe89_WaTQ,https://www.youtube.com/watch?v=SiYe89_WaTQ
cljwshr10001c3n6ln1kkpqs6,3,left side,,Abnormal Gait,cerebral palsy,"{'top': 144.0, 'left': 731.9130434782609, 'height': 246.8695652173913, 'width': 116.86956521739125}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",SiYe89_WaTQ,https://www.youtube.com/watch?v=SiYe89_WaTQ
cljwshr10001c3n6ln1kkpqs6,4,left side,,Abnormal Gait,cerebral palsy,"{'top': 144.0, 'left': 727.8695652173913, 'height': 247.30434782608694, 'width': 118.304347826087}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",SiYe89_WaTQ,https://www.youtube.com/watch?v=SiYe89_WaTQ
cljwshr10001c3n6ln1kkpqs6,5,left side,,Abnormal Gait,cerebral palsy,"{'top': 144.0, 'left': 723.8260869565217, 'height': 247.73913043478262, 'width': 119.73913043478262}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",SiYe89_WaTQ,https://www.youtube.com/watch?v=SiYe89_WaTQ
cljwshr10001c3n6ln1kkpqs6,6,left side,,Abnormal Gait,cerebral palsy,"{'top': 144.0, 'left': 719.7826086956521, 'height': 248.17391304347825, 'width': 121.17391304347825}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",SiYe89_WaTQ,https://www.youtube.com/watch?v=SiYe89_WaTQ
cljwshr10001c3n6ln1kkpqs6,7,left side,,Abnormal Gait,cerebral palsy,"{'top': 144.0, 'left': 715.7391304347826, 'height': 248.60869565217394, 'width': 122.60869565217388}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",SiYe89_WaTQ,https://www.youtube.com/watch?v=SiYe89_WaTQ
cljwshr10001c3n6ln1kkpqs6,8,left side,,Abnormal Gait,cerebral palsy,"{'top': 144.0, 'left': 711.695652173913, 'height': 249.04347826086956, 'width': 124.04347826086962}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",SiYe89_WaTQ,https://www.youtube.com/watch?v=SiYe89_WaTQ
cljwshr10001c3n6ln1kkpqs6,9,left side,,Abnormal Gait,cerebral palsy,"{'top': 144.0, 'left': 707.6521739130435, 'height': 249.4782608695652, 'width': 125.47826086956525}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",SiYe89_WaTQ,https://www.youtube.com/watch?v=SiYe89_WaTQ
cljwshr10001c3n6ln1kkpqs6,10,left side,,Abnormal Gait,cerebral palsy,"{'top': 144.0, 'left': 703.6086956521739, 'height': 249.91304347826087, 'width': 126.91304347826087}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",SiYe89_WaTQ,https://www.youtube.com/watch?v=SiYe89_WaTQ
cljwshr10001c3n6ln1kkpqs6,11,left side,,Abnormal Gait,cerebral palsy,"{'top': 144.0, 'left': 699.5652173913044, 'height': 250.3478260869565, 'width': 128.3478260869565}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",SiYe89_WaTQ,https://www.youtube.com/watch?v=SiYe89_WaTQ
cljwshr10001c3n6ln1kkpqs6,12,left side,,Abnormal Gait,cerebral palsy,"{'top': 144.0, 'left': 695.5217391304348, 'height': 250.7826086956522, 'width': 129.78260869565224}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",SiYe89_WaTQ,https://www.youtube.com/watch?v=SiYe89_WaTQ
cljwshr10001c3n6ln1kkpqs6,13,left side,,Abnormal Gait,cerebral palsy,"{'top': 144.0, 'left': 691.4782608695652, 'height': 251.2173913043478, 'width': 131.21739130434776}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",SiYe89_WaTQ,https://www.youtube.com/watch?v=SiYe89_WaTQ
cljwshr10001c3n6ln1kkpqs6,14,left side,,Abnormal Gait,cerebral palsy,"{'top': 144.0, 'left': 687.4347826086956, 'height': 251.6521739130435, 'width': 132.6521739130435}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",SiYe89_WaTQ,https://www.youtube.com/watch?v=SiYe89_WaTQ
cljwshr10001c3n6ln1kkpqs6,15,left side,,Abnormal Gait,cerebral palsy,"{'top': 144.0, 'left': 683.3913043478261, 'height': 252.08695652173913, 'width': 134.08695652173913}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",SiYe89_WaTQ,https://www.youtube.com/watch?v=SiYe89_WaTQ
cljwshr10001c3n6ln1kkpqs6,16,left side,,Abnormal Gait,cerebral palsy,"{'top': 144.0, 'left': 679.3478260869565, 'height': 252.5217391304348, 'width': 135.52173913043475}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",SiYe89_WaTQ,https://www.youtube.com/watch?v=SiYe89_WaTQ
cljwshr10001c3n6ln1kkpqs6,17,left side,,Abnormal Gait,cerebral palsy,"{'top': 144.0, 'left': 675.304347826087, 'height': 252.95652173913044, 'width': 136.95652173913038}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",SiYe89_WaTQ,https://www.youtube.com/watch?v=SiYe89_WaTQ
cljwshr10001c3n6ln1kkpqs6,18,left side,,Abnormal Gait,cerebral palsy,"{'top': 144.0, 'left': 671.2608695652174, 'height': 253.39130434782606, 'width': 138.39130434782612}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",SiYe89_WaTQ,https://www.youtube.com/watch?v=SiYe89_WaTQ
cljwshr10001c3n6ln1kkpqs6,19,left side,,Abnormal Gait,cerebral palsy,"{'top': 144.0, 'left': 667.2173913043479, 'height': 253.82608695652175, 'width': 139.82608695652164}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",SiYe89_WaTQ,https://www.youtube.com/watch?v=SiYe89_WaTQ
cljwshr10001c3n6ln1kkpqs6,20,left side,,Abnormal Gait,cerebral palsy,"{'top': 144.0, 'left': 663.1739130434783, 'height': 254.26086956521738, 'width': 141.26086956521738}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",SiYe89_WaTQ,https://www.youtube.com/watch?v=SiYe89_WaTQ
cljwshr10001c3n6ln1kkpqs6,21,left side,,Abnormal Gait,cerebral palsy,"{'top': 144.0, 'left': 659.1304347826087, 'height': 254.69565217391306, 'width': 142.695652173913}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",SiYe89_WaTQ,https://www.youtube.com/watch?v=SiYe89_WaTQ
cljwshr10001c3n6ln1kkpqs6,22,left side,,Abnormal Gait,cerebral palsy,"{'top': 144.0, 'left': 655.0869565217391, 'height': 255.1304347826087, 'width': 144.13043478260875}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",SiYe89_WaTQ,https://www.youtube.com/watch?v=SiYe89_WaTQ
cljwshr10001c3n6ln1kkpqs6,23,left side,,Abnormal Gait,cerebral palsy,"{'top': 144.0, 'left': 651.0434782608695, 'height': 255.56521739130437, 'width': 145.56521739130437}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",SiYe89_WaTQ,https://www.youtube.com/watch?v=SiYe89_WaTQ
cljwshr10001c3n6ln1kkpqs6,24,left side,,Abnormal Gait,cerebral palsy,"{'top': 144.0, 'left': 647.0, 'height': 256.0, 'width': 147.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",SiYe89_WaTQ,https://www.youtube.com/watch?v=SiYe89_WaTQ
cljwshr10001c3n6ln1kkpqs6,25,left side,,Abnormal Gait,cerebral palsy,"{'top': 143.91666666666666, 'left': 643.8055555555555, 'height': 255.7777777777778, 'width': 146.72222222222229}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",SiYe89_WaTQ,https://www.youtube.com/watch?v=SiYe89_WaTQ
