seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cll8k24qs00583o6lbnpqmjyl,601,right side,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 315.0, 'height': 437.0, 'width': 169.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k24qs00583o6lbnpqmjyl,602,right side,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 313.11538461538464, 'height': 437.53846153846155, 'width': 170.8461538461538}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k24qs00583o6lbnpqmjyl,603,right side,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 311.2307692307692, 'height': 438.0769230769231, 'width': 172.69230769230768}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k24qs00583o6lbnpqmjyl,604,right side,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 309.34615384615387, 'height': 438.61538461538464, 'width': 174.5384615384615}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k24qs00583o6lbnpqmjyl,605,right side,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 307.46153846153845, 'height': 439.15384615384613, 'width': 176.38461538461542}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k24qs00583o6lbnpqmjyl,606,right side,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 305.5769230769231, 'height': 439.6923076923077, 'width': 178.23076923076923}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k24qs00583o6lbnpqmjyl,607,right side,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 303.6923076923077, 'height': 440.2307692307692, 'width': 180.0769230769231}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k24qs00583o6lbnpqmjyl,608,right side,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 301.8076923076923, 'height': 440.7692307692308, 'width': 181.9230769230769}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k24qs00583o6lbnpqmjyl,609,right side,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 299.9230769230769, 'height': 441.3076923076923, 'width': 183.76923076923077}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k24qs00583o6lbnpqmjyl,610,right side,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 298.03846153846155, 'height': 441.84615384615387, 'width': 185.61538461538458}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k24qs00583o6lbnpqmjyl,611,right side,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 296.15384615384613, 'height': 442.38461538461536, 'width': 187.4615384615385}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k24qs00583o6lbnpqmjyl,612,right side,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 294.2692307692308, 'height': 442.9230769230769, 'width': 189.30769230769232}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k24qs00583o6lbnpqmjyl,613,right side,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 292.38461538461536, 'height': 443.46153846153845, 'width': 191.1538461538462}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k24qs00583o6lbnpqmjyl,614,right side,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 290.5, 'height': 444.0, 'width': 193.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k24qs00583o6lbnpqmjyl,615,right side,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 288.61538461538464, 'height': 444.53846153846155, 'width': 194.8461538461538}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k24qs00583o6lbnpqmjyl,616,right side,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 286.7307692307692, 'height': 445.0769230769231, 'width': 196.69230769230768}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k24qs00583o6lbnpqmjyl,617,right side,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 284.84615384615387, 'height': 445.61538461538464, 'width': 198.5384615384615}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k24qs00583o6lbnpqmjyl,618,right side,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 282.96153846153845, 'height': 446.15384615384613, 'width': 200.38461538461542}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k24qs00583o6lbnpqmjyl,619,right side,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 281.0769230769231, 'height': 446.6923076923077, 'width': 202.23076923076923}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k24qs00583o6lbnpqmjyl,620,right side,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 279.1923076923077, 'height': 447.2307692307692, 'width': 204.0769230769231}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k24qs00583o6lbnpqmjyl,621,right side,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 277.3076923076923, 'height': 447.7692307692308, 'width': 205.9230769230769}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k24qs00583o6lbnpqmjyl,622,right side,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 275.4230769230769, 'height': 448.3076923076923, 'width': 207.76923076923077}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k24qs00583o6lbnpqmjyl,623,right side,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 273.53846153846155, 'height': 448.84615384615387, 'width': 209.61538461538458}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k24qs00583o6lbnpqmjyl,624,right side,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 271.65384615384613, 'height': 449.38461538461536, 'width': 211.4615384615385}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k24qs00583o6lbnpqmjyl,625,right side,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 269.7692307692308, 'height': 449.9230769230769, 'width': 213.30769230769232}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k24qs00583o6lbnpqmjyl,626,right side,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 267.88461538461536, 'height': 450.46153846153845, 'width': 215.1538461538462}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k24qs00583o6lbnpqmjyl,627,right side,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 266.0, 'height': 451.0, 'width': 217.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k24qs00583o6lbnpqmjyl,628,right side,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 266.0, 'height': 451.1707317073171, 'width': 218.14634146341461}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k24qs00583o6lbnpqmjyl,629,right side,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 266.0, 'height': 451.3414634146341, 'width': 219.2926829268293}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k24qs00583o6lbnpqmjyl,630,right side,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 266.0, 'height': 451.5121951219512, 'width': 220.4390243902439}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k24qs00583o6lbnpqmjyl,631,right side,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 266.0, 'height': 451.6829268292683, 'width': 221.58536585365852}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k24qs00583o6lbnpqmjyl,632,right side,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 266.0, 'height': 451.8536585365854, 'width': 222.7317073170732}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k24qs00583o6lbnpqmjyl,633,right side,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 266.0, 'height': 452.0243902439024, 'width': 223.8780487804878}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
