seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cll8k59j9005v3o6l2w9i0lse,3357,right side,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 260.0, 'height': 438.0, 'width': 203.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k59j9005v3o6l2w9i0lse,3358,right side,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 260.22222222222223, 'height': 440.8888888888889, 'width': 210.1111111111111}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k59j9005v3o6l2w9i0lse,3359,right side,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 260.44444444444446, 'height': 443.77777777777777, 'width': 217.22222222222223}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k59j9005v3o6l2w9i0lse,3360,right side,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 260.6666666666667, 'height': 446.6666666666667, 'width': 224.33333333333331}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k59j9005v3o6l2w9i0lse,3361,right side,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 260.8888888888889, 'height': 449.55555555555554, 'width': 231.4444444444444}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k59j9005v3o6l2w9i0lse,3362,right side,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 261.1111111111111, 'height': 452.44444444444446, 'width': 238.5555555555556}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k59j9005v3o6l2w9i0lse,3363,right side,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 261.3333333333333, 'height': 455.3333333333333, 'width': 245.66666666666669}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k59j9005v3o6l2w9i0lse,3364,right side,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 261.55555555555554, 'height': 458.22222222222223, 'width': 252.77777777777783}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k59j9005v3o6l2w9i0lse,3365,right side,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 261.77777777777777, 'height': 461.1111111111111, 'width': 259.88888888888886}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k59j9005v3o6l2w9i0lse,3366,right side,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 262.0, 'height': 464.0, 'width': 267.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k59j9005v3o6l2w9i0lse,3367,right side,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 262.18918918918916, 'height': 463.8828828828829, 'width': 266.8918918918919}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k59j9005v3o6l2w9i0lse,3368,right side,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 262.3783783783784, 'height': 463.76576576576576, 'width': 266.7837837837838}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k59j9005v3o6l2w9i0lse,3369,right side,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 262.56756756756755, 'height': 463.64864864864865, 'width': 266.6756756756757}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k59j9005v3o6l2w9i0lse,3370,right side,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 262.7567567567568, 'height': 463.5315315315315, 'width': 266.5675675675676}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k59j9005v3o6l2w9i0lse,3371,right side,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 262.94594594594594, 'height': 463.4144144144144, 'width': 266.4594594594595}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k59j9005v3o6l2w9i0lse,3372,right side,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 263.13513513513516, 'height': 463.2972972972973, 'width': 266.3513513513513}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k59j9005v3o6l2w9i0lse,3373,right side,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 263.3243243243243, 'height': 463.1801801801802, 'width': 266.2432432432433}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k59j9005v3o6l2w9i0lse,3374,right side,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 263.5135135135135, 'height': 463.06306306306305, 'width': 266.13513513513516}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k59j9005v3o6l2w9i0lse,3375,right side,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 263.7027027027027, 'height': 462.94594594594594, 'width': 266.027027027027}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k59j9005v3o6l2w9i0lse,3376,right side,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 263.8918918918919, 'height': 462.8288288288288, 'width': 265.91891891891896}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k59j9005v3o6l2w9i0lse,3377,right side,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 264.0810810810811, 'height': 462.7117117117117, 'width': 265.8108108108108}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k59j9005v3o6l2w9i0lse,3378,right side,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 264.27027027027026, 'height': 462.5945945945946, 'width': 265.70270270270277}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k59j9005v3o6l2w9i0lse,3379,right side,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 264.4594594594595, 'height': 462.47747747747746, 'width': 265.5945945945946}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k59j9005v3o6l2w9i0lse,3380,right side,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 264.64864864864865, 'height': 462.36036036036035, 'width': 265.48648648648646}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k59j9005v3o6l2w9i0lse,3381,right side,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 264.8378378378378, 'height': 462.2432432432432, 'width': 265.37837837837844}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k59j9005v3o6l2w9i0lse,3382,right side,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 265.02702702702703, 'height': 462.1261261261261, 'width': 265.27027027027026}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k59j9005v3o6l2w9i0lse,3383,right side,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 265.2162162162162, 'height': 462.009009009009, 'width': 265.16216216216213}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k59j9005v3o6l2w9i0lse,3384,right side,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 265.4054054054054, 'height': 461.8918918918919, 'width': 265.05405405405406}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k59j9005v3o6l2w9i0lse,3385,right side,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 265.5945945945946, 'height': 461.77477477477476, 'width': 264.94594594594594}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k59j9005v3o6l2w9i0lse,3386,right side,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 265.7837837837838, 'height': 461.65765765765764, 'width': 264.83783783783787}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k59j9005v3o6l2w9i0lse,3387,right side,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 265.97297297297297, 'height': 461.5405405405405, 'width': 264.72972972972974}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k59j9005v3o6l2w9i0lse,3388,right side,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 266.1621621621622, 'height': 461.4234234234234, 'width': 264.62162162162156}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k59j9005v3o6l2w9i0lse,3389,right side,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 266.35135135135135, 'height': 461.3063063063063, 'width': 264.51351351351354}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k59j9005v3o6l2w9i0lse,3390,right side,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 266.5405405405405, 'height': 461.18918918918916, 'width': 264.4054054054054}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k59j9005v3o6l2w9i0lse,3391,right side,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 266.72972972972974, 'height': 461.07207207207205, 'width': 264.29729729729723}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k59j9005v3o6l2w9i0lse,3392,right side,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 266.9189189189189, 'height': 460.9549549549549, 'width': 264.1891891891892}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k59j9005v3o6l2w9i0lse,3393,right side,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 267.1081081081081, 'height': 460.8378378378378, 'width': 264.08108108108104}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k59j9005v3o6l2w9i0lse,3394,right side,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 267.2972972972973, 'height': 460.72072072072075, 'width': 263.972972972973}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k59j9005v3o6l2w9i0lse,3395,right side,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 267.4864864864865, 'height': 460.60360360360363, 'width': 263.86486486486484}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k59j9005v3o6l2w9i0lse,3396,right side,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 267.6756756756757, 'height': 460.4864864864865, 'width': 263.7567567567567}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k59j9005v3o6l2w9i0lse,3397,right side,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 267.86486486486484, 'height': 460.3693693693694, 'width': 263.6486486486487}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k59j9005v3o6l2w9i0lse,3398,right side,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 268.05405405405406, 'height': 460.2522522522523, 'width': 263.5405405405405}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k59j9005v3o6l2w9i0lse,3399,right side,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 268.2432432432432, 'height': 460.13513513513516, 'width': 263.4324324324324}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k59j9005v3o6l2w9i0lse,3400,right side,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 268.43243243243245, 'height': 460.01801801801804, 'width': 263.3243243243243}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k59j9005v3o6l2w9i0lse,3401,right side,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 268.6216216216216, 'height': 459.9009009009009, 'width': 263.2162162162162}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k59j9005v3o6l2w9i0lse,3402,right side,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 268.81081081081084, 'height': 459.7837837837838, 'width': 263.1081081081081}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k59j9005v3o6l2w9i0lse,3403,right side,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 269.0, 'height': 459.6666666666667, 'width': 263.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k59j9005v3o6l2w9i0lse,3404,right side,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 269.18918918918916, 'height': 459.54954954954957, 'width': 262.8918918918919}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k59j9005v3o6l2w9i0lse,3405,right side,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 269.3783783783784, 'height': 459.43243243243245, 'width': 262.7837837837838}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k59j9005v3o6l2w9i0lse,3406,right side,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 269.56756756756755, 'height': 459.31531531531533, 'width': 262.6756756756757}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
