seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cll8k74kx006b3o6l0fue0bcg,4930,front,,Abnormal Gait,cerebral palsy,"{'top': 6.0, 'left': 294.0, 'height': 451.0, 'width': 198.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k74kx006b3o6l0fue0bcg,4931,front,,Abnormal Gait,cerebral palsy,"{'top': 6.0, 'left': 294.05128205128204, 'height': 451.0, 'width': 198.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k74kx006b3o6l0fue0bcg,4932,front,,Abnormal Gait,cerebral palsy,"{'top': 6.0, 'left': 294.1025641025641, 'height': 451.0, 'width': 198.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k74kx006b3o6l0fue0bcg,4933,front,,Abnormal Gait,cerebral palsy,"{'top': 6.0, 'left': 294.15384615384613, 'height': 451.0, 'width': 198.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k74kx006b3o6l0fue0bcg,4934,front,,Abnormal Gait,cerebral palsy,"{'top': 6.0, 'left': 294.20512820512823, 'height': 451.0, 'width': 198.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k74kx006b3o6l0fue0bcg,4935,front,,Abnormal Gait,cerebral palsy,"{'top': 6.0, 'left': 294.2564102564103, 'height': 451.0, 'width': 198.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k74kx006b3o6l0fue0bcg,4936,front,,Abnormal Gait,cerebral palsy,"{'top': 6.0, 'left': 294.3076923076923, 'height': 451.0, 'width': 198.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k74kx006b3o6l0fue0bcg,4937,front,,Abnormal Gait,cerebral palsy,"{'top': 6.0, 'left': 294.35897435897436, 'height': 451.0, 'width': 198.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k74kx006b3o6l0fue0bcg,4938,front,,Abnormal Gait,cerebral palsy,"{'top': 6.0, 'left': 294.4102564102564, 'height': 451.0, 'width': 198.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k74kx006b3o6l0fue0bcg,4939,front,,Abnormal Gait,cerebral palsy,"{'top': 6.0, 'left': 294.46153846153845, 'height': 451.0, 'width': 198.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
