seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cll8k844v006j3o6lyfwxu6xu,5449,front,,Abnormal Gait,cerebral palsy,"{'top': 15.0, 'left': 337.0, 'height': 433.0, 'width': 145.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k844v006j3o6lyfwxu6xu,5450,front,,Abnormal Gait,cerebral palsy,"{'top': 15.0, 'left': 336.5111111111111, 'height': 433.55555555555554, 'width': 146.0888888888889}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k844v006j3o6lyfwxu6xu,5451,front,,Abnormal Gait,cerebral palsy,"{'top': 15.0, 'left': 336.02222222222224, 'height': 434.1111111111111, 'width': 147.17777777777775}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k844v006j3o6lyfwxu6xu,5452,front,,Abnormal Gait,cerebral palsy,"{'top': 15.0, 'left': 335.53333333333336, 'height': 434.6666666666667, 'width': 148.26666666666665}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k844v006j3o6lyfwxu6xu,5453,front,,Abnormal Gait,cerebral palsy,"{'top': 15.0, 'left': 335.0444444444444, 'height': 435.22222222222223, 'width': 149.35555555555555}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k844v006j3o6lyfwxu6xu,5454,front,,Abnormal Gait,cerebral palsy,"{'top': 15.0, 'left': 334.55555555555554, 'height': 435.77777777777777, 'width': 150.44444444444446}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k844v006j3o6lyfwxu6xu,5455,front,,Abnormal Gait,cerebral palsy,"{'top': 15.0, 'left': 334.06666666666666, 'height': 436.3333333333333, 'width': 151.53333333333336}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k844v006j3o6lyfwxu6xu,5456,front,,Abnormal Gait,cerebral palsy,"{'top': 15.0, 'left': 333.5777777777778, 'height': 436.8888888888889, 'width': 152.6222222222222}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k844v006j3o6lyfwxu6xu,5457,front,,Abnormal Gait,cerebral palsy,"{'top': 15.0, 'left': 333.0888888888889, 'height': 437.44444444444446, 'width': 153.7111111111111}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k844v006j3o6lyfwxu6xu,5458,front,,Abnormal Gait,cerebral palsy,"{'top': 15.0, 'left': 332.6, 'height': 438.0, 'width': 154.79999999999995}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k844v006j3o6lyfwxu6xu,5459,front,,Abnormal Gait,cerebral palsy,"{'top': 15.0, 'left': 332.1111111111111, 'height': 438.55555555555554, 'width': 155.8888888888889}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k844v006j3o6lyfwxu6xu,5460,front,,Abnormal Gait,cerebral palsy,"{'top': 15.0, 'left': 331.6222222222222, 'height': 439.1111111111111, 'width': 156.97777777777782}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k844v006j3o6lyfwxu6xu,5461,front,,Abnormal Gait,cerebral palsy,"{'top': 15.0, 'left': 331.1333333333333, 'height': 439.6666666666667, 'width': 158.06666666666666}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k844v006j3o6lyfwxu6xu,5462,front,,Abnormal Gait,cerebral palsy,"{'top': 15.0, 'left': 330.64444444444445, 'height': 440.22222222222223, 'width': 159.15555555555557}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k844v006j3o6lyfwxu6xu,5463,front,,Abnormal Gait,cerebral palsy,"{'top': 15.0, 'left': 330.15555555555557, 'height': 440.77777777777777, 'width': 160.2444444444444}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k844v006j3o6lyfwxu6xu,5464,front,,Abnormal Gait,cerebral palsy,"{'top': 15.0, 'left': 329.6666666666667, 'height': 441.3333333333333, 'width': 161.33333333333331}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k844v006j3o6lyfwxu6xu,5465,front,,Abnormal Gait,cerebral palsy,"{'top': 15.0, 'left': 329.1777777777778, 'height': 441.8888888888889, 'width': 162.42222222222222}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k844v006j3o6lyfwxu6xu,5466,front,,Abnormal Gait,cerebral palsy,"{'top': 15.0, 'left': 328.68888888888887, 'height': 442.44444444444446, 'width': 163.51111111111112}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k844v006j3o6lyfwxu6xu,5467,front,,Abnormal Gait,cerebral palsy,"{'top': 15.0, 'left': 328.2, 'height': 443.0, 'width': 164.60000000000002}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k844v006j3o6lyfwxu6xu,5468,front,,Abnormal Gait,cerebral palsy,"{'top': 15.0, 'left': 327.7111111111111, 'height': 443.55555555555554, 'width': 165.68888888888887}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k844v006j3o6lyfwxu6xu,5469,front,,Abnormal Gait,cerebral palsy,"{'top': 15.0, 'left': 327.22222222222223, 'height': 444.1111111111111, 'width': 166.77777777777777}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k844v006j3o6lyfwxu6xu,5470,front,,Abnormal Gait,cerebral palsy,"{'top': 15.0, 'left': 326.73333333333335, 'height': 444.6666666666667, 'width': 167.86666666666667}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k844v006j3o6lyfwxu6xu,5471,front,,Abnormal Gait,cerebral palsy,"{'top': 15.0, 'left': 326.24444444444447, 'height': 445.22222222222223, 'width': 168.95555555555552}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k844v006j3o6lyfwxu6xu,5472,front,,Abnormal Gait,cerebral palsy,"{'top': 15.0, 'left': 325.75555555555553, 'height': 445.77777777777777, 'width': 170.04444444444448}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k844v006j3o6lyfwxu6xu,5473,front,,Abnormal Gait,cerebral palsy,"{'top': 15.0, 'left': 325.26666666666665, 'height': 446.3333333333333, 'width': 171.13333333333333}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k844v006j3o6lyfwxu6xu,5474,front,,Abnormal Gait,cerebral palsy,"{'top': 15.0, 'left': 324.77777777777777, 'height': 446.8888888888889, 'width': 172.22222222222223}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k844v006j3o6lyfwxu6xu,5475,front,,Abnormal Gait,cerebral palsy,"{'top': 15.0, 'left': 324.2888888888889, 'height': 447.44444444444446, 'width': 173.31111111111113}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k844v006j3o6lyfwxu6xu,5476,front,,Abnormal Gait,cerebral palsy,"{'top': 15.0, 'left': 323.8, 'height': 448.0, 'width': 174.39999999999998}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k844v006j3o6lyfwxu6xu,5477,front,,Abnormal Gait,cerebral palsy,"{'top': 15.0, 'left': 323.31111111111113, 'height': 448.55555555555554, 'width': 175.48888888888888}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k844v006j3o6lyfwxu6xu,5478,front,,Abnormal Gait,cerebral palsy,"{'top': 15.0, 'left': 322.8222222222222, 'height': 449.1111111111111, 'width': 176.57777777777778}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k844v006j3o6lyfwxu6xu,5479,front,,Abnormal Gait,cerebral palsy,"{'top': 15.0, 'left': 322.3333333333333, 'height': 449.6666666666667, 'width': 177.66666666666669}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k844v006j3o6lyfwxu6xu,5480,front,,Abnormal Gait,cerebral palsy,"{'top': 15.0, 'left': 321.84444444444443, 'height': 450.22222222222223, 'width': 178.7555555555556}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k844v006j3o6lyfwxu6xu,5481,front,,Abnormal Gait,cerebral palsy,"{'top': 15.0, 'left': 321.35555555555555, 'height': 450.77777777777777, 'width': 179.84444444444443}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k844v006j3o6lyfwxu6xu,5482,front,,Abnormal Gait,cerebral palsy,"{'top': 15.0, 'left': 320.8666666666667, 'height': 451.3333333333333, 'width': 180.93333333333334}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k844v006j3o6lyfwxu6xu,5483,front,,Abnormal Gait,cerebral palsy,"{'top': 15.0, 'left': 320.3777777777778, 'height': 451.8888888888889, 'width': 182.02222222222218}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k844v006j3o6lyfwxu6xu,5484,front,,Abnormal Gait,cerebral palsy,"{'top': 15.0, 'left': 319.8888888888889, 'height': 452.44444444444446, 'width': 183.1111111111111}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k844v006j3o6lyfwxu6xu,5485,front,,Abnormal Gait,cerebral palsy,"{'top': 15.0, 'left': 319.4, 'height': 453.0, 'width': 184.20000000000005}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k844v006j3o6lyfwxu6xu,5486,front,,Abnormal Gait,cerebral palsy,"{'top': 15.0, 'left': 318.9111111111111, 'height': 453.55555555555554, 'width': 185.2888888888889}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k844v006j3o6lyfwxu6xu,5487,front,,Abnormal Gait,cerebral palsy,"{'top': 15.0, 'left': 318.4222222222222, 'height': 454.1111111111111, 'width': 186.3777777777778}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k844v006j3o6lyfwxu6xu,5488,front,,Abnormal Gait,cerebral palsy,"{'top': 15.0, 'left': 317.93333333333334, 'height': 454.6666666666667, 'width': 187.46666666666664}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k844v006j3o6lyfwxu6xu,5489,front,,Abnormal Gait,cerebral palsy,"{'top': 15.0, 'left': 317.44444444444446, 'height': 455.22222222222223, 'width': 188.55555555555554}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k844v006j3o6lyfwxu6xu,5490,front,,Abnormal Gait,cerebral palsy,"{'top': 15.0, 'left': 316.9555555555556, 'height': 455.77777777777777, 'width': 189.64444444444445}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k844v006j3o6lyfwxu6xu,5491,front,,Abnormal Gait,cerebral palsy,"{'top': 15.0, 'left': 316.46666666666664, 'height': 456.3333333333333, 'width': 190.73333333333335}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
cll8k844v006j3o6lyfwxu6xu,5492,front,,Abnormal Gait,cerebral palsy,"{'top': 15.0, 'left': 315.97777777777776, 'height': 456.8888888888889, 'width': 191.82222222222225}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",rWKYDfklSkE,https://www.youtube.com/watch?v=rWKYDfklSkE
