seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cll8lahyq00063o6l3pfgzwtp,1531,back,,Abnormal Gait,cerebral palsy,"{'top': 83.0, 'left': 0.0, 'height': 381.0, 'width': 172.0}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",sf5X4YYkWUA,https://www.youtube.com/watch?v=sf5X4YYkWUA
cll8lahyq00063o6l3pfgzwtp,1532,back,,Abnormal Gait,cerebral palsy,"{'top': 83.21818181818182, 'left': 0.18181818181818102, 'height': 381.0545454545454, 'width': 171.85454545454544}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",sf5X4YYkWUA,https://www.youtube.com/watch?v=sf5X4YYkWUA
cll8lahyq00063o6l3pfgzwtp,1533,back,,Abnormal Gait,cerebral palsy,"{'top': 83.43636363636364, 'left': 0.36363636363636304, 'height': 381.1090909090909, 'width': 171.7090909090909}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",sf5X4YYkWUA,https://www.youtube.com/watch?v=sf5X4YYkWUA
cll8lahyq00063o6l3pfgzwtp,1534,back,,Abnormal Gait,cerebral palsy,"{'top': 83.65454545454546, 'left': 0.5454545454545451, 'height': 381.16363636363633, 'width': 171.56363636363636}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",sf5X4YYkWUA,https://www.youtube.com/watch?v=sf5X4YYkWUA
cll8lahyq00063o6l3pfgzwtp,1535,back,,Abnormal Gait,cerebral palsy,"{'top': 83.87272727272727, 'left': 0.7272727272727271, 'height': 381.2181818181818, 'width': 171.41818181818184}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",sf5X4YYkWUA,https://www.youtube.com/watch?v=sf5X4YYkWUA
cll8lahyq00063o6l3pfgzwtp,1536,back,,Abnormal Gait,cerebral palsy,"{'top': 84.0909090909091, 'left': 0.9090909090909091, 'height': 381.27272727272725, 'width': 171.27272727272728}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",sf5X4YYkWUA,https://www.youtube.com/watch?v=sf5X4YYkWUA
cll8lahyq00063o6l3pfgzwtp,1537,back,,Abnormal Gait,cerebral palsy,"{'top': 84.30909090909091, 'left': 1.09090909090909, 'height': 381.3272727272727, 'width': 171.12727272727273}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",sf5X4YYkWUA,https://www.youtube.com/watch?v=sf5X4YYkWUA
cll8lahyq00063o6l3pfgzwtp,1538,back,,Abnormal Gait,cerebral palsy,"{'top': 84.52727272727273, 'left': 1.272727272727272, 'height': 381.3818181818182, 'width': 170.98181818181817}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",sf5X4YYkWUA,https://www.youtube.com/watch?v=sf5X4YYkWUA
cll8lahyq00063o6l3pfgzwtp,1539,back,,Abnormal Gait,cerebral palsy,"{'top': 84.74545454545455, 'left': 1.4545454545454541, 'height': 381.43636363636364, 'width': 170.83636363636361}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",sf5X4YYkWUA,https://www.youtube.com/watch?v=sf5X4YYkWUA
cll8lahyq00063o6l3pfgzwtp,1540,back,,Abnormal Gait,cerebral palsy,"{'top': 84.96363636363637, 'left': 1.636363636363636, 'height': 381.4909090909091, 'width': 170.6909090909091}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",sf5X4YYkWUA,https://www.youtube.com/watch?v=sf5X4YYkWUA
