seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cll9u8ov900053o6l3ad7pezo,65,back,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 205.0, 'height': 360.0, 'width': 171.0}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",Uj89KJwLYOY,https://www.youtube.com/watch?v=Uj89KJwLYOY
cll9u8ov900053o6l3ad7pezo,66,back,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 205.23529411764707, 'height': 359.88235294117646, 'width': 172.05882352941177}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",Uj89KJwLYOY,https://www.youtube.com/watch?v=Uj89KJwLYOY
cll9u8ov900053o6l3ad7pezo,67,back,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 205.47058823529412, 'height': 359.7647058823529, 'width': 173.1176470588235}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",Uj89KJwLYOY,https://www.youtube.com/watch?v=Uj89KJwLYOY
cll9u8ov900053o6l3ad7pezo,68,back,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 205.7058823529412, 'height': 359.6470588235294, 'width': 174.17647058823528}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",Uj89KJwLYOY,https://www.youtube.com/watch?v=Uj89KJwLYOY
cll9u8ov900053o6l3ad7pezo,69,back,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 205.94117647058823, 'height': 359.52941176470586, 'width': 175.23529411764707}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",Uj89KJwLYOY,https://www.youtube.com/watch?v=Uj89KJwLYOY
cll9u8ov900053o6l3ad7pezo,70,back,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 206.1764705882353, 'height': 359.4117647058824, 'width': 176.29411764705884}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",Uj89KJwLYOY,https://www.youtube.com/watch?v=Uj89KJwLYOY
cll9u8ov900053o6l3ad7pezo,71,back,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 206.41176470588235, 'height': 359.29411764705884, 'width': 177.35294117647058}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",Uj89KJwLYOY,https://www.youtube.com/watch?v=Uj89KJwLYOY
cll9u8ov900053o6l3ad7pezo,72,back,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 206.64705882352942, 'height': 359.1764705882353, 'width': 178.41176470588235}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",Uj89KJwLYOY,https://www.youtube.com/watch?v=Uj89KJwLYOY
cll9u8ov900053o6l3ad7pezo,73,back,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 206.88235294117646, 'height': 359.05882352941177, 'width': 179.47058823529414}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",Uj89KJwLYOY,https://www.youtube.com/watch?v=Uj89KJwLYOY
cll9u8ov900053o6l3ad7pezo,74,back,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 207.11764705882354, 'height': 358.94117647058823, 'width': 180.52941176470586}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",Uj89KJwLYOY,https://www.youtube.com/watch?v=Uj89KJwLYOY
cll9u8ov900053o6l3ad7pezo,75,back,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 207.35294117647058, 'height': 358.8235294117647, 'width': 181.58823529411765}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",Uj89KJwLYOY,https://www.youtube.com/watch?v=Uj89KJwLYOY
cll9u8ov900053o6l3ad7pezo,76,back,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 207.58823529411765, 'height': 358.70588235294116, 'width': 182.64705882352942}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",Uj89KJwLYOY,https://www.youtube.com/watch?v=Uj89KJwLYOY
cll9u8ov900053o6l3ad7pezo,77,back,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 207.8235294117647, 'height': 358.5882352941176, 'width': 183.70588235294116}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",Uj89KJwLYOY,https://www.youtube.com/watch?v=Uj89KJwLYOY
cll9u8ov900053o6l3ad7pezo,78,back,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 208.05882352941177, 'height': 358.47058823529414, 'width': 184.76470588235293}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",Uj89KJwLYOY,https://www.youtube.com/watch?v=Uj89KJwLYOY
cll9u8ov900053o6l3ad7pezo,79,back,,Abnormal Gait,cerebral palsy,"{'top': 0.0, 'left': 208.2941176470588, 'height': 358.3529411764706, 'width': 185.82352941176472}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",Uj89KJwLYOY,https://www.youtube.com/watch?v=Uj89KJwLYOY
