seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cljr6ohvb000k3n6lfqwsgy5d,436,back,,Abnormal Gait,myopathic,"{'top': 49.0, 'left': 314.0, 'height': 426.0, 'width': 181.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7Ft1bUTzxkM,https://www.youtube.com/watch?v=7Ft1bUTzxkM
cljr6ohvb000k3n6lfqwsgy5d,437,back,,Abnormal Gait,myopathic,"{'top': 49.56410256410256, 'left': 314.4102564102564, 'height': 424.0641025641026, 'width': 180.20512820512823}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7Ft1bUTzxkM,https://www.youtube.com/watch?v=7Ft1bUTzxkM
cljr6ohvb000k3n6lfqwsgy5d,438,back,,Abnormal Gait,myopathic,"{'top': 50.12820512820513, 'left': 314.8205128205128, 'height': 422.12820512820514, 'width': 179.4102564102564}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7Ft1bUTzxkM,https://www.youtube.com/watch?v=7Ft1bUTzxkM
cljr6ohvb000k3n6lfqwsgy5d,439,back,,Abnormal Gait,myopathic,"{'top': 50.69230769230769, 'left': 315.2307692307692, 'height': 420.1923076923077, 'width': 178.61538461538464}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7Ft1bUTzxkM,https://www.youtube.com/watch?v=7Ft1bUTzxkM
cljr6ohvb000k3n6lfqwsgy5d,440,back,,Abnormal Gait,myopathic,"{'top': 51.256410256410255, 'left': 315.64102564102564, 'height': 418.2564102564102, 'width': 177.82051282051282}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7Ft1bUTzxkM,https://www.youtube.com/watch?v=7Ft1bUTzxkM
cljr6ohvb000k3n6lfqwsgy5d,441,back,,Abnormal Gait,myopathic,"{'top': 51.82051282051282, 'left': 316.05128205128204, 'height': 416.3205128205128, 'width': 177.02564102564105}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7Ft1bUTzxkM,https://www.youtube.com/watch?v=7Ft1bUTzxkM
cljr6ohvb000k3n6lfqwsgy5d,442,back,,Abnormal Gait,myopathic,"{'top': 52.38461538461539, 'left': 316.46153846153845, 'height': 414.38461538461536, 'width': 176.23076923076923}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7Ft1bUTzxkM,https://www.youtube.com/watch?v=7Ft1bUTzxkM
cljr6ohvb000k3n6lfqwsgy5d,443,back,,Abnormal Gait,myopathic,"{'top': 52.94871794871795, 'left': 316.87179487179486, 'height': 412.44871794871796, 'width': 175.43589743589746}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7Ft1bUTzxkM,https://www.youtube.com/watch?v=7Ft1bUTzxkM
cljr6ohvb000k3n6lfqwsgy5d,444,back,,Abnormal Gait,myopathic,"{'top': 53.51282051282051, 'left': 317.28205128205127, 'height': 410.51282051282055, 'width': 174.64102564102564}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7Ft1bUTzxkM,https://www.youtube.com/watch?v=7Ft1bUTzxkM
cljr6ohvb000k3n6lfqwsgy5d,445,back,,Abnormal Gait,myopathic,"{'top': 54.07692307692308, 'left': 317.6923076923077, 'height': 408.57692307692304, 'width': 173.84615384615387}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",7Ft1bUTzxkM,https://www.youtube.com/watch?v=7Ft1bUTzxkM
