seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cljs4we1v00683n6l3sp64qx4,303,front,,Abnormal Gait,myopathic,"{'top': 108.0, 'left': 92.0, 'height': 151.0, 'width': 69.0}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",A2-NkglbQu0,https://www.youtube.com/watch?v=A2-NkglbQu0
cljs4we1v00683n6l3sp64qx4,304,front,,Abnormal Gait,myopathic,"{'top': 107.82080924855491, 'left': 91.82080924855491, 'height': 151.56647398843933, 'width': 69.19075144508672}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",A2-NkglbQu0,https://www.youtube.com/watch?v=A2-NkglbQu0
cljs4we1v00683n6l3sp64qx4,305,front,,Abnormal Gait,myopathic,"{'top': 107.64161849710983, 'left': 91.64161849710983, 'height': 152.1329479768786, 'width': 69.3815028901734}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",A2-NkglbQu0,https://www.youtube.com/watch?v=A2-NkglbQu0
cljs4we1v00683n6l3sp64qx4,306,front,,Abnormal Gait,myopathic,"{'top': 107.46242774566474, 'left': 91.46242774566474, 'height': 152.69942196531792, 'width': 69.57225433526011}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",A2-NkglbQu0,https://www.youtube.com/watch?v=A2-NkglbQu0
cljs4we1v00683n6l3sp64qx4,307,front,,Abnormal Gait,myopathic,"{'top': 107.28323699421965, 'left': 91.28323699421965, 'height': 153.26589595375725, 'width': 69.76300578034683}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",A2-NkglbQu0,https://www.youtube.com/watch?v=A2-NkglbQu0
cljs4we1v00683n6l3sp64qx4,308,front,,Abnormal Gait,myopathic,"{'top': 107.10404624277457, 'left': 91.10404624277457, 'height': 153.83236994219652, 'width': 69.9537572254335}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",A2-NkglbQu0,https://www.youtube.com/watch?v=A2-NkglbQu0
cljs4we1v00683n6l3sp64qx4,309,front,,Abnormal Gait,myopathic,"{'top': 106.92485549132948, 'left': 90.92485549132948, 'height': 154.39884393063585, 'width': 70.14450867052022}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",A2-NkglbQu0,https://www.youtube.com/watch?v=A2-NkglbQu0
cljs4we1v00683n6l3sp64qx4,310,front,,Abnormal Gait,myopathic,"{'top': 106.74566473988439, 'left': 90.74566473988439, 'height': 154.96531791907518, 'width': 70.33526011560694}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",A2-NkglbQu0,https://www.youtube.com/watch?v=A2-NkglbQu0
cljs4we1v00683n6l3sp64qx4,311,front,,Abnormal Gait,myopathic,"{'top': 106.56647398843931, 'left': 90.56647398843931, 'height': 155.53179190751445, 'width': 70.52601156069365}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",A2-NkglbQu0,https://www.youtube.com/watch?v=A2-NkglbQu0
cljs4we1v00683n6l3sp64qx4,312,front,,Abnormal Gait,myopathic,"{'top': 106.38728323699422, 'left': 90.38728323699422, 'height': 156.09826589595377, 'width': 70.71676300578034}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",A2-NkglbQu0,https://www.youtube.com/watch?v=A2-NkglbQu0
cljs4we1v00683n6l3sp64qx4,313,front,,Abnormal Gait,myopathic,"{'top': 106.20809248554913, 'left': 90.20809248554913, 'height': 156.6647398843931, 'width': 70.90751445086705}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",A2-NkglbQu0,https://www.youtube.com/watch?v=A2-NkglbQu0
cljs4we1v00683n6l3sp64qx4,314,front,,Abnormal Gait,myopathic,"{'top': 106.02890173410404, 'left': 90.02890173410404, 'height': 157.2312138728324, 'width': 71.09826589595377}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",A2-NkglbQu0,https://www.youtube.com/watch?v=A2-NkglbQu0
cljs4we1v00683n6l3sp64qx4,315,front,,Abnormal Gait,myopathic,"{'top': 105.84971098265896, 'left': 89.84971098265896, 'height': 157.7976878612717, 'width': 71.28901734104045}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",A2-NkglbQu0,https://www.youtube.com/watch?v=A2-NkglbQu0
cljs4we1v00683n6l3sp64qx4,316,front,,Abnormal Gait,myopathic,"{'top': 105.67052023121387, 'left': 89.67052023121387, 'height': 158.36416184971102, 'width': 71.47976878612717}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",A2-NkglbQu0,https://www.youtube.com/watch?v=A2-NkglbQu0
cljs4we1v00683n6l3sp64qx4,317,front,,Abnormal Gait,myopathic,"{'top': 105.49132947976878, 'left': 89.49132947976878, 'height': 158.93063583815032, 'width': 71.67052023121389}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",A2-NkglbQu0,https://www.youtube.com/watch?v=A2-NkglbQu0
cljs4we1v00683n6l3sp64qx4,318,front,,Abnormal Gait,myopathic,"{'top': 105.3121387283237, 'left': 89.3121387283237, 'height': 159.49710982658956, 'width': 71.86127167630056}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",A2-NkglbQu0,https://www.youtube.com/watch?v=A2-NkglbQu0
cljs4we1v00683n6l3sp64qx4,319,front,,Abnormal Gait,myopathic,"{'top': 105.13294797687861, 'left': 89.13294797687861, 'height': 160.0635838150289, 'width': 72.05202312138728}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",A2-NkglbQu0,https://www.youtube.com/watch?v=A2-NkglbQu0
