seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cljxl3an5001c3n6lschs9zkv,2721,left side,,Abnormal Gait,myopathic,"{'top': 0.0, 'left': 346.0, 'height': 308.0, 'width': 139.0}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",zJ6PFxJrGf8,https://www.youtube.com/watch?v=zJ6PFxJrGf8
cljxl3an5001c3n6lschs9zkv,2722,left side,,Abnormal Gait,myopathic,"{'top': 0.0, 'left': 340.6, 'height': 310.4, 'width': 144.59999999999997}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",zJ6PFxJrGf8,https://www.youtube.com/watch?v=zJ6PFxJrGf8
cljxl3an5001c3n6lschs9zkv,2723,left side,,Abnormal Gait,myopathic,"{'top': 0.0, 'left': 335.2, 'height': 312.8, 'width': 150.2}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",zJ6PFxJrGf8,https://www.youtube.com/watch?v=zJ6PFxJrGf8
cljxl3an5001c3n6lschs9zkv,2724,left side,,Abnormal Gait,myopathic,"{'top': 0.0, 'left': 329.8, 'height': 315.2, 'width': 155.8}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",zJ6PFxJrGf8,https://www.youtube.com/watch?v=zJ6PFxJrGf8
cljxl3an5001c3n6lschs9zkv,2725,left side,,Abnormal Gait,myopathic,"{'top': 0.0, 'left': 324.4, 'height': 317.6, 'width': 161.40000000000003}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",zJ6PFxJrGf8,https://www.youtube.com/watch?v=zJ6PFxJrGf8
cljxl3an5001c3n6lschs9zkv,2726,left side,,Abnormal Gait,myopathic,"{'top': 0.0, 'left': 319.0, 'height': 320.0, 'width': 167.0}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",zJ6PFxJrGf8,https://www.youtube.com/watch?v=zJ6PFxJrGf8
cljxl3an5001c3n6lschs9zkv,2727,left side,,Abnormal Gait,myopathic,"{'top': 0.0, 'left': 313.7142857142857, 'height': 325.7142857142857, 'width': 171.85714285714283}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",zJ6PFxJrGf8,https://www.youtube.com/watch?v=zJ6PFxJrGf8
cljxl3an5001c3n6lschs9zkv,2728,left side,,Abnormal Gait,myopathic,"{'top': 0.0, 'left': 308.42857142857144, 'height': 331.42857142857144, 'width': 176.71428571428572}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",zJ6PFxJrGf8,https://www.youtube.com/watch?v=zJ6PFxJrGf8
cljxl3an5001c3n6lschs9zkv,2729,left side,,Abnormal Gait,myopathic,"{'top': 0.0, 'left': 303.14285714285717, 'height': 337.14285714285717, 'width': 181.57142857142856}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",zJ6PFxJrGf8,https://www.youtube.com/watch?v=zJ6PFxJrGf8
cljxl3an5001c3n6lschs9zkv,2730,left side,,Abnormal Gait,myopathic,"{'top': 0.0, 'left': 297.85714285714283, 'height': 342.85714285714283, 'width': 186.42857142857144}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",zJ6PFxJrGf8,https://www.youtube.com/watch?v=zJ6PFxJrGf8
