seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cljxl3w9f001k3n6lf6lezxqe,2894,back,,Abnormal Gait,myopathic,"{'top': 36.0, 'left': 235.0, 'height': 225.0, 'width': 127.0}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",zJ6PFxJrGf8,https://www.youtube.com/watch?v=zJ6PFxJrGf8
cljxl3w9f001k3n6lf6lezxqe,2895,back,,Abnormal Gait,myopathic,"{'top': 36.0, 'left': 235.0, 'height': 225.0, 'width': 127.0}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",zJ6PFxJrGf8,https://www.youtube.com/watch?v=zJ6PFxJrGf8
cljxl3w9f001k3n6lf6lezxqe,2896,back,,Abnormal Gait,myopathic,"{'top': 36.0, 'left': 235.0, 'height': 225.0, 'width': 127.0}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",zJ6PFxJrGf8,https://www.youtube.com/watch?v=zJ6PFxJrGf8
cljxl3w9f001k3n6lf6lezxqe,2897,back,,Abnormal Gait,myopathic,"{'top': 36.0, 'left': 235.0, 'height': 225.0, 'width': 127.0}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",zJ6PFxJrGf8,https://www.youtube.com/watch?v=zJ6PFxJrGf8
cljxl3w9f001k3n6lf6lezxqe,2898,back,,Abnormal Gait,myopathic,"{'top': 36.0, 'left': 235.0, 'height': 225.0, 'width': 127.0}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",zJ6PFxJrGf8,https://www.youtube.com/watch?v=zJ6PFxJrGf8
cljxl3w9f001k3n6lf6lezxqe,2899,back,,Abnormal Gait,myopathic,"{'top': 36.0, 'left': 235.0, 'height': 225.0, 'width': 127.0}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",zJ6PFxJrGf8,https://www.youtube.com/watch?v=zJ6PFxJrGf8
cljxl3w9f001k3n6lf6lezxqe,2900,back,,Abnormal Gait,myopathic,"{'top': 36.0, 'left': 235.0, 'height': 225.0, 'width': 127.0}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",zJ6PFxJrGf8,https://www.youtube.com/watch?v=zJ6PFxJrGf8
cljxl3w9f001k3n6lf6lezxqe,2901,back,,Abnormal Gait,myopathic,"{'top': 36.0, 'left': 235.0, 'height': 225.0, 'width': 127.0}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",zJ6PFxJrGf8,https://www.youtube.com/watch?v=zJ6PFxJrGf8
cljxl3w9f001k3n6lf6lezxqe,2902,back,,Abnormal Gait,myopathic,"{'top': 36.0, 'left': 235.0, 'height': 225.0, 'width': 127.0}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",zJ6PFxJrGf8,https://www.youtube.com/watch?v=zJ6PFxJrGf8
cljxl3w9f001k3n6lf6lezxqe,2903,back,,Abnormal Gait,myopathic,"{'top': 36.0, 'left': 235.0, 'height': 225.0, 'width': 127.0}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",zJ6PFxJrGf8,https://www.youtube.com/watch?v=zJ6PFxJrGf8
cljxl3w9f001k3n6lf6lezxqe,2904,back,,Abnormal Gait,myopathic,"{'top': 36.0, 'left': 235.0, 'height': 225.0, 'width': 127.0}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",zJ6PFxJrGf8,https://www.youtube.com/watch?v=zJ6PFxJrGf8
cljxl3w9f001k3n6lf6lezxqe,2905,back,,Abnormal Gait,myopathic,"{'top': 36.0, 'left': 235.0, 'height': 225.0, 'width': 127.0}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",zJ6PFxJrGf8,https://www.youtube.com/watch?v=zJ6PFxJrGf8
cljxl3w9f001k3n6lf6lezxqe,2906,back,,Abnormal Gait,myopathic,"{'top': 36.0, 'left': 235.0, 'height': 225.0, 'width': 127.0}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",zJ6PFxJrGf8,https://www.youtube.com/watch?v=zJ6PFxJrGf8
cljxl3w9f001k3n6lf6lezxqe,2907,back,,Abnormal Gait,myopathic,"{'top': 36.0, 'left': 235.0, 'height': 225.0, 'width': 127.0}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",zJ6PFxJrGf8,https://www.youtube.com/watch?v=zJ6PFxJrGf8
cljxl3w9f001k3n6lf6lezxqe,2908,back,,Abnormal Gait,myopathic,"{'top': 36.0, 'left': 235.0, 'height': 225.0, 'width': 127.0}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",zJ6PFxJrGf8,https://www.youtube.com/watch?v=zJ6PFxJrGf8
cljxl3w9f001k3n6lf6lezxqe,2909,back,,Abnormal Gait,myopathic,"{'top': 36.0, 'left': 235.0, 'height': 225.0, 'width': 127.0}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",zJ6PFxJrGf8,https://www.youtube.com/watch?v=zJ6PFxJrGf8
cljxl3w9f001k3n6lf6lezxqe,2910,back,,Abnormal Gait,myopathic,"{'top': 36.0, 'left': 235.0, 'height': 225.0, 'width': 127.0}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",zJ6PFxJrGf8,https://www.youtube.com/watch?v=zJ6PFxJrGf8
cljxl3w9f001k3n6lf6lezxqe,2911,back,,Abnormal Gait,myopathic,"{'top': 36.0, 'left': 235.0, 'height': 225.0, 'width': 127.0}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",zJ6PFxJrGf8,https://www.youtube.com/watch?v=zJ6PFxJrGf8
cljxl3w9f001k3n6lf6lezxqe,2912,back,,Abnormal Gait,myopathic,"{'top': 36.0, 'left': 235.0, 'height': 225.0, 'width': 127.0}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",zJ6PFxJrGf8,https://www.youtube.com/watch?v=zJ6PFxJrGf8
cljxl3w9f001k3n6lf6lezxqe,2913,back,,Abnormal Gait,myopathic,"{'top': 36.0, 'left': 235.0, 'height': 225.0, 'width': 127.0}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",zJ6PFxJrGf8,https://www.youtube.com/watch?v=zJ6PFxJrGf8
cljxl3w9f001k3n6lf6lezxqe,2914,back,,Abnormal Gait,myopathic,"{'top': 36.0, 'left': 235.0, 'height': 225.0, 'width': 127.0}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",zJ6PFxJrGf8,https://www.youtube.com/watch?v=zJ6PFxJrGf8
cljxl3w9f001k3n6lf6lezxqe,2915,back,,Abnormal Gait,myopathic,"{'top': 36.0, 'left': 235.0, 'height': 225.0, 'width': 127.0}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",zJ6PFxJrGf8,https://www.youtube.com/watch?v=zJ6PFxJrGf8
