seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cll44a69n000z3o6l8p6gooxx,665,front,,Abnormal Gait,myopathic,"{'top': 112.0, 'left': 311.0, 'height': 330.0, 'width': 141.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
cll44a69n000z3o6l8p6gooxx,666,front,,Abnormal Gait,myopathic,"{'top': 111.875, 'left': 311.0, 'height': 330.8333333333333, 'width': 141.16666666666669}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
cll44a69n000z3o6l8p6gooxx,667,front,,Abnormal Gait,myopathic,"{'top': 111.75, 'left': 311.0, 'height': 331.6666666666667, 'width': 141.33333333333331}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
cll44a69n000z3o6l8p6gooxx,668,front,,Abnormal Gait,myopathic,"{'top': 111.625, 'left': 311.0, 'height': 332.5, 'width': 141.5}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
cll44a69n000z3o6l8p6gooxx,669,front,,Abnormal Gait,myopathic,"{'top': 111.5, 'left': 311.0, 'height': 333.3333333333333, 'width': 141.66666666666669}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
cll44a69n000z3o6l8p6gooxx,670,front,,Abnormal Gait,myopathic,"{'top': 111.375, 'left': 311.0, 'height': 334.1666666666667, 'width': 141.83333333333331}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
cll44a69n000z3o6l8p6gooxx,671,front,,Abnormal Gait,myopathic,"{'top': 111.25, 'left': 311.0, 'height': 335.0, 'width': 142.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
cll44a69n000z3o6l8p6gooxx,672,front,,Abnormal Gait,myopathic,"{'top': 111.125, 'left': 311.0, 'height': 335.8333333333333, 'width': 142.16666666666669}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
cll44a69n000z3o6l8p6gooxx,673,front,,Abnormal Gait,myopathic,"{'top': 111.0, 'left': 311.0, 'height': 336.6666666666667, 'width': 142.33333333333331}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
cll44a69n000z3o6l8p6gooxx,674,front,,Abnormal Gait,myopathic,"{'top': 110.875, 'left': 311.0, 'height': 337.5, 'width': 142.5}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
cll44a69n000z3o6l8p6gooxx,675,front,,Abnormal Gait,myopathic,"{'top': 110.75, 'left': 311.0, 'height': 338.3333333333333, 'width': 142.66666666666669}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
cll44a69n000z3o6l8p6gooxx,676,front,,Abnormal Gait,myopathic,"{'top': 110.625, 'left': 311.0, 'height': 339.1666666666667, 'width': 142.83333333333331}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
cll44a69n000z3o6l8p6gooxx,677,front,,Abnormal Gait,myopathic,"{'top': 110.5, 'left': 311.0, 'height': 340.0, 'width': 143.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
cll44a69n000z3o6l8p6gooxx,678,front,,Abnormal Gait,myopathic,"{'top': 110.375, 'left': 311.0, 'height': 340.8333333333333, 'width': 143.16666666666669}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
cll44a69n000z3o6l8p6gooxx,679,front,,Abnormal Gait,myopathic,"{'top': 110.25, 'left': 311.0, 'height': 341.6666666666667, 'width': 143.33333333333331}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
cll44a69n000z3o6l8p6gooxx,680,front,,Abnormal Gait,myopathic,"{'top': 110.125, 'left': 311.0, 'height': 342.5, 'width': 143.5}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
cll44a69n000z3o6l8p6gooxx,681,front,,Abnormal Gait,myopathic,"{'top': 110.0, 'left': 311.0, 'height': 343.3333333333333, 'width': 143.66666666666669}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
cll44a69n000z3o6l8p6gooxx,682,front,,Abnormal Gait,myopathic,"{'top': 109.875, 'left': 311.0, 'height': 344.1666666666667, 'width': 143.83333333333331}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
cll44a69n000z3o6l8p6gooxx,683,front,,Abnormal Gait,myopathic,"{'top': 109.75, 'left': 311.0, 'height': 345.0, 'width': 144.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
cll44a69n000z3o6l8p6gooxx,684,front,,Abnormal Gait,myopathic,"{'top': 109.625, 'left': 311.0, 'height': 345.8333333333333, 'width': 144.16666666666669}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
cll44a69n000z3o6l8p6gooxx,685,front,,Abnormal Gait,myopathic,"{'top': 109.5, 'left': 311.0, 'height': 346.6666666666667, 'width': 144.33333333333331}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
cll44a69n000z3o6l8p6gooxx,686,front,,Abnormal Gait,myopathic,"{'top': 109.375, 'left': 311.0, 'height': 347.5, 'width': 144.5}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
cll44a69n000z3o6l8p6gooxx,687,front,,Abnormal Gait,myopathic,"{'top': 109.25, 'left': 311.0, 'height': 348.3333333333333, 'width': 144.66666666666669}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
cll44a69n000z3o6l8p6gooxx,688,front,,Abnormal Gait,myopathic,"{'top': 109.125, 'left': 311.0, 'height': 349.1666666666667, 'width': 144.83333333333331}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
