seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cll44e48l00233o6lu0msccp4,2614,right side,,Abnormal Gait,myopathic,"{'top': 79.0, 'left': 0.0, 'height': 339.0, 'width': 136.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
cll44e48l00233o6lu0msccp4,2615,right side,,Abnormal Gait,myopathic,"{'top': 78.0, 'left': 0.0, 'height': 339.0, 'width': 136.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
cll44e48l00233o6lu0msccp4,2616,right side,,Abnormal Gait,myopathic,"{'top': 77.0, 'left': 0.0, 'height': 339.0, 'width': 136.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
cll44e48l00233o6lu0msccp4,2617,right side,,Abnormal Gait,myopathic,"{'top': 79.75, 'left': 0.0, 'height': 339.0, 'width': 136.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
cll44e48l00233o6lu0msccp4,2618,right side,,Abnormal Gait,myopathic,"{'top': 82.5, 'left': 0.0, 'height': 339.0, 'width': 136.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
cll44e48l00233o6lu0msccp4,2619,right side,,Abnormal Gait,myopathic,"{'top': 85.25, 'left': 0.0, 'height': 339.0, 'width': 136.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
cll44e48l00233o6lu0msccp4,2620,right side,,Abnormal Gait,myopathic,"{'top': 88.0, 'left': 0.0, 'height': 339.0, 'width': 136.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
cll44e48l00233o6lu0msccp4,2621,right side,,Abnormal Gait,myopathic,"{'top': 87.75, 'left': 0.0, 'height': 341.25, 'width': 141.5}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
cll44e48l00233o6lu0msccp4,2622,right side,,Abnormal Gait,myopathic,"{'top': 87.5, 'left': 0.0, 'height': 343.5, 'width': 147.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
cll44e48l00233o6lu0msccp4,2623,right side,,Abnormal Gait,myopathic,"{'top': 87.25, 'left': 0.0, 'height': 345.75, 'width': 152.5}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
cll44e48l00233o6lu0msccp4,2624,right side,,Abnormal Gait,myopathic,"{'top': 87.0, 'left': 0.0, 'height': 348.0, 'width': 158.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
cll44e48l00233o6lu0msccp4,2625,right side,,Abnormal Gait,myopathic,"{'top': 86.66666666666667, 'left': 0.0, 'height': 350.3333333333333, 'width': 163.66666666666666}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
cll44e48l00233o6lu0msccp4,2626,right side,,Abnormal Gait,myopathic,"{'top': 86.33333333333333, 'left': 0.0, 'height': 352.6666666666667, 'width': 169.33333333333334}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
cll44e48l00233o6lu0msccp4,2627,right side,,Abnormal Gait,myopathic,"{'top': 86.0, 'left': 0.0, 'height': 355.0, 'width': 175.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
cll44e48l00233o6lu0msccp4,2628,right side,,Abnormal Gait,myopathic,"{'top': 85.83333333333333, 'left': 5.833333333333333, 'height': 355.1666666666667, 'width': 179.5}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
cll44e48l00233o6lu0msccp4,2629,right side,,Abnormal Gait,myopathic,"{'top': 85.66666666666667, 'left': 11.666666666666666, 'height': 355.3333333333333, 'width': 184.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
cll44e48l00233o6lu0msccp4,2630,right side,,Abnormal Gait,myopathic,"{'top': 85.5, 'left': 17.5, 'height': 355.5, 'width': 188.5}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
cll44e48l00233o6lu0msccp4,2631,right side,,Abnormal Gait,myopathic,"{'top': 85.33333333333333, 'left': 23.333333333333332, 'height': 355.6666666666667, 'width': 192.99999999999997}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
cll44e48l00233o6lu0msccp4,2632,right side,,Abnormal Gait,myopathic,"{'top': 85.16666666666667, 'left': 29.166666666666668, 'height': 355.8333333333333, 'width': 197.50000000000003}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
cll44e48l00233o6lu0msccp4,2633,right side,,Abnormal Gait,myopathic,"{'top': 85.0, 'left': 35.0, 'height': 356.0, 'width': 202.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
cll44e48l00233o6lu0msccp4,2634,right side,,Abnormal Gait,myopathic,"{'top': 84.8076923076923, 'left': 38.80769230769231, 'height': 355.96153846153845, 'width': 203.4230769230769}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
cll44e48l00233o6lu0msccp4,2635,right side,,Abnormal Gait,myopathic,"{'top': 84.61538461538461, 'left': 42.61538461538461, 'height': 355.9230769230769, 'width': 204.84615384615384}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
cll44e48l00233o6lu0msccp4,2636,right side,,Abnormal Gait,myopathic,"{'top': 84.42307692307692, 'left': 46.42307692307692, 'height': 355.8846153846154, 'width': 206.26923076923077}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
cll44e48l00233o6lu0msccp4,2637,right side,,Abnormal Gait,myopathic,"{'top': 84.23076923076923, 'left': 50.23076923076923, 'height': 355.84615384615387, 'width': 207.69230769230768}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
cll44e48l00233o6lu0msccp4,2638,right side,,Abnormal Gait,myopathic,"{'top': 84.03846153846153, 'left': 54.03846153846154, 'height': 355.8076923076923, 'width': 209.11538461538458}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
cll44e48l00233o6lu0msccp4,2639,right side,,Abnormal Gait,myopathic,"{'top': 83.84615384615384, 'left': 57.84615384615385, 'height': 355.76923076923083, 'width': 210.53846153846152}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
cll44e48l00233o6lu0msccp4,2640,right side,,Abnormal Gait,myopathic,"{'top': 83.65384615384616, 'left': 61.65384615384615, 'height': 355.73076923076917, 'width': 211.96153846153848}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
