seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cll74iurd000n3o6l11c4d3dr,1,left side,,Abnormal Gait,myopathic,"{'top': 84.0, 'left': 702.0, 'height': 332.0, 'width': 120.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",IdAdpZaTWjU,https://www.youtube.com/watch?v=IdAdpZaTWjU
cll74iurd000n3o6l11c4d3dr,2,left side,,Abnormal Gait,myopathic,"{'top': 84.125, 'left': 698.75, 'height': 332.0, 'width': 127.125}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",IdAdpZaTWjU,https://www.youtube.com/watch?v=IdAdpZaTWjU
cll74iurd000n3o6l11c4d3dr,3,left side,,Abnormal Gait,myopathic,"{'top': 84.25, 'left': 695.5, 'height': 332.0, 'width': 134.25}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",IdAdpZaTWjU,https://www.youtube.com/watch?v=IdAdpZaTWjU
cll74iurd000n3o6l11c4d3dr,4,left side,,Abnormal Gait,myopathic,"{'top': 84.375, 'left': 692.25, 'height': 332.0, 'width': 141.375}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",IdAdpZaTWjU,https://www.youtube.com/watch?v=IdAdpZaTWjU
cll74iurd000n3o6l11c4d3dr,5,left side,,Abnormal Gait,myopathic,"{'top': 84.5, 'left': 689.0, 'height': 332.0, 'width': 148.5}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",IdAdpZaTWjU,https://www.youtube.com/watch?v=IdAdpZaTWjU
cll74iurd000n3o6l11c4d3dr,6,left side,,Abnormal Gait,myopathic,"{'top': 84.625, 'left': 685.75, 'height': 332.0, 'width': 155.625}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",IdAdpZaTWjU,https://www.youtube.com/watch?v=IdAdpZaTWjU
cll74iurd000n3o6l11c4d3dr,7,left side,,Abnormal Gait,myopathic,"{'top': 84.75, 'left': 682.5, 'height': 332.0, 'width': 162.75}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",IdAdpZaTWjU,https://www.youtube.com/watch?v=IdAdpZaTWjU
cll74iurd000n3o6l11c4d3dr,8,left side,,Abnormal Gait,myopathic,"{'top': 84.875, 'left': 679.25, 'height': 332.0, 'width': 169.875}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",IdAdpZaTWjU,https://www.youtube.com/watch?v=IdAdpZaTWjU
cll74iurd000n3o6l11c4d3dr,9,left side,,Abnormal Gait,myopathic,"{'top': 85.0, 'left': 676.0, 'height': 332.0, 'width': 177.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",IdAdpZaTWjU,https://www.youtube.com/watch?v=IdAdpZaTWjU
cll74iurd000n3o6l11c4d3dr,10,left side,,Abnormal Gait,myopathic,"{'top': 85.25, 'left': 676.25, 'height': 332.0, 'width': 176.83333333333337}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",IdAdpZaTWjU,https://www.youtube.com/watch?v=IdAdpZaTWjU
