seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cll74jg80000r3o6liy3ptuv8,195,front,,Abnormal Gait,myopathic,"{'top': 89.0, 'left': 343.0, 'height': 316.0, 'width': 127.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",IdAdpZaTWjU,https://www.youtube.com/watch?v=IdAdpZaTWjU
cll74jg80000r3o6liy3ptuv8,196,front,,Abnormal Gait,myopathic,"{'top': 88.46268656716418, 'left': 343.1940298507463, 'height': 317.6567164179104, 'width': 127.73134328358208}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",IdAdpZaTWjU,https://www.youtube.com/watch?v=IdAdpZaTWjU
cll74jg80000r3o6liy3ptuv8,197,front,,Abnormal Gait,myopathic,"{'top': 87.92537313432835, 'left': 343.3880597014925, 'height': 319.3134328358209, 'width': 128.4626865671642}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",IdAdpZaTWjU,https://www.youtube.com/watch?v=IdAdpZaTWjU
cll74jg80000r3o6liy3ptuv8,198,front,,Abnormal Gait,myopathic,"{'top': 87.38805970149254, 'left': 343.5820895522388, 'height': 320.97014925373134, 'width': 129.1940298507463}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",IdAdpZaTWjU,https://www.youtube.com/watch?v=IdAdpZaTWjU
cll74jg80000r3o6liy3ptuv8,199,front,,Abnormal Gait,myopathic,"{'top': 86.85074626865672, 'left': 343.7761194029851, 'height': 322.6268656716418, 'width': 129.9253731343283}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",IdAdpZaTWjU,https://www.youtube.com/watch?v=IdAdpZaTWjU
cll74jg80000r3o6liy3ptuv8,200,front,,Abnormal Gait,myopathic,"{'top': 86.31343283582089, 'left': 343.97014925373134, 'height': 324.2835820895522, 'width': 130.65671641791045}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",IdAdpZaTWjU,https://www.youtube.com/watch?v=IdAdpZaTWjU
cll74jg80000r3o6liy3ptuv8,201,front,,Abnormal Gait,myopathic,"{'top': 85.77611940298507, 'left': 344.1641791044776, 'height': 325.94029850746267, 'width': 131.38805970149252}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",IdAdpZaTWjU,https://www.youtube.com/watch?v=IdAdpZaTWjU
cll74jg80000r3o6liy3ptuv8,202,front,,Abnormal Gait,myopathic,"{'top': 85.23880597014926, 'left': 344.35820895522386, 'height': 327.5970149253731, 'width': 132.11940298507466}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",IdAdpZaTWjU,https://www.youtube.com/watch?v=IdAdpZaTWjU
cll74jg80000r3o6liy3ptuv8,203,front,,Abnormal Gait,myopathic,"{'top': 84.70149253731343, 'left': 344.55223880597015, 'height': 329.2537313432836, 'width': 132.85074626865674}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",IdAdpZaTWjU,https://www.youtube.com/watch?v=IdAdpZaTWjU
cll74jg80000r3o6liy3ptuv8,204,front,,Abnormal Gait,myopathic,"{'top': 84.16417910447761, 'left': 344.74626865671644, 'height': 330.910447761194, 'width': 133.5820895522388}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",IdAdpZaTWjU,https://www.youtube.com/watch?v=IdAdpZaTWjU
cll74jg80000r3o6liy3ptuv8,205,front,,Abnormal Gait,myopathic,"{'top': 83.6268656716418, 'left': 344.94029850746267, 'height': 332.5671641791045, 'width': 134.3134328358209}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",IdAdpZaTWjU,https://www.youtube.com/watch?v=IdAdpZaTWjU
cll74jg80000r3o6liy3ptuv8,206,front,,Abnormal Gait,myopathic,"{'top': 83.08955223880596, 'left': 345.13432835820896, 'height': 334.22388059701495, 'width': 135.04477611940297}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",IdAdpZaTWjU,https://www.youtube.com/watch?v=IdAdpZaTWjU
cll74jg80000r3o6liy3ptuv8,207,front,,Abnormal Gait,myopathic,"{'top': 82.55223880597015, 'left': 345.32835820895525, 'height': 335.8805970149254, 'width': 135.77611940298505}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",IdAdpZaTWjU,https://www.youtube.com/watch?v=IdAdpZaTWjU
cll74jg80000r3o6liy3ptuv8,208,front,,Abnormal Gait,myopathic,"{'top': 82.01492537313433, 'left': 345.5223880597015, 'height': 337.53731343283584, 'width': 136.50746268656718}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",IdAdpZaTWjU,https://www.youtube.com/watch?v=IdAdpZaTWjU
cll74jg80000r3o6liy3ptuv8,209,front,,Abnormal Gait,myopathic,"{'top': 81.4776119402985, 'left': 345.7164179104478, 'height': 339.19402985074623, 'width': 137.23880597014926}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",IdAdpZaTWjU,https://www.youtube.com/watch?v=IdAdpZaTWjU
cll74jg80000r3o6liy3ptuv8,210,front,,Abnormal Gait,myopathic,"{'top': 80.94029850746269, 'left': 345.910447761194, 'height': 340.85074626865674, 'width': 137.9701492537314}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",IdAdpZaTWjU,https://www.youtube.com/watch?v=IdAdpZaTWjU
cll74jg80000r3o6liy3ptuv8,211,front,,Abnormal Gait,myopathic,"{'top': 80.40298507462687, 'left': 346.1044776119403, 'height': 342.5074626865671, 'width': 138.7014925373134}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",IdAdpZaTWjU,https://www.youtube.com/watch?v=IdAdpZaTWjU
cll74jg80000r3o6liy3ptuv8,212,front,,Abnormal Gait,myopathic,"{'top': 79.86567164179104, 'left': 346.2985074626866, 'height': 344.1641791044776, 'width': 139.4328358208955}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",IdAdpZaTWjU,https://www.youtube.com/watch?v=IdAdpZaTWjU
cll74jg80000r3o6liy3ptuv8,213,front,,Abnormal Gait,myopathic,"{'top': 79.32835820895522, 'left': 346.4925373134328, 'height': 345.820895522388, 'width': 140.16417910447763}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",IdAdpZaTWjU,https://www.youtube.com/watch?v=IdAdpZaTWjU
cll74jg80000r3o6liy3ptuv8,214,front,,Abnormal Gait,myopathic,"{'top': 78.7910447761194, 'left': 346.6865671641791, 'height': 347.4776119402985, 'width': 140.8955223880597}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",IdAdpZaTWjU,https://www.youtube.com/watch?v=IdAdpZaTWjU
cll74jg80000r3o6liy3ptuv8,215,front,,Abnormal Gait,myopathic,"{'top': 78.25373134328359, 'left': 346.8805970149254, 'height': 349.1343283582089, 'width': 141.62686567164178}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",IdAdpZaTWjU,https://www.youtube.com/watch?v=IdAdpZaTWjU
cll74jg80000r3o6liy3ptuv8,216,front,,Abnormal Gait,myopathic,"{'top': 77.71641791044776, 'left': 347.07462686567163, 'height': 350.7910447761194, 'width': 142.35820895522392}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",IdAdpZaTWjU,https://www.youtube.com/watch?v=IdAdpZaTWjU
cll74jg80000r3o6liy3ptuv8,217,front,,Abnormal Gait,myopathic,"{'top': 77.17910447761194, 'left': 347.2686567164179, 'height': 352.44776119402985, 'width': 143.08955223880594}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",IdAdpZaTWjU,https://www.youtube.com/watch?v=IdAdpZaTWjU
cll74jg80000r3o6liy3ptuv8,218,front,,Abnormal Gait,myopathic,"{'top': 76.64179104477611, 'left': 347.46268656716416, 'height': 354.1044776119403, 'width': 143.82089552238807}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",IdAdpZaTWjU,https://www.youtube.com/watch?v=IdAdpZaTWjU
cll74jg80000r3o6liy3ptuv8,219,front,,Abnormal Gait,myopathic,"{'top': 76.1044776119403, 'left': 347.65671641791045, 'height': 355.76119402985074, 'width': 144.55223880597015}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",IdAdpZaTWjU,https://www.youtube.com/watch?v=IdAdpZaTWjU
cll74jg80000r3o6liy3ptuv8,220,front,,Abnormal Gait,myopathic,"{'top': 75.56716417910448, 'left': 347.85074626865674, 'height': 357.4179104477612, 'width': 145.28358208955223}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",IdAdpZaTWjU,https://www.youtube.com/watch?v=IdAdpZaTWjU
