seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cll74mw1p001g3o6lmzp645v9,1,left side,,Abnormal Gait,myopathic,"{'top': 30.0, 'left': 680.0, 'height': 431.0, 'width': 135.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",idpMyfZB8NY,https://www.youtube.com/watch?v=idpMyfZB8NY
cll74mw1p001g3o6lmzp645v9,2,left side,,Abnormal Gait,myopathic,"{'top': 29.75, 'left': 669.25, 'height': 434.75, 'width': 152.75}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",idpMyfZB8NY,https://www.youtube.com/watch?v=idpMyfZB8NY
cll74mw1p001g3o6lmzp645v9,3,left side,,Abnormal Gait,myopathic,"{'top': 29.5, 'left': 658.5, 'height': 438.5, 'width': 170.5}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",idpMyfZB8NY,https://www.youtube.com/watch?v=idpMyfZB8NY
cll74mw1p001g3o6lmzp645v9,4,left side,,Abnormal Gait,myopathic,"{'top': 29.25, 'left': 647.75, 'height': 442.25, 'width': 188.25}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",idpMyfZB8NY,https://www.youtube.com/watch?v=idpMyfZB8NY
cll74mw1p001g3o6lmzp645v9,5,left side,,Abnormal Gait,myopathic,"{'top': 29.0, 'left': 637.0, 'height': 446.0, 'width': 206.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",idpMyfZB8NY,https://www.youtube.com/watch?v=idpMyfZB8NY
cll74mw1p001g3o6lmzp645v9,6,left side,,Abnormal Gait,myopathic,"{'top': 28.869565217391305, 'left': 632.304347826087, 'height': 446.2173913043478, 'width': 208.86956521739125}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",idpMyfZB8NY,https://www.youtube.com/watch?v=idpMyfZB8NY
cll74mw1p001g3o6lmzp645v9,7,left side,,Abnormal Gait,myopathic,"{'top': 28.73913043478261, 'left': 627.6086956521739, 'height': 446.4347826086956, 'width': 211.73913043478262}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",idpMyfZB8NY,https://www.youtube.com/watch?v=idpMyfZB8NY
cll74mw1p001g3o6lmzp645v9,8,left side,,Abnormal Gait,myopathic,"{'top': 28.608695652173914, 'left': 622.9130434782609, 'height': 446.65217391304344, 'width': 214.60869565217388}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",idpMyfZB8NY,https://www.youtube.com/watch?v=idpMyfZB8NY
cll74mw1p001g3o6lmzp645v9,9,left side,,Abnormal Gait,myopathic,"{'top': 28.47826086956522, 'left': 618.2173913043479, 'height': 446.86956521739125, 'width': 217.47826086956513}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",idpMyfZB8NY,https://www.youtube.com/watch?v=idpMyfZB8NY
cll74mw1p001g3o6lmzp645v9,10,left side,,Abnormal Gait,myopathic,"{'top': 28.347826086956523, 'left': 613.5217391304348, 'height': 447.0869565217391, 'width': 220.3478260869565}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",idpMyfZB8NY,https://www.youtube.com/watch?v=idpMyfZB8NY
cll74mw1p001g3o6lmzp645v9,11,left side,,Abnormal Gait,myopathic,"{'top': 28.217391304347828, 'left': 608.8260869565217, 'height': 447.304347826087, 'width': 223.21739130434787}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",idpMyfZB8NY,https://www.youtube.com/watch?v=idpMyfZB8NY
cll74mw1p001g3o6lmzp645v9,12,left side,,Abnormal Gait,myopathic,"{'top': 28.08695652173913, 'left': 604.1304347826087, 'height': 447.5217391304348, 'width': 226.08695652173913}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",idpMyfZB8NY,https://www.youtube.com/watch?v=idpMyfZB8NY
cll74mw1p001g3o6lmzp645v9,13,left side,,Abnormal Gait,myopathic,"{'top': 27.956521739130434, 'left': 599.4347826086956, 'height': 447.7391304347826, 'width': 228.9565217391305}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",idpMyfZB8NY,https://www.youtube.com/watch?v=idpMyfZB8NY
cll74mw1p001g3o6lmzp645v9,14,left side,,Abnormal Gait,myopathic,"{'top': 27.82608695652174, 'left': 594.7391304347826, 'height': 447.95652173913044, 'width': 231.82608695652175}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",idpMyfZB8NY,https://www.youtube.com/watch?v=idpMyfZB8NY
cll74mw1p001g3o6lmzp645v9,15,left side,,Abnormal Gait,myopathic,"{'top': 27.695652173913043, 'left': 590.0434782608696, 'height': 448.17391304347825, 'width': 234.695652173913}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",idpMyfZB8NY,https://www.youtube.com/watch?v=idpMyfZB8NY
cll74mw1p001g3o6lmzp645v9,16,left side,,Abnormal Gait,myopathic,"{'top': 27.565217391304348, 'left': 585.3478260869565, 'height': 448.39130434782606, 'width': 237.56521739130437}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",idpMyfZB8NY,https://www.youtube.com/watch?v=idpMyfZB8NY
cll74mw1p001g3o6lmzp645v9,17,left side,,Abnormal Gait,myopathic,"{'top': 27.434782608695652, 'left': 580.6521739130435, 'height': 448.60869565217394, 'width': 240.43478260869563}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",idpMyfZB8NY,https://www.youtube.com/watch?v=idpMyfZB8NY
cll74mw1p001g3o6lmzp645v9,18,left side,,Abnormal Gait,myopathic,"{'top': 27.304347826086957, 'left': 575.9565217391305, 'height': 448.82608695652175, 'width': 243.30434782608688}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",idpMyfZB8NY,https://www.youtube.com/watch?v=idpMyfZB8NY
cll74mw1p001g3o6lmzp645v9,19,left side,,Abnormal Gait,myopathic,"{'top': 27.17391304347826, 'left': 571.2608695652174, 'height': 449.04347826086956, 'width': 246.17391304347825}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",idpMyfZB8NY,https://www.youtube.com/watch?v=idpMyfZB8NY
cll74mw1p001g3o6lmzp645v9,20,left side,,Abnormal Gait,myopathic,"{'top': 27.043478260869566, 'left': 566.5652173913044, 'height': 449.2608695652174, 'width': 249.0434782608695}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",idpMyfZB8NY,https://www.youtube.com/watch?v=idpMyfZB8NY
cll74mw1p001g3o6lmzp645v9,21,left side,,Abnormal Gait,myopathic,"{'top': 26.91304347826087, 'left': 561.8695652173913, 'height': 449.4782608695652, 'width': 251.91304347826087}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",idpMyfZB8NY,https://www.youtube.com/watch?v=idpMyfZB8NY
cll74mw1p001g3o6lmzp645v9,22,left side,,Abnormal Gait,myopathic,"{'top': 26.782608695652172, 'left': 557.1739130434783, 'height': 449.695652173913, 'width': 254.78260869565224}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",idpMyfZB8NY,https://www.youtube.com/watch?v=idpMyfZB8NY
cll74mw1p001g3o6lmzp645v9,23,left side,,Abnormal Gait,myopathic,"{'top': 26.652173913043477, 'left': 552.4782608695652, 'height': 449.9130434782609, 'width': 257.6521739130435}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",idpMyfZB8NY,https://www.youtube.com/watch?v=idpMyfZB8NY
cll74mw1p001g3o6lmzp645v9,24,left side,,Abnormal Gait,myopathic,"{'top': 26.52173913043478, 'left': 547.7826086956521, 'height': 450.13043478260875, 'width': 260.52173913043487}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",idpMyfZB8NY,https://www.youtube.com/watch?v=idpMyfZB8NY
cll74mw1p001g3o6lmzp645v9,25,left side,,Abnormal Gait,myopathic,"{'top': 26.391304347826086, 'left': 543.0869565217391, 'height': 450.34782608695656, 'width': 263.3913043478261}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",idpMyfZB8NY,https://www.youtube.com/watch?v=idpMyfZB8NY
cll74mw1p001g3o6lmzp645v9,26,left side,,Abnormal Gait,myopathic,"{'top': 26.26086956521739, 'left': 538.3913043478261, 'height': 450.5652173913044, 'width': 266.2608695652174}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",idpMyfZB8NY,https://www.youtube.com/watch?v=idpMyfZB8NY
cll74mw1p001g3o6lmzp645v9,27,left side,,Abnormal Gait,myopathic,"{'top': 26.130434782608695, 'left': 533.695652173913, 'height': 450.7826086956522, 'width': 269.13043478260875}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",idpMyfZB8NY,https://www.youtube.com/watch?v=idpMyfZB8NY
cll74mw1p001g3o6lmzp645v9,28,left side,,Abnormal Gait,myopathic,"{'top': 26.0, 'left': 529.0, 'height': 451.0, 'width': 272.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",idpMyfZB8NY,https://www.youtube.com/watch?v=idpMyfZB8NY
cll74mw1p001g3o6lmzp645v9,29,left side,,Abnormal Gait,myopathic,"{'top': 25.76, 'left': 524.64, 'height': 451.36, 'width': 275.48}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",idpMyfZB8NY,https://www.youtube.com/watch?v=idpMyfZB8NY
cll74mw1p001g3o6lmzp645v9,30,left side,,Abnormal Gait,myopathic,"{'top': 25.52, 'left': 520.28, 'height': 451.72, 'width': 278.96000000000004}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",idpMyfZB8NY,https://www.youtube.com/watch?v=idpMyfZB8NY
cll74mw1p001g3o6lmzp645v9,31,left side,,Abnormal Gait,myopathic,"{'top': 25.28, 'left': 515.92, 'height': 452.08000000000004, 'width': 282.44000000000005}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",idpMyfZB8NY,https://www.youtube.com/watch?v=idpMyfZB8NY
cll74mw1p001g3o6lmzp645v9,32,left side,,Abnormal Gait,myopathic,"{'top': 25.04, 'left': 511.56, 'height': 452.44, 'width': 285.92}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",idpMyfZB8NY,https://www.youtube.com/watch?v=idpMyfZB8NY
cll74mw1p001g3o6lmzp645v9,33,left side,,Abnormal Gait,myopathic,"{'top': 24.8, 'left': 507.2, 'height': 452.8, 'width': 289.40000000000003}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",idpMyfZB8NY,https://www.youtube.com/watch?v=idpMyfZB8NY
cll74mw1p001g3o6lmzp645v9,34,left side,,Abnormal Gait,myopathic,"{'top': 24.56, 'left': 502.84, 'height': 453.16, 'width': 292.88000000000005}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",idpMyfZB8NY,https://www.youtube.com/watch?v=idpMyfZB8NY
cll74mw1p001g3o6lmzp645v9,35,left side,,Abnormal Gait,myopathic,"{'top': 24.32, 'left': 498.48, 'height': 453.52, 'width': 296.36}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",idpMyfZB8NY,https://www.youtube.com/watch?v=idpMyfZB8NY
cll74mw1p001g3o6lmzp645v9,36,left side,,Abnormal Gait,myopathic,"{'top': 24.08, 'left': 494.12, 'height': 453.88, 'width': 299.84000000000003}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",idpMyfZB8NY,https://www.youtube.com/watch?v=idpMyfZB8NY
cll74mw1p001g3o6lmzp645v9,37,left side,,Abnormal Gait,myopathic,"{'top': 23.84, 'left': 489.76, 'height': 454.24, 'width': 303.32000000000005}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",idpMyfZB8NY,https://www.youtube.com/watch?v=idpMyfZB8NY
cll74mw1p001g3o6lmzp645v9,38,left side,,Abnormal Gait,myopathic,"{'top': 23.6, 'left': 485.4, 'height': 454.59999999999997, 'width': 306.80000000000007}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",idpMyfZB8NY,https://www.youtube.com/watch?v=idpMyfZB8NY
cll74mw1p001g3o6lmzp645v9,39,left side,,Abnormal Gait,myopathic,"{'top': 23.36, 'left': 481.04, 'height': 454.96, 'width': 310.28000000000003}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",idpMyfZB8NY,https://www.youtube.com/watch?v=idpMyfZB8NY
cll74mw1p001g3o6lmzp645v9,40,left side,,Abnormal Gait,myopathic,"{'top': 23.12, 'left': 476.68, 'height': 455.32, 'width': 313.76000000000005}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",idpMyfZB8NY,https://www.youtube.com/watch?v=idpMyfZB8NY
cll74mw1p001g3o6lmzp645v9,41,left side,,Abnormal Gait,myopathic,"{'top': 22.88, 'left': 472.32, 'height': 455.68, 'width': 317.23999999999995}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",idpMyfZB8NY,https://www.youtube.com/watch?v=idpMyfZB8NY
cll74mw1p001g3o6lmzp645v9,42,left side,,Abnormal Gait,myopathic,"{'top': 22.64, 'left': 467.96, 'height': 456.04, 'width': 320.71999999999997}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",idpMyfZB8NY,https://www.youtube.com/watch?v=idpMyfZB8NY
cll74mw1p001g3o6lmzp645v9,43,left side,,Abnormal Gait,myopathic,"{'top': 22.4, 'left': 463.6, 'height': 456.40000000000003, 'width': 324.19999999999993}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",idpMyfZB8NY,https://www.youtube.com/watch?v=idpMyfZB8NY
cll74mw1p001g3o6lmzp645v9,44,left side,,Abnormal Gait,myopathic,"{'top': 22.16, 'left': 459.24, 'height': 456.76, 'width': 327.67999999999995}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",idpMyfZB8NY,https://www.youtube.com/watch?v=idpMyfZB8NY
cll74mw1p001g3o6lmzp645v9,45,left side,,Abnormal Gait,myopathic,"{'top': 21.92, 'left': 454.88, 'height': 457.12, 'width': 331.15999999999997}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",idpMyfZB8NY,https://www.youtube.com/watch?v=idpMyfZB8NY
cll74mw1p001g3o6lmzp645v9,46,left side,,Abnormal Gait,myopathic,"{'top': 21.68, 'left': 450.52, 'height': 457.48, 'width': 334.64}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",idpMyfZB8NY,https://www.youtube.com/watch?v=idpMyfZB8NY
cll74mw1p001g3o6lmzp645v9,47,left side,,Abnormal Gait,myopathic,"{'top': 21.439999999999998, 'left': 446.15999999999997, 'height': 457.84, 'width': 338.12}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",idpMyfZB8NY,https://www.youtube.com/watch?v=idpMyfZB8NY
cll74mw1p001g3o6lmzp645v9,48,left side,,Abnormal Gait,myopathic,"{'top': 21.2, 'left': 441.8, 'height': 458.2, 'width': 341.59999999999997}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",idpMyfZB8NY,https://www.youtube.com/watch?v=idpMyfZB8NY
cll74mw1p001g3o6lmzp645v9,49,left side,,Abnormal Gait,myopathic,"{'top': 20.96, 'left': 437.44, 'height': 458.56, 'width': 345.08}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",idpMyfZB8NY,https://www.youtube.com/watch?v=idpMyfZB8NY
cll74mw1p001g3o6lmzp645v9,50,left side,,Abnormal Gait,myopathic,"{'top': 20.72, 'left': 433.08, 'height': 458.91999999999996, 'width': 348.56}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",idpMyfZB8NY,https://www.youtube.com/watch?v=idpMyfZB8NY
cll74mw1p001g3o6lmzp645v9,51,left side,,Abnormal Gait,myopathic,"{'top': 20.48, 'left': 428.72, 'height': 459.28, 'width': 352.03999999999996}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",idpMyfZB8NY,https://www.youtube.com/watch?v=idpMyfZB8NY
cll74mw1p001g3o6lmzp645v9,52,left side,,Abnormal Gait,myopathic,"{'top': 20.240000000000002, 'left': 424.36, 'height': 459.64, 'width': 355.52}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",idpMyfZB8NY,https://www.youtube.com/watch?v=idpMyfZB8NY
cll74mw1p001g3o6lmzp645v9,53,left side,,Abnormal Gait,myopathic,"{'top': 20.0, 'left': 420.0, 'height': 460.0, 'width': 359.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",idpMyfZB8NY,https://www.youtube.com/watch?v=idpMyfZB8NY
cll74mw1p001g3o6lmzp645v9,54,left side,,Abnormal Gait,myopathic,"{'top': 19.74074074074074, 'left': 414.48148148148147, 'height': 460.25925925925924, 'width': 358.70370370370375}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",idpMyfZB8NY,https://www.youtube.com/watch?v=idpMyfZB8NY
cll74mw1p001g3o6lmzp645v9,55,left side,,Abnormal Gait,myopathic,"{'top': 19.48148148148148, 'left': 408.962962962963, 'height': 460.51851851851853, 'width': 358.40740740740733}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",idpMyfZB8NY,https://www.youtube.com/watch?v=idpMyfZB8NY
cll74mw1p001g3o6lmzp645v9,56,left side,,Abnormal Gait,myopathic,"{'top': 19.22222222222222, 'left': 403.44444444444446, 'height': 460.77777777777777, 'width': 358.1111111111111}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",idpMyfZB8NY,https://www.youtube.com/watch?v=idpMyfZB8NY
cll74mw1p001g3o6lmzp645v9,57,left side,,Abnormal Gait,myopathic,"{'top': 18.962962962962962, 'left': 397.9259259259259, 'height': 461.03703703703707, 'width': 357.81481481481484}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",idpMyfZB8NY,https://www.youtube.com/watch?v=idpMyfZB8NY
cll74mw1p001g3o6lmzp645v9,58,left side,,Abnormal Gait,myopathic,"{'top': 18.703703703703702, 'left': 392.4074074074074, 'height': 461.2962962962963, 'width': 357.5185185185186}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",idpMyfZB8NY,https://www.youtube.com/watch?v=idpMyfZB8NY
cll74mw1p001g3o6lmzp645v9,59,left side,,Abnormal Gait,myopathic,"{'top': 18.444444444444443, 'left': 386.8888888888889, 'height': 461.55555555555554, 'width': 357.2222222222222}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",idpMyfZB8NY,https://www.youtube.com/watch?v=idpMyfZB8NY
cll74mw1p001g3o6lmzp645v9,60,left side,,Abnormal Gait,myopathic,"{'top': 18.185185185185187, 'left': 381.3703703703704, 'height': 461.81481481481484, 'width': 356.9259259259259}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",idpMyfZB8NY,https://www.youtube.com/watch?v=idpMyfZB8NY
cll74mw1p001g3o6lmzp645v9,61,left side,,Abnormal Gait,myopathic,"{'top': 17.925925925925927, 'left': 375.85185185185185, 'height': 462.0740740740741, 'width': 356.6296296296297}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",idpMyfZB8NY,https://www.youtube.com/watch?v=idpMyfZB8NY
cll74mw1p001g3o6lmzp645v9,62,left side,,Abnormal Gait,myopathic,"{'top': 17.666666666666668, 'left': 370.3333333333333, 'height': 462.3333333333333, 'width': 356.3333333333333}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",idpMyfZB8NY,https://www.youtube.com/watch?v=idpMyfZB8NY
cll74mw1p001g3o6lmzp645v9,63,left side,,Abnormal Gait,myopathic,"{'top': 17.40740740740741, 'left': 364.81481481481484, 'height': 462.5925925925926, 'width': 356.037037037037}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",idpMyfZB8NY,https://www.youtube.com/watch?v=idpMyfZB8NY
cll74mw1p001g3o6lmzp645v9,64,left side,,Abnormal Gait,myopathic,"{'top': 17.14814814814815, 'left': 359.2962962962963, 'height': 462.85185185185185, 'width': 355.74074074074076}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",idpMyfZB8NY,https://www.youtube.com/watch?v=idpMyfZB8NY
cll74mw1p001g3o6lmzp645v9,65,left side,,Abnormal Gait,myopathic,"{'top': 16.88888888888889, 'left': 353.77777777777777, 'height': 463.1111111111111, 'width': 355.4444444444444}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",idpMyfZB8NY,https://www.youtube.com/watch?v=idpMyfZB8NY
cll74mw1p001g3o6lmzp645v9,66,left side,,Abnormal Gait,myopathic,"{'top': 16.62962962962963, 'left': 348.25925925925924, 'height': 463.3703703703704, 'width': 355.14814814814815}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",idpMyfZB8NY,https://www.youtube.com/watch?v=idpMyfZB8NY
cll74mw1p001g3o6lmzp645v9,67,left side,,Abnormal Gait,myopathic,"{'top': 16.37037037037037, 'left': 342.74074074074076, 'height': 463.6296296296296, 'width': 354.85185185185185}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",idpMyfZB8NY,https://www.youtube.com/watch?v=idpMyfZB8NY
cll74mw1p001g3o6lmzp645v9,68,left side,,Abnormal Gait,myopathic,"{'top': 16.11111111111111, 'left': 337.22222222222223, 'height': 463.8888888888889, 'width': 354.5555555555556}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",idpMyfZB8NY,https://www.youtube.com/watch?v=idpMyfZB8NY
cll74mw1p001g3o6lmzp645v9,69,left side,,Abnormal Gait,myopathic,"{'top': 15.851851851851851, 'left': 331.7037037037037, 'height': 464.14814814814815, 'width': 354.25925925925924}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",idpMyfZB8NY,https://www.youtube.com/watch?v=idpMyfZB8NY
cll74mw1p001g3o6lmzp645v9,70,left side,,Abnormal Gait,myopathic,"{'top': 15.592592592592592, 'left': 326.18518518518516, 'height': 464.4074074074074, 'width': 353.962962962963}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",idpMyfZB8NY,https://www.youtube.com/watch?v=idpMyfZB8NY
cll74mw1p001g3o6lmzp645v9,71,left side,,Abnormal Gait,myopathic,"{'top': 15.333333333333334, 'left': 320.6666666666667, 'height': 464.6666666666667, 'width': 353.6666666666667}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",idpMyfZB8NY,https://www.youtube.com/watch?v=idpMyfZB8NY
cll74mw1p001g3o6lmzp645v9,72,left side,,Abnormal Gait,myopathic,"{'top': 15.074074074074074, 'left': 315.14814814814815, 'height': 464.9259259259259, 'width': 353.3703703703703}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",idpMyfZB8NY,https://www.youtube.com/watch?v=idpMyfZB8NY
cll74mw1p001g3o6lmzp645v9,73,left side,,Abnormal Gait,myopathic,"{'top': 14.814814814814815, 'left': 309.6296296296296, 'height': 465.18518518518516, 'width': 353.0740740740741}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",idpMyfZB8NY,https://www.youtube.com/watch?v=idpMyfZB8NY
