seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cll74pdep00203o6l8m5f1a7p,626,right side,,Abnormal Gait,myopathic,"{'top': 68.0, 'left': 0.0, 'height': 333.0, 'width': 97.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",idpMyfZB8NY,https://www.youtube.com/watch?v=idpMyfZB8NY
cll74pdep00203o6l8m5f1a7p,627,right side,,Abnormal Gait,myopathic,"{'top': 68.0, 'left': 0.0, 'height': 333.0, 'width': 121.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",idpMyfZB8NY,https://www.youtube.com/watch?v=idpMyfZB8NY
cll74pdep00203o6l8m5f1a7p,628,right side,,Abnormal Gait,myopathic,"{'top': 68.0, 'left': 0.0, 'height': 333.0, 'width': 145.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",idpMyfZB8NY,https://www.youtube.com/watch?v=idpMyfZB8NY
cll74pdep00203o6l8m5f1a7p,629,right side,,Abnormal Gait,myopathic,"{'top': 68.0, 'left': 0.0, 'height': 333.0, 'width': 169.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",idpMyfZB8NY,https://www.youtube.com/watch?v=idpMyfZB8NY
cll74pdep00203o6l8m5f1a7p,630,right side,,Abnormal Gait,myopathic,"{'top': 67.75, 'left': 0.0, 'height': 334.25, 'width': 174.75}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",idpMyfZB8NY,https://www.youtube.com/watch?v=idpMyfZB8NY
cll74pdep00203o6l8m5f1a7p,631,right side,,Abnormal Gait,myopathic,"{'top': 67.5, 'left': 0.0, 'height': 335.5, 'width': 180.5}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",idpMyfZB8NY,https://www.youtube.com/watch?v=idpMyfZB8NY
cll74pdep00203o6l8m5f1a7p,632,right side,,Abnormal Gait,myopathic,"{'top': 67.25, 'left': 0.0, 'height': 336.75, 'width': 186.25}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",idpMyfZB8NY,https://www.youtube.com/watch?v=idpMyfZB8NY
cll74pdep00203o6l8m5f1a7p,633,right side,,Abnormal Gait,myopathic,"{'top': 67.0, 'left': 0.0, 'height': 338.0, 'width': 192.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",idpMyfZB8NY,https://www.youtube.com/watch?v=idpMyfZB8NY
cll74pdep00203o6l8m5f1a7p,634,right side,,Abnormal Gait,myopathic,"{'top': 67.0, 'left': 0.0, 'height': 338.6666666666667, 'width': 197.66666666666666}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",idpMyfZB8NY,https://www.youtube.com/watch?v=idpMyfZB8NY
cll74pdep00203o6l8m5f1a7p,635,right side,,Abnormal Gait,myopathic,"{'top': 67.0, 'left': 0.0, 'height': 339.3333333333333, 'width': 203.33333333333334}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",idpMyfZB8NY,https://www.youtube.com/watch?v=idpMyfZB8NY
