seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cll74rnnc002k3o6lgyr24huh,1298,left side,,Abnormal Gait,myopathic,"{'top': 78.0, 'left': 660.0, 'height': 329.0, 'width': 139.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",idpMyfZB8NY,https://www.youtube.com/watch?v=idpMyfZB8NY
cll74rnnc002k3o6lgyr24huh,1299,left side,,Abnormal Gait,myopathic,"{'top': 78.0, 'left': 655.7777777777778, 'height': 330.55555555555554, 'width': 146.77777777777771}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",idpMyfZB8NY,https://www.youtube.com/watch?v=idpMyfZB8NY
cll74rnnc002k3o6lgyr24huh,1300,left side,,Abnormal Gait,myopathic,"{'top': 78.0, 'left': 651.5555555555555, 'height': 332.1111111111111, 'width': 154.55555555555554}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",idpMyfZB8NY,https://www.youtube.com/watch?v=idpMyfZB8NY
cll74rnnc002k3o6lgyr24huh,1301,left side,,Abnormal Gait,myopathic,"{'top': 78.0, 'left': 647.3333333333334, 'height': 333.6666666666667, 'width': 162.33333333333326}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",idpMyfZB8NY,https://www.youtube.com/watch?v=idpMyfZB8NY
cll74rnnc002k3o6lgyr24huh,1302,left side,,Abnormal Gait,myopathic,"{'top': 78.0, 'left': 643.1111111111111, 'height': 335.22222222222223, 'width': 170.1111111111111}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",idpMyfZB8NY,https://www.youtube.com/watch?v=idpMyfZB8NY
cll74rnnc002k3o6lgyr24huh,1303,left side,,Abnormal Gait,myopathic,"{'top': 78.0, 'left': 638.8888888888889, 'height': 336.77777777777777, 'width': 177.8888888888889}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",idpMyfZB8NY,https://www.youtube.com/watch?v=idpMyfZB8NY
cll74rnnc002k3o6lgyr24huh,1304,left side,,Abnormal Gait,myopathic,"{'top': 78.0, 'left': 634.6666666666666, 'height': 338.3333333333333, 'width': 185.66666666666674}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",idpMyfZB8NY,https://www.youtube.com/watch?v=idpMyfZB8NY
cll74rnnc002k3o6lgyr24huh,1305,left side,,Abnormal Gait,myopathic,"{'top': 78.0, 'left': 630.4444444444445, 'height': 339.8888888888889, 'width': 193.44444444444446}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",idpMyfZB8NY,https://www.youtube.com/watch?v=idpMyfZB8NY
cll74rnnc002k3o6lgyr24huh,1306,left side,,Abnormal Gait,myopathic,"{'top': 78.0, 'left': 626.2222222222222, 'height': 341.44444444444446, 'width': 201.22222222222229}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",idpMyfZB8NY,https://www.youtube.com/watch?v=idpMyfZB8NY
cll74rnnc002k3o6lgyr24huh,1307,left side,,Abnormal Gait,myopathic,"{'top': 78.0, 'left': 622.0, 'height': 343.0, 'width': 209.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",idpMyfZB8NY,https://www.youtube.com/watch?v=idpMyfZB8NY
