seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cll7b0ogn00093o6lkoze3mta,2777,right side,,Abnormal Gait,myopathic,"{'top': 27.0, 'left': 190.0, 'height': 413.0, 'width': 148.0}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",IuEeKzqsfmk,https://www.youtube.com/watch?v=IuEeKzqsfmk
cll7b0ogn00093o6lkoze3mta,2778,right side,,Abnormal Gait,myopathic,"{'top': 26.857142857142858, 'left': 189.57142857142858, 'height': 414.7142857142857, 'width': 150.7142857142857}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",IuEeKzqsfmk,https://www.youtube.com/watch?v=IuEeKzqsfmk
cll7b0ogn00093o6lkoze3mta,2779,right side,,Abnormal Gait,myopathic,"{'top': 26.714285714285715, 'left': 189.14285714285714, 'height': 416.42857142857144, 'width': 153.42857142857142}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",IuEeKzqsfmk,https://www.youtube.com/watch?v=IuEeKzqsfmk
cll7b0ogn00093o6lkoze3mta,2780,right side,,Abnormal Gait,myopathic,"{'top': 26.571428571428573, 'left': 188.71428571428572, 'height': 418.14285714285717, 'width': 156.1428571428571}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",IuEeKzqsfmk,https://www.youtube.com/watch?v=IuEeKzqsfmk
cll7b0ogn00093o6lkoze3mta,2781,right side,,Abnormal Gait,myopathic,"{'top': 26.428571428571427, 'left': 188.28571428571428, 'height': 419.85714285714283, 'width': 158.8571428571429}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",IuEeKzqsfmk,https://www.youtube.com/watch?v=IuEeKzqsfmk
cll7b0ogn00093o6lkoze3mta,2782,right side,,Abnormal Gait,myopathic,"{'top': 26.285714285714285, 'left': 187.85714285714286, 'height': 421.57142857142856, 'width': 161.57142857142858}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",IuEeKzqsfmk,https://www.youtube.com/watch?v=IuEeKzqsfmk
cll7b0ogn00093o6lkoze3mta,2783,right side,,Abnormal Gait,myopathic,"{'top': 26.142857142857142, 'left': 187.42857142857142, 'height': 423.2857142857143, 'width': 164.2857142857143}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",IuEeKzqsfmk,https://www.youtube.com/watch?v=IuEeKzqsfmk
cll7b0ogn00093o6lkoze3mta,2784,right side,,Abnormal Gait,myopathic,"{'top': 26.0, 'left': 187.0, 'height': 425.0, 'width': 167.0}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",IuEeKzqsfmk,https://www.youtube.com/watch?v=IuEeKzqsfmk
cll7b0ogn00093o6lkoze3mta,2785,right side,,Abnormal Gait,myopathic,"{'top': 25.9, 'left': 188.3, 'height': 425.35, 'width': 166.84999999999997}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",IuEeKzqsfmk,https://www.youtube.com/watch?v=IuEeKzqsfmk
cll7b0ogn00093o6lkoze3mta,2786,right side,,Abnormal Gait,myopathic,"{'top': 25.8, 'left': 189.6, 'height': 425.7, 'width': 166.70000000000002}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",IuEeKzqsfmk,https://www.youtube.com/watch?v=IuEeKzqsfmk
cll7b0ogn00093o6lkoze3mta,2787,right side,,Abnormal Gait,myopathic,"{'top': 25.7, 'left': 190.9, 'height': 426.05, 'width': 166.54999999999998}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",IuEeKzqsfmk,https://www.youtube.com/watch?v=IuEeKzqsfmk
cll7b0ogn00093o6lkoze3mta,2788,right side,,Abnormal Gait,myopathic,"{'top': 25.6, 'left': 192.2, 'height': 426.4, 'width': 166.40000000000003}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",IuEeKzqsfmk,https://www.youtube.com/watch?v=IuEeKzqsfmk
cll7b0ogn00093o6lkoze3mta,2789,right side,,Abnormal Gait,myopathic,"{'top': 25.5, 'left': 193.5, 'height': 426.75, 'width': 166.25}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",IuEeKzqsfmk,https://www.youtube.com/watch?v=IuEeKzqsfmk
cll7b0ogn00093o6lkoze3mta,2790,right side,,Abnormal Gait,myopathic,"{'top': 25.4, 'left': 194.8, 'height': 427.1, 'width': 166.09999999999997}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",IuEeKzqsfmk,https://www.youtube.com/watch?v=IuEeKzqsfmk
cll7b0ogn00093o6lkoze3mta,2791,right side,,Abnormal Gait,myopathic,"{'top': 25.3, 'left': 196.1, 'height': 427.45, 'width': 165.95000000000002}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",IuEeKzqsfmk,https://www.youtube.com/watch?v=IuEeKzqsfmk
cll7b0ogn00093o6lkoze3mta,2792,right side,,Abnormal Gait,myopathic,"{'top': 25.2, 'left': 197.4, 'height': 427.8, 'width': 165.79999999999998}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",IuEeKzqsfmk,https://www.youtube.com/watch?v=IuEeKzqsfmk
cll7b0ogn00093o6lkoze3mta,2793,right side,,Abnormal Gait,myopathic,"{'top': 25.1, 'left': 198.7, 'height': 428.15, 'width': 165.65000000000003}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",IuEeKzqsfmk,https://www.youtube.com/watch?v=IuEeKzqsfmk
cll7b0ogn00093o6lkoze3mta,2794,right side,,Abnormal Gait,myopathic,"{'top': 25.0, 'left': 200.0, 'height': 428.5, 'width': 165.5}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",IuEeKzqsfmk,https://www.youtube.com/watch?v=IuEeKzqsfmk
cll7b0ogn00093o6lkoze3mta,2795,right side,,Abnormal Gait,myopathic,"{'top': 24.9, 'left': 201.3, 'height': 428.85, 'width': 165.34999999999997}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",IuEeKzqsfmk,https://www.youtube.com/watch?v=IuEeKzqsfmk
cll7b0ogn00093o6lkoze3mta,2796,right side,,Abnormal Gait,myopathic,"{'top': 24.8, 'left': 202.6, 'height': 429.2, 'width': 165.20000000000002}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",IuEeKzqsfmk,https://www.youtube.com/watch?v=IuEeKzqsfmk
cll7b0ogn00093o6lkoze3mta,2797,right side,,Abnormal Gait,myopathic,"{'top': 24.7, 'left': 203.9, 'height': 429.55, 'width': 165.04999999999998}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",IuEeKzqsfmk,https://www.youtube.com/watch?v=IuEeKzqsfmk
cll7b0ogn00093o6lkoze3mta,2798,right side,,Abnormal Gait,myopathic,"{'top': 24.6, 'left': 205.2, 'height': 429.9, 'width': 164.90000000000003}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",IuEeKzqsfmk,https://www.youtube.com/watch?v=IuEeKzqsfmk
cll7b0ogn00093o6lkoze3mta,2799,right side,,Abnormal Gait,myopathic,"{'top': 24.5, 'left': 206.5, 'height': 430.25, 'width': 164.75}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",IuEeKzqsfmk,https://www.youtube.com/watch?v=IuEeKzqsfmk
cll7b0ogn00093o6lkoze3mta,2800,right side,,Abnormal Gait,myopathic,"{'top': 24.4, 'left': 207.8, 'height': 430.6, 'width': 164.59999999999997}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",IuEeKzqsfmk,https://www.youtube.com/watch?v=IuEeKzqsfmk
cll7b0ogn00093o6lkoze3mta,2801,right side,,Abnormal Gait,myopathic,"{'top': 24.3, 'left': 209.1, 'height': 430.95, 'width': 164.45000000000002}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",IuEeKzqsfmk,https://www.youtube.com/watch?v=IuEeKzqsfmk
cll7b0ogn00093o6lkoze3mta,2802,right side,,Abnormal Gait,myopathic,"{'top': 24.2, 'left': 210.4, 'height': 431.3, 'width': 164.29999999999998}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",IuEeKzqsfmk,https://www.youtube.com/watch?v=IuEeKzqsfmk
cll7b0ogn00093o6lkoze3mta,2803,right side,,Abnormal Gait,myopathic,"{'top': 24.1, 'left': 211.7, 'height': 431.65, 'width': 164.15000000000003}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",IuEeKzqsfmk,https://www.youtube.com/watch?v=IuEeKzqsfmk
cll7b0ogn00093o6lkoze3mta,2804,right side,,Abnormal Gait,myopathic,"{'top': 24.0, 'left': 213.0, 'height': 432.0, 'width': 164.0}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",IuEeKzqsfmk,https://www.youtube.com/watch?v=IuEeKzqsfmk
cll7b0ogn00093o6lkoze3mta,2805,right side,,Abnormal Gait,myopathic,"{'top': 23.866666666666667, 'left': 214.4, 'height': 432.2, 'width': 165.13333333333335}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",IuEeKzqsfmk,https://www.youtube.com/watch?v=IuEeKzqsfmk
cll7b0ogn00093o6lkoze3mta,2806,right side,,Abnormal Gait,myopathic,"{'top': 23.733333333333334, 'left': 215.8, 'height': 432.4, 'width': 166.26666666666665}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",IuEeKzqsfmk,https://www.youtube.com/watch?v=IuEeKzqsfmk
cll7b0ogn00093o6lkoze3mta,2807,right side,,Abnormal Gait,myopathic,"{'top': 23.6, 'left': 217.2, 'height': 432.59999999999997, 'width': 167.40000000000003}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",IuEeKzqsfmk,https://www.youtube.com/watch?v=IuEeKzqsfmk
cll7b0ogn00093o6lkoze3mta,2808,right side,,Abnormal Gait,myopathic,"{'top': 23.466666666666665, 'left': 218.6, 'height': 432.8, 'width': 168.53333333333333}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",IuEeKzqsfmk,https://www.youtube.com/watch?v=IuEeKzqsfmk
cll7b0ogn00093o6lkoze3mta,2809,right side,,Abnormal Gait,myopathic,"{'top': 23.333333333333332, 'left': 220.0, 'height': 433.0, 'width': 169.66666666666669}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",IuEeKzqsfmk,https://www.youtube.com/watch?v=IuEeKzqsfmk
cll7b0ogn00093o6lkoze3mta,2810,right side,,Abnormal Gait,myopathic,"{'top': 23.2, 'left': 221.4, 'height': 433.2, 'width': 170.79999999999998}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",IuEeKzqsfmk,https://www.youtube.com/watch?v=IuEeKzqsfmk
cll7b0ogn00093o6lkoze3mta,2811,right side,,Abnormal Gait,myopathic,"{'top': 23.066666666666666, 'left': 222.8, 'height': 433.4, 'width': 171.93333333333334}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",IuEeKzqsfmk,https://www.youtube.com/watch?v=IuEeKzqsfmk
