seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cll7nuzfe001r3o6lzh1nyjnq,694,back,,Abnormal Gait,myopathic,"{'top': 0.0, 'left': 310.0, 'height': 480.0, 'width': 258.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",jzJIpY6vRLo,https://www.youtube.com/watch?v=jzJIpY6vRLo
cll7nuzfe001r3o6lzh1nyjnq,695,back,,Abnormal Gait,myopathic,"{'top': 0.786363636363636, 'left': 310.0, 'height': 478.93181818181813, 'width': 257.24545454545455}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",jzJIpY6vRLo,https://www.youtube.com/watch?v=jzJIpY6vRLo
cll7nuzfe001r3o6lzh1nyjnq,696,back,,Abnormal Gait,myopathic,"{'top': 1.572727272727272, 'left': 310.0, 'height': 477.8636363636364, 'width': 256.4909090909091}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",jzJIpY6vRLo,https://www.youtube.com/watch?v=jzJIpY6vRLo
cll7nuzfe001r3o6lzh1nyjnq,697,back,,Abnormal Gait,myopathic,"{'top': 2.359090909090909, 'left': 310.0, 'height': 476.7954545454545, 'width': 255.73636363636365}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",jzJIpY6vRLo,https://www.youtube.com/watch?v=jzJIpY6vRLo
cll7nuzfe001r3o6lzh1nyjnq,698,back,,Abnormal Gait,myopathic,"{'top': 3.145454545454545, 'left': 310.0, 'height': 475.72727272727275, 'width': 254.9818181818182}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",jzJIpY6vRLo,https://www.youtube.com/watch?v=jzJIpY6vRLo
cll7nuzfe001r3o6lzh1nyjnq,699,back,,Abnormal Gait,myopathic,"{'top': 3.931818181818182, 'left': 310.0, 'height': 474.6590909090909, 'width': 254.22727272727275}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",jzJIpY6vRLo,https://www.youtube.com/watch?v=jzJIpY6vRLo
cll7nuzfe001r3o6lzh1nyjnq,700,back,,Abnormal Gait,myopathic,"{'top': 4.718181818181818, 'left': 310.0, 'height': 473.5909090909091, 'width': 253.4727272727273}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",jzJIpY6vRLo,https://www.youtube.com/watch?v=jzJIpY6vRLo
cll7nuzfe001r3o6lzh1nyjnq,701,back,,Abnormal Gait,myopathic,"{'top': 5.504545454545454, 'left': 310.0, 'height': 472.52272727272725, 'width': 252.71818181818185}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",jzJIpY6vRLo,https://www.youtube.com/watch?v=jzJIpY6vRLo
cll7nuzfe001r3o6lzh1nyjnq,702,back,,Abnormal Gait,myopathic,"{'top': 6.290909090909091, 'left': 310.0, 'height': 471.45454545454544, 'width': 251.9636363636364}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",jzJIpY6vRLo,https://www.youtube.com/watch?v=jzJIpY6vRLo
cll7nuzfe001r3o6lzh1nyjnq,703,back,,Abnormal Gait,myopathic,"{'top': 7.077272727272727, 'left': 310.0, 'height': 470.3863636363636, 'width': 251.20909090909095}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",jzJIpY6vRLo,https://www.youtube.com/watch?v=jzJIpY6vRLo
cll7nuzfe001r3o6lzh1nyjnq,704,back,,Abnormal Gait,myopathic,"{'top': 7.863636363636364, 'left': 310.0, 'height': 469.3181818181818, 'width': 250.4545454545455}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",jzJIpY6vRLo,https://www.youtube.com/watch?v=jzJIpY6vRLo
cll7nuzfe001r3o6lzh1nyjnq,705,back,,Abnormal Gait,myopathic,"{'top': 8.65, 'left': 310.0, 'height': 468.25, 'width': 249.70000000000005}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",jzJIpY6vRLo,https://www.youtube.com/watch?v=jzJIpY6vRLo
cll7nuzfe001r3o6lzh1nyjnq,706,back,,Abnormal Gait,myopathic,"{'top': 9.436363636363636, 'left': 310.0, 'height': 467.1818181818182, 'width': 248.9454545454546}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",jzJIpY6vRLo,https://www.youtube.com/watch?v=jzJIpY6vRLo
cll7nuzfe001r3o6lzh1nyjnq,707,back,,Abnormal Gait,myopathic,"{'top': 10.222727272727273, 'left': 310.0, 'height': 466.1136363636363, 'width': 248.19090909090914}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",jzJIpY6vRLo,https://www.youtube.com/watch?v=jzJIpY6vRLo
cll7nuzfe001r3o6lzh1nyjnq,708,back,,Abnormal Gait,myopathic,"{'top': 11.009090909090908, 'left': 310.0, 'height': 465.04545454545456, 'width': 247.4363636363637}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",jzJIpY6vRLo,https://www.youtube.com/watch?v=jzJIpY6vRLo
cll7nuzfe001r3o6lzh1nyjnq,709,back,,Abnormal Gait,myopathic,"{'top': 11.795454545454545, 'left': 310.0, 'height': 463.9772727272727, 'width': 246.68181818181813}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",jzJIpY6vRLo,https://www.youtube.com/watch?v=jzJIpY6vRLo
cll7nuzfe001r3o6lzh1nyjnq,710,back,,Abnormal Gait,myopathic,"{'top': 12.581818181818182, 'left': 310.0, 'height': 462.90909090909093, 'width': 245.92727272727268}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",jzJIpY6vRLo,https://www.youtube.com/watch?v=jzJIpY6vRLo
cll7nuzfe001r3o6lzh1nyjnq,711,back,,Abnormal Gait,myopathic,"{'top': 13.368181818181817, 'left': 310.0, 'height': 461.84090909090907, 'width': 245.17272727272723}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",jzJIpY6vRLo,https://www.youtube.com/watch?v=jzJIpY6vRLo
cll7nuzfe001r3o6lzh1nyjnq,712,back,,Abnormal Gait,myopathic,"{'top': 14.154545454545454, 'left': 310.0, 'height': 460.7727272727273, 'width': 244.41818181818178}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",jzJIpY6vRLo,https://www.youtube.com/watch?v=jzJIpY6vRLo
cll7nuzfe001r3o6lzh1nyjnq,713,back,,Abnormal Gait,myopathic,"{'top': 14.940909090909091, 'left': 310.0, 'height': 459.70454545454544, 'width': 243.66363636363633}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",jzJIpY6vRLo,https://www.youtube.com/watch?v=jzJIpY6vRLo
cll7nuzfe001r3o6lzh1nyjnq,714,back,,Abnormal Gait,myopathic,"{'top': 15.727272727272728, 'left': 310.0, 'height': 458.6363636363636, 'width': 242.90909090909088}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",jzJIpY6vRLo,https://www.youtube.com/watch?v=jzJIpY6vRLo
cll7nuzfe001r3o6lzh1nyjnq,715,back,,Abnormal Gait,myopathic,"{'top': 16.513636363636365, 'left': 310.0, 'height': 457.5681818181818, 'width': 242.15454545454543}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",jzJIpY6vRLo,https://www.youtube.com/watch?v=jzJIpY6vRLo
