seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cll7pkihc001z3o6l2k2myogc,1313,front,,Abnormal Gait,myopathic,"{'top': 70.0, 'left': 337.0, 'height': 319.0, 'width': 139.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",LIF-guVFEt0,https://www.youtube.com/watch?v=LIF-guVFEt0
cll7pkihc001z3o6l2k2myogc,1314,front,,Abnormal Gait,myopathic,"{'top': 69.46938775510205, 'left': 336.96938775510205, 'height': 320.4591836734694, 'width': 139.4795918367347}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",LIF-guVFEt0,https://www.youtube.com/watch?v=LIF-guVFEt0
cll7pkihc001z3o6l2k2myogc,1315,front,,Abnormal Gait,myopathic,"{'top': 68.93877551020408, 'left': 336.9387755102041, 'height': 321.91836734693874, 'width': 139.9591836734694}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",LIF-guVFEt0,https://www.youtube.com/watch?v=LIF-guVFEt0
cll7pkihc001z3o6l2k2myogc,1316,front,,Abnormal Gait,myopathic,"{'top': 68.40816326530613, 'left': 336.90816326530614, 'height': 323.37755102040813, 'width': 140.43877551020404}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",LIF-guVFEt0,https://www.youtube.com/watch?v=LIF-guVFEt0
cll7pkihc001z3o6l2k2myogc,1317,front,,Abnormal Gait,myopathic,"{'top': 67.87755102040816, 'left': 336.8775510204082, 'height': 324.8367346938776, 'width': 140.91836734693874}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",LIF-guVFEt0,https://www.youtube.com/watch?v=LIF-guVFEt0
cll7pkihc001z3o6l2k2myogc,1318,front,,Abnormal Gait,myopathic,"{'top': 67.34693877551021, 'left': 336.8469387755102, 'height': 326.295918367347, 'width': 141.3979591836735}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",LIF-guVFEt0,https://www.youtube.com/watch?v=LIF-guVFEt0
cll7pkihc001z3o6l2k2myogc,1319,front,,Abnormal Gait,myopathic,"{'top': 66.81632653061224, 'left': 336.81632653061223, 'height': 327.7551020408163, 'width': 141.8775510204082}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",LIF-guVFEt0,https://www.youtube.com/watch?v=LIF-guVFEt0
cll7pkihc001z3o6l2k2myogc,1320,front,,Abnormal Gait,myopathic,"{'top': 66.28571428571429, 'left': 336.7857142857143, 'height': 329.2142857142857, 'width': 142.3571428571429}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",LIF-guVFEt0,https://www.youtube.com/watch?v=LIF-guVFEt0
cll7pkihc001z3o6l2k2myogc,1321,front,,Abnormal Gait,myopathic,"{'top': 65.75510204081633, 'left': 336.7551020408163, 'height': 330.6734693877551, 'width': 142.83673469387753}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",LIF-guVFEt0,https://www.youtube.com/watch?v=LIF-guVFEt0
cll7pkihc001z3o6l2k2myogc,1322,front,,Abnormal Gait,myopathic,"{'top': 65.22448979591837, 'left': 336.7244897959184, 'height': 332.13265306122446, 'width': 143.31632653061223}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",LIF-guVFEt0,https://www.youtube.com/watch?v=LIF-guVFEt0
cll7pkihc001z3o6l2k2myogc,1323,front,,Abnormal Gait,myopathic,"{'top': 64.6938775510204, 'left': 336.6938775510204, 'height': 333.59183673469386, 'width': 143.79591836734693}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",LIF-guVFEt0,https://www.youtube.com/watch?v=LIF-guVFEt0
cll7pkihc001z3o6l2k2myogc,1324,front,,Abnormal Gait,myopathic,"{'top': 64.16326530612245, 'left': 336.66326530612247, 'height': 335.05102040816325, 'width': 144.27551020408163}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",LIF-guVFEt0,https://www.youtube.com/watch?v=LIF-guVFEt0
cll7pkihc001z3o6l2k2myogc,1325,front,,Abnormal Gait,myopathic,"{'top': 63.63265306122449, 'left': 336.6326530612245, 'height': 336.51020408163265, 'width': 144.75510204081633}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",LIF-guVFEt0,https://www.youtube.com/watch?v=LIF-guVFEt0
