seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cll7plefm00273o6lrluiavsv,1493,left side,,Abnormal Gait,myopathic,"{'top': 71.0, 'left': 671.0, 'height': 328.0, 'width': 117.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",LIF-guVFEt0,https://www.youtube.com/watch?v=LIF-guVFEt0
cll7plefm00273o6lrluiavsv,1494,left side,,Abnormal Gait,myopathic,"{'top': 71.0, 'left': 666.7272727272727, 'height': 328.90909090909093, 'width': 121.63636363636363}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",LIF-guVFEt0,https://www.youtube.com/watch?v=LIF-guVFEt0
cll7plefm00273o6lrluiavsv,1495,left side,,Abnormal Gait,myopathic,"{'top': 71.0, 'left': 662.4545454545455, 'height': 329.8181818181818, 'width': 126.27272727272725}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",LIF-guVFEt0,https://www.youtube.com/watch?v=LIF-guVFEt0
cll7plefm00273o6lrluiavsv,1496,left side,,Abnormal Gait,myopathic,"{'top': 71.0, 'left': 658.1818181818181, 'height': 330.72727272727275, 'width': 130.909090909091}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",LIF-guVFEt0,https://www.youtube.com/watch?v=LIF-guVFEt0
cll7plefm00273o6lrluiavsv,1497,left side,,Abnormal Gait,myopathic,"{'top': 71.0, 'left': 653.9090909090909, 'height': 331.6363636363636, 'width': 135.54545454545462}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",LIF-guVFEt0,https://www.youtube.com/watch?v=LIF-guVFEt0
cll7plefm00273o6lrluiavsv,1498,left side,,Abnormal Gait,myopathic,"{'top': 71.0, 'left': 649.6363636363636, 'height': 332.54545454545456, 'width': 140.18181818181824}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",LIF-guVFEt0,https://www.youtube.com/watch?v=LIF-guVFEt0
cll7plefm00273o6lrluiavsv,1499,left side,,Abnormal Gait,myopathic,"{'top': 71.0, 'left': 645.3636363636364, 'height': 333.45454545454544, 'width': 144.81818181818176}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",LIF-guVFEt0,https://www.youtube.com/watch?v=LIF-guVFEt0
cll7plefm00273o6lrluiavsv,1500,left side,,Abnormal Gait,myopathic,"{'top': 71.0, 'left': 641.0909090909091, 'height': 334.3636363636364, 'width': 149.45454545454538}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",LIF-guVFEt0,https://www.youtube.com/watch?v=LIF-guVFEt0
cll7plefm00273o6lrluiavsv,1501,left side,,Abnormal Gait,myopathic,"{'top': 71.0, 'left': 636.8181818181819, 'height': 335.27272727272725, 'width': 154.090909090909}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",LIF-guVFEt0,https://www.youtube.com/watch?v=LIF-guVFEt0
cll7plefm00273o6lrluiavsv,1502,left side,,Abnormal Gait,myopathic,"{'top': 71.0, 'left': 632.5454545454545, 'height': 336.1818181818182, 'width': 158.72727272727275}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",LIF-guVFEt0,https://www.youtube.com/watch?v=LIF-guVFEt0
cll7plefm00273o6lrluiavsv,1503,left side,,Abnormal Gait,myopathic,"{'top': 71.0, 'left': 628.2727272727273, 'height': 337.09090909090907, 'width': 163.36363636363637}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",LIF-guVFEt0,https://www.youtube.com/watch?v=LIF-guVFEt0
