seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cll7ppx1b003b3o6l7e9k5dwc,3012,front,,Abnormal Gait,myopathic,"{'top': 85.0, 'left': 317.0, 'height': 324.0, 'width': 143.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",LIF-guVFEt0,https://www.youtube.com/watch?v=LIF-guVFEt0
cll7ppx1b003b3o6l7e9k5dwc,3013,front,,Abnormal Gait,myopathic,"{'top': 84.22222222222223, 'left': 317.0833333333333, 'height': 326.6111111111111, 'width': 143.97222222222223}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",LIF-guVFEt0,https://www.youtube.com/watch?v=LIF-guVFEt0
cll7ppx1b003b3o6l7e9k5dwc,3014,front,,Abnormal Gait,myopathic,"{'top': 83.44444444444444, 'left': 317.1666666666667, 'height': 329.22222222222223, 'width': 144.9444444444444}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",LIF-guVFEt0,https://www.youtube.com/watch?v=LIF-guVFEt0
cll7ppx1b003b3o6l7e9k5dwc,3015,front,,Abnormal Gait,myopathic,"{'top': 82.66666666666667, 'left': 317.25, 'height': 331.8333333333333, 'width': 145.91666666666669}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",LIF-guVFEt0,https://www.youtube.com/watch?v=LIF-guVFEt0
cll7ppx1b003b3o6l7e9k5dwc,3016,front,,Abnormal Gait,myopathic,"{'top': 81.88888888888889, 'left': 317.3333333333333, 'height': 334.44444444444446, 'width': 146.8888888888889}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",LIF-guVFEt0,https://www.youtube.com/watch?v=LIF-guVFEt0
cll7ppx1b003b3o6l7e9k5dwc,3017,front,,Abnormal Gait,myopathic,"{'top': 81.11111111111111, 'left': 317.4166666666667, 'height': 337.05555555555554, 'width': 147.8611111111111}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",LIF-guVFEt0,https://www.youtube.com/watch?v=LIF-guVFEt0
cll7ppx1b003b3o6l7e9k5dwc,3018,front,,Abnormal Gait,myopathic,"{'top': 80.33333333333333, 'left': 317.5, 'height': 339.6666666666667, 'width': 148.83333333333331}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",LIF-guVFEt0,https://www.youtube.com/watch?v=LIF-guVFEt0
cll7ppx1b003b3o6l7e9k5dwc,3019,front,,Abnormal Gait,myopathic,"{'top': 79.55555555555556, 'left': 317.5833333333333, 'height': 342.27777777777777, 'width': 149.8055555555556}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",LIF-guVFEt0,https://www.youtube.com/watch?v=LIF-guVFEt0
cll7ppx1b003b3o6l7e9k5dwc,3020,front,,Abnormal Gait,myopathic,"{'top': 78.77777777777777, 'left': 317.6666666666667, 'height': 344.8888888888889, 'width': 150.77777777777777}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",LIF-guVFEt0,https://www.youtube.com/watch?v=LIF-guVFEt0
cll7ppx1b003b3o6l7e9k5dwc,3021,front,,Abnormal Gait,myopathic,"{'top': 78.0, 'left': 317.75, 'height': 347.5, 'width': 151.75}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",LIF-guVFEt0,https://www.youtube.com/watch?v=LIF-guVFEt0
cll7ppx1b003b3o6l7e9k5dwc,3022,front,,Abnormal Gait,myopathic,"{'top': 77.22222222222223, 'left': 317.8333333333333, 'height': 350.1111111111111, 'width': 152.72222222222223}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",LIF-guVFEt0,https://www.youtube.com/watch?v=LIF-guVFEt0
cll7ppx1b003b3o6l7e9k5dwc,3023,front,,Abnormal Gait,myopathic,"{'top': 76.44444444444444, 'left': 317.9166666666667, 'height': 352.72222222222223, 'width': 153.6944444444444}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",LIF-guVFEt0,https://www.youtube.com/watch?v=LIF-guVFEt0
cll7ppx1b003b3o6l7e9k5dwc,3024,front,,Abnormal Gait,myopathic,"{'top': 75.66666666666667, 'left': 318.0, 'height': 355.3333333333333, 'width': 154.66666666666669}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",LIF-guVFEt0,https://www.youtube.com/watch?v=LIF-guVFEt0
cll7ppx1b003b3o6l7e9k5dwc,3025,front,,Abnormal Gait,myopathic,"{'top': 74.88888888888889, 'left': 318.0833333333333, 'height': 357.94444444444446, 'width': 155.6388888888889}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",LIF-guVFEt0,https://www.youtube.com/watch?v=LIF-guVFEt0
