seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cll7pqcwm003f3o6ltfi4x1ti,3102,back,,Abnormal Gait,myopathic,"{'top': 20.0, 'left': 309.0, 'height': 460.0, 'width': 205.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",LIF-guVFEt0,https://www.youtube.com/watch?v=LIF-guVFEt0
cll7pqcwm003f3o6ltfi4x1ti,3103,back,,Abnormal Gait,myopathic,"{'top': 20.357142857142858, 'left': 308.39285714285717, 'height': 459.39285714285717, 'width': 204.4285714285714}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",LIF-guVFEt0,https://www.youtube.com/watch?v=LIF-guVFEt0
cll7pqcwm003f3o6ltfi4x1ti,3104,back,,Abnormal Gait,myopathic,"{'top': 20.714285714285715, 'left': 307.7857142857143, 'height': 458.7857142857143, 'width': 203.8571428571429}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",LIF-guVFEt0,https://www.youtube.com/watch?v=LIF-guVFEt0
cll7pqcwm003f3o6ltfi4x1ti,3105,back,,Abnormal Gait,myopathic,"{'top': 21.071428571428573, 'left': 307.17857142857144, 'height': 458.17857142857144, 'width': 203.28571428571428}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",LIF-guVFEt0,https://www.youtube.com/watch?v=LIF-guVFEt0
cll7pqcwm003f3o6ltfi4x1ti,3106,back,,Abnormal Gait,myopathic,"{'top': 21.428571428571427, 'left': 306.57142857142856, 'height': 457.57142857142856, 'width': 202.71428571428572}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",LIF-guVFEt0,https://www.youtube.com/watch?v=LIF-guVFEt0
cll7pqcwm003f3o6ltfi4x1ti,3107,back,,Abnormal Gait,myopathic,"{'top': 21.785714285714285, 'left': 305.9642857142857, 'height': 456.9642857142857, 'width': 202.1428571428571}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",LIF-guVFEt0,https://www.youtube.com/watch?v=LIF-guVFEt0
cll7pqcwm003f3o6ltfi4x1ti,3108,back,,Abnormal Gait,myopathic,"{'top': 22.142857142857142, 'left': 305.35714285714283, 'height': 456.35714285714283, 'width': 201.5714285714286}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",LIF-guVFEt0,https://www.youtube.com/watch?v=LIF-guVFEt0
cll7pqcwm003f3o6ltfi4x1ti,3109,back,,Abnormal Gait,myopathic,"{'top': 22.5, 'left': 304.75, 'height': 455.75, 'width': 201.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",LIF-guVFEt0,https://www.youtube.com/watch?v=LIF-guVFEt0
cll7pqcwm003f3o6ltfi4x1ti,3110,back,,Abnormal Gait,myopathic,"{'top': 22.857142857142858, 'left': 304.14285714285717, 'height': 455.14285714285717, 'width': 200.4285714285714}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",LIF-guVFEt0,https://www.youtube.com/watch?v=LIF-guVFEt0
cll7pqcwm003f3o6ltfi4x1ti,3111,back,,Abnormal Gait,myopathic,"{'top': 23.214285714285715, 'left': 303.5357142857143, 'height': 454.5357142857143, 'width': 199.8571428571429}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",LIF-guVFEt0,https://www.youtube.com/watch?v=LIF-guVFEt0
cll7pqcwm003f3o6ltfi4x1ti,3112,back,,Abnormal Gait,myopathic,"{'top': 23.571428571428573, 'left': 302.92857142857144, 'height': 453.92857142857144, 'width': 199.28571428571428}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",LIF-guVFEt0,https://www.youtube.com/watch?v=LIF-guVFEt0
cll7pqcwm003f3o6ltfi4x1ti,3113,back,,Abnormal Gait,myopathic,"{'top': 23.928571428571427, 'left': 302.32142857142856, 'height': 453.32142857142856, 'width': 198.71428571428572}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",LIF-guVFEt0,https://www.youtube.com/watch?v=LIF-guVFEt0
