seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cll8gq7i7004l3o6lby0zk8l9,1083,front,,Abnormal Gait,myopathic,"{'top': 89.0, 'left': 254.0, 'height': 187.0, 'width': 121.0}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",qVfnxAlL6d0,https://www.youtube.com/watch?v=qVfnxAlL6d0
cll8gq7i7004l3o6lby0zk8l9,1084,front,,Abnormal Gait,myopathic,"{'top': 88.94736842105263, 'left': 252.68421052631578, 'height': 187.47368421052633, 'width': 122.31578947368422}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",qVfnxAlL6d0,https://www.youtube.com/watch?v=qVfnxAlL6d0
cll8gq7i7004l3o6lby0zk8l9,1085,front,,Abnormal Gait,myopathic,"{'top': 88.89473684210526, 'left': 251.3684210526316, 'height': 187.94736842105266, 'width': 123.63157894736841}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",qVfnxAlL6d0,https://www.youtube.com/watch?v=qVfnxAlL6d0
cll8gq7i7004l3o6lby0zk8l9,1086,front,,Abnormal Gait,myopathic,"{'top': 88.84210526315789, 'left': 250.05263157894737, 'height': 188.42105263157893, 'width': 124.94736842105263}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",qVfnxAlL6d0,https://www.youtube.com/watch?v=qVfnxAlL6d0
cll8gq7i7004l3o6lby0zk8l9,1087,front,,Abnormal Gait,myopathic,"{'top': 88.78947368421052, 'left': 248.73684210526315, 'height': 188.89473684210526, 'width': 126.26315789473685}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",qVfnxAlL6d0,https://www.youtube.com/watch?v=qVfnxAlL6d0
cll8gq7i7004l3o6lby0zk8l9,1088,front,,Abnormal Gait,myopathic,"{'top': 88.73684210526316, 'left': 247.42105263157896, 'height': 189.36842105263156, 'width': 127.57894736842104}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",qVfnxAlL6d0,https://www.youtube.com/watch?v=qVfnxAlL6d0
cll8gq7i7004l3o6lby0zk8l9,1089,front,,Abnormal Gait,myopathic,"{'top': 88.6842105263158, 'left': 246.10526315789474, 'height': 189.84210526315792, 'width': 128.89473684210526}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",qVfnxAlL6d0,https://www.youtube.com/watch?v=qVfnxAlL6d0
cll8gq7i7004l3o6lby0zk8l9,1090,front,,Abnormal Gait,myopathic,"{'top': 88.63157894736842, 'left': 244.78947368421052, 'height': 190.31578947368422, 'width': 130.21052631578948}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",qVfnxAlL6d0,https://www.youtube.com/watch?v=qVfnxAlL6d0
cll8gq7i7004l3o6lby0zk8l9,1091,front,,Abnormal Gait,myopathic,"{'top': 88.57894736842105, 'left': 243.47368421052633, 'height': 190.78947368421052, 'width': 131.52631578947367}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",qVfnxAlL6d0,https://www.youtube.com/watch?v=qVfnxAlL6d0
cll8gq7i7004l3o6lby0zk8l9,1092,front,,Abnormal Gait,myopathic,"{'top': 88.52631578947368, 'left': 242.1578947368421, 'height': 191.26315789473682, 'width': 132.8421052631579}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",qVfnxAlL6d0,https://www.youtube.com/watch?v=qVfnxAlL6d0
