seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cll8h0akb00683o6ls74ez7x9,1,left side,,Abnormal Gait,myopathic,"{'top': 73.0, 'left': 617.0, 'height': 348.0, 'width': 227.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",R8LRCiTvUz8,https://www.youtube.com/watch?v=R8LRCiTvUz8
cll8h0akb00683o6ls74ez7x9,2,left side,,Abnormal Gait,myopathic,"{'top': 71.8, 'left': 617.8666666666667, 'height': 347.8666666666667, 'width': 226.79999999999995}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",R8LRCiTvUz8,https://www.youtube.com/watch?v=R8LRCiTvUz8
cll8h0akb00683o6ls74ez7x9,3,left side,,Abnormal Gait,myopathic,"{'top': 70.6, 'left': 618.7333333333333, 'height': 347.73333333333335, 'width': 226.60000000000002}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",R8LRCiTvUz8,https://www.youtube.com/watch?v=R8LRCiTvUz8
cll8h0akb00683o6ls74ez7x9,4,left side,,Abnormal Gait,myopathic,"{'top': 69.4, 'left': 619.6, 'height': 347.6, 'width': 226.39999999999998}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",R8LRCiTvUz8,https://www.youtube.com/watch?v=R8LRCiTvUz8
cll8h0akb00683o6ls74ez7x9,5,left side,,Abnormal Gait,myopathic,"{'top': 68.2, 'left': 620.4666666666667, 'height': 347.4666666666667, 'width': 226.19999999999993}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",R8LRCiTvUz8,https://www.youtube.com/watch?v=R8LRCiTvUz8
cll8h0akb00683o6ls74ez7x9,6,left side,,Abnormal Gait,myopathic,"{'top': 67.0, 'left': 621.3333333333334, 'height': 347.3333333333333, 'width': 226.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",R8LRCiTvUz8,https://www.youtube.com/watch?v=R8LRCiTvUz8
cll8h0akb00683o6ls74ez7x9,7,left side,,Abnormal Gait,myopathic,"{'top': 65.8, 'left': 622.2, 'height': 347.2, 'width': 225.79999999999995}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",R8LRCiTvUz8,https://www.youtube.com/watch?v=R8LRCiTvUz8
cll8h0akb00683o6ls74ez7x9,8,left side,,Abnormal Gait,myopathic,"{'top': 64.6, 'left': 623.0666666666667, 'height': 347.0666666666667, 'width': 225.5999999999999}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",R8LRCiTvUz8,https://www.youtube.com/watch?v=R8LRCiTvUz8
cll8h0akb00683o6ls74ez7x9,9,left side,,Abnormal Gait,myopathic,"{'top': 63.4, 'left': 623.9333333333333, 'height': 346.93333333333334, 'width': 225.4000000000001}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",R8LRCiTvUz8,https://www.youtube.com/watch?v=R8LRCiTvUz8
cll8h0akb00683o6ls74ez7x9,10,left side,,Abnormal Gait,myopathic,"{'top': 62.2, 'left': 624.8, 'height': 346.8, 'width': 225.20000000000005}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",R8LRCiTvUz8,https://www.youtube.com/watch?v=R8LRCiTvUz8
