seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cll8h3m1d006w3o6l16evhm2z,1377,left side,,Abnormal Gait,myopathic,"{'top': 61.0, 'left': 664.0, 'height': 331.0, 'width': 140.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",R8LRCiTvUz8,https://www.youtube.com/watch?v=R8LRCiTvUz8
cll8h3m1d006w3o6l16evhm2z,1378,left side,,Abnormal Gait,myopathic,"{'top': 60.93333333333333, 'left': 659.1333333333333, 'height': 334.06666666666666, 'width': 145.06666666666672}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",R8LRCiTvUz8,https://www.youtube.com/watch?v=R8LRCiTvUz8
cll8h3m1d006w3o6l16evhm2z,1379,left side,,Abnormal Gait,myopathic,"{'top': 60.86666666666667, 'left': 654.2666666666667, 'height': 337.1333333333333, 'width': 150.13333333333333}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",R8LRCiTvUz8,https://www.youtube.com/watch?v=R8LRCiTvUz8
cll8h3m1d006w3o6l16evhm2z,1380,left side,,Abnormal Gait,myopathic,"{'top': 60.8, 'left': 649.4, 'height': 340.2, 'width': 155.20000000000005}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",R8LRCiTvUz8,https://www.youtube.com/watch?v=R8LRCiTvUz8
cll8h3m1d006w3o6l16evhm2z,1381,left side,,Abnormal Gait,myopathic,"{'top': 60.733333333333334, 'left': 644.5333333333333, 'height': 343.26666666666665, 'width': 160.26666666666665}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",R8LRCiTvUz8,https://www.youtube.com/watch?v=R8LRCiTvUz8
cll8h3m1d006w3o6l16evhm2z,1382,left side,,Abnormal Gait,myopathic,"{'top': 60.666666666666664, 'left': 639.6666666666666, 'height': 346.3333333333333, 'width': 165.33333333333337}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",R8LRCiTvUz8,https://www.youtube.com/watch?v=R8LRCiTvUz8
cll8h3m1d006w3o6l16evhm2z,1383,left side,,Abnormal Gait,myopathic,"{'top': 60.6, 'left': 634.8, 'height': 349.4, 'width': 170.4000000000001}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",R8LRCiTvUz8,https://www.youtube.com/watch?v=R8LRCiTvUz8
cll8h3m1d006w3o6l16evhm2z,1384,left side,,Abnormal Gait,myopathic,"{'top': 60.53333333333333, 'left': 629.9333333333333, 'height': 352.4666666666667, 'width': 175.4666666666667}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",R8LRCiTvUz8,https://www.youtube.com/watch?v=R8LRCiTvUz8
cll8h3m1d006w3o6l16evhm2z,1385,left side,,Abnormal Gait,myopathic,"{'top': 60.46666666666667, 'left': 625.0666666666667, 'height': 355.5333333333333, 'width': 180.5333333333333}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",R8LRCiTvUz8,https://www.youtube.com/watch?v=R8LRCiTvUz8
cll8h3m1d006w3o6l16evhm2z,1386,left side,,Abnormal Gait,myopathic,"{'top': 60.4, 'left': 620.2, 'height': 358.6, 'width': 185.5999999999999}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",R8LRCiTvUz8,https://www.youtube.com/watch?v=R8LRCiTvUz8
