seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cll8kgvkh007d3o6lqcab168x,1,left side,,Abnormal Gait,myopathic,"{'top': 79.0, 'left': 693.0, 'height': 329.0, 'width': 122.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Rx21leooiqQ,https://www.youtube.com/watch?v=Rx21leooiqQ
cll8kgvkh007d3o6lqcab168x,2,left side,,Abnormal Gait,myopathic,"{'top': 79.08333333333333, 'left': 690.3333333333334, 'height': 329.0, 'width': 127.58333333333326}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Rx21leooiqQ,https://www.youtube.com/watch?v=Rx21leooiqQ
cll8kgvkh007d3o6lqcab168x,3,left side,,Abnormal Gait,myopathic,"{'top': 79.16666666666667, 'left': 687.6666666666666, 'height': 329.0, 'width': 133.16666666666674}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Rx21leooiqQ,https://www.youtube.com/watch?v=Rx21leooiqQ
cll8kgvkh007d3o6lqcab168x,4,left side,,Abnormal Gait,myopathic,"{'top': 79.25, 'left': 685.0, 'height': 329.0, 'width': 138.75}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Rx21leooiqQ,https://www.youtube.com/watch?v=Rx21leooiqQ
cll8kgvkh007d3o6lqcab168x,5,left side,,Abnormal Gait,myopathic,"{'top': 79.33333333333333, 'left': 682.3333333333334, 'height': 329.0, 'width': 144.33333333333326}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Rx21leooiqQ,https://www.youtube.com/watch?v=Rx21leooiqQ
cll8kgvkh007d3o6lqcab168x,6,left side,,Abnormal Gait,myopathic,"{'top': 79.41666666666667, 'left': 679.6666666666666, 'height': 329.0, 'width': 149.91666666666674}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Rx21leooiqQ,https://www.youtube.com/watch?v=Rx21leooiqQ
cll8kgvkh007d3o6lqcab168x,7,left side,,Abnormal Gait,myopathic,"{'top': 79.5, 'left': 677.0, 'height': 329.0, 'width': 155.5}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Rx21leooiqQ,https://www.youtube.com/watch?v=Rx21leooiqQ
cll8kgvkh007d3o6lqcab168x,8,left side,,Abnormal Gait,myopathic,"{'top': 79.58333333333333, 'left': 674.3333333333334, 'height': 329.0, 'width': 161.08333333333326}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Rx21leooiqQ,https://www.youtube.com/watch?v=Rx21leooiqQ
cll8kgvkh007d3o6lqcab168x,9,left side,,Abnormal Gait,myopathic,"{'top': 79.66666666666667, 'left': 671.6666666666666, 'height': 329.0, 'width': 166.66666666666674}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Rx21leooiqQ,https://www.youtube.com/watch?v=Rx21leooiqQ
cll8kgvkh007d3o6lqcab168x,10,left side,,Abnormal Gait,myopathic,"{'top': 79.75, 'left': 669.0, 'height': 329.0, 'width': 172.25}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Rx21leooiqQ,https://www.youtube.com/watch?v=Rx21leooiqQ
cll8kgvkh007d3o6lqcab168x,11,left side,,Abnormal Gait,myopathic,"{'top': 79.83333333333333, 'left': 666.3333333333334, 'height': 329.0, 'width': 177.83333333333326}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Rx21leooiqQ,https://www.youtube.com/watch?v=Rx21leooiqQ
cll8kgvkh007d3o6lqcab168x,12,left side,,Abnormal Gait,myopathic,"{'top': 79.91666666666667, 'left': 663.6666666666666, 'height': 329.0, 'width': 183.41666666666674}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Rx21leooiqQ,https://www.youtube.com/watch?v=Rx21leooiqQ
cll8kgvkh007d3o6lqcab168x,13,left side,,Abnormal Gait,myopathic,"{'top': 80.0, 'left': 661.0, 'height': 329.0, 'width': 189.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Rx21leooiqQ,https://www.youtube.com/watch?v=Rx21leooiqQ
cll8kgvkh007d3o6lqcab168x,14,left side,,Abnormal Gait,myopathic,"{'top': 79.9375, 'left': 661.1875, 'height': 329.0, 'width': 188.75}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Rx21leooiqQ,https://www.youtube.com/watch?v=Rx21leooiqQ
cll8kgvkh007d3o6lqcab168x,15,left side,,Abnormal Gait,myopathic,"{'top': 79.875, 'left': 661.375, 'height': 329.0, 'width': 188.5}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Rx21leooiqQ,https://www.youtube.com/watch?v=Rx21leooiqQ
cll8kgvkh007d3o6lqcab168x,16,left side,,Abnormal Gait,myopathic,"{'top': 79.8125, 'left': 661.5625, 'height': 329.0, 'width': 188.25}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Rx21leooiqQ,https://www.youtube.com/watch?v=Rx21leooiqQ
cll8kgvkh007d3o6lqcab168x,17,left side,,Abnormal Gait,myopathic,"{'top': 79.75, 'left': 661.75, 'height': 329.0, 'width': 188.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Rx21leooiqQ,https://www.youtube.com/watch?v=Rx21leooiqQ
cll8kgvkh007d3o6lqcab168x,18,left side,,Abnormal Gait,myopathic,"{'top': 79.6875, 'left': 661.9375, 'height': 329.0, 'width': 187.75}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Rx21leooiqQ,https://www.youtube.com/watch?v=Rx21leooiqQ
cll8kgvkh007d3o6lqcab168x,19,left side,,Abnormal Gait,myopathic,"{'top': 79.625, 'left': 662.125, 'height': 329.0, 'width': 187.5}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Rx21leooiqQ,https://www.youtube.com/watch?v=Rx21leooiqQ
cll8kgvkh007d3o6lqcab168x,20,left side,,Abnormal Gait,myopathic,"{'top': 79.5625, 'left': 662.3125, 'height': 329.0, 'width': 187.25}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Rx21leooiqQ,https://www.youtube.com/watch?v=Rx21leooiqQ
cll8kgvkh007d3o6lqcab168x,21,left side,,Abnormal Gait,myopathic,"{'top': 79.5, 'left': 662.5, 'height': 329.0, 'width': 187.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Rx21leooiqQ,https://www.youtube.com/watch?v=Rx21leooiqQ
cll8kgvkh007d3o6lqcab168x,22,left side,,Abnormal Gait,myopathic,"{'top': 79.4375, 'left': 662.6875, 'height': 329.0, 'width': 186.75}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Rx21leooiqQ,https://www.youtube.com/watch?v=Rx21leooiqQ
cll8kgvkh007d3o6lqcab168x,23,left side,,Abnormal Gait,myopathic,"{'top': 79.375, 'left': 662.875, 'height': 329.0, 'width': 186.5}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Rx21leooiqQ,https://www.youtube.com/watch?v=Rx21leooiqQ
cll8kgvkh007d3o6lqcab168x,24,left side,,Abnormal Gait,myopathic,"{'top': 79.3125, 'left': 663.0625, 'height': 329.0, 'width': 186.25}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Rx21leooiqQ,https://www.youtube.com/watch?v=Rx21leooiqQ
cll8kgvkh007d3o6lqcab168x,25,left side,,Abnormal Gait,myopathic,"{'top': 79.25, 'left': 663.25, 'height': 329.0, 'width': 186.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Rx21leooiqQ,https://www.youtube.com/watch?v=Rx21leooiqQ
cll8kgvkh007d3o6lqcab168x,26,left side,,Abnormal Gait,myopathic,"{'top': 79.1875, 'left': 663.4375, 'height': 329.0, 'width': 185.75}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Rx21leooiqQ,https://www.youtube.com/watch?v=Rx21leooiqQ
cll8kgvkh007d3o6lqcab168x,27,left side,,Abnormal Gait,myopathic,"{'top': 79.125, 'left': 663.625, 'height': 329.0, 'width': 185.5}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Rx21leooiqQ,https://www.youtube.com/watch?v=Rx21leooiqQ
cll8kgvkh007d3o6lqcab168x,28,left side,,Abnormal Gait,myopathic,"{'top': 79.0625, 'left': 663.8125, 'height': 329.0, 'width': 185.25}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Rx21leooiqQ,https://www.youtube.com/watch?v=Rx21leooiqQ
cll8kgvkh007d3o6lqcab168x,29,left side,,Abnormal Gait,myopathic,"{'top': 79.0, 'left': 664.0, 'height': 329.0, 'width': 185.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Rx21leooiqQ,https://www.youtube.com/watch?v=Rx21leooiqQ
cll8kgvkh007d3o6lqcab168x,30,left side,,Abnormal Gait,myopathic,"{'top': 79.11764705882354, 'left': 663.7647058823529, 'height': 329.0, 'width': 184.76470588235293}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Rx21leooiqQ,https://www.youtube.com/watch?v=Rx21leooiqQ
cll8kgvkh007d3o6lqcab168x,31,left side,,Abnormal Gait,myopathic,"{'top': 79.23529411764706, 'left': 663.5294117647059, 'height': 329.0, 'width': 184.52941176470586}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Rx21leooiqQ,https://www.youtube.com/watch?v=Rx21leooiqQ
cll8kgvkh007d3o6lqcab168x,32,left side,,Abnormal Gait,myopathic,"{'top': 79.3529411764706, 'left': 663.2941176470588, 'height': 329.0, 'width': 184.2941176470589}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Rx21leooiqQ,https://www.youtube.com/watch?v=Rx21leooiqQ
cll8kgvkh007d3o6lqcab168x,33,left side,,Abnormal Gait,myopathic,"{'top': 79.47058823529412, 'left': 663.0588235294117, 'height': 329.0, 'width': 184.05882352941182}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Rx21leooiqQ,https://www.youtube.com/watch?v=Rx21leooiqQ
