seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cll8kijic007s3o6lbxho0i7s,531,left side,,Abnormal Gait,myopathic,"{'top': 59.0, 'left': 720.0, 'height': 331.0, 'width': 107.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Rx21leooiqQ,https://www.youtube.com/watch?v=Rx21leooiqQ
cll8kijic007s3o6lbxho0i7s,532,left side,,Abnormal Gait,myopathic,"{'top': 59.0, 'left': 717.5, 'height': 331.125, 'width': 112.875}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Rx21leooiqQ,https://www.youtube.com/watch?v=Rx21leooiqQ
cll8kijic007s3o6lbxho0i7s,533,left side,,Abnormal Gait,myopathic,"{'top': 59.0, 'left': 715.0, 'height': 331.25, 'width': 118.75}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Rx21leooiqQ,https://www.youtube.com/watch?v=Rx21leooiqQ
cll8kijic007s3o6lbxho0i7s,534,left side,,Abnormal Gait,myopathic,"{'top': 59.0, 'left': 712.5, 'height': 331.375, 'width': 124.625}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Rx21leooiqQ,https://www.youtube.com/watch?v=Rx21leooiqQ
cll8kijic007s3o6lbxho0i7s,535,left side,,Abnormal Gait,myopathic,"{'top': 59.0, 'left': 710.0, 'height': 331.5, 'width': 130.5}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Rx21leooiqQ,https://www.youtube.com/watch?v=Rx21leooiqQ
cll8kijic007s3o6lbxho0i7s,536,left side,,Abnormal Gait,myopathic,"{'top': 59.0, 'left': 707.5, 'height': 331.625, 'width': 136.375}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Rx21leooiqQ,https://www.youtube.com/watch?v=Rx21leooiqQ
cll8kijic007s3o6lbxho0i7s,537,left side,,Abnormal Gait,myopathic,"{'top': 59.0, 'left': 705.0, 'height': 331.75, 'width': 142.25}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Rx21leooiqQ,https://www.youtube.com/watch?v=Rx21leooiqQ
cll8kijic007s3o6lbxho0i7s,538,left side,,Abnormal Gait,myopathic,"{'top': 59.0, 'left': 702.5, 'height': 331.875, 'width': 148.125}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Rx21leooiqQ,https://www.youtube.com/watch?v=Rx21leooiqQ
cll8kijic007s3o6lbxho0i7s,539,left side,,Abnormal Gait,myopathic,"{'top': 59.0, 'left': 700.0, 'height': 332.0, 'width': 154.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Rx21leooiqQ,https://www.youtube.com/watch?v=Rx21leooiqQ
cll8kijic007s3o6lbxho0i7s,540,left side,,Abnormal Gait,myopathic,"{'top': 58.9, 'left': 697.5, 'height': 332.20000000000005, 'width': 156.5}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Rx21leooiqQ,https://www.youtube.com/watch?v=Rx21leooiqQ
cll8kijic007s3o6lbxho0i7s,541,left side,,Abnormal Gait,myopathic,"{'top': 58.8, 'left': 695.0, 'height': 332.4, 'width': 159.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Rx21leooiqQ,https://www.youtube.com/watch?v=Rx21leooiqQ
cll8kijic007s3o6lbxho0i7s,542,left side,,Abnormal Gait,myopathic,"{'top': 58.7, 'left': 692.5, 'height': 332.6, 'width': 161.5}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Rx21leooiqQ,https://www.youtube.com/watch?v=Rx21leooiqQ
cll8kijic007s3o6lbxho0i7s,543,left side,,Abnormal Gait,myopathic,"{'top': 58.6, 'left': 690.0, 'height': 332.79999999999995, 'width': 164.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Rx21leooiqQ,https://www.youtube.com/watch?v=Rx21leooiqQ
cll8kijic007s3o6lbxho0i7s,544,left side,,Abnormal Gait,myopathic,"{'top': 58.5, 'left': 687.5, 'height': 333.0, 'width': 166.5}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Rx21leooiqQ,https://www.youtube.com/watch?v=Rx21leooiqQ
cll8kijic007s3o6lbxho0i7s,545,left side,,Abnormal Gait,myopathic,"{'top': 58.4, 'left': 685.0, 'height': 333.20000000000005, 'width': 169.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Rx21leooiqQ,https://www.youtube.com/watch?v=Rx21leooiqQ
cll8kijic007s3o6lbxho0i7s,546,left side,,Abnormal Gait,myopathic,"{'top': 58.3, 'left': 682.5, 'height': 333.4, 'width': 171.5}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Rx21leooiqQ,https://www.youtube.com/watch?v=Rx21leooiqQ
