seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cll8l0bf700963o6lv61akc9u,1216,back,,Abnormal Gait,myopathic,"{'top': 29.0, 'left': 322.0, 'height': 300.0, 'width': 113.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",saCnKfp0pL0,https://www.youtube.com/watch?v=saCnKfp0pL0
cll8l0bf700963o6lv61akc9u,1217,back,,Abnormal Gait,myopathic,"{'top': 29.45762711864407, 'left': 322.3050847457627, 'height': 299.0, 'width': 112.84745762711862}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",saCnKfp0pL0,https://www.youtube.com/watch?v=saCnKfp0pL0
cll8l0bf700963o6lv61akc9u,1218,back,,Abnormal Gait,myopathic,"{'top': 29.915254237288135, 'left': 322.6101694915254, 'height': 298.0, 'width': 112.69491525423729}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",saCnKfp0pL0,https://www.youtube.com/watch?v=saCnKfp0pL0
cll8l0bf700963o6lv61akc9u,1219,back,,Abnormal Gait,myopathic,"{'top': 30.372881355932204, 'left': 322.91525423728814, 'height': 297.0, 'width': 112.5423728813559}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",saCnKfp0pL0,https://www.youtube.com/watch?v=saCnKfp0pL0
cll8l0bf700963o6lv61akc9u,1220,back,,Abnormal Gait,myopathic,"{'top': 30.83050847457627, 'left': 323.22033898305085, 'height': 296.0, 'width': 112.38983050847457}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",saCnKfp0pL0,https://www.youtube.com/watch?v=saCnKfp0pL0
cll8l0bf700963o6lv61akc9u,1221,back,,Abnormal Gait,myopathic,"{'top': 31.28813559322034, 'left': 323.52542372881356, 'height': 295.0, 'width': 112.23728813559319}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",saCnKfp0pL0,https://www.youtube.com/watch?v=saCnKfp0pL0
cll8l0bf700963o6lv61akc9u,1222,back,,Abnormal Gait,myopathic,"{'top': 31.74576271186441, 'left': 323.8305084745763, 'height': 294.0, 'width': 112.08474576271186}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",saCnKfp0pL0,https://www.youtube.com/watch?v=saCnKfp0pL0
cll8l0bf700963o6lv61akc9u,1223,back,,Abnormal Gait,myopathic,"{'top': 32.20338983050848, 'left': 324.135593220339, 'height': 293.0, 'width': 111.93220338983048}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",saCnKfp0pL0,https://www.youtube.com/watch?v=saCnKfp0pL0
cll8l0bf700963o6lv61akc9u,1224,back,,Abnormal Gait,myopathic,"{'top': 32.66101694915254, 'left': 324.4406779661017, 'height': 292.0, 'width': 111.77966101694915}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",saCnKfp0pL0,https://www.youtube.com/watch?v=saCnKfp0pL0
cll8l0bf700963o6lv61akc9u,1225,back,,Abnormal Gait,myopathic,"{'top': 33.11864406779661, 'left': 324.7457627118644, 'height': 291.0, 'width': 111.62711864406776}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",saCnKfp0pL0,https://www.youtube.com/watch?v=saCnKfp0pL0
cll8l0bf700963o6lv61akc9u,1226,back,,Abnormal Gait,myopathic,"{'top': 33.57627118644068, 'left': 325.0508474576271, 'height': 290.0, 'width': 111.47457627118644}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",saCnKfp0pL0,https://www.youtube.com/watch?v=saCnKfp0pL0
cll8l0bf700963o6lv61akc9u,1227,back,,Abnormal Gait,myopathic,"{'top': 34.03389830508475, 'left': 325.35593220338984, 'height': 289.0, 'width': 111.32203389830505}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",saCnKfp0pL0,https://www.youtube.com/watch?v=saCnKfp0pL0
cll8l0bf700963o6lv61akc9u,1228,back,,Abnormal Gait,myopathic,"{'top': 34.49152542372882, 'left': 325.66101694915255, 'height': 288.0, 'width': 111.16949152542372}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",saCnKfp0pL0,https://www.youtube.com/watch?v=saCnKfp0pL0
cll8l0bf700963o6lv61akc9u,1229,back,,Abnormal Gait,myopathic,"{'top': 34.94915254237288, 'left': 325.96610169491527, 'height': 287.0, 'width': 111.01694915254234}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",saCnKfp0pL0,https://www.youtube.com/watch?v=saCnKfp0pL0
cll8l0bf700963o6lv61akc9u,1230,back,,Abnormal Gait,myopathic,"{'top': 35.40677966101695, 'left': 326.271186440678, 'height': 286.0, 'width': 110.86440677966101}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",saCnKfp0pL0,https://www.youtube.com/watch?v=saCnKfp0pL0
cll8l0bf700963o6lv61akc9u,1231,back,,Abnormal Gait,myopathic,"{'top': 35.86440677966102, 'left': 326.5762711864407, 'height': 285.0, 'width': 110.71186440677963}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",saCnKfp0pL0,https://www.youtube.com/watch?v=saCnKfp0pL0
cll8l0bf700963o6lv61akc9u,1232,back,,Abnormal Gait,myopathic,"{'top': 36.32203389830509, 'left': 326.8813559322034, 'height': 284.0, 'width': 110.5593220338983}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",saCnKfp0pL0,https://www.youtube.com/watch?v=saCnKfp0pL0
cll8l0bf700963o6lv61akc9u,1233,back,,Abnormal Gait,myopathic,"{'top': 36.779661016949156, 'left': 327.1864406779661, 'height': 283.0, 'width': 110.40677966101691}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",saCnKfp0pL0,https://www.youtube.com/watch?v=saCnKfp0pL0
cll8l0bf700963o6lv61akc9u,1234,back,,Abnormal Gait,myopathic,"{'top': 37.23728813559322, 'left': 327.49152542372883, 'height': 282.0, 'width': 110.25423728813558}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",saCnKfp0pL0,https://www.youtube.com/watch?v=saCnKfp0pL0
cll8l0bf700963o6lv61akc9u,1235,back,,Abnormal Gait,myopathic,"{'top': 37.69491525423729, 'left': 327.79661016949154, 'height': 281.0, 'width': 110.1016949152542}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",saCnKfp0pL0,https://www.youtube.com/watch?v=saCnKfp0pL0
cll8l0bf700963o6lv61akc9u,1236,back,,Abnormal Gait,myopathic,"{'top': 38.152542372881356, 'left': 328.10169491525426, 'height': 280.0, 'width': 109.94915254237287}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",saCnKfp0pL0,https://www.youtube.com/watch?v=saCnKfp0pL0
cll8l0bf700963o6lv61akc9u,1237,back,,Abnormal Gait,myopathic,"{'top': 38.610169491525426, 'left': 328.40677966101697, 'height': 279.0, 'width': 109.79661016949149}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",saCnKfp0pL0,https://www.youtube.com/watch?v=saCnKfp0pL0
cll8l0bf700963o6lv61akc9u,1238,back,,Abnormal Gait,myopathic,"{'top': 39.067796610169495, 'left': 328.7118644067797, 'height': 278.0, 'width': 109.64406779661016}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",saCnKfp0pL0,https://www.youtube.com/watch?v=saCnKfp0pL0
cll8l0bf700963o6lv61akc9u,1239,back,,Abnormal Gait,myopathic,"{'top': 39.525423728813564, 'left': 329.0169491525424, 'height': 277.0, 'width': 109.49152542372877}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",saCnKfp0pL0,https://www.youtube.com/watch?v=saCnKfp0pL0
cll8l0bf700963o6lv61akc9u,1240,back,,Abnormal Gait,myopathic,"{'top': 39.983050847457626, 'left': 329.3220338983051, 'height': 276.0, 'width': 109.33898305084745}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",saCnKfp0pL0,https://www.youtube.com/watch?v=saCnKfp0pL0
cll8l0bf700963o6lv61akc9u,1241,back,,Abnormal Gait,myopathic,"{'top': 40.440677966101696, 'left': 329.6271186440678, 'height': 275.0, 'width': 109.18644067796606}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",saCnKfp0pL0,https://www.youtube.com/watch?v=saCnKfp0pL0
cll8l0bf700963o6lv61akc9u,1242,back,,Abnormal Gait,myopathic,"{'top': 40.898305084745765, 'left': 329.93220338983053, 'height': 274.0, 'width': 109.03389830508473}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",saCnKfp0pL0,https://www.youtube.com/watch?v=saCnKfp0pL0
cll8l0bf700963o6lv61akc9u,1243,back,,Abnormal Gait,myopathic,"{'top': 41.35593220338983, 'left': 330.23728813559325, 'height': 273.0, 'width': 108.88135593220335}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",saCnKfp0pL0,https://www.youtube.com/watch?v=saCnKfp0pL0
cll8l0bf700963o6lv61akc9u,1244,back,,Abnormal Gait,myopathic,"{'top': 41.813559322033896, 'left': 330.54237288135596, 'height': 272.0, 'width': 108.72881355932202}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",saCnKfp0pL0,https://www.youtube.com/watch?v=saCnKfp0pL0
cll8l0bf700963o6lv61akc9u,1245,back,,Abnormal Gait,myopathic,"{'top': 42.271186440677965, 'left': 330.8474576271186, 'height': 271.0, 'width': 108.57627118644069}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",saCnKfp0pL0,https://www.youtube.com/watch?v=saCnKfp0pL0
cll8l0bf700963o6lv61akc9u,1246,back,,Abnormal Gait,myopathic,"{'top': 42.728813559322035, 'left': 331.1525423728814, 'height': 270.0, 'width': 108.42372881355931}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",saCnKfp0pL0,https://www.youtube.com/watch?v=saCnKfp0pL0
cll8l0bf700963o6lv61akc9u,1247,back,,Abnormal Gait,myopathic,"{'top': 43.186440677966104, 'left': 331.45762711864404, 'height': 269.0, 'width': 108.27118644067798}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",saCnKfp0pL0,https://www.youtube.com/watch?v=saCnKfp0pL0
cll8l0bf700963o6lv61akc9u,1248,back,,Abnormal Gait,myopathic,"{'top': 43.64406779661017, 'left': 331.76271186440675, 'height': 268.0, 'width': 108.11864406779665}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",saCnKfp0pL0,https://www.youtube.com/watch?v=saCnKfp0pL0
cll8l0bf700963o6lv61akc9u,1249,back,,Abnormal Gait,myopathic,"{'top': 44.101694915254235, 'left': 332.06779661016947, 'height': 267.0, 'width': 107.96610169491527}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",saCnKfp0pL0,https://www.youtube.com/watch?v=saCnKfp0pL0
cll8l0bf700963o6lv61akc9u,1250,back,,Abnormal Gait,myopathic,"{'top': 44.559322033898304, 'left': 332.3728813559322, 'height': 266.0, 'width': 107.81355932203394}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",saCnKfp0pL0,https://www.youtube.com/watch?v=saCnKfp0pL0
cll8l0bf700963o6lv61akc9u,1251,back,,Abnormal Gait,myopathic,"{'top': 45.016949152542374, 'left': 332.6779661016949, 'height': 265.0, 'width': 107.66101694915255}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",saCnKfp0pL0,https://www.youtube.com/watch?v=saCnKfp0pL0
cll8l0bf700963o6lv61akc9u,1252,back,,Abnormal Gait,myopathic,"{'top': 45.47457627118644, 'left': 332.9830508474576, 'height': 264.0, 'width': 107.50847457627123}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",saCnKfp0pL0,https://www.youtube.com/watch?v=saCnKfp0pL0
cll8l0bf700963o6lv61akc9u,1253,back,,Abnormal Gait,myopathic,"{'top': 45.932203389830505, 'left': 333.2881355932203, 'height': 263.0, 'width': 107.35593220338984}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",saCnKfp0pL0,https://www.youtube.com/watch?v=saCnKfp0pL0
cll8l0bf700963o6lv61akc9u,1254,back,,Abnormal Gait,myopathic,"{'top': 46.389830508474574, 'left': 333.59322033898303, 'height': 262.0, 'width': 107.20338983050851}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",saCnKfp0pL0,https://www.youtube.com/watch?v=saCnKfp0pL0
cll8l0bf700963o6lv61akc9u,1255,back,,Abnormal Gait,myopathic,"{'top': 46.847457627118644, 'left': 333.89830508474574, 'height': 261.0, 'width': 107.05084745762713}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",saCnKfp0pL0,https://www.youtube.com/watch?v=saCnKfp0pL0
cll8l0bf700963o6lv61akc9u,1256,back,,Abnormal Gait,myopathic,"{'top': 47.30508474576271, 'left': 334.20338983050846, 'height': 260.0, 'width': 106.8983050847458}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",saCnKfp0pL0,https://www.youtube.com/watch?v=saCnKfp0pL0
cll8l0bf700963o6lv61akc9u,1257,back,,Abnormal Gait,myopathic,"{'top': 47.76271186440678, 'left': 334.50847457627117, 'height': 259.0, 'width': 106.74576271186442}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",saCnKfp0pL0,https://www.youtube.com/watch?v=saCnKfp0pL0
cll8l0bf700963o6lv61akc9u,1258,back,,Abnormal Gait,myopathic,"{'top': 48.22033898305085, 'left': 334.8135593220339, 'height': 258.0, 'width': 106.59322033898309}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",saCnKfp0pL0,https://www.youtube.com/watch?v=saCnKfp0pL0
cll8l0bf700963o6lv61akc9u,1259,back,,Abnormal Gait,myopathic,"{'top': 48.67796610169491, 'left': 335.1186440677966, 'height': 257.0, 'width': 106.4406779661017}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",saCnKfp0pL0,https://www.youtube.com/watch?v=saCnKfp0pL0
cll8l0bf700963o6lv61akc9u,1260,back,,Abnormal Gait,myopathic,"{'top': 49.13559322033898, 'left': 335.4237288135593, 'height': 256.0, 'width': 106.28813559322037}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",saCnKfp0pL0,https://www.youtube.com/watch?v=saCnKfp0pL0
cll8l0bf700963o6lv61akc9u,1261,back,,Abnormal Gait,myopathic,"{'top': 49.593220338983045, 'left': 335.728813559322, 'height': 255.0, 'width': 106.13559322033899}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",saCnKfp0pL0,https://www.youtube.com/watch?v=saCnKfp0pL0
cll8l0bf700963o6lv61akc9u,1262,back,,Abnormal Gait,myopathic,"{'top': 50.05084745762712, 'left': 336.03389830508473, 'height': 254.0, 'width': 105.98305084745766}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",saCnKfp0pL0,https://www.youtube.com/watch?v=saCnKfp0pL0
cll8l0bf700963o6lv61akc9u,1263,back,,Abnormal Gait,myopathic,"{'top': 50.50847457627118, 'left': 336.33898305084745, 'height': 253.0, 'width': 105.83050847457628}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",saCnKfp0pL0,https://www.youtube.com/watch?v=saCnKfp0pL0
cll8l0bf700963o6lv61akc9u,1264,back,,Abnormal Gait,myopathic,"{'top': 50.96610169491525, 'left': 336.64406779661016, 'height': 252.0, 'width': 105.67796610169495}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",saCnKfp0pL0,https://www.youtube.com/watch?v=saCnKfp0pL0
cll8l0bf700963o6lv61akc9u,1265,back,,Abnormal Gait,myopathic,"{'top': 51.42372881355932, 'left': 336.9491525423729, 'height': 251.0, 'width': 105.52542372881356}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",saCnKfp0pL0,https://www.youtube.com/watch?v=saCnKfp0pL0
cll8l0bf700963o6lv61akc9u,1266,back,,Abnormal Gait,myopathic,"{'top': 51.88135593220339, 'left': 337.2542372881356, 'height': 250.0, 'width': 105.37288135593224}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",saCnKfp0pL0,https://www.youtube.com/watch?v=saCnKfp0pL0
cll8l0bf700963o6lv61akc9u,1267,back,,Abnormal Gait,myopathic,"{'top': 52.33898305084746, 'left': 337.5593220338983, 'height': 249.0, 'width': 105.22033898305085}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",saCnKfp0pL0,https://www.youtube.com/watch?v=saCnKfp0pL0
cll8l0bf700963o6lv61akc9u,1268,back,,Abnormal Gait,myopathic,"{'top': 52.79661016949153, 'left': 337.864406779661, 'height': 248.0, 'width': 105.06779661016952}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",saCnKfp0pL0,https://www.youtube.com/watch?v=saCnKfp0pL0
cll8l0bf700963o6lv61akc9u,1269,back,,Abnormal Gait,myopathic,"{'top': 53.2542372881356, 'left': 338.1694915254237, 'height': 247.0, 'width': 104.91525423728814}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",saCnKfp0pL0,https://www.youtube.com/watch?v=saCnKfp0pL0
cll8l0bf700963o6lv61akc9u,1270,back,,Abnormal Gait,myopathic,"{'top': 53.71186440677966, 'left': 338.47457627118644, 'height': 246.00000000000003, 'width': 104.76271186440681}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",saCnKfp0pL0,https://www.youtube.com/watch?v=saCnKfp0pL0
cll8l0bf700963o6lv61akc9u,1271,back,,Abnormal Gait,myopathic,"{'top': 54.16949152542372, 'left': 338.77966101694915, 'height': 245.0, 'width': 104.61016949152543}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",saCnKfp0pL0,https://www.youtube.com/watch?v=saCnKfp0pL0
cll8l0bf700963o6lv61akc9u,1272,back,,Abnormal Gait,myopathic,"{'top': 54.62711864406779, 'left': 339.08474576271186, 'height': 244.00000000000003, 'width': 104.4576271186441}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",saCnKfp0pL0,https://www.youtube.com/watch?v=saCnKfp0pL0
cll8l0bf700963o6lv61akc9u,1273,back,,Abnormal Gait,myopathic,"{'top': 55.08474576271186, 'left': 339.3898305084746, 'height': 243.0, 'width': 104.30508474576271}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",saCnKfp0pL0,https://www.youtube.com/watch?v=saCnKfp0pL0
cll8l0bf700963o6lv61akc9u,1274,back,,Abnormal Gait,myopathic,"{'top': 55.54237288135593, 'left': 339.6949152542373, 'height': 242.00000000000003, 'width': 104.15254237288133}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",saCnKfp0pL0,https://www.youtube.com/watch?v=saCnKfp0pL0
cll8l0bf700963o6lv61akc9u,1275,back,,Abnormal Gait,myopathic,"{'top': 56.0, 'left': 340.0, 'height': 241.0, 'width': 104.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",saCnKfp0pL0,https://www.youtube.com/watch?v=saCnKfp0pL0
cll8l0bf700963o6lv61akc9u,1276,back,,Abnormal Gait,myopathic,"{'top': 56.46341463414634, 'left': 340.2926829268293, 'height': 239.82926829268294, 'width': 103.21951219512192}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",saCnKfp0pL0,https://www.youtube.com/watch?v=saCnKfp0pL0
cll8l0bf700963o6lv61akc9u,1277,back,,Abnormal Gait,myopathic,"{'top': 56.926829268292686, 'left': 340.5853658536585, 'height': 238.65853658536582, 'width': 102.4390243902439}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",saCnKfp0pL0,https://www.youtube.com/watch?v=saCnKfp0pL0
cll8l0bf700963o6lv61akc9u,1278,back,,Abnormal Gait,myopathic,"{'top': 57.390243902439025, 'left': 340.8780487804878, 'height': 237.4878048780488, 'width': 101.65853658536588}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",saCnKfp0pL0,https://www.youtube.com/watch?v=saCnKfp0pL0
cll8l0bf700963o6lv61akc9u,1279,back,,Abnormal Gait,myopathic,"{'top': 57.853658536585364, 'left': 341.1707317073171, 'height': 236.31707317073173, 'width': 100.8780487804878}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",saCnKfp0pL0,https://www.youtube.com/watch?v=saCnKfp0pL0
cll8l0bf700963o6lv61akc9u,1280,back,,Abnormal Gait,myopathic,"{'top': 58.31707317073171, 'left': 341.4634146341463, 'height': 235.14634146341461, 'width': 100.09756097560978}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",saCnKfp0pL0,https://www.youtube.com/watch?v=saCnKfp0pL0
cll8l0bf700963o6lv61akc9u,1281,back,,Abnormal Gait,myopathic,"{'top': 58.78048780487805, 'left': 341.7560975609756, 'height': 233.97560975609755, 'width': 99.3170731707317}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",saCnKfp0pL0,https://www.youtube.com/watch?v=saCnKfp0pL0
cll8l0bf700963o6lv61akc9u,1282,back,,Abnormal Gait,myopathic,"{'top': 59.24390243902439, 'left': 342.0487804878049, 'height': 232.8048780487805, 'width': 98.53658536585363}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",saCnKfp0pL0,https://www.youtube.com/watch?v=saCnKfp0pL0
cll8l0bf700963o6lv61akc9u,1283,back,,Abnormal Gait,myopathic,"{'top': 59.707317073170735, 'left': 342.3414634146341, 'height': 231.63414634146338, 'width': 97.75609756097566}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",saCnKfp0pL0,https://www.youtube.com/watch?v=saCnKfp0pL0
cll8l0bf700963o6lv61akc9u,1284,back,,Abnormal Gait,myopathic,"{'top': 60.170731707317074, 'left': 342.6341463414634, 'height': 230.46341463414632, 'width': 96.97560975609758}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",saCnKfp0pL0,https://www.youtube.com/watch?v=saCnKfp0pL0
cll8l0bf700963o6lv61akc9u,1285,back,,Abnormal Gait,myopathic,"{'top': 60.63414634146341, 'left': 342.9268292682927, 'height': 229.2926829268293, 'width': 96.1951219512195}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",saCnKfp0pL0,https://www.youtube.com/watch?v=saCnKfp0pL0
cll8l0bf700963o6lv61akc9u,1286,back,,Abnormal Gait,myopathic,"{'top': 61.09756097560975, 'left': 343.219512195122, 'height': 228.12195121951223, 'width': 95.41463414634143}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",saCnKfp0pL0,https://www.youtube.com/watch?v=saCnKfp0pL0
cll8l0bf700963o6lv61akc9u,1287,back,,Abnormal Gait,myopathic,"{'top': 61.5609756097561, 'left': 343.5121951219512, 'height': 226.9512195121951, 'width': 94.6341463414634}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",saCnKfp0pL0,https://www.youtube.com/watch?v=saCnKfp0pL0
cll8l0bf700963o6lv61akc9u,1288,back,,Abnormal Gait,myopathic,"{'top': 62.02439024390244, 'left': 343.8048780487805, 'height': 225.78048780487805, 'width': 93.85365853658539}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",saCnKfp0pL0,https://www.youtube.com/watch?v=saCnKfp0pL0
cll8l0bf700963o6lv61akc9u,1289,back,,Abnormal Gait,myopathic,"{'top': 62.48780487804878, 'left': 344.0975609756098, 'height': 224.609756097561, 'width': 93.07317073170731}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",saCnKfp0pL0,https://www.youtube.com/watch?v=saCnKfp0pL0
cll8l0bf700963o6lv61akc9u,1290,back,,Abnormal Gait,myopathic,"{'top': 62.951219512195124, 'left': 344.390243902439, 'height': 223.4390243902439, 'width': 92.29268292682929}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",saCnKfp0pL0,https://www.youtube.com/watch?v=saCnKfp0pL0
cll8l0bf700963o6lv61akc9u,1291,back,,Abnormal Gait,myopathic,"{'top': 63.41463414634146, 'left': 344.6829268292683, 'height': 222.26829268292684, 'width': 91.51219512195121}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",saCnKfp0pL0,https://www.youtube.com/watch?v=saCnKfp0pL0
