seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cll8yagvo002h3o6logwq14xn,1126,left side,,Abnormal Gait,myopathic,"{'top': 54.0, 'left': 670.0, 'height': 352.0, 'width': 133.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",t_-37DIMeG0,https://www.youtube.com/watch?v=t_-37DIMeG0
cll8yagvo002h3o6logwq14xn,1127,left side,,Abnormal Gait,myopathic,"{'top': 54.0, 'left': 667.4285714285714, 'height': 354.42857142857144, 'width': 142.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",t_-37DIMeG0,https://www.youtube.com/watch?v=t_-37DIMeG0
cll8yagvo002h3o6logwq14xn,1128,left side,,Abnormal Gait,myopathic,"{'top': 54.0, 'left': 664.8571428571429, 'height': 356.85714285714283, 'width': 151.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",t_-37DIMeG0,https://www.youtube.com/watch?v=t_-37DIMeG0
cll8yagvo002h3o6logwq14xn,1129,left side,,Abnormal Gait,myopathic,"{'top': 54.0, 'left': 662.2857142857143, 'height': 359.2857142857143, 'width': 160.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",t_-37DIMeG0,https://www.youtube.com/watch?v=t_-37DIMeG0
cll8yagvo002h3o6logwq14xn,1130,left side,,Abnormal Gait,myopathic,"{'top': 54.0, 'left': 659.7142857142857, 'height': 361.7142857142857, 'width': 169.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",t_-37DIMeG0,https://www.youtube.com/watch?v=t_-37DIMeG0
cll8yagvo002h3o6logwq14xn,1131,left side,,Abnormal Gait,myopathic,"{'top': 54.0, 'left': 657.1428571428571, 'height': 364.14285714285717, 'width': 178.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",t_-37DIMeG0,https://www.youtube.com/watch?v=t_-37DIMeG0
cll8yagvo002h3o6logwq14xn,1132,left side,,Abnormal Gait,myopathic,"{'top': 54.0, 'left': 654.5714285714286, 'height': 366.57142857142856, 'width': 187.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",t_-37DIMeG0,https://www.youtube.com/watch?v=t_-37DIMeG0
cll8yagvo002h3o6logwq14xn,1133,left side,,Abnormal Gait,myopathic,"{'top': 54.0, 'left': 652.0, 'height': 369.0, 'width': 196.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",t_-37DIMeG0,https://www.youtube.com/watch?v=t_-37DIMeG0
cll8yagvo002h3o6logwq14xn,1134,left side,,Abnormal Gait,myopathic,"{'top': 54.08695652173913, 'left': 649.4782608695652, 'height': 369.17391304347825, 'width': 198.56521739130437}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",t_-37DIMeG0,https://www.youtube.com/watch?v=t_-37DIMeG0
cll8yagvo002h3o6logwq14xn,1135,left side,,Abnormal Gait,myopathic,"{'top': 54.17391304347826, 'left': 646.9565217391304, 'height': 369.34782608695656, 'width': 201.13043478260875}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",t_-37DIMeG0,https://www.youtube.com/watch?v=t_-37DIMeG0
cll8yagvo002h3o6logwq14xn,1136,left side,,Abnormal Gait,myopathic,"{'top': 54.26086956521739, 'left': 644.4347826086956, 'height': 369.5217391304348, 'width': 203.69565217391312}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",t_-37DIMeG0,https://www.youtube.com/watch?v=t_-37DIMeG0
cll8yagvo002h3o6logwq14xn,1137,left side,,Abnormal Gait,myopathic,"{'top': 54.34782608695652, 'left': 641.9130434782609, 'height': 369.69565217391306, 'width': 206.26086956521738}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",t_-37DIMeG0,https://www.youtube.com/watch?v=t_-37DIMeG0
cll8yagvo002h3o6logwq14xn,1138,left side,,Abnormal Gait,myopathic,"{'top': 54.43478260869565, 'left': 639.3913043478261, 'height': 369.8695652173913, 'width': 208.82608695652175}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",t_-37DIMeG0,https://www.youtube.com/watch?v=t_-37DIMeG0
cll8yagvo002h3o6logwq14xn,1139,left side,,Abnormal Gait,myopathic,"{'top': 54.52173913043478, 'left': 636.8695652173913, 'height': 370.0434782608696, 'width': 211.39130434782612}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",t_-37DIMeG0,https://www.youtube.com/watch?v=t_-37DIMeG0
cll8yagvo002h3o6logwq14xn,1140,left side,,Abnormal Gait,myopathic,"{'top': 54.608695652173914, 'left': 634.3478260869565, 'height': 370.2173913043478, 'width': 213.9565217391305}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",t_-37DIMeG0,https://www.youtube.com/watch?v=t_-37DIMeG0
cll8yagvo002h3o6logwq14xn,1141,left side,,Abnormal Gait,myopathic,"{'top': 54.69565217391305, 'left': 631.8260869565217, 'height': 370.39130434782606, 'width': 216.52173913043475}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",t_-37DIMeG0,https://www.youtube.com/watch?v=t_-37DIMeG0
cll8yagvo002h3o6logwq14xn,1142,left side,,Abnormal Gait,myopathic,"{'top': 54.78260869565217, 'left': 629.304347826087, 'height': 370.5652173913043, 'width': 219.08695652173913}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",t_-37DIMeG0,https://www.youtube.com/watch?v=t_-37DIMeG0
cll8yagvo002h3o6logwq14xn,1143,left side,,Abnormal Gait,myopathic,"{'top': 54.869565217391305, 'left': 626.7826086956521, 'height': 370.7391304347826, 'width': 221.6521739130435}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",t_-37DIMeG0,https://www.youtube.com/watch?v=t_-37DIMeG0
cll8yagvo002h3o6logwq14xn,1144,left side,,Abnormal Gait,myopathic,"{'top': 54.95652173913044, 'left': 624.2608695652174, 'height': 370.9130434782609, 'width': 224.21739130434787}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",t_-37DIMeG0,https://www.youtube.com/watch?v=t_-37DIMeG0
cll8yagvo002h3o6logwq14xn,1145,left side,,Abnormal Gait,myopathic,"{'top': 55.04347826086956, 'left': 621.7391304347826, 'height': 371.0869565217391, 'width': 226.78260869565213}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",t_-37DIMeG0,https://www.youtube.com/watch?v=t_-37DIMeG0
cll8yagvo002h3o6logwq14xn,1146,left side,,Abnormal Gait,myopathic,"{'top': 55.130434782608695, 'left': 619.2173913043479, 'height': 371.2608695652174, 'width': 229.3478260869565}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",t_-37DIMeG0,https://www.youtube.com/watch?v=t_-37DIMeG0
cll8yagvo002h3o6logwq14xn,1147,left side,,Abnormal Gait,myopathic,"{'top': 55.21739130434783, 'left': 616.695652173913, 'height': 371.4347826086957, 'width': 231.91304347826087}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",t_-37DIMeG0,https://www.youtube.com/watch?v=t_-37DIMeG0
cll8yagvo002h3o6logwq14xn,1148,left side,,Abnormal Gait,myopathic,"{'top': 55.30434782608695, 'left': 614.1739130434783, 'height': 371.60869565217394, 'width': 234.47826086956525}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",t_-37DIMeG0,https://www.youtube.com/watch?v=t_-37DIMeG0
cll8yagvo002h3o6logwq14xn,1149,left side,,Abnormal Gait,myopathic,"{'top': 55.391304347826086, 'left': 611.6521739130435, 'height': 371.7826086956522, 'width': 237.0434782608695}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",t_-37DIMeG0,https://www.youtube.com/watch?v=t_-37DIMeG0
cll8yagvo002h3o6logwq14xn,1150,left side,,Abnormal Gait,myopathic,"{'top': 55.47826086956522, 'left': 609.1304347826087, 'height': 371.9565217391304, 'width': 239.60869565217388}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",t_-37DIMeG0,https://www.youtube.com/watch?v=t_-37DIMeG0
cll8yagvo002h3o6logwq14xn,1151,left side,,Abnormal Gait,myopathic,"{'top': 55.56521739130435, 'left': 606.6086956521739, 'height': 372.1304347826087, 'width': 242.17391304347825}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",t_-37DIMeG0,https://www.youtube.com/watch?v=t_-37DIMeG0
cll8yagvo002h3o6logwq14xn,1152,left side,,Abnormal Gait,myopathic,"{'top': 55.65217391304348, 'left': 604.0869565217391, 'height': 372.30434782608694, 'width': 244.73913043478262}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",t_-37DIMeG0,https://www.youtube.com/watch?v=t_-37DIMeG0
cll8yagvo002h3o6logwq14xn,1153,left side,,Abnormal Gait,myopathic,"{'top': 55.73913043478261, 'left': 601.5652173913044, 'height': 372.4782608695652, 'width': 247.30434782608688}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",t_-37DIMeG0,https://www.youtube.com/watch?v=t_-37DIMeG0
cll8yagvo002h3o6logwq14xn,1154,left side,,Abnormal Gait,myopathic,"{'top': 55.82608695652174, 'left': 599.0434782608696, 'height': 372.65217391304344, 'width': 249.86956521739125}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",t_-37DIMeG0,https://www.youtube.com/watch?v=t_-37DIMeG0
cll8yagvo002h3o6logwq14xn,1155,left side,,Abnormal Gait,myopathic,"{'top': 55.91304347826087, 'left': 596.5217391304348, 'height': 372.82608695652175, 'width': 252.43478260869563}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",t_-37DIMeG0,https://www.youtube.com/watch?v=t_-37DIMeG0
cll8yagvo002h3o6logwq14xn,1156,left side,,Abnormal Gait,myopathic,"{'top': 56.0, 'left': 594.0, 'height': 373.0, 'width': 255.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",t_-37DIMeG0,https://www.youtube.com/watch?v=t_-37DIMeG0
cll8yagvo002h3o6logwq14xn,1157,left side,,Abnormal Gait,myopathic,"{'top': 56.07692307692308, 'left': 591.4615384615385, 'height': 372.88461538461536, 'width': 255.73076923076928}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",t_-37DIMeG0,https://www.youtube.com/watch?v=t_-37DIMeG0
cll8yagvo002h3o6logwq14xn,1158,left side,,Abnormal Gait,myopathic,"{'top': 56.15384615384615, 'left': 588.9230769230769, 'height': 372.7692307692308, 'width': 256.46153846153845}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",t_-37DIMeG0,https://www.youtube.com/watch?v=t_-37DIMeG0
cll8yagvo002h3o6logwq14xn,1159,left side,,Abnormal Gait,myopathic,"{'top': 56.23076923076923, 'left': 586.3846153846154, 'height': 372.65384615384613, 'width': 257.19230769230774}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",t_-37DIMeG0,https://www.youtube.com/watch?v=t_-37DIMeG0
cll8yagvo002h3o6logwq14xn,1160,left side,,Abnormal Gait,myopathic,"{'top': 56.30769230769231, 'left': 583.8461538461538, 'height': 372.53846153846155, 'width': 257.9230769230769}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",t_-37DIMeG0,https://www.youtube.com/watch?v=t_-37DIMeG0
cll8yagvo002h3o6logwq14xn,1161,left side,,Abnormal Gait,myopathic,"{'top': 56.38461538461539, 'left': 581.3076923076923, 'height': 372.4230769230769, 'width': 258.6538461538462}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",t_-37DIMeG0,https://www.youtube.com/watch?v=t_-37DIMeG0
cll8yagvo002h3o6logwq14xn,1162,left side,,Abnormal Gait,myopathic,"{'top': 56.46153846153846, 'left': 578.7692307692307, 'height': 372.3076923076923, 'width': 259.3846153846155}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",t_-37DIMeG0,https://www.youtube.com/watch?v=t_-37DIMeG0
cll8yagvo002h3o6logwq14xn,1163,left side,,Abnormal Gait,myopathic,"{'top': 56.53846153846154, 'left': 576.2307692307693, 'height': 372.1923076923077, 'width': 260.1153846153845}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",t_-37DIMeG0,https://www.youtube.com/watch?v=t_-37DIMeG0
cll8yagvo002h3o6logwq14xn,1164,left side,,Abnormal Gait,myopathic,"{'top': 56.61538461538461, 'left': 573.6923076923077, 'height': 372.0769230769231, 'width': 260.8461538461538}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",t_-37DIMeG0,https://www.youtube.com/watch?v=t_-37DIMeG0
cll8yagvo002h3o6logwq14xn,1165,left side,,Abnormal Gait,myopathic,"{'top': 56.69230769230769, 'left': 571.1538461538462, 'height': 371.96153846153845, 'width': 261.5769230769231}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",t_-37DIMeG0,https://www.youtube.com/watch?v=t_-37DIMeG0
cll8yagvo002h3o6logwq14xn,1166,left side,,Abnormal Gait,myopathic,"{'top': 56.769230769230774, 'left': 568.6153846153846, 'height': 371.84615384615387, 'width': 262.30769230769226}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",t_-37DIMeG0,https://www.youtube.com/watch?v=t_-37DIMeG0
cll8yagvo002h3o6logwq14xn,1167,left side,,Abnormal Gait,myopathic,"{'top': 56.84615384615385, 'left': 566.0769230769231, 'height': 371.7307692307692, 'width': 263.03846153846155}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",t_-37DIMeG0,https://www.youtube.com/watch?v=t_-37DIMeG0
cll8yagvo002h3o6logwq14xn,1168,left side,,Abnormal Gait,myopathic,"{'top': 56.92307692307692, 'left': 563.5384615384615, 'height': 371.61538461538464, 'width': 263.7692307692307}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",t_-37DIMeG0,https://www.youtube.com/watch?v=t_-37DIMeG0
cll8yagvo002h3o6logwq14xn,1169,left side,,Abnormal Gait,myopathic,"{'top': 57.0, 'left': 561.0, 'height': 371.5, 'width': 264.5}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",t_-37DIMeG0,https://www.youtube.com/watch?v=t_-37DIMeG0
cll8yagvo002h3o6logwq14xn,1170,left side,,Abnormal Gait,myopathic,"{'top': 57.07692307692308, 'left': 558.4615384615385, 'height': 371.38461538461536, 'width': 265.2307692307693}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",t_-37DIMeG0,https://www.youtube.com/watch?v=t_-37DIMeG0
cll8yagvo002h3o6logwq14xn,1171,left side,,Abnormal Gait,myopathic,"{'top': 57.15384615384615, 'left': 555.9230769230769, 'height': 371.2692307692308, 'width': 265.96153846153845}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",t_-37DIMeG0,https://www.youtube.com/watch?v=t_-37DIMeG0
cll8yagvo002h3o6logwq14xn,1172,left side,,Abnormal Gait,myopathic,"{'top': 57.23076923076923, 'left': 553.3846153846154, 'height': 371.15384615384613, 'width': 266.69230769230774}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",t_-37DIMeG0,https://www.youtube.com/watch?v=t_-37DIMeG0
cll8yagvo002h3o6logwq14xn,1173,left side,,Abnormal Gait,myopathic,"{'top': 57.30769230769231, 'left': 550.8461538461538, 'height': 371.03846153846155, 'width': 267.4230769230769}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",t_-37DIMeG0,https://www.youtube.com/watch?v=t_-37DIMeG0
cll8yagvo002h3o6logwq14xn,1174,left side,,Abnormal Gait,myopathic,"{'top': 57.38461538461539, 'left': 548.3076923076923, 'height': 370.9230769230769, 'width': 268.1538461538462}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",t_-37DIMeG0,https://www.youtube.com/watch?v=t_-37DIMeG0
cll8yagvo002h3o6logwq14xn,1175,left side,,Abnormal Gait,myopathic,"{'top': 57.46153846153846, 'left': 545.7692307692307, 'height': 370.8076923076923, 'width': 268.8846153846155}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",t_-37DIMeG0,https://www.youtube.com/watch?v=t_-37DIMeG0
cll8yagvo002h3o6logwq14xn,1176,left side,,Abnormal Gait,myopathic,"{'top': 57.53846153846154, 'left': 543.2307692307693, 'height': 370.6923076923077, 'width': 269.6153846153845}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",t_-37DIMeG0,https://www.youtube.com/watch?v=t_-37DIMeG0
cll8yagvo002h3o6logwq14xn,1177,left side,,Abnormal Gait,myopathic,"{'top': 57.61538461538461, 'left': 540.6923076923077, 'height': 370.5769230769231, 'width': 270.3461538461538}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",t_-37DIMeG0,https://www.youtube.com/watch?v=t_-37DIMeG0
cll8yagvo002h3o6logwq14xn,1178,left side,,Abnormal Gait,myopathic,"{'top': 57.69230769230769, 'left': 538.1538461538462, 'height': 370.46153846153845, 'width': 271.0769230769231}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",t_-37DIMeG0,https://www.youtube.com/watch?v=t_-37DIMeG0
cll8yagvo002h3o6logwq14xn,1179,left side,,Abnormal Gait,myopathic,"{'top': 57.769230769230774, 'left': 535.6153846153846, 'height': 370.34615384615387, 'width': 271.80769230769226}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",t_-37DIMeG0,https://www.youtube.com/watch?v=t_-37DIMeG0
cll8yagvo002h3o6logwq14xn,1180,left side,,Abnormal Gait,myopathic,"{'top': 57.84615384615385, 'left': 533.0769230769231, 'height': 370.2307692307692, 'width': 272.53846153846155}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",t_-37DIMeG0,https://www.youtube.com/watch?v=t_-37DIMeG0
cll8yagvo002h3o6logwq14xn,1181,left side,,Abnormal Gait,myopathic,"{'top': 57.92307692307692, 'left': 530.5384615384615, 'height': 370.11538461538464, 'width': 273.2692307692307}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",t_-37DIMeG0,https://www.youtube.com/watch?v=t_-37DIMeG0
cll8yagvo002h3o6logwq14xn,1182,left side,,Abnormal Gait,myopathic,"{'top': 58.0, 'left': 528.0, 'height': 370.0, 'width': 274.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",t_-37DIMeG0,https://www.youtube.com/watch?v=t_-37DIMeG0
