seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cll8ybcxb002p3o6l2rlnx6fb,1729,back,,Abnormal Gait,myopathic,"{'top': 0.0, 'left': 273.0, 'height': 480.0, 'width': 272.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",t_-37DIMeG0,https://www.youtube.com/watch?v=t_-37DIMeG0
cll8ybcxb002p3o6l2rlnx6fb,1730,back,,Abnormal Gait,myopathic,"{'top': 0.0, 'left': 271.55172413793105, 'height': 480.0, 'width': 274.1034482758621}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",t_-37DIMeG0,https://www.youtube.com/watch?v=t_-37DIMeG0
cll8ybcxb002p3o6l2rlnx6fb,1731,back,,Abnormal Gait,myopathic,"{'top': 0.0, 'left': 270.1034482758621, 'height': 480.0, 'width': 276.20689655172407}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",t_-37DIMeG0,https://www.youtube.com/watch?v=t_-37DIMeG0
cll8ybcxb002p3o6l2rlnx6fb,1732,back,,Abnormal Gait,myopathic,"{'top': 0.0, 'left': 268.6551724137931, 'height': 480.0, 'width': 278.3103448275862}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",t_-37DIMeG0,https://www.youtube.com/watch?v=t_-37DIMeG0
cll8ybcxb002p3o6l2rlnx6fb,1733,back,,Abnormal Gait,myopathic,"{'top': 0.0, 'left': 267.2068965517241, 'height': 480.0, 'width': 280.4137931034483}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",t_-37DIMeG0,https://www.youtube.com/watch?v=t_-37DIMeG0
cll8ybcxb002p3o6l2rlnx6fb,1734,back,,Abnormal Gait,myopathic,"{'top': 0.0, 'left': 265.7586206896552, 'height': 480.0, 'width': 282.5172413793103}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",t_-37DIMeG0,https://www.youtube.com/watch?v=t_-37DIMeG0
cll8ybcxb002p3o6l2rlnx6fb,1735,back,,Abnormal Gait,myopathic,"{'top': 0.0, 'left': 264.3103448275862, 'height': 480.0, 'width': 284.6206896551724}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",t_-37DIMeG0,https://www.youtube.com/watch?v=t_-37DIMeG0
cll8ybcxb002p3o6l2rlnx6fb,1736,back,,Abnormal Gait,myopathic,"{'top': 0.0, 'left': 262.86206896551727, 'height': 480.0, 'width': 286.7241379310345}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",t_-37DIMeG0,https://www.youtube.com/watch?v=t_-37DIMeG0
cll8ybcxb002p3o6l2rlnx6fb,1737,back,,Abnormal Gait,myopathic,"{'top': 0.0, 'left': 261.41379310344826, 'height': 480.0, 'width': 288.8275862068966}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",t_-37DIMeG0,https://www.youtube.com/watch?v=t_-37DIMeG0
cll8ybcxb002p3o6l2rlnx6fb,1738,back,,Abnormal Gait,myopathic,"{'top': 0.0, 'left': 259.9655172413793, 'height': 480.0, 'width': 290.9310344827586}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",t_-37DIMeG0,https://www.youtube.com/watch?v=t_-37DIMeG0
cll8ybcxb002p3o6l2rlnx6fb,1739,back,,Abnormal Gait,myopathic,"{'top': 0.0, 'left': 258.51724137931035, 'height': 480.0, 'width': 293.0344827586207}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",t_-37DIMeG0,https://www.youtube.com/watch?v=t_-37DIMeG0
cll8ybcxb002p3o6l2rlnx6fb,1740,back,,Abnormal Gait,myopathic,"{'top': 0.0, 'left': 257.0689655172414, 'height': 480.0, 'width': 295.1379310344828}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",t_-37DIMeG0,https://www.youtube.com/watch?v=t_-37DIMeG0
cll8ybcxb002p3o6l2rlnx6fb,1741,back,,Abnormal Gait,myopathic,"{'top': 0.0, 'left': 255.6206896551724, 'height': 480.0, 'width': 297.24137931034477}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",t_-37DIMeG0,https://www.youtube.com/watch?v=t_-37DIMeG0
cll8ybcxb002p3o6l2rlnx6fb,1742,back,,Abnormal Gait,myopathic,"{'top': 0.0, 'left': 254.17241379310346, 'height': 480.0, 'width': 299.34482758620686}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",t_-37DIMeG0,https://www.youtube.com/watch?v=t_-37DIMeG0
cll8ybcxb002p3o6l2rlnx6fb,1743,back,,Abnormal Gait,myopathic,"{'top': 0.0, 'left': 252.72413793103448, 'height': 480.0, 'width': 301.448275862069}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",t_-37DIMeG0,https://www.youtube.com/watch?v=t_-37DIMeG0
cll8ybcxb002p3o6l2rlnx6fb,1744,back,,Abnormal Gait,myopathic,"{'top': 0.0, 'left': 251.27586206896552, 'height': 480.0, 'width': 303.551724137931}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",t_-37DIMeG0,https://www.youtube.com/watch?v=t_-37DIMeG0
cll8ybcxb002p3o6l2rlnx6fb,1745,back,,Abnormal Gait,myopathic,"{'top': 0.0, 'left': 249.82758620689654, 'height': 480.0, 'width': 305.65517241379314}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",t_-37DIMeG0,https://www.youtube.com/watch?v=t_-37DIMeG0
cll8ybcxb002p3o6l2rlnx6fb,1746,back,,Abnormal Gait,myopathic,"{'top': 0.0, 'left': 248.3793103448276, 'height': 480.0, 'width': 307.75862068965523}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",t_-37DIMeG0,https://www.youtube.com/watch?v=t_-37DIMeG0
cll8ybcxb002p3o6l2rlnx6fb,1747,back,,Abnormal Gait,myopathic,"{'top': 0.0, 'left': 246.9310344827586, 'height': 480.0, 'width': 309.8620689655172}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",t_-37DIMeG0,https://www.youtube.com/watch?v=t_-37DIMeG0
cll8ybcxb002p3o6l2rlnx6fb,1748,back,,Abnormal Gait,myopathic,"{'top': 0.0, 'left': 245.48275862068965, 'height': 480.0, 'width': 311.9655172413793}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",t_-37DIMeG0,https://www.youtube.com/watch?v=t_-37DIMeG0
