seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cllamlqvv00333o6lu8l3jlwo,5667,front,,Abnormal Gait,myopathic,"{'top': 37.0, 'left': 362.0, 'height': 277.0, 'width': 139.0}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",yULxvDc9e8c,https://www.youtube.com/watch?v=yULxvDc9e8c
cllamlqvv00333o6lu8l3jlwo,5668,front,,Abnormal Gait,myopathic,"{'top': 36.93333333333333, 'left': 360.81333333333333, 'height': 277.68, 'width': 139.48000000000002}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",yULxvDc9e8c,https://www.youtube.com/watch?v=yULxvDc9e8c
cllamlqvv00333o6lu8l3jlwo,5669,front,,Abnormal Gait,myopathic,"{'top': 36.86666666666667, 'left': 359.62666666666667, 'height': 278.36, 'width': 139.95999999999998}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",yULxvDc9e8c,https://www.youtube.com/watch?v=yULxvDc9e8c
cllamlqvv00333o6lu8l3jlwo,5670,front,,Abnormal Gait,myopathic,"{'top': 36.8, 'left': 358.44, 'height': 279.03999999999996, 'width': 140.44}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",yULxvDc9e8c,https://www.youtube.com/watch?v=yULxvDc9e8c
cllamlqvv00333o6lu8l3jlwo,5671,front,,Abnormal Gait,myopathic,"{'top': 36.733333333333334, 'left': 357.25333333333333, 'height': 279.71999999999997, 'width': 140.92000000000002}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",yULxvDc9e8c,https://www.youtube.com/watch?v=yULxvDc9e8c
cllamlqvv00333o6lu8l3jlwo,5672,front,,Abnormal Gait,myopathic,"{'top': 36.666666666666664, 'left': 356.06666666666666, 'height': 280.4, 'width': 141.39999999999998}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",yULxvDc9e8c,https://www.youtube.com/watch?v=yULxvDc9e8c
cllamlqvv00333o6lu8l3jlwo,5673,front,,Abnormal Gait,myopathic,"{'top': 36.6, 'left': 354.88, 'height': 281.08, 'width': 141.88}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",yULxvDc9e8c,https://www.youtube.com/watch?v=yULxvDc9e8c
cllamlqvv00333o6lu8l3jlwo,5674,front,,Abnormal Gait,myopathic,"{'top': 36.53333333333333, 'left': 353.6933333333333, 'height': 281.76, 'width': 142.36}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",yULxvDc9e8c,https://www.youtube.com/watch?v=yULxvDc9e8c
cllamlqvv00333o6lu8l3jlwo,5675,front,,Abnormal Gait,myopathic,"{'top': 36.46666666666667, 'left': 352.50666666666666, 'height': 282.44000000000005, 'width': 142.84000000000003}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",yULxvDc9e8c,https://www.youtube.com/watch?v=yULxvDc9e8c
cllamlqvv00333o6lu8l3jlwo,5676,front,,Abnormal Gait,myopathic,"{'top': 36.4, 'left': 351.32, 'height': 283.12, 'width': 143.32}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",yULxvDc9e8c,https://www.youtube.com/watch?v=yULxvDc9e8c
