seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cllammjw100373o6l59nhywr7,5839,back,,Abnormal Gait,myopathic,"{'top': 5.0, 'left': 152.0, 'height': 355.0, 'width': 165.0}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",yULxvDc9e8c,https://www.youtube.com/watch?v=yULxvDc9e8c
cllammjw100373o6l59nhywr7,5840,back,,Abnormal Gait,myopathic,"{'top': 5.111111111111111, 'left': 151.05555555555554, 'height': 354.8888888888889, 'width': 166.72222222222223}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",yULxvDc9e8c,https://www.youtube.com/watch?v=yULxvDc9e8c
cllammjw100373o6l59nhywr7,5841,back,,Abnormal Gait,myopathic,"{'top': 5.222222222222222, 'left': 150.11111111111111, 'height': 354.77777777777777, 'width': 168.44444444444443}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",yULxvDc9e8c,https://www.youtube.com/watch?v=yULxvDc9e8c
cllammjw100373o6l59nhywr7,5842,back,,Abnormal Gait,myopathic,"{'top': 5.333333333333333, 'left': 149.16666666666666, 'height': 354.6666666666667, 'width': 170.16666666666666}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",yULxvDc9e8c,https://www.youtube.com/watch?v=yULxvDc9e8c
cllammjw100373o6l59nhywr7,5843,back,,Abnormal Gait,myopathic,"{'top': 5.444444444444445, 'left': 148.22222222222223, 'height': 354.55555555555554, 'width': 171.88888888888886}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",yULxvDc9e8c,https://www.youtube.com/watch?v=yULxvDc9e8c
cllammjw100373o6l59nhywr7,5844,back,,Abnormal Gait,myopathic,"{'top': 5.555555555555555, 'left': 147.27777777777777, 'height': 354.44444444444446, 'width': 173.61111111111114}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",yULxvDc9e8c,https://www.youtube.com/watch?v=yULxvDc9e8c
cllammjw100373o6l59nhywr7,5845,back,,Abnormal Gait,myopathic,"{'top': 5.666666666666667, 'left': 146.33333333333334, 'height': 354.3333333333333, 'width': 175.33333333333334}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",yULxvDc9e8c,https://www.youtube.com/watch?v=yULxvDc9e8c
cllammjw100373o6l59nhywr7,5846,back,,Abnormal Gait,myopathic,"{'top': 5.777777777777778, 'left': 145.38888888888889, 'height': 354.22222222222223, 'width': 177.05555555555557}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",yULxvDc9e8c,https://www.youtube.com/watch?v=yULxvDc9e8c
cllammjw100373o6l59nhywr7,5847,back,,Abnormal Gait,myopathic,"{'top': 5.888888888888889, 'left': 144.44444444444446, 'height': 354.1111111111111, 'width': 178.77777777777777}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",yULxvDc9e8c,https://www.youtube.com/watch?v=yULxvDc9e8c
cllammjw100373o6l59nhywr7,5848,back,,Abnormal Gait,myopathic,"{'top': 6.0, 'left': 143.5, 'height': 354.0, 'width': 180.5}","{'height': 360, 'width': 640, 'mime_type': 'video/mp4'}",yULxvDc9e8c,https://www.youtube.com/watch?v=yULxvDc9e8c
