seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cllfyfckd00043o6liq5zlwv2,1502,right side,,Abnormal Gait,myopathic,"{'top': 69.0, 'left': 0.0, 'height': 360.0, 'width': 141.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
cllfyfckd00043o6liq5zlwv2,1503,right side,,Abnormal Gait,myopathic,"{'top': 69.07142857142857, 'left': 1.964285714285714, 'height': 360.0, 'width': 142.07142857142856}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
cllfyfckd00043o6liq5zlwv2,1504,right side,,Abnormal Gait,myopathic,"{'top': 69.14285714285714, 'left': 3.928571428571428, 'height': 360.0, 'width': 143.14285714285717}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
cllfyfckd00043o6liq5zlwv2,1505,right side,,Abnormal Gait,myopathic,"{'top': 69.21428571428571, 'left': 5.892857142857142, 'height': 360.0, 'width': 144.21428571428572}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
cllfyfckd00043o6liq5zlwv2,1506,right side,,Abnormal Gait,myopathic,"{'top': 69.28571428571429, 'left': 7.857142857142857, 'height': 360.0, 'width': 145.28571428571428}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
cllfyfckd00043o6liq5zlwv2,1507,right side,,Abnormal Gait,myopathic,"{'top': 69.35714285714286, 'left': 9.821428571428571, 'height': 360.0, 'width': 146.35714285714283}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
cllfyfckd00043o6liq5zlwv2,1508,right side,,Abnormal Gait,myopathic,"{'top': 69.42857142857143, 'left': 11.785714285714285, 'height': 360.0, 'width': 147.42857142857144}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
cllfyfckd00043o6liq5zlwv2,1509,right side,,Abnormal Gait,myopathic,"{'top': 69.5, 'left': 13.75, 'height': 360.0, 'width': 148.5}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
cllfyfckd00043o6liq5zlwv2,1510,right side,,Abnormal Gait,myopathic,"{'top': 69.57142857142857, 'left': 15.714285714285714, 'height': 360.0, 'width': 149.57142857142856}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
cllfyfckd00043o6liq5zlwv2,1511,right side,,Abnormal Gait,myopathic,"{'top': 69.64285714285714, 'left': 17.67857142857143, 'height': 360.0, 'width': 150.64285714285717}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
cllfyfckd00043o6liq5zlwv2,1512,right side,,Abnormal Gait,myopathic,"{'top': 69.71428571428571, 'left': 19.642857142857142, 'height': 360.0, 'width': 151.71428571428572}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
cllfyfckd00043o6liq5zlwv2,1513,right side,,Abnormal Gait,myopathic,"{'top': 69.78571428571429, 'left': 21.607142857142858, 'height': 360.0, 'width': 152.78571428571428}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
cllfyfckd00043o6liq5zlwv2,1514,right side,,Abnormal Gait,myopathic,"{'top': 69.85714285714286, 'left': 23.57142857142857, 'height': 360.0, 'width': 153.85714285714283}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
cllfyfckd00043o6liq5zlwv2,1515,right side,,Abnormal Gait,myopathic,"{'top': 69.92857142857143, 'left': 25.535714285714292, 'height': 360.0, 'width': 154.92857142857144}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
cllfyfckd00043o6liq5zlwv2,1516,right side,,Abnormal Gait,myopathic,"{'top': 70.0, 'left': 27.5, 'height': 360.0, 'width': 156.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
cllfyfckd00043o6liq5zlwv2,1517,right side,,Abnormal Gait,myopathic,"{'top': 70.07142857142857, 'left': 29.464285714285708, 'height': 360.0, 'width': 157.07142857142856}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
cllfyfckd00043o6liq5zlwv2,1518,right side,,Abnormal Gait,myopathic,"{'top': 70.14285714285714, 'left': 31.428571428571427, 'height': 360.0, 'width': 158.14285714285714}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
cllfyfckd00043o6liq5zlwv2,1519,right side,,Abnormal Gait,myopathic,"{'top': 70.21428571428571, 'left': 33.39285714285714, 'height': 360.0, 'width': 159.21428571428572}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
cllfyfckd00043o6liq5zlwv2,1520,right side,,Abnormal Gait,myopathic,"{'top': 70.28571428571429, 'left': 35.35714285714286, 'height': 360.0, 'width': 160.28571428571428}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
cllfyfckd00043o6liq5zlwv2,1521,right side,,Abnormal Gait,myopathic,"{'top': 70.35714285714286, 'left': 37.32142857142858, 'height': 360.0, 'width': 161.35714285714286}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
cllfyfckd00043o6liq5zlwv2,1522,right side,,Abnormal Gait,myopathic,"{'top': 70.42857142857143, 'left': 39.285714285714285, 'height': 360.0, 'width': 162.42857142857144}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
cllfyfckd00043o6liq5zlwv2,1523,right side,,Abnormal Gait,myopathic,"{'top': 70.5, 'left': 41.25, 'height': 360.0, 'width': 163.5}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
cllfyfckd00043o6liq5zlwv2,1524,right side,,Abnormal Gait,myopathic,"{'top': 70.57142857142857, 'left': 43.214285714285715, 'height': 360.0, 'width': 164.57142857142856}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
cllfyfckd00043o6liq5zlwv2,1525,right side,,Abnormal Gait,myopathic,"{'top': 70.64285714285714, 'left': 45.17857142857142, 'height': 360.0, 'width': 165.64285714285714}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
cllfyfckd00043o6liq5zlwv2,1526,right side,,Abnormal Gait,myopathic,"{'top': 70.71428571428571, 'left': 47.14285714285714, 'height': 360.0, 'width': 166.7142857142857}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
cllfyfckd00043o6liq5zlwv2,1527,right side,,Abnormal Gait,myopathic,"{'top': 70.78571428571429, 'left': 49.10714285714286, 'height': 360.0, 'width': 167.7857142857143}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
cllfyfckd00043o6liq5zlwv2,1528,right side,,Abnormal Gait,myopathic,"{'top': 70.85714285714286, 'left': 51.07142857142858, 'height': 360.0, 'width': 168.85714285714286}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
cllfyfckd00043o6liq5zlwv2,1529,right side,,Abnormal Gait,myopathic,"{'top': 70.92857142857143, 'left': 53.035714285714285, 'height': 360.0, 'width': 169.92857142857144}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
cllfyfckd00043o6liq5zlwv2,1530,right side,,Abnormal Gait,myopathic,"{'top': 71.0, 'left': 55.0, 'height': 360.0, 'width': 171.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
cllfyfckd00043o6liq5zlwv2,1531,right side,,Abnormal Gait,myopathic,"{'top': 70.90625, 'left': 58.9375, 'height': 360.0, 'width': 172.9375}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
cllfyfckd00043o6liq5zlwv2,1532,right side,,Abnormal Gait,myopathic,"{'top': 70.8125, 'left': 62.875, 'height': 360.0, 'width': 174.875}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
cllfyfckd00043o6liq5zlwv2,1533,right side,,Abnormal Gait,myopathic,"{'top': 70.71875, 'left': 66.8125, 'height': 360.0, 'width': 176.8125}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
cllfyfckd00043o6liq5zlwv2,1534,right side,,Abnormal Gait,myopathic,"{'top': 70.625, 'left': 70.75, 'height': 360.0, 'width': 178.75}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
cllfyfckd00043o6liq5zlwv2,1535,right side,,Abnormal Gait,myopathic,"{'top': 70.53125, 'left': 74.6875, 'height': 360.0, 'width': 180.6875}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
cllfyfckd00043o6liq5zlwv2,1536,right side,,Abnormal Gait,myopathic,"{'top': 70.4375, 'left': 78.625, 'height': 360.0, 'width': 182.625}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
cllfyfckd00043o6liq5zlwv2,1537,right side,,Abnormal Gait,myopathic,"{'top': 70.34375, 'left': 82.5625, 'height': 360.0, 'width': 184.5625}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
cllfyfckd00043o6liq5zlwv2,1538,right side,,Abnormal Gait,myopathic,"{'top': 70.25, 'left': 86.5, 'height': 360.0, 'width': 186.5}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
cllfyfckd00043o6liq5zlwv2,1539,right side,,Abnormal Gait,myopathic,"{'top': 70.15625, 'left': 90.4375, 'height': 360.0, 'width': 188.4375}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
cllfyfckd00043o6liq5zlwv2,1540,right side,,Abnormal Gait,myopathic,"{'top': 70.0625, 'left': 94.375, 'height': 360.0, 'width': 190.375}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
cllfyfckd00043o6liq5zlwv2,1541,right side,,Abnormal Gait,myopathic,"{'top': 69.96875, 'left': 98.3125, 'height': 360.0, 'width': 192.3125}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
cllfyfckd00043o6liq5zlwv2,1542,right side,,Abnormal Gait,myopathic,"{'top': 69.875, 'left': 102.25, 'height': 360.0, 'width': 194.25}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
cllfyfckd00043o6liq5zlwv2,1543,right side,,Abnormal Gait,myopathic,"{'top': 69.78125, 'left': 106.1875, 'height': 360.0, 'width': 196.1875}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
cllfyfckd00043o6liq5zlwv2,1544,right side,,Abnormal Gait,myopathic,"{'top': 69.6875, 'left': 110.125, 'height': 360.0, 'width': 198.125}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
cllfyfckd00043o6liq5zlwv2,1545,right side,,Abnormal Gait,myopathic,"{'top': 69.59375, 'left': 114.0625, 'height': 360.0, 'width': 200.0625}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
cllfyfckd00043o6liq5zlwv2,1546,right side,,Abnormal Gait,myopathic,"{'top': 69.5, 'left': 118.0, 'height': 360.0, 'width': 202.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
cllfyfckd00043o6liq5zlwv2,1547,right side,,Abnormal Gait,myopathic,"{'top': 69.40625, 'left': 121.9375, 'height': 360.0, 'width': 203.9375}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
cllfyfckd00043o6liq5zlwv2,1548,right side,,Abnormal Gait,myopathic,"{'top': 69.3125, 'left': 125.875, 'height': 360.0, 'width': 205.875}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
cllfyfckd00043o6liq5zlwv2,1549,right side,,Abnormal Gait,myopathic,"{'top': 69.21875, 'left': 129.8125, 'height': 360.0, 'width': 207.8125}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
cllfyfckd00043o6liq5zlwv2,1550,right side,,Abnormal Gait,myopathic,"{'top': 69.125, 'left': 133.75, 'height': 360.0, 'width': 209.75}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
cllfyfckd00043o6liq5zlwv2,1551,right side,,Abnormal Gait,myopathic,"{'top': 69.03125, 'left': 137.6875, 'height': 360.0, 'width': 211.6875}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
cllfyfckd00043o6liq5zlwv2,1552,right side,,Abnormal Gait,myopathic,"{'top': 68.9375, 'left': 141.625, 'height': 360.0, 'width': 213.625}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
cllfyfckd00043o6liq5zlwv2,1553,right side,,Abnormal Gait,myopathic,"{'top': 68.84375, 'left': 145.5625, 'height': 360.0, 'width': 215.5625}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
cllfyfckd00043o6liq5zlwv2,1554,right side,,Abnormal Gait,myopathic,"{'top': 68.75, 'left': 149.5, 'height': 360.0, 'width': 217.5}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
cllfyfckd00043o6liq5zlwv2,1555,right side,,Abnormal Gait,myopathic,"{'top': 68.65625, 'left': 153.4375, 'height': 360.0, 'width': 219.4375}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
cllfyfckd00043o6liq5zlwv2,1556,right side,,Abnormal Gait,myopathic,"{'top': 68.5625, 'left': 157.375, 'height': 360.0, 'width': 221.375}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
cllfyfckd00043o6liq5zlwv2,1557,right side,,Abnormal Gait,myopathic,"{'top': 68.46875, 'left': 161.3125, 'height': 360.0, 'width': 223.3125}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
cllfyfckd00043o6liq5zlwv2,1558,right side,,Abnormal Gait,myopathic,"{'top': 68.375, 'left': 165.25, 'height': 360.0, 'width': 225.25}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
cllfyfckd00043o6liq5zlwv2,1559,right side,,Abnormal Gait,myopathic,"{'top': 68.28125, 'left': 169.1875, 'height': 360.0, 'width': 227.1875}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
cllfyfckd00043o6liq5zlwv2,1560,right side,,Abnormal Gait,myopathic,"{'top': 68.1875, 'left': 173.125, 'height': 360.0, 'width': 229.125}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
cllfyfckd00043o6liq5zlwv2,1561,right side,,Abnormal Gait,myopathic,"{'top': 68.09375, 'left': 177.0625, 'height': 360.0, 'width': 231.0625}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
cllfyfckd00043o6liq5zlwv2,1562,right side,,Abnormal Gait,myopathic,"{'top': 68.0, 'left': 181.0, 'height': 360.0, 'width': 233.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
cllfyfckd00043o6liq5zlwv2,1563,right side,,Abnormal Gait,myopathic,"{'top': 68.0, 'left': 186.425, 'height': 360.0, 'width': 233.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
cllfyfckd00043o6liq5zlwv2,1564,right side,,Abnormal Gait,myopathic,"{'top': 68.0, 'left': 191.85, 'height': 360.0, 'width': 233.00000000000003}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
cllfyfckd00043o6liq5zlwv2,1565,right side,,Abnormal Gait,myopathic,"{'top': 68.0, 'left': 197.275, 'height': 360.0, 'width': 232.99999999999997}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
cllfyfckd00043o6liq5zlwv2,1566,right side,,Abnormal Gait,myopathic,"{'top': 68.0, 'left': 202.7, 'height': 360.0, 'width': 233.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
cllfyfckd00043o6liq5zlwv2,1567,right side,,Abnormal Gait,myopathic,"{'top': 68.0, 'left': 208.125, 'height': 360.0, 'width': 233.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
cllfyfckd00043o6liq5zlwv2,1568,right side,,Abnormal Gait,myopathic,"{'top': 68.0, 'left': 213.55, 'height': 360.0, 'width': 233.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
cllfyfckd00043o6liq5zlwv2,1569,right side,,Abnormal Gait,myopathic,"{'top': 68.0, 'left': 218.975, 'height': 360.0, 'width': 233.00000000000003}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
cllfyfckd00043o6liq5zlwv2,1570,right side,,Abnormal Gait,myopathic,"{'top': 68.0, 'left': 224.4, 'height': 360.0, 'width': 232.99999999999997}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
cllfyfckd00043o6liq5zlwv2,1571,right side,,Abnormal Gait,myopathic,"{'top': 68.0, 'left': 229.825, 'height': 360.0, 'width': 233.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
cllfyfckd00043o6liq5zlwv2,1572,right side,,Abnormal Gait,myopathic,"{'top': 68.0, 'left': 235.25, 'height': 360.0, 'width': 233.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
cllfyfckd00043o6liq5zlwv2,1573,right side,,Abnormal Gait,myopathic,"{'top': 68.0, 'left': 240.675, 'height': 360.0, 'width': 233.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
cllfyfckd00043o6liq5zlwv2,1574,right side,,Abnormal Gait,myopathic,"{'top': 68.0, 'left': 246.1, 'height': 360.0, 'width': 233.00000000000003}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
cllfyfckd00043o6liq5zlwv2,1575,right side,,Abnormal Gait,myopathic,"{'top': 68.0, 'left': 251.525, 'height': 360.0, 'width': 232.99999999999997}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
cllfyfckd00043o6liq5zlwv2,1576,right side,,Abnormal Gait,myopathic,"{'top': 68.0, 'left': 256.95, 'height': 360.0, 'width': 233.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
cllfyfckd00043o6liq5zlwv2,1577,right side,,Abnormal Gait,myopathic,"{'top': 68.0, 'left': 262.375, 'height': 360.0, 'width': 233.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
cllfyfckd00043o6liq5zlwv2,1578,right side,,Abnormal Gait,myopathic,"{'top': 68.0, 'left': 267.8, 'height': 360.0, 'width': 233.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
cllfyfckd00043o6liq5zlwv2,1579,right side,,Abnormal Gait,myopathic,"{'top': 68.0, 'left': 273.225, 'height': 360.0, 'width': 233.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
cllfyfckd00043o6liq5zlwv2,1580,right side,,Abnormal Gait,myopathic,"{'top': 68.0, 'left': 278.65, 'height': 360.0, 'width': 233.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
cllfyfckd00043o6liq5zlwv2,1581,right side,,Abnormal Gait,myopathic,"{'top': 68.0, 'left': 284.075, 'height': 360.0, 'width': 233.00000000000006}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",Ha9LKXZfWBQ,https://www.youtube.com/watch?v=Ha9LKXZfWBQ
