seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cljo39ok9002h3n6ldr0w5sey,15086,right side,,Abnormal Gait,normal,"{'top': 60.0, 'left': 0.0, 'height': 315.0, 'width': 102.0}","{'height': 480, 'width': 658, 'mime_type': 'video/mp4'}",3KnFt8bH3tE,https://www.youtube.com/watch?v=3KnFt8bH3tE
cljo39ok9002h3n6ldr0w5sey,15087,right side,,Abnormal Gait,normal,"{'top': 58.5, 'left': 0.0, 'height': 319.0, 'width': 107.0}","{'height': 480, 'width': 658, 'mime_type': 'video/mp4'}",3KnFt8bH3tE,https://www.youtube.com/watch?v=3KnFt8bH3tE
cljo39ok9002h3n6ldr0w5sey,15088,right side,,Abnormal Gait,normal,"{'top': 57.0, 'left': 0.0, 'height': 323.0, 'width': 112.0}","{'height': 480, 'width': 658, 'mime_type': 'video/mp4'}",3KnFt8bH3tE,https://www.youtube.com/watch?v=3KnFt8bH3tE
cljo39ok9002h3n6ldr0w5sey,15089,right side,,Abnormal Gait,normal,"{'top': 55.5, 'left': 0.0, 'height': 327.0, 'width': 117.0}","{'height': 480, 'width': 658, 'mime_type': 'video/mp4'}",3KnFt8bH3tE,https://www.youtube.com/watch?v=3KnFt8bH3tE
cljo39ok9002h3n6ldr0w5sey,15090,right side,,Abnormal Gait,normal,"{'top': 54.0, 'left': 0.0, 'height': 331.0, 'width': 122.0}","{'height': 480, 'width': 658, 'mime_type': 'video/mp4'}",3KnFt8bH3tE,https://www.youtube.com/watch?v=3KnFt8bH3tE
cljo39ok9002h3n6ldr0w5sey,15091,right side,,Abnormal Gait,normal,"{'top': 52.5, 'left': 0.0, 'height': 335.0, 'width': 127.0}","{'height': 480, 'width': 658, 'mime_type': 'video/mp4'}",3KnFt8bH3tE,https://www.youtube.com/watch?v=3KnFt8bH3tE
cljo39ok9002h3n6ldr0w5sey,15092,right side,,Abnormal Gait,normal,"{'top': 51.0, 'left': 0.0, 'height': 339.0, 'width': 132.0}","{'height': 480, 'width': 658, 'mime_type': 'video/mp4'}",3KnFt8bH3tE,https://www.youtube.com/watch?v=3KnFt8bH3tE
cljo39ok9002h3n6ldr0w5sey,15093,right side,,Abnormal Gait,normal,"{'top': 49.5, 'left': 0.0, 'height': 343.0, 'width': 137.0}","{'height': 480, 'width': 658, 'mime_type': 'video/mp4'}",3KnFt8bH3tE,https://www.youtube.com/watch?v=3KnFt8bH3tE
cljo39ok9002h3n6ldr0w5sey,15094,right side,,Abnormal Gait,normal,"{'top': 48.0, 'left': 0.0, 'height': 347.0, 'width': 142.0}","{'height': 480, 'width': 658, 'mime_type': 'video/mp4'}",3KnFt8bH3tE,https://www.youtube.com/watch?v=3KnFt8bH3tE
cljo39ok9002h3n6ldr0w5sey,15095,right side,,Abnormal Gait,normal,"{'top': 47.785714285714285, 'left': 0.5, 'height': 346.7857142857143, 'width': 141.71428571428572}","{'height': 480, 'width': 658, 'mime_type': 'video/mp4'}",3KnFt8bH3tE,https://www.youtube.com/watch?v=3KnFt8bH3tE
cljo39ok9002h3n6ldr0w5sey,15096,right side,,Abnormal Gait,normal,"{'top': 47.57142857142857, 'left': 1.0, 'height': 346.5714285714286, 'width': 141.42857142857142}","{'height': 480, 'width': 658, 'mime_type': 'video/mp4'}",3KnFt8bH3tE,https://www.youtube.com/watch?v=3KnFt8bH3tE
cljo39ok9002h3n6ldr0w5sey,15097,right side,,Abnormal Gait,normal,"{'top': 47.357142857142854, 'left': 1.5, 'height': 346.3571428571429, 'width': 141.14285714285714}","{'height': 480, 'width': 658, 'mime_type': 'video/mp4'}",3KnFt8bH3tE,https://www.youtube.com/watch?v=3KnFt8bH3tE
cljo39ok9002h3n6ldr0w5sey,15098,right side,,Abnormal Gait,normal,"{'top': 47.142857142857146, 'left': 2.0, 'height': 346.1428571428571, 'width': 140.85714285714286}","{'height': 480, 'width': 658, 'mime_type': 'video/mp4'}",3KnFt8bH3tE,https://www.youtube.com/watch?v=3KnFt8bH3tE
cljo39ok9002h3n6ldr0w5sey,15099,right side,,Abnormal Gait,normal,"{'top': 46.92857142857143, 'left': 2.5, 'height': 345.9285714285714, 'width': 140.57142857142858}","{'height': 480, 'width': 658, 'mime_type': 'video/mp4'}",3KnFt8bH3tE,https://www.youtube.com/watch?v=3KnFt8bH3tE
cljo39ok9002h3n6ldr0w5sey,15100,right side,,Abnormal Gait,normal,"{'top': 46.714285714285715, 'left': 3.0, 'height': 345.7142857142857, 'width': 140.28571428571428}","{'height': 480, 'width': 658, 'mime_type': 'video/mp4'}",3KnFt8bH3tE,https://www.youtube.com/watch?v=3KnFt8bH3tE
cljo39ok9002h3n6ldr0w5sey,15101,right side,,Abnormal Gait,normal,"{'top': 46.5, 'left': 3.5, 'height': 345.5, 'width': 140.0}","{'height': 480, 'width': 658, 'mime_type': 'video/mp4'}",3KnFt8bH3tE,https://www.youtube.com/watch?v=3KnFt8bH3tE
cljo39ok9002h3n6ldr0w5sey,15102,right side,,Abnormal Gait,normal,"{'top': 46.285714285714285, 'left': 4.0, 'height': 345.2857142857143, 'width': 139.71428571428572}","{'height': 480, 'width': 658, 'mime_type': 'video/mp4'}",3KnFt8bH3tE,https://www.youtube.com/watch?v=3KnFt8bH3tE
cljo39ok9002h3n6ldr0w5sey,15103,right side,,Abnormal Gait,normal,"{'top': 46.07142857142857, 'left': 4.5, 'height': 345.0714285714286, 'width': 139.42857142857142}","{'height': 480, 'width': 658, 'mime_type': 'video/mp4'}",3KnFt8bH3tE,https://www.youtube.com/watch?v=3KnFt8bH3tE
