seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cljwr3nzm00083n6lt90ynbix,156,right side,,Abnormal Gait,normal,"{'top': 124.0, 'left': 25.0, 'height': 314.0, 'width': 123.0}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",OoCDFmCm1DE,https://www.youtube.com/watch?v=OoCDFmCm1DE
cljwr3nzm00083n6lt90ynbix,157,right side,,Abnormal Gait,normal,"{'top': 123.9, 'left': 25.833333333333332, 'height': 314.6333333333333, 'width': 124.7}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",OoCDFmCm1DE,https://www.youtube.com/watch?v=OoCDFmCm1DE
cljwr3nzm00083n6lt90ynbix,158,right side,,Abnormal Gait,normal,"{'top': 123.8, 'left': 26.666666666666668, 'height': 315.26666666666665, 'width': 126.39999999999999}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",OoCDFmCm1DE,https://www.youtube.com/watch?v=OoCDFmCm1DE
cljwr3nzm00083n6lt90ynbix,159,right side,,Abnormal Gait,normal,"{'top': 123.7, 'left': 27.5, 'height': 315.90000000000003, 'width': 128.1}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",OoCDFmCm1DE,https://www.youtube.com/watch?v=OoCDFmCm1DE
cljwr3nzm00083n6lt90ynbix,160,right side,,Abnormal Gait,normal,"{'top': 123.6, 'left': 28.333333333333332, 'height': 316.5333333333333, 'width': 129.79999999999998}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",OoCDFmCm1DE,https://www.youtube.com/watch?v=OoCDFmCm1DE
cljwr3nzm00083n6lt90ynbix,161,right side,,Abnormal Gait,normal,"{'top': 123.5, 'left': 29.166666666666664, 'height': 317.1666666666667, 'width': 131.5}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",OoCDFmCm1DE,https://www.youtube.com/watch?v=OoCDFmCm1DE
cljwr3nzm00083n6lt90ynbix,162,right side,,Abnormal Gait,normal,"{'top': 123.4, 'left': 30.0, 'height': 317.79999999999995, 'width': 133.2}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",OoCDFmCm1DE,https://www.youtube.com/watch?v=OoCDFmCm1DE
cljwr3nzm00083n6lt90ynbix,163,right side,,Abnormal Gait,normal,"{'top': 123.3, 'left': 30.833333333333332, 'height': 318.43333333333334, 'width': 134.9}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",OoCDFmCm1DE,https://www.youtube.com/watch?v=OoCDFmCm1DE
cljwr3nzm00083n6lt90ynbix,164,right side,,Abnormal Gait,normal,"{'top': 123.2, 'left': 31.666666666666668, 'height': 319.06666666666666, 'width': 136.6}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",OoCDFmCm1DE,https://www.youtube.com/watch?v=OoCDFmCm1DE
cljwr3nzm00083n6lt90ynbix,165,right side,,Abnormal Gait,normal,"{'top': 123.1, 'left': 32.5, 'height': 319.70000000000005, 'width': 138.3}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",OoCDFmCm1DE,https://www.youtube.com/watch?v=OoCDFmCm1DE
cljwr3nzm00083n6lt90ynbix,166,right side,,Abnormal Gait,normal,"{'top': 123.0, 'left': 33.33333333333333, 'height': 320.3333333333333, 'width': 140.0}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",OoCDFmCm1DE,https://www.youtube.com/watch?v=OoCDFmCm1DE
cljwr3nzm00083n6lt90ynbix,167,right side,,Abnormal Gait,normal,"{'top': 122.9, 'left': 34.166666666666664, 'height': 320.9666666666667, 'width': 141.70000000000002}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",OoCDFmCm1DE,https://www.youtube.com/watch?v=OoCDFmCm1DE
cljwr3nzm00083n6lt90ynbix,168,right side,,Abnormal Gait,normal,"{'top': 122.8, 'left': 35.0, 'height': 321.59999999999997, 'width': 143.4}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",OoCDFmCm1DE,https://www.youtube.com/watch?v=OoCDFmCm1DE
cljwr3nzm00083n6lt90ynbix,169,right side,,Abnormal Gait,normal,"{'top': 122.7, 'left': 35.833333333333336, 'height': 322.23333333333335, 'width': 145.1}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",OoCDFmCm1DE,https://www.youtube.com/watch?v=OoCDFmCm1DE
cljwr3nzm00083n6lt90ynbix,170,right side,,Abnormal Gait,normal,"{'top': 122.6, 'left': 36.666666666666664, 'height': 322.8666666666667, 'width': 146.8}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",OoCDFmCm1DE,https://www.youtube.com/watch?v=OoCDFmCm1DE
cljwr3nzm00083n6lt90ynbix,171,right side,,Abnormal Gait,normal,"{'top': 122.5, 'left': 37.5, 'height': 323.5, 'width': 148.5}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",OoCDFmCm1DE,https://www.youtube.com/watch?v=OoCDFmCm1DE
cljwr3nzm00083n6lt90ynbix,172,right side,,Abnormal Gait,normal,"{'top': 122.4, 'left': 38.333333333333336, 'height': 324.1333333333333, 'width': 150.2}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",OoCDFmCm1DE,https://www.youtube.com/watch?v=OoCDFmCm1DE
cljwr3nzm00083n6lt90ynbix,173,right side,,Abnormal Gait,normal,"{'top': 122.3, 'left': 39.166666666666664, 'height': 324.76666666666665, 'width': 151.9}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",OoCDFmCm1DE,https://www.youtube.com/watch?v=OoCDFmCm1DE
cljwr3nzm00083n6lt90ynbix,174,right side,,Abnormal Gait,normal,"{'top': 122.2, 'left': 40.0, 'height': 325.40000000000003, 'width': 153.6}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",OoCDFmCm1DE,https://www.youtube.com/watch?v=OoCDFmCm1DE
cljwr3nzm00083n6lt90ynbix,175,right side,,Abnormal Gait,normal,"{'top': 122.1, 'left': 40.83333333333333, 'height': 326.0333333333333, 'width': 155.3}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",OoCDFmCm1DE,https://www.youtube.com/watch?v=OoCDFmCm1DE
cljwr3nzm00083n6lt90ynbix,176,right side,,Abnormal Gait,normal,"{'top': 122.0, 'left': 41.666666666666664, 'height': 326.6666666666667, 'width': 157.0}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",OoCDFmCm1DE,https://www.youtube.com/watch?v=OoCDFmCm1DE
cljwr3nzm00083n6lt90ynbix,177,right side,,Abnormal Gait,normal,"{'top': 121.9, 'left': 42.5, 'height': 327.29999999999995, 'width': 158.7}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",OoCDFmCm1DE,https://www.youtube.com/watch?v=OoCDFmCm1DE
cljwr3nzm00083n6lt90ynbix,178,right side,,Abnormal Gait,normal,"{'top': 121.8, 'left': 43.33333333333333, 'height': 327.93333333333334, 'width': 160.39999999999998}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",OoCDFmCm1DE,https://www.youtube.com/watch?v=OoCDFmCm1DE
cljwr3nzm00083n6lt90ynbix,179,right side,,Abnormal Gait,normal,"{'top': 121.7, 'left': 44.16666666666667, 'height': 328.56666666666666, 'width': 162.10000000000002}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",OoCDFmCm1DE,https://www.youtube.com/watch?v=OoCDFmCm1DE
cljwr3nzm00083n6lt90ynbix,180,right side,,Abnormal Gait,normal,"{'top': 121.6, 'left': 45.0, 'height': 329.20000000000005, 'width': 163.8}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",OoCDFmCm1DE,https://www.youtube.com/watch?v=OoCDFmCm1DE
cljwr3nzm00083n6lt90ynbix,181,right side,,Abnormal Gait,normal,"{'top': 121.5, 'left': 45.833333333333336, 'height': 329.8333333333333, 'width': 165.5}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",OoCDFmCm1DE,https://www.youtube.com/watch?v=OoCDFmCm1DE
cljwr3nzm00083n6lt90ynbix,182,right side,,Abnormal Gait,normal,"{'top': 121.4, 'left': 46.66666666666667, 'height': 330.4666666666667, 'width': 167.2}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",OoCDFmCm1DE,https://www.youtube.com/watch?v=OoCDFmCm1DE
cljwr3nzm00083n6lt90ynbix,183,right side,,Abnormal Gait,normal,"{'top': 121.3, 'left': 47.5, 'height': 331.09999999999997, 'width': 168.9}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",OoCDFmCm1DE,https://www.youtube.com/watch?v=OoCDFmCm1DE
cljwr3nzm00083n6lt90ynbix,184,right side,,Abnormal Gait,normal,"{'top': 121.2, 'left': 48.33333333333333, 'height': 331.73333333333335, 'width': 170.60000000000002}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",OoCDFmCm1DE,https://www.youtube.com/watch?v=OoCDFmCm1DE
cljwr3nzm00083n6lt90ynbix,185,right side,,Abnormal Gait,normal,"{'top': 121.1, 'left': 49.16666666666667, 'height': 332.3666666666667, 'width': 172.3}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",OoCDFmCm1DE,https://www.youtube.com/watch?v=OoCDFmCm1DE
cljwr3nzm00083n6lt90ynbix,186,right side,,Abnormal Gait,normal,"{'top': 121.0, 'left': 50.0, 'height': 333.0, 'width': 174.0}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",OoCDFmCm1DE,https://www.youtube.com/watch?v=OoCDFmCm1DE
cljwr3nzm00083n6lt90ynbix,187,right side,,Abnormal Gait,normal,"{'top': 120.87096774193549, 'left': 51.29032258064516, 'height': 332.7096774193548, 'width': 173.25806451612905}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",OoCDFmCm1DE,https://www.youtube.com/watch?v=OoCDFmCm1DE
cljwr3nzm00083n6lt90ynbix,188,right side,,Abnormal Gait,normal,"{'top': 120.74193548387096, 'left': 52.58064516129032, 'height': 332.4193548387097, 'width': 172.51612903225805}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",OoCDFmCm1DE,https://www.youtube.com/watch?v=OoCDFmCm1DE
cljwr3nzm00083n6lt90ynbix,189,right side,,Abnormal Gait,normal,"{'top': 120.61290322580645, 'left': 53.87096774193549, 'height': 332.1290322580645, 'width': 171.7741935483871}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",OoCDFmCm1DE,https://www.youtube.com/watch?v=OoCDFmCm1DE
cljwr3nzm00083n6lt90ynbix,190,right side,,Abnormal Gait,normal,"{'top': 120.48387096774194, 'left': 55.16129032258065, 'height': 331.83870967741933, 'width': 171.03225806451613}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",OoCDFmCm1DE,https://www.youtube.com/watch?v=OoCDFmCm1DE
cljwr3nzm00083n6lt90ynbix,191,right side,,Abnormal Gait,normal,"{'top': 120.35483870967742, 'left': 56.45161290322581, 'height': 331.54838709677415, 'width': 170.29032258064518}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",OoCDFmCm1DE,https://www.youtube.com/watch?v=OoCDFmCm1DE
cljwr3nzm00083n6lt90ynbix,192,right side,,Abnormal Gait,normal,"{'top': 120.2258064516129, 'left': 57.74193548387097, 'height': 331.258064516129, 'width': 169.54838709677418}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",OoCDFmCm1DE,https://www.youtube.com/watch?v=OoCDFmCm1DE
cljwr3nzm00083n6lt90ynbix,193,right side,,Abnormal Gait,normal,"{'top': 120.09677419354838, 'left': 59.03225806451613, 'height': 330.9677419354839, 'width': 168.80645161290323}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",OoCDFmCm1DE,https://www.youtube.com/watch?v=OoCDFmCm1DE
cljwr3nzm00083n6lt90ynbix,194,right side,,Abnormal Gait,normal,"{'top': 119.96774193548387, 'left': 60.32258064516129, 'height': 330.67741935483866, 'width': 168.06451612903226}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",OoCDFmCm1DE,https://www.youtube.com/watch?v=OoCDFmCm1DE
cljwr3nzm00083n6lt90ynbix,195,right side,,Abnormal Gait,normal,"{'top': 119.83870967741936, 'left': 61.61290322580645, 'height': 330.38709677419354, 'width': 167.32258064516128}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",OoCDFmCm1DE,https://www.youtube.com/watch?v=OoCDFmCm1DE
cljwr3nzm00083n6lt90ynbix,196,right side,,Abnormal Gait,normal,"{'top': 119.70967741935483, 'left': 62.903225806451616, 'height': 330.0967741935484, 'width': 166.5806451612903}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",OoCDFmCm1DE,https://www.youtube.com/watch?v=OoCDFmCm1DE
cljwr3nzm00083n6lt90ynbix,197,right side,,Abnormal Gait,normal,"{'top': 119.58064516129032, 'left': 64.19354838709677, 'height': 329.80645161290323, 'width': 165.83870967741936}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",OoCDFmCm1DE,https://www.youtube.com/watch?v=OoCDFmCm1DE
cljwr3nzm00083n6lt90ynbix,198,right side,,Abnormal Gait,normal,"{'top': 119.45161290322581, 'left': 65.48387096774194, 'height': 329.51612903225805, 'width': 165.0967741935484}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",OoCDFmCm1DE,https://www.youtube.com/watch?v=OoCDFmCm1DE
cljwr3nzm00083n6lt90ynbix,199,right side,,Abnormal Gait,normal,"{'top': 119.3225806451613, 'left': 66.7741935483871, 'height': 329.2258064516129, 'width': 164.3548387096774}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",OoCDFmCm1DE,https://www.youtube.com/watch?v=OoCDFmCm1DE
cljwr3nzm00083n6lt90ynbix,200,right side,,Abnormal Gait,normal,"{'top': 119.19354838709677, 'left': 68.06451612903226, 'height': 328.93548387096774, 'width': 163.61290322580646}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",OoCDFmCm1DE,https://www.youtube.com/watch?v=OoCDFmCm1DE
cljwr3nzm00083n6lt90ynbix,201,right side,,Abnormal Gait,normal,"{'top': 119.06451612903226, 'left': 69.35483870967742, 'height': 328.64516129032256, 'width': 162.8709677419355}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",OoCDFmCm1DE,https://www.youtube.com/watch?v=OoCDFmCm1DE
cljwr3nzm00083n6lt90ynbix,202,right side,,Abnormal Gait,normal,"{'top': 118.93548387096774, 'left': 70.64516129032258, 'height': 328.35483870967744, 'width': 162.1290322580645}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",OoCDFmCm1DE,https://www.youtube.com/watch?v=OoCDFmCm1DE
cljwr3nzm00083n6lt90ynbix,203,right side,,Abnormal Gait,normal,"{'top': 118.80645161290323, 'left': 71.93548387096774, 'height': 328.06451612903226, 'width': 161.38709677419354}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",OoCDFmCm1DE,https://www.youtube.com/watch?v=OoCDFmCm1DE
cljwr3nzm00083n6lt90ynbix,204,right side,,Abnormal Gait,normal,"{'top': 118.6774193548387, 'left': 73.2258064516129, 'height': 327.7741935483871, 'width': 160.6451612903226}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",OoCDFmCm1DE,https://www.youtube.com/watch?v=OoCDFmCm1DE
cljwr3nzm00083n6lt90ynbix,205,right side,,Abnormal Gait,normal,"{'top': 118.54838709677419, 'left': 74.51612903225806, 'height': 327.48387096774195, 'width': 159.9032258064516}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",OoCDFmCm1DE,https://www.youtube.com/watch?v=OoCDFmCm1DE
cljwr3nzm00083n6lt90ynbix,206,right side,,Abnormal Gait,normal,"{'top': 118.41935483870968, 'left': 75.80645161290323, 'height': 327.19354838709677, 'width': 159.16129032258064}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",OoCDFmCm1DE,https://www.youtube.com/watch?v=OoCDFmCm1DE
cljwr3nzm00083n6lt90ynbix,207,right side,,Abnormal Gait,normal,"{'top': 118.29032258064517, 'left': 77.09677419354838, 'height': 326.9032258064516, 'width': 158.41935483870967}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",OoCDFmCm1DE,https://www.youtube.com/watch?v=OoCDFmCm1DE
cljwr3nzm00083n6lt90ynbix,208,right side,,Abnormal Gait,normal,"{'top': 118.16129032258064, 'left': 78.38709677419355, 'height': 326.61290322580646, 'width': 157.67741935483872}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",OoCDFmCm1DE,https://www.youtube.com/watch?v=OoCDFmCm1DE
cljwr3nzm00083n6lt90ynbix,209,right side,,Abnormal Gait,normal,"{'top': 118.03225806451613, 'left': 79.67741935483872, 'height': 326.32258064516134, 'width': 156.93548387096774}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",OoCDFmCm1DE,https://www.youtube.com/watch?v=OoCDFmCm1DE
cljwr3nzm00083n6lt90ynbix,210,right side,,Abnormal Gait,normal,"{'top': 117.90322580645162, 'left': 80.96774193548387, 'height': 326.0322580645161, 'width': 156.19354838709677}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",OoCDFmCm1DE,https://www.youtube.com/watch?v=OoCDFmCm1DE
cljwr3nzm00083n6lt90ynbix,211,right side,,Abnormal Gait,normal,"{'top': 117.7741935483871, 'left': 82.25806451612902, 'height': 325.741935483871, 'width': 155.45161290322582}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",OoCDFmCm1DE,https://www.youtube.com/watch?v=OoCDFmCm1DE
cljwr3nzm00083n6lt90ynbix,212,right side,,Abnormal Gait,normal,"{'top': 117.64516129032258, 'left': 83.54838709677419, 'height': 325.45161290322585, 'width': 154.70967741935482}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",OoCDFmCm1DE,https://www.youtube.com/watch?v=OoCDFmCm1DE
cljwr3nzm00083n6lt90ynbix,213,right side,,Abnormal Gait,normal,"{'top': 117.51612903225806, 'left': 84.83870967741936, 'height': 325.16129032258067, 'width': 153.96774193548387}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",OoCDFmCm1DE,https://www.youtube.com/watch?v=OoCDFmCm1DE
cljwr3nzm00083n6lt90ynbix,214,right side,,Abnormal Gait,normal,"{'top': 117.38709677419355, 'left': 86.12903225806451, 'height': 324.8709677419355, 'width': 153.2258064516129}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",OoCDFmCm1DE,https://www.youtube.com/watch?v=OoCDFmCm1DE
cljwr3nzm00083n6lt90ynbix,215,right side,,Abnormal Gait,normal,"{'top': 117.25806451612904, 'left': 87.41935483870967, 'height': 324.5806451612903, 'width': 152.48387096774195}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",OoCDFmCm1DE,https://www.youtube.com/watch?v=OoCDFmCm1DE
cljwr3nzm00083n6lt90ynbix,216,right side,,Abnormal Gait,normal,"{'top': 117.12903225806451, 'left': 88.70967741935485, 'height': 324.2903225806452, 'width': 151.74193548387095}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",OoCDFmCm1DE,https://www.youtube.com/watch?v=OoCDFmCm1DE
cljwr3nzm00083n6lt90ynbix,217,right side,,Abnormal Gait,normal,"{'top': 117.0, 'left': 90.0, 'height': 324.0, 'width': 151.0}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",OoCDFmCm1DE,https://www.youtube.com/watch?v=OoCDFmCm1DE
cljwr3nzm00083n6lt90ynbix,218,right side,,Abnormal Gait,normal,"{'top': 116.93548387096774, 'left': 90.48387096774194, 'height': 323.80645161290323, 'width': 151.0967741935484}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",OoCDFmCm1DE,https://www.youtube.com/watch?v=OoCDFmCm1DE
cljwr3nzm00083n6lt90ynbix,219,right side,,Abnormal Gait,normal,"{'top': 116.87096774193549, 'left': 90.96774193548387, 'height': 323.61290322580646, 'width': 151.19354838709677}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",OoCDFmCm1DE,https://www.youtube.com/watch?v=OoCDFmCm1DE
cljwr3nzm00083n6lt90ynbix,220,right side,,Abnormal Gait,normal,"{'top': 116.80645161290323, 'left': 91.45161290322581, 'height': 323.4193548387097, 'width': 151.29032258064518}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",OoCDFmCm1DE,https://www.youtube.com/watch?v=OoCDFmCm1DE
