seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cljwr3zxa000c3n6l3s75sppt,301,left side,,Abnormal Gait,normal,"{'top': 96.0, 'left': 118.0, 'height': 318.0, 'width': 100.0}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",OoCDFmCm1DE,https://www.youtube.com/watch?v=OoCDFmCm1DE
cljwr3zxa000c3n6l3s75sppt,302,left side,,Abnormal Gait,normal,"{'top': 96.125, 'left': 112.625, 'height': 320.0, 'width': 108.5}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",OoCDFmCm1DE,https://www.youtube.com/watch?v=OoCDFmCm1DE
cljwr3zxa000c3n6l3s75sppt,303,left side,,Abnormal Gait,normal,"{'top': 96.25, 'left': 107.25, 'height': 322.0, 'width': 117.0}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",OoCDFmCm1DE,https://www.youtube.com/watch?v=OoCDFmCm1DE
cljwr3zxa000c3n6l3s75sppt,304,left side,,Abnormal Gait,normal,"{'top': 96.375, 'left': 101.875, 'height': 324.0, 'width': 125.5}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",OoCDFmCm1DE,https://www.youtube.com/watch?v=OoCDFmCm1DE
cljwr3zxa000c3n6l3s75sppt,305,left side,,Abnormal Gait,normal,"{'top': 96.5, 'left': 96.5, 'height': 326.0, 'width': 134.0}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",OoCDFmCm1DE,https://www.youtube.com/watch?v=OoCDFmCm1DE
cljwr3zxa000c3n6l3s75sppt,306,left side,,Abnormal Gait,normal,"{'top': 96.625, 'left': 91.125, 'height': 328.0, 'width': 142.5}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",OoCDFmCm1DE,https://www.youtube.com/watch?v=OoCDFmCm1DE
cljwr3zxa000c3n6l3s75sppt,307,left side,,Abnormal Gait,normal,"{'top': 96.75, 'left': 85.75, 'height': 330.0, 'width': 151.0}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",OoCDFmCm1DE,https://www.youtube.com/watch?v=OoCDFmCm1DE
cljwr3zxa000c3n6l3s75sppt,308,left side,,Abnormal Gait,normal,"{'top': 96.875, 'left': 80.375, 'height': 332.0, 'width': 159.5}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",OoCDFmCm1DE,https://www.youtube.com/watch?v=OoCDFmCm1DE
cljwr3zxa000c3n6l3s75sppt,309,left side,,Abnormal Gait,normal,"{'top': 97.0, 'left': 75.0, 'height': 334.0, 'width': 168.0}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",OoCDFmCm1DE,https://www.youtube.com/watch?v=OoCDFmCm1DE
cljwr3zxa000c3n6l3s75sppt,310,left side,,Abnormal Gait,normal,"{'top': 97.10714285714286, 'left': 73.46428571428571, 'height': 334.1428571428571, 'width': 168.3571428571429}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",OoCDFmCm1DE,https://www.youtube.com/watch?v=OoCDFmCm1DE
cljwr3zxa000c3n6l3s75sppt,311,left side,,Abnormal Gait,normal,"{'top': 97.21428571428571, 'left': 71.92857142857143, 'height': 334.2857142857143, 'width': 168.71428571428572}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",OoCDFmCm1DE,https://www.youtube.com/watch?v=OoCDFmCm1DE
cljwr3zxa000c3n6l3s75sppt,312,left side,,Abnormal Gait,normal,"{'top': 97.32142857142857, 'left': 70.39285714285714, 'height': 334.42857142857144, 'width': 169.07142857142858}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",OoCDFmCm1DE,https://www.youtube.com/watch?v=OoCDFmCm1DE
cljwr3zxa000c3n6l3s75sppt,313,left side,,Abnormal Gait,normal,"{'top': 97.42857142857143, 'left': 68.85714285714286, 'height': 334.57142857142856, 'width': 169.42857142857142}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",OoCDFmCm1DE,https://www.youtube.com/watch?v=OoCDFmCm1DE
