seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cljwr52cx000k3n6lkhlqiy7m,617,left side,,Abnormal Gait,normal,"{'top': 113.0, 'left': 123.0, 'height': 313.0, 'width': 118.0}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",OoCDFmCm1DE,https://www.youtube.com/watch?v=OoCDFmCm1DE
cljwr52cx000k3n6lkhlqiy7m,618,left side,,Abnormal Gait,normal,"{'top': 112.97222222222223, 'left': 120.58333333333333, 'height': 313.52777777777777, 'width': 119.75000000000001}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",OoCDFmCm1DE,https://www.youtube.com/watch?v=OoCDFmCm1DE
cljwr52cx000k3n6lkhlqiy7m,619,left side,,Abnormal Gait,normal,"{'top': 112.94444444444444, 'left': 118.16666666666667, 'height': 314.05555555555554, 'width': 121.49999999999999}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",OoCDFmCm1DE,https://www.youtube.com/watch?v=OoCDFmCm1DE
cljwr52cx000k3n6lkhlqiy7m,620,left side,,Abnormal Gait,normal,"{'top': 112.91666666666667, 'left': 115.75, 'height': 314.5833333333333, 'width': 123.25}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",OoCDFmCm1DE,https://www.youtube.com/watch?v=OoCDFmCm1DE
cljwr52cx000k3n6lkhlqiy7m,621,left side,,Abnormal Gait,normal,"{'top': 112.88888888888889, 'left': 113.33333333333333, 'height': 315.1111111111111, 'width': 125.00000000000001}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",OoCDFmCm1DE,https://www.youtube.com/watch?v=OoCDFmCm1DE
cljwr52cx000k3n6lkhlqiy7m,622,left side,,Abnormal Gait,normal,"{'top': 112.86111111111111, 'left': 110.91666666666667, 'height': 315.6388888888889, 'width': 126.74999999999999}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",OoCDFmCm1DE,https://www.youtube.com/watch?v=OoCDFmCm1DE
cljwr52cx000k3n6lkhlqiy7m,623,left side,,Abnormal Gait,normal,"{'top': 112.83333333333333, 'left': 108.5, 'height': 316.1666666666667, 'width': 128.5}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",OoCDFmCm1DE,https://www.youtube.com/watch?v=OoCDFmCm1DE
cljwr52cx000k3n6lkhlqiy7m,624,left side,,Abnormal Gait,normal,"{'top': 112.80555555555556, 'left': 106.08333333333333, 'height': 316.69444444444446, 'width': 130.25}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",OoCDFmCm1DE,https://www.youtube.com/watch?v=OoCDFmCm1DE
cljwr52cx000k3n6lkhlqiy7m,625,left side,,Abnormal Gait,normal,"{'top': 112.77777777777777, 'left': 103.66666666666667, 'height': 317.22222222222223, 'width': 132.0}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",OoCDFmCm1DE,https://www.youtube.com/watch?v=OoCDFmCm1DE
cljwr52cx000k3n6lkhlqiy7m,626,left side,,Abnormal Gait,normal,"{'top': 112.75, 'left': 101.25, 'height': 317.75, 'width': 133.75}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",OoCDFmCm1DE,https://www.youtube.com/watch?v=OoCDFmCm1DE
cljwr52cx000k3n6lkhlqiy7m,627,left side,,Abnormal Gait,normal,"{'top': 112.72222222222223, 'left': 98.83333333333333, 'height': 318.27777777777777, 'width': 135.5}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",OoCDFmCm1DE,https://www.youtube.com/watch?v=OoCDFmCm1DE
cljwr52cx000k3n6lkhlqiy7m,628,left side,,Abnormal Gait,normal,"{'top': 112.69444444444444, 'left': 96.41666666666666, 'height': 318.80555555555554, 'width': 137.25}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",OoCDFmCm1DE,https://www.youtube.com/watch?v=OoCDFmCm1DE
cljwr52cx000k3n6lkhlqiy7m,629,left side,,Abnormal Gait,normal,"{'top': 112.66666666666667, 'left': 94.0, 'height': 319.3333333333333, 'width': 139.0}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",OoCDFmCm1DE,https://www.youtube.com/watch?v=OoCDFmCm1DE
cljwr52cx000k3n6lkhlqiy7m,630,left side,,Abnormal Gait,normal,"{'top': 112.63888888888889, 'left': 91.58333333333333, 'height': 319.8611111111111, 'width': 140.75}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",OoCDFmCm1DE,https://www.youtube.com/watch?v=OoCDFmCm1DE
cljwr52cx000k3n6lkhlqiy7m,631,left side,,Abnormal Gait,normal,"{'top': 112.61111111111111, 'left': 89.16666666666666, 'height': 320.3888888888889, 'width': 142.5}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",OoCDFmCm1DE,https://www.youtube.com/watch?v=OoCDFmCm1DE
cljwr52cx000k3n6lkhlqiy7m,632,left side,,Abnormal Gait,normal,"{'top': 112.58333333333333, 'left': 86.75, 'height': 320.9166666666667, 'width': 144.25}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",OoCDFmCm1DE,https://www.youtube.com/watch?v=OoCDFmCm1DE
cljwr52cx000k3n6lkhlqiy7m,633,left side,,Abnormal Gait,normal,"{'top': 112.55555555555556, 'left': 84.33333333333334, 'height': 321.44444444444446, 'width': 146.0}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",OoCDFmCm1DE,https://www.youtube.com/watch?v=OoCDFmCm1DE
cljwr52cx000k3n6lkhlqiy7m,634,left side,,Abnormal Gait,normal,"{'top': 112.52777777777777, 'left': 81.91666666666666, 'height': 321.97222222222223, 'width': 147.75}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",OoCDFmCm1DE,https://www.youtube.com/watch?v=OoCDFmCm1DE
cljwr52cx000k3n6lkhlqiy7m,635,left side,,Abnormal Gait,normal,"{'top': 112.5, 'left': 79.5, 'height': 322.5, 'width': 149.5}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",OoCDFmCm1DE,https://www.youtube.com/watch?v=OoCDFmCm1DE
