seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cljwr5ix0000o3n6luidaxct4,798,right side,,Abnormal Gait,normal,"{'top': 103.0, 'left': 28.0, 'height': 312.0, 'width': 143.0}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",OoCDFmCm1DE,https://www.youtube.com/watch?v=OoCDFmCm1DE
cljwr5ix0000o3n6luidaxct4,799,right side,,Abnormal Gait,normal,"{'top': 103.28571428571429, 'left': 24.42857142857143, 'height': 313.42857142857144, 'width': 147.42857142857144}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",OoCDFmCm1DE,https://www.youtube.com/watch?v=OoCDFmCm1DE
cljwr5ix0000o3n6luidaxct4,800,right side,,Abnormal Gait,normal,"{'top': 103.57142857142857, 'left': 20.857142857142858, 'height': 314.8571428571429, 'width': 151.85714285714286}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",OoCDFmCm1DE,https://www.youtube.com/watch?v=OoCDFmCm1DE
cljwr5ix0000o3n6luidaxct4,801,right side,,Abnormal Gait,normal,"{'top': 103.85714285714286, 'left': 17.285714285714285, 'height': 316.28571428571433, 'width': 156.2857142857143}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",OoCDFmCm1DE,https://www.youtube.com/watch?v=OoCDFmCm1DE
cljwr5ix0000o3n6luidaxct4,802,right side,,Abnormal Gait,normal,"{'top': 104.14285714285714, 'left': 13.714285714285715, 'height': 317.71428571428567, 'width': 160.7142857142857}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",OoCDFmCm1DE,https://www.youtube.com/watch?v=OoCDFmCm1DE
cljwr5ix0000o3n6luidaxct4,803,right side,,Abnormal Gait,normal,"{'top': 104.42857142857143, 'left': 10.142857142857142, 'height': 319.1428571428571, 'width': 165.14285714285714}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",OoCDFmCm1DE,https://www.youtube.com/watch?v=OoCDFmCm1DE
cljwr5ix0000o3n6luidaxct4,804,right side,,Abnormal Gait,normal,"{'top': 104.71428571428571, 'left': 6.571428571428573, 'height': 320.57142857142856, 'width': 169.57142857142856}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",OoCDFmCm1DE,https://www.youtube.com/watch?v=OoCDFmCm1DE
cljwr5ix0000o3n6luidaxct4,805,right side,,Abnormal Gait,normal,"{'top': 105.0, 'left': 3.0, 'height': 322.0, 'width': 174.0}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",OoCDFmCm1DE,https://www.youtube.com/watch?v=OoCDFmCm1DE
cljwr5ix0000o3n6luidaxct4,806,right side,,Abnormal Gait,normal,"{'top': 105.23333333333333, 'left': 3.1, 'height': 322.1333333333333, 'width': 174.70000000000002}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",OoCDFmCm1DE,https://www.youtube.com/watch?v=OoCDFmCm1DE
cljwr5ix0000o3n6luidaxct4,807,right side,,Abnormal Gait,normal,"{'top': 105.46666666666667, 'left': 3.2, 'height': 322.26666666666665, 'width': 175.4}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",OoCDFmCm1DE,https://www.youtube.com/watch?v=OoCDFmCm1DE
cljwr5ix0000o3n6luidaxct4,808,right side,,Abnormal Gait,normal,"{'top': 105.7, 'left': 3.3, 'height': 322.40000000000003, 'width': 176.1}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",OoCDFmCm1DE,https://www.youtube.com/watch?v=OoCDFmCm1DE
cljwr5ix0000o3n6luidaxct4,809,right side,,Abnormal Gait,normal,"{'top': 105.93333333333334, 'left': 3.4, 'height': 322.5333333333333, 'width': 176.79999999999998}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",OoCDFmCm1DE,https://www.youtube.com/watch?v=OoCDFmCm1DE
cljwr5ix0000o3n6luidaxct4,810,right side,,Abnormal Gait,normal,"{'top': 106.16666666666667, 'left': 3.5, 'height': 322.66666666666663, 'width': 177.5}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",OoCDFmCm1DE,https://www.youtube.com/watch?v=OoCDFmCm1DE
cljwr5ix0000o3n6luidaxct4,811,right side,,Abnormal Gait,normal,"{'top': 106.4, 'left': 3.6, 'height': 322.79999999999995, 'width': 178.20000000000002}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",OoCDFmCm1DE,https://www.youtube.com/watch?v=OoCDFmCm1DE
cljwr5ix0000o3n6luidaxct4,812,right side,,Abnormal Gait,normal,"{'top': 106.63333333333334, 'left': 3.7, 'height': 322.93333333333334, 'width': 178.9}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",OoCDFmCm1DE,https://www.youtube.com/watch?v=OoCDFmCm1DE
cljwr5ix0000o3n6luidaxct4,813,right side,,Abnormal Gait,normal,"{'top': 106.86666666666666, 'left': 3.8, 'height': 323.06666666666666, 'width': 179.6}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",OoCDFmCm1DE,https://www.youtube.com/watch?v=OoCDFmCm1DE
cljwr5ix0000o3n6luidaxct4,814,right side,,Abnormal Gait,normal,"{'top': 107.1, 'left': 3.9, 'height': 323.20000000000005, 'width': 180.29999999999998}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",OoCDFmCm1DE,https://www.youtube.com/watch?v=OoCDFmCm1DE
cljwr5ix0000o3n6luidaxct4,815,right side,,Abnormal Gait,normal,"{'top': 107.33333333333333, 'left': 4.0, 'height': 323.33333333333337, 'width': 181.0}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",OoCDFmCm1DE,https://www.youtube.com/watch?v=OoCDFmCm1DE
