seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cljwrju1q002k3n6locdj52a9,1,front,,Abnormal Gait,normal,"{'top': 85.0, 'left': 239.0, 'height': 193.0, 'width': 56.0}","{'height': 320, 'width': 568, 'mime_type': 'video/mp4'}",mBAxLr73IHU,https://www.youtube.com/watch?v=mBAxLr73IHU
cljwrju1q002k3n6locdj52a9,2,front,,Abnormal Gait,normal,"{'top': 84.84313725490196, 'left': 238.86274509803923, 'height': 193.92156862745097, 'width': 56.80392156862746}","{'height': 320, 'width': 568, 'mime_type': 'video/mp4'}",mBAxLr73IHU,https://www.youtube.com/watch?v=mBAxLr73IHU
cljwrju1q002k3n6locdj52a9,3,front,,Abnormal Gait,normal,"{'top': 84.68627450980392, 'left': 238.72549019607843, 'height': 194.84313725490193, 'width': 57.60784313725489}","{'height': 320, 'width': 568, 'mime_type': 'video/mp4'}",mBAxLr73IHU,https://www.youtube.com/watch?v=mBAxLr73IHU
cljwrju1q002k3n6locdj52a9,4,front,,Abnormal Gait,normal,"{'top': 84.52941176470588, 'left': 238.58823529411765, 'height': 195.76470588235296, 'width': 58.41176470588235}","{'height': 320, 'width': 568, 'mime_type': 'video/mp4'}",mBAxLr73IHU,https://www.youtube.com/watch?v=mBAxLr73IHU
cljwrju1q002k3n6locdj52a9,5,front,,Abnormal Gait,normal,"{'top': 84.37254901960785, 'left': 238.45098039215685, 'height': 196.68627450980392, 'width': 59.215686274509835}","{'height': 320, 'width': 568, 'mime_type': 'video/mp4'}",mBAxLr73IHU,https://www.youtube.com/watch?v=mBAxLr73IHU
cljwrju1q002k3n6locdj52a9,6,front,,Abnormal Gait,normal,"{'top': 84.2156862745098, 'left': 238.31372549019608, 'height': 197.6078431372549, 'width': 60.01960784313724}","{'height': 320, 'width': 568, 'mime_type': 'video/mp4'}",mBAxLr73IHU,https://www.youtube.com/watch?v=mBAxLr73IHU
cljwrju1q002k3n6locdj52a9,7,front,,Abnormal Gait,normal,"{'top': 84.05882352941177, 'left': 238.1764705882353, 'height': 198.52941176470586, 'width': 60.823529411764696}","{'height': 320, 'width': 568, 'mime_type': 'video/mp4'}",mBAxLr73IHU,https://www.youtube.com/watch?v=mBAxLr73IHU
cljwrju1q002k3n6locdj52a9,8,front,,Abnormal Gait,normal,"{'top': 83.90196078431373, 'left': 238.0392156862745, 'height': 199.45098039215688, 'width': 61.62745098039218}","{'height': 320, 'width': 568, 'mime_type': 'video/mp4'}",mBAxLr73IHU,https://www.youtube.com/watch?v=mBAxLr73IHU
cljwrju1q002k3n6locdj52a9,9,front,,Abnormal Gait,normal,"{'top': 83.74509803921569, 'left': 237.90196078431373, 'height': 200.37254901960785, 'width': 62.431372549019585}","{'height': 320, 'width': 568, 'mime_type': 'video/mp4'}",mBAxLr73IHU,https://www.youtube.com/watch?v=mBAxLr73IHU
cljwrju1q002k3n6locdj52a9,10,front,,Abnormal Gait,normal,"{'top': 83.58823529411765, 'left': 237.76470588235293, 'height': 201.2941176470588, 'width': 63.23529411764707}","{'height': 320, 'width': 568, 'mime_type': 'video/mp4'}",mBAxLr73IHU,https://www.youtube.com/watch?v=mBAxLr73IHU
