seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cljwrkef8002o3n6lp21lyyik,154,back,,Abnormal Gait,normal,"{'top': 76.0, 'left': 227.0, 'height': 244.0, 'width': 121.0}","{'height': 320, 'width': 568, 'mime_type': 'video/mp4'}",mBAxLr73IHU,https://www.youtube.com/watch?v=mBAxLr73IHU
cljwrkef8002o3n6lp21lyyik,155,back,,Abnormal Gait,normal,"{'top': 76.03571428571429, 'left': 227.25, 'height': 243.96428571428572, 'width': 120.42857142857144}","{'height': 320, 'width': 568, 'mime_type': 'video/mp4'}",mBAxLr73IHU,https://www.youtube.com/watch?v=mBAxLr73IHU
cljwrkef8002o3n6lp21lyyik,156,back,,Abnormal Gait,normal,"{'top': 76.07142857142857, 'left': 227.5, 'height': 243.92857142857144, 'width': 119.85714285714283}","{'height': 320, 'width': 568, 'mime_type': 'video/mp4'}",mBAxLr73IHU,https://www.youtube.com/watch?v=mBAxLr73IHU
cljwrkef8002o3n6lp21lyyik,157,back,,Abnormal Gait,normal,"{'top': 76.10714285714286, 'left': 227.75, 'height': 243.89285714285714, 'width': 119.28571428571428}","{'height': 320, 'width': 568, 'mime_type': 'video/mp4'}",mBAxLr73IHU,https://www.youtube.com/watch?v=mBAxLr73IHU
cljwrkef8002o3n6lp21lyyik,158,back,,Abnormal Gait,normal,"{'top': 76.14285714285714, 'left': 228.0, 'height': 243.85714285714286, 'width': 118.71428571428572}","{'height': 320, 'width': 568, 'mime_type': 'video/mp4'}",mBAxLr73IHU,https://www.youtube.com/watch?v=mBAxLr73IHU
cljwrkef8002o3n6lp21lyyik,159,back,,Abnormal Gait,normal,"{'top': 76.17857142857143, 'left': 228.25, 'height': 243.82142857142856, 'width': 118.14285714285717}","{'height': 320, 'width': 568, 'mime_type': 'video/mp4'}",mBAxLr73IHU,https://www.youtube.com/watch?v=mBAxLr73IHU
cljwrkef8002o3n6lp21lyyik,160,back,,Abnormal Gait,normal,"{'top': 76.21428571428571, 'left': 228.5, 'height': 243.78571428571428, 'width': 117.57142857142856}","{'height': 320, 'width': 568, 'mime_type': 'video/mp4'}",mBAxLr73IHU,https://www.youtube.com/watch?v=mBAxLr73IHU
cljwrkef8002o3n6lp21lyyik,161,back,,Abnormal Gait,normal,"{'top': 76.25, 'left': 228.75, 'height': 243.75, 'width': 117.0}","{'height': 320, 'width': 568, 'mime_type': 'video/mp4'}",mBAxLr73IHU,https://www.youtube.com/watch?v=mBAxLr73IHU
cljwrkef8002o3n6lp21lyyik,162,back,,Abnormal Gait,normal,"{'top': 76.28571428571429, 'left': 229.0, 'height': 243.71428571428572, 'width': 116.42857142857144}","{'height': 320, 'width': 568, 'mime_type': 'video/mp4'}",mBAxLr73IHU,https://www.youtube.com/watch?v=mBAxLr73IHU
cljwrkef8002o3n6lp21lyyik,163,back,,Abnormal Gait,normal,"{'top': 76.32142857142857, 'left': 229.25, 'height': 243.67857142857144, 'width': 115.85714285714283}","{'height': 320, 'width': 568, 'mime_type': 'video/mp4'}",mBAxLr73IHU,https://www.youtube.com/watch?v=mBAxLr73IHU
cljwrkef8002o3n6lp21lyyik,164,back,,Abnormal Gait,normal,"{'top': 76.35714285714286, 'left': 229.5, 'height': 243.64285714285714, 'width': 115.28571428571428}","{'height': 320, 'width': 568, 'mime_type': 'video/mp4'}",mBAxLr73IHU,https://www.youtube.com/watch?v=mBAxLr73IHU
cljwrkef8002o3n6lp21lyyik,165,back,,Abnormal Gait,normal,"{'top': 76.39285714285714, 'left': 229.75, 'height': 243.60714285714286, 'width': 114.71428571428572}","{'height': 320, 'width': 568, 'mime_type': 'video/mp4'}",mBAxLr73IHU,https://www.youtube.com/watch?v=mBAxLr73IHU
cljwrkef8002o3n6lp21lyyik,166,back,,Abnormal Gait,normal,"{'top': 76.42857142857143, 'left': 230.0, 'height': 243.57142857142856, 'width': 114.14285714285717}","{'height': 320, 'width': 568, 'mime_type': 'video/mp4'}",mBAxLr73IHU,https://www.youtube.com/watch?v=mBAxLr73IHU
cljwrkef8002o3n6lp21lyyik,167,back,,Abnormal Gait,normal,"{'top': 76.46428571428571, 'left': 230.25, 'height': 243.53571428571428, 'width': 113.57142857142856}","{'height': 320, 'width': 568, 'mime_type': 'video/mp4'}",mBAxLr73IHU,https://www.youtube.com/watch?v=mBAxLr73IHU
cljwrkef8002o3n6lp21lyyik,168,back,,Abnormal Gait,normal,"{'top': 76.5, 'left': 230.5, 'height': 243.5, 'width': 113.0}","{'height': 320, 'width': 568, 'mime_type': 'video/mp4'}",mBAxLr73IHU,https://www.youtube.com/watch?v=mBAxLr73IHU
cljwrkef8002o3n6lp21lyyik,169,back,,Abnormal Gait,normal,"{'top': 76.53571428571429, 'left': 230.75, 'height': 243.46428571428572, 'width': 112.42857142857144}","{'height': 320, 'width': 568, 'mime_type': 'video/mp4'}",mBAxLr73IHU,https://www.youtube.com/watch?v=mBAxLr73IHU
cljwrkef8002o3n6lp21lyyik,170,back,,Abnormal Gait,normal,"{'top': 76.57142857142857, 'left': 231.0, 'height': 243.42857142857144, 'width': 111.85714285714283}","{'height': 320, 'width': 568, 'mime_type': 'video/mp4'}",mBAxLr73IHU,https://www.youtube.com/watch?v=mBAxLr73IHU
cljwrkef8002o3n6lp21lyyik,171,back,,Abnormal Gait,normal,"{'top': 76.60714285714286, 'left': 231.25, 'height': 243.39285714285714, 'width': 111.28571428571428}","{'height': 320, 'width': 568, 'mime_type': 'video/mp4'}",mBAxLr73IHU,https://www.youtube.com/watch?v=mBAxLr73IHU
cljwrkef8002o3n6lp21lyyik,172,back,,Abnormal Gait,normal,"{'top': 76.64285714285714, 'left': 231.5, 'height': 243.35714285714286, 'width': 110.71428571428572}","{'height': 320, 'width': 568, 'mime_type': 'video/mp4'}",mBAxLr73IHU,https://www.youtube.com/watch?v=mBAxLr73IHU
cljwrkef8002o3n6lp21lyyik,173,back,,Abnormal Gait,normal,"{'top': 76.67857142857143, 'left': 231.75, 'height': 243.32142857142856, 'width': 110.14285714285717}","{'height': 320, 'width': 568, 'mime_type': 'video/mp4'}",mBAxLr73IHU,https://www.youtube.com/watch?v=mBAxLr73IHU
cljwrkef8002o3n6lp21lyyik,174,back,,Abnormal Gait,normal,"{'top': 76.71428571428571, 'left': 232.0, 'height': 243.28571428571428, 'width': 109.57142857142856}","{'height': 320, 'width': 568, 'mime_type': 'video/mp4'}",mBAxLr73IHU,https://www.youtube.com/watch?v=mBAxLr73IHU
cljwrkef8002o3n6lp21lyyik,175,back,,Abnormal Gait,normal,"{'top': 76.75, 'left': 232.25, 'height': 243.25, 'width': 109.0}","{'height': 320, 'width': 568, 'mime_type': 'video/mp4'}",mBAxLr73IHU,https://www.youtube.com/watch?v=mBAxLr73IHU
cljwrkef8002o3n6lp21lyyik,176,back,,Abnormal Gait,normal,"{'top': 76.78571428571429, 'left': 232.5, 'height': 243.21428571428572, 'width': 108.42857142857144}","{'height': 320, 'width': 568, 'mime_type': 'video/mp4'}",mBAxLr73IHU,https://www.youtube.com/watch?v=mBAxLr73IHU
cljwrkef8002o3n6lp21lyyik,177,back,,Abnormal Gait,normal,"{'top': 76.82142857142857, 'left': 232.75, 'height': 243.17857142857144, 'width': 107.85714285714283}","{'height': 320, 'width': 568, 'mime_type': 'video/mp4'}",mBAxLr73IHU,https://www.youtube.com/watch?v=mBAxLr73IHU
cljwrkef8002o3n6lp21lyyik,178,back,,Abnormal Gait,normal,"{'top': 76.85714285714286, 'left': 233.0, 'height': 243.14285714285714, 'width': 107.28571428571428}","{'height': 320, 'width': 568, 'mime_type': 'video/mp4'}",mBAxLr73IHU,https://www.youtube.com/watch?v=mBAxLr73IHU
cljwrkef8002o3n6lp21lyyik,179,back,,Abnormal Gait,normal,"{'top': 76.89285714285714, 'left': 233.25, 'height': 243.10714285714286, 'width': 106.71428571428572}","{'height': 320, 'width': 568, 'mime_type': 'video/mp4'}",mBAxLr73IHU,https://www.youtube.com/watch?v=mBAxLr73IHU
cljwrkef8002o3n6lp21lyyik,180,back,,Abnormal Gait,normal,"{'top': 76.92857142857143, 'left': 233.5, 'height': 243.07142857142856, 'width': 106.14285714285717}","{'height': 320, 'width': 568, 'mime_type': 'video/mp4'}",mBAxLr73IHU,https://www.youtube.com/watch?v=mBAxLr73IHU
cljwrkef8002o3n6lp21lyyik,181,back,,Abnormal Gait,normal,"{'top': 76.96428571428571, 'left': 233.75, 'height': 243.03571428571428, 'width': 105.57142857142856}","{'height': 320, 'width': 568, 'mime_type': 'video/mp4'}",mBAxLr73IHU,https://www.youtube.com/watch?v=mBAxLr73IHU
cljwrkef8002o3n6lp21lyyik,182,back,,Abnormal Gait,normal,"{'top': 77.0, 'left': 234.0, 'height': 243.0, 'width': 105.0}","{'height': 320, 'width': 568, 'mime_type': 'video/mp4'}",mBAxLr73IHU,https://www.youtube.com/watch?v=mBAxLr73IHU
cljwrkef8002o3n6lp21lyyik,183,back,,Abnormal Gait,normal,"{'top': 77.0625, 'left': 234.25, 'height': 241.97916666666669, 'width': 104.4375}","{'height': 320, 'width': 568, 'mime_type': 'video/mp4'}",mBAxLr73IHU,https://www.youtube.com/watch?v=mBAxLr73IHU
cljwrkef8002o3n6lp21lyyik,184,back,,Abnormal Gait,normal,"{'top': 77.125, 'left': 234.5, 'height': 240.95833333333331, 'width': 103.875}","{'height': 320, 'width': 568, 'mime_type': 'video/mp4'}",mBAxLr73IHU,https://www.youtube.com/watch?v=mBAxLr73IHU
cljwrkef8002o3n6lp21lyyik,185,back,,Abnormal Gait,normal,"{'top': 77.1875, 'left': 234.75, 'height': 239.9375, 'width': 103.3125}","{'height': 320, 'width': 568, 'mime_type': 'video/mp4'}",mBAxLr73IHU,https://www.youtube.com/watch?v=mBAxLr73IHU
cljwrkef8002o3n6lp21lyyik,186,back,,Abnormal Gait,normal,"{'top': 77.25, 'left': 235.0, 'height': 238.91666666666669, 'width': 102.75}","{'height': 320, 'width': 568, 'mime_type': 'video/mp4'}",mBAxLr73IHU,https://www.youtube.com/watch?v=mBAxLr73IHU
cljwrkef8002o3n6lp21lyyik,187,back,,Abnormal Gait,normal,"{'top': 77.3125, 'left': 235.25, 'height': 237.89583333333331, 'width': 102.1875}","{'height': 320, 'width': 568, 'mime_type': 'video/mp4'}",mBAxLr73IHU,https://www.youtube.com/watch?v=mBAxLr73IHU
cljwrkef8002o3n6lp21lyyik,188,back,,Abnormal Gait,normal,"{'top': 77.375, 'left': 235.5, 'height': 236.875, 'width': 101.625}","{'height': 320, 'width': 568, 'mime_type': 'video/mp4'}",mBAxLr73IHU,https://www.youtube.com/watch?v=mBAxLr73IHU
cljwrkef8002o3n6lp21lyyik,189,back,,Abnormal Gait,normal,"{'top': 77.4375, 'left': 235.75, 'height': 235.85416666666669, 'width': 101.0625}","{'height': 320, 'width': 568, 'mime_type': 'video/mp4'}",mBAxLr73IHU,https://www.youtube.com/watch?v=mBAxLr73IHU
