seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cljwsxudc000z3n6l8eoon4wq,612,left side,,Abnormal Gait,normal,"{'top': 59.0, 'left': 754.0, 'height': 334.0, 'width': 100.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",vUM4OwTQk34,https://www.youtube.com/watch?v=vUM4OwTQk34
cljwsxudc000z3n6l8eoon4wq,613,left side,,Abnormal Gait,normal,"{'top': 59.25, 'left': 726.5, 'height': 336.5, 'width': 127.5}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",vUM4OwTQk34,https://www.youtube.com/watch?v=vUM4OwTQk34
cljwsxudc000z3n6l8eoon4wq,614,left side,,Abnormal Gait,normal,"{'top': 59.5, 'left': 699.0, 'height': 339.0, 'width': 155.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",vUM4OwTQk34,https://www.youtube.com/watch?v=vUM4OwTQk34
cljwsxudc000z3n6l8eoon4wq,615,left side,,Abnormal Gait,normal,"{'top': 59.75, 'left': 671.5, 'height': 341.5, 'width': 182.5}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",vUM4OwTQk34,https://www.youtube.com/watch?v=vUM4OwTQk34
cljwsxudc000z3n6l8eoon4wq,616,left side,,Abnormal Gait,normal,"{'top': 60.0, 'left': 644.0, 'height': 344.0, 'width': 210.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",vUM4OwTQk34,https://www.youtube.com/watch?v=vUM4OwTQk34
cljwsxudc000z3n6l8eoon4wq,617,left side,,Abnormal Gait,normal,"{'top': 60.333333333333336, 'left': 634.3333333333334, 'height': 345.0, 'width': 219.66666666666663}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",vUM4OwTQk34,https://www.youtube.com/watch?v=vUM4OwTQk34
cljwsxudc000z3n6l8eoon4wq,618,left side,,Abnormal Gait,normal,"{'top': 60.666666666666664, 'left': 624.6666666666666, 'height': 346.0, 'width': 229.33333333333337}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",vUM4OwTQk34,https://www.youtube.com/watch?v=vUM4OwTQk34
cljwsxudc000z3n6l8eoon4wq,619,left side,,Abnormal Gait,normal,"{'top': 61.0, 'left': 615.0, 'height': 347.0, 'width': 239.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",vUM4OwTQk34,https://www.youtube.com/watch?v=vUM4OwTQk34
cljwsxudc000z3n6l8eoon4wq,620,left side,,Abnormal Gait,normal,"{'top': 61.142857142857146, 'left': 605.2857142857143, 'height': 346.85714285714283, 'width': 240.57142857142856}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",vUM4OwTQk34,https://www.youtube.com/watch?v=vUM4OwTQk34
cljwsxudc000z3n6l8eoon4wq,621,left side,,Abnormal Gait,normal,"{'top': 61.285714285714285, 'left': 595.5714285714286, 'height': 346.7142857142857, 'width': 242.1428571428571}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",vUM4OwTQk34,https://www.youtube.com/watch?v=vUM4OwTQk34
