seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cljwtauxc00093n6lcfjk03tn,66,left side,,Normal Gait,normal,"{'top': 78.0, 'left': 234.0, 'height': 179.0, 'width': 36.0}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",DfRhvdCiUJk,https://www.youtube.com/watch?v=DfRhvdCiUJk
cljwtauxc00093n6lcfjk03tn,67,left side,,Normal Gait,normal,"{'top': 78.0, 'left': 231.25, 'height': 179.0, 'width': 38.75}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",DfRhvdCiUJk,https://www.youtube.com/watch?v=DfRhvdCiUJk
cljwtauxc00093n6lcfjk03tn,68,left side,,Normal Gait,normal,"{'top': 78.0, 'left': 228.5, 'height': 179.0, 'width': 41.5}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",DfRhvdCiUJk,https://www.youtube.com/watch?v=DfRhvdCiUJk
cljwtauxc00093n6lcfjk03tn,69,left side,,Normal Gait,normal,"{'top': 78.0, 'left': 225.75, 'height': 179.0, 'width': 44.25}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",DfRhvdCiUJk,https://www.youtube.com/watch?v=DfRhvdCiUJk
cljwtauxc00093n6lcfjk03tn,70,left side,,Normal Gait,normal,"{'top': 78.0, 'left': 223.0, 'height': 179.0, 'width': 47.0}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",DfRhvdCiUJk,https://www.youtube.com/watch?v=DfRhvdCiUJk
cljwtauxc00093n6lcfjk03tn,71,left side,,Normal Gait,normal,"{'top': 78.0, 'left': 220.0, 'height': 179.0, 'width': 50.0}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",DfRhvdCiUJk,https://www.youtube.com/watch?v=DfRhvdCiUJk
cljwtauxc00093n6lcfjk03tn,72,left side,,Normal Gait,normal,"{'top': 78.0, 'left': 217.0, 'height': 179.0, 'width': 53.0}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",DfRhvdCiUJk,https://www.youtube.com/watch?v=DfRhvdCiUJk
cljwtauxc00093n6lcfjk03tn,73,left side,,Normal Gait,normal,"{'top': 78.0, 'left': 214.0, 'height': 179.0, 'width': 56.0}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",DfRhvdCiUJk,https://www.youtube.com/watch?v=DfRhvdCiUJk
cljwtauxc00093n6lcfjk03tn,74,left side,,Normal Gait,normal,"{'top': 78.0, 'left': 211.0, 'height': 179.0, 'width': 59.0}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",DfRhvdCiUJk,https://www.youtube.com/watch?v=DfRhvdCiUJk
cljwtauxc00093n6lcfjk03tn,75,left side,,Normal Gait,normal,"{'top': 78.0, 'left': 208.0, 'height': 179.0, 'width': 62.0}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",DfRhvdCiUJk,https://www.youtube.com/watch?v=DfRhvdCiUJk
cljwtauxc00093n6lcfjk03tn,76,left side,,Normal Gait,normal,"{'top': 78.0, 'left': 190.0, 'height': 179.0, 'width': 80.0}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",DfRhvdCiUJk,https://www.youtube.com/watch?v=DfRhvdCiUJk
cljwtauxc00093n6lcfjk03tn,77,left side,,Normal Gait,normal,"{'top': 78.0, 'left': 172.0, 'height': 179.0, 'width': 98.0}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",DfRhvdCiUJk,https://www.youtube.com/watch?v=DfRhvdCiUJk
cljwtauxc00093n6lcfjk03tn,78,left side,,Normal Gait,normal,"{'top': 78.0, 'left': 170.0, 'height': 179.0, 'width': 100.0}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",DfRhvdCiUJk,https://www.youtube.com/watch?v=DfRhvdCiUJk
cljwtauxc00093n6lcfjk03tn,79,left side,,Normal Gait,normal,"{'top': 78.0, 'left': 168.0, 'height': 179.0, 'width': 102.0}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",DfRhvdCiUJk,https://www.youtube.com/watch?v=DfRhvdCiUJk
cljwtauxc00093n6lcfjk03tn,80,left side,,Normal Gait,normal,"{'top': 78.0, 'left': 166.0, 'height': 179.0, 'width': 104.0}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",DfRhvdCiUJk,https://www.youtube.com/watch?v=DfRhvdCiUJk
cljwtauxc00093n6lcfjk03tn,81,left side,,Normal Gait,normal,"{'top': 78.0, 'left': 164.0, 'height': 179.0, 'width': 106.0}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",DfRhvdCiUJk,https://www.youtube.com/watch?v=DfRhvdCiUJk
cljwtauxc00093n6lcfjk03tn,82,left side,,Normal Gait,normal,"{'top': 78.0, 'left': 162.0, 'height': 179.0, 'width': 108.0}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",DfRhvdCiUJk,https://www.youtube.com/watch?v=DfRhvdCiUJk
cljwtauxc00093n6lcfjk03tn,83,left side,,Normal Gait,normal,"{'top': 78.03125, 'left': 160.0, 'height': 179.0, 'width': 107.34375}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",DfRhvdCiUJk,https://www.youtube.com/watch?v=DfRhvdCiUJk
cljwtauxc00093n6lcfjk03tn,84,left side,,Normal Gait,normal,"{'top': 78.0625, 'left': 158.0, 'height': 179.0, 'width': 106.6875}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",DfRhvdCiUJk,https://www.youtube.com/watch?v=DfRhvdCiUJk
cljwtauxc00093n6lcfjk03tn,85,left side,,Normal Gait,normal,"{'top': 78.09375, 'left': 156.0, 'height': 179.0, 'width': 106.03125}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",DfRhvdCiUJk,https://www.youtube.com/watch?v=DfRhvdCiUJk
cljwtauxc00093n6lcfjk03tn,86,left side,,Normal Gait,normal,"{'top': 78.125, 'left': 154.0, 'height': 179.0, 'width': 105.375}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",DfRhvdCiUJk,https://www.youtube.com/watch?v=DfRhvdCiUJk
cljwtauxc00093n6lcfjk03tn,87,left side,,Normal Gait,normal,"{'top': 78.15625, 'left': 152.0, 'height': 179.0, 'width': 104.71875}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",DfRhvdCiUJk,https://www.youtube.com/watch?v=DfRhvdCiUJk
cljwtauxc00093n6lcfjk03tn,88,left side,,Normal Gait,normal,"{'top': 78.1875, 'left': 150.0, 'height': 179.0, 'width': 104.0625}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",DfRhvdCiUJk,https://www.youtube.com/watch?v=DfRhvdCiUJk
cljwtauxc00093n6lcfjk03tn,89,left side,,Normal Gait,normal,"{'top': 78.21875, 'left': 148.0, 'height': 179.0, 'width': 103.40625}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",DfRhvdCiUJk,https://www.youtube.com/watch?v=DfRhvdCiUJk
cljwtauxc00093n6lcfjk03tn,90,left side,,Normal Gait,normal,"{'top': 78.25, 'left': 146.0, 'height': 179.0, 'width': 102.75}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",DfRhvdCiUJk,https://www.youtube.com/watch?v=DfRhvdCiUJk
cljwtauxc00093n6lcfjk03tn,91,left side,,Normal Gait,normal,"{'top': 78.28125, 'left': 144.0, 'height': 179.0, 'width': 102.09375}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",DfRhvdCiUJk,https://www.youtube.com/watch?v=DfRhvdCiUJk
cljwtauxc00093n6lcfjk03tn,92,left side,,Normal Gait,normal,"{'top': 78.3125, 'left': 142.0, 'height': 179.0, 'width': 101.4375}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",DfRhvdCiUJk,https://www.youtube.com/watch?v=DfRhvdCiUJk
cljwtauxc00093n6lcfjk03tn,93,left side,,Normal Gait,normal,"{'top': 78.34375, 'left': 140.0, 'height': 179.0, 'width': 100.78125}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",DfRhvdCiUJk,https://www.youtube.com/watch?v=DfRhvdCiUJk
cljwtauxc00093n6lcfjk03tn,94,left side,,Normal Gait,normal,"{'top': 78.375, 'left': 138.0, 'height': 179.0, 'width': 100.125}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",DfRhvdCiUJk,https://www.youtube.com/watch?v=DfRhvdCiUJk
cljwtauxc00093n6lcfjk03tn,95,left side,,Normal Gait,normal,"{'top': 78.40625, 'left': 136.0, 'height': 179.0, 'width': 99.46875}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",DfRhvdCiUJk,https://www.youtube.com/watch?v=DfRhvdCiUJk
cljwtauxc00093n6lcfjk03tn,96,left side,,Normal Gait,normal,"{'top': 78.4375, 'left': 134.0, 'height': 179.0, 'width': 98.8125}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",DfRhvdCiUJk,https://www.youtube.com/watch?v=DfRhvdCiUJk
cljwtauxc00093n6lcfjk03tn,97,left side,,Normal Gait,normal,"{'top': 78.46875, 'left': 132.0, 'height': 179.0, 'width': 98.15625}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",DfRhvdCiUJk,https://www.youtube.com/watch?v=DfRhvdCiUJk
cljwtauxc00093n6lcfjk03tn,98,left side,,Normal Gait,normal,"{'top': 78.5, 'left': 130.0, 'height': 179.0, 'width': 97.5}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",DfRhvdCiUJk,https://www.youtube.com/watch?v=DfRhvdCiUJk
cljwtauxc00093n6lcfjk03tn,99,left side,,Normal Gait,normal,"{'top': 78.53125, 'left': 128.0, 'height': 179.0, 'width': 96.84375}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",DfRhvdCiUJk,https://www.youtube.com/watch?v=DfRhvdCiUJk
cljwtauxc00093n6lcfjk03tn,100,left side,,Normal Gait,normal,"{'top': 78.5625, 'left': 126.0, 'height': 179.0, 'width': 96.1875}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",DfRhvdCiUJk,https://www.youtube.com/watch?v=DfRhvdCiUJk
cljwtauxc00093n6lcfjk03tn,101,left side,,Normal Gait,normal,"{'top': 78.59375, 'left': 124.0, 'height': 179.0, 'width': 95.53125}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",DfRhvdCiUJk,https://www.youtube.com/watch?v=DfRhvdCiUJk
cljwtauxc00093n6lcfjk03tn,102,left side,,Normal Gait,normal,"{'top': 78.625, 'left': 122.0, 'height': 179.0, 'width': 94.875}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",DfRhvdCiUJk,https://www.youtube.com/watch?v=DfRhvdCiUJk
cljwtauxc00093n6lcfjk03tn,103,left side,,Normal Gait,normal,"{'top': 78.65625, 'left': 120.0, 'height': 179.0, 'width': 94.21875}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",DfRhvdCiUJk,https://www.youtube.com/watch?v=DfRhvdCiUJk
cljwtauxc00093n6lcfjk03tn,104,left side,,Normal Gait,normal,"{'top': 78.6875, 'left': 118.0, 'height': 179.0, 'width': 93.5625}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",DfRhvdCiUJk,https://www.youtube.com/watch?v=DfRhvdCiUJk
cljwtauxc00093n6lcfjk03tn,105,left side,,Normal Gait,normal,"{'top': 78.71875, 'left': 116.0, 'height': 179.0, 'width': 92.90625}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",DfRhvdCiUJk,https://www.youtube.com/watch?v=DfRhvdCiUJk
cljwtauxc00093n6lcfjk03tn,106,left side,,Normal Gait,normal,"{'top': 78.75, 'left': 114.0, 'height': 179.0, 'width': 92.25}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",DfRhvdCiUJk,https://www.youtube.com/watch?v=DfRhvdCiUJk
cljwtauxc00093n6lcfjk03tn,107,left side,,Normal Gait,normal,"{'top': 78.78125, 'left': 112.0, 'height': 179.0, 'width': 91.59375}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",DfRhvdCiUJk,https://www.youtube.com/watch?v=DfRhvdCiUJk
cljwtauxc00093n6lcfjk03tn,108,left side,,Normal Gait,normal,"{'top': 78.8125, 'left': 110.0, 'height': 179.0, 'width': 90.9375}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",DfRhvdCiUJk,https://www.youtube.com/watch?v=DfRhvdCiUJk
cljwtauxc00093n6lcfjk03tn,109,left side,,Normal Gait,normal,"{'top': 78.84375, 'left': 108.0, 'height': 179.0, 'width': 90.28125}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",DfRhvdCiUJk,https://www.youtube.com/watch?v=DfRhvdCiUJk
cljwtauxc00093n6lcfjk03tn,110,left side,,Normal Gait,normal,"{'top': 78.875, 'left': 106.0, 'height': 179.0, 'width': 89.625}","{'height': 480, 'width': 270, 'mime_type': 'video/mp4'}",DfRhvdCiUJk,https://www.youtube.com/watch?v=DfRhvdCiUJk
