seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cljwtp06q00243n6luy6xd8yh,3840,back,,Normal Gait,normal,"{'top': 90.0, 'left': 323.0, 'height': 296.0, 'width': 138.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",EHymg4AGMJs,https://www.youtube.com/watch?v=EHymg4AGMJs
cljwtp06q00243n6luy6xd8yh,3841,back,,Normal Gait,normal,"{'top': 90.04255319148936, 'left': 327.29787234042556, 'height': 295.70212765957444, 'width': 137.3404255319149}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",EHymg4AGMJs,https://www.youtube.com/watch?v=EHymg4AGMJs
cljwtp06q00243n6luy6xd8yh,3842,back,,Normal Gait,normal,"{'top': 90.08510638297872, 'left': 331.59574468085106, 'height': 295.40425531914894, 'width': 136.68085106382978}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",EHymg4AGMJs,https://www.youtube.com/watch?v=EHymg4AGMJs
cljwtp06q00243n6luy6xd8yh,3843,back,,Normal Gait,normal,"{'top': 90.12765957446808, 'left': 335.8936170212766, 'height': 295.10638297872345, 'width': 136.02127659574467}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",EHymg4AGMJs,https://www.youtube.com/watch?v=EHymg4AGMJs
cljwtp06q00243n6luy6xd8yh,3844,back,,Normal Gait,normal,"{'top': 90.17021276595744, 'left': 340.1914893617021, 'height': 294.8085106382979, 'width': 135.3617021276596}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",EHymg4AGMJs,https://www.youtube.com/watch?v=EHymg4AGMJs
cljwtp06q00243n6luy6xd8yh,3845,back,,Normal Gait,normal,"{'top': 90.2127659574468, 'left': 344.48936170212767, 'height': 294.51063829787233, 'width': 134.70212765957444}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",EHymg4AGMJs,https://www.youtube.com/watch?v=EHymg4AGMJs
cljwtp06q00243n6luy6xd8yh,3846,back,,Normal Gait,normal,"{'top': 90.25531914893617, 'left': 348.78723404255317, 'height': 294.21276595744683, 'width': 134.0425531914894}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",EHymg4AGMJs,https://www.youtube.com/watch?v=EHymg4AGMJs
cljwtp06q00243n6luy6xd8yh,3847,back,,Normal Gait,normal,"{'top': 90.29787234042553, 'left': 353.0851063829787, 'height': 293.91489361702133, 'width': 133.38297872340428}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",EHymg4AGMJs,https://www.youtube.com/watch?v=EHymg4AGMJs
cljwtp06q00243n6luy6xd8yh,3848,back,,Normal Gait,normal,"{'top': 90.34042553191489, 'left': 357.3829787234043, 'height': 293.6170212765957, 'width': 132.7234042553191}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",EHymg4AGMJs,https://www.youtube.com/watch?v=EHymg4AGMJs
cljwtp06q00243n6luy6xd8yh,3849,back,,Normal Gait,normal,"{'top': 90.38297872340425, 'left': 361.6808510638298, 'height': 293.3191489361702, 'width': 132.06382978723406}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",EHymg4AGMJs,https://www.youtube.com/watch?v=EHymg4AGMJs
cljwtp06q00243n6luy6xd8yh,3850,back,,Normal Gait,normal,"{'top': 90.42553191489361, 'left': 365.97872340425533, 'height': 293.02127659574467, 'width': 131.40425531914894}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",EHymg4AGMJs,https://www.youtube.com/watch?v=EHymg4AGMJs
cljwtp06q00243n6luy6xd8yh,3851,back,,Normal Gait,normal,"{'top': 90.46808510638297, 'left': 370.27659574468083, 'height': 292.7234042553191, 'width': 130.74468085106383}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",EHymg4AGMJs,https://www.youtube.com/watch?v=EHymg4AGMJs
cljwtp06q00243n6luy6xd8yh,3852,back,,Normal Gait,normal,"{'top': 90.51063829787235, 'left': 374.5744680851064, 'height': 292.4255319148936, 'width': 130.08510638297872}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",EHymg4AGMJs,https://www.youtube.com/watch?v=EHymg4AGMJs
cljwtp06q00243n6luy6xd8yh,3853,back,,Normal Gait,normal,"{'top': 90.55319148936171, 'left': 378.8723404255319, 'height': 292.12765957446805, 'width': 129.42553191489367}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",EHymg4AGMJs,https://www.youtube.com/watch?v=EHymg4AGMJs
cljwtp06q00243n6luy6xd8yh,3854,back,,Normal Gait,normal,"{'top': 90.59574468085107, 'left': 383.17021276595744, 'height': 291.82978723404256, 'width': 128.7659574468085}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",EHymg4AGMJs,https://www.youtube.com/watch?v=EHymg4AGMJs
cljwtp06q00243n6luy6xd8yh,3855,back,,Normal Gait,normal,"{'top': 90.63829787234043, 'left': 387.468085106383, 'height': 291.531914893617, 'width': 128.10638297872345}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",EHymg4AGMJs,https://www.youtube.com/watch?v=EHymg4AGMJs
cljwtp06q00243n6luy6xd8yh,3856,back,,Normal Gait,normal,"{'top': 90.68085106382979, 'left': 391.7659574468085, 'height': 291.2340425531915, 'width': 127.44680851063828}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",EHymg4AGMJs,https://www.youtube.com/watch?v=EHymg4AGMJs
cljwtp06q00243n6luy6xd8yh,3857,back,,Normal Gait,normal,"{'top': 90.72340425531915, 'left': 396.06382978723406, 'height': 290.93617021276594, 'width': 126.78723404255317}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",EHymg4AGMJs,https://www.youtube.com/watch?v=EHymg4AGMJs
cljwtp06q00243n6luy6xd8yh,3858,back,,Normal Gait,normal,"{'top': 90.76595744680851, 'left': 400.36170212765956, 'height': 290.63829787234044, 'width': 126.12765957446811}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",EHymg4AGMJs,https://www.youtube.com/watch?v=EHymg4AGMJs
