seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cljxgsqgt00043n6lvj5enj3z,2557,right side,,Normal Gait,normal,"{'top': 48.0, 'left': 174.0, 'height': 365.0, 'width': 174.0}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",gp4H7Z2Vvn0,https://www.youtube.com/watch?v=gp4H7Z2Vvn0
cljxgsqgt00043n6lvj5enj3z,2558,right side,,Normal Gait,normal,"{'top': 48.0, 'left': 170.66666666666666, 'height': 367.3333333333333, 'width': 193.33333333333334}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",gp4H7Z2Vvn0,https://www.youtube.com/watch?v=gp4H7Z2Vvn0
cljxgsqgt00043n6lvj5enj3z,2559,right side,,Normal Gait,normal,"{'top': 48.0, 'left': 167.33333333333334, 'height': 369.6666666666667, 'width': 212.66666666666666}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",gp4H7Z2Vvn0,https://www.youtube.com/watch?v=gp4H7Z2Vvn0
cljxgsqgt00043n6lvj5enj3z,2560,right side,,Normal Gait,normal,"{'top': 48.0, 'left': 164.0, 'height': 372.0, 'width': 232.0}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",gp4H7Z2Vvn0,https://www.youtube.com/watch?v=gp4H7Z2Vvn0
cljxgsqgt00043n6lvj5enj3z,2561,right side,,Normal Gait,normal,"{'top': 48.0, 'left': 164.25, 'height': 373.0, 'width': 236.25}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",gp4H7Z2Vvn0,https://www.youtube.com/watch?v=gp4H7Z2Vvn0
cljxgsqgt00043n6lvj5enj3z,2562,right side,,Normal Gait,normal,"{'top': 48.0, 'left': 164.5, 'height': 374.0, 'width': 240.5}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",gp4H7Z2Vvn0,https://www.youtube.com/watch?v=gp4H7Z2Vvn0
cljxgsqgt00043n6lvj5enj3z,2563,right side,,Normal Gait,normal,"{'top': 48.0, 'left': 164.75, 'height': 375.0, 'width': 244.75}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",gp4H7Z2Vvn0,https://www.youtube.com/watch?v=gp4H7Z2Vvn0
cljxgsqgt00043n6lvj5enj3z,2564,right side,,Normal Gait,normal,"{'top': 48.0, 'left': 165.0, 'height': 376.0, 'width': 249.0}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",gp4H7Z2Vvn0,https://www.youtube.com/watch?v=gp4H7Z2Vvn0
cljxgsqgt00043n6lvj5enj3z,2565,right side,,Normal Gait,normal,"{'top': 47.666666666666664, 'left': 174.91666666666666, 'height': 375.8333333333333, 'width': 245.66666666666666}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",gp4H7Z2Vvn0,https://www.youtube.com/watch?v=gp4H7Z2Vvn0
cljxgsqgt00043n6lvj5enj3z,2566,right side,,Normal Gait,normal,"{'top': 47.333333333333336, 'left': 184.83333333333334, 'height': 375.6666666666667, 'width': 242.33333333333334}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",gp4H7Z2Vvn0,https://www.youtube.com/watch?v=gp4H7Z2Vvn0
cljxgsqgt00043n6lvj5enj3z,2567,right side,,Normal Gait,normal,"{'top': 47.0, 'left': 194.75, 'height': 375.5, 'width': 239.0}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",gp4H7Z2Vvn0,https://www.youtube.com/watch?v=gp4H7Z2Vvn0
cljxgsqgt00043n6lvj5enj3z,2568,right side,,Normal Gait,normal,"{'top': 46.666666666666664, 'left': 204.66666666666666, 'height': 375.3333333333333, 'width': 235.66666666666666}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",gp4H7Z2Vvn0,https://www.youtube.com/watch?v=gp4H7Z2Vvn0
cljxgsqgt00043n6lvj5enj3z,2569,right side,,Normal Gait,normal,"{'top': 46.333333333333336, 'left': 214.58333333333334, 'height': 375.1666666666667, 'width': 232.33333333333334}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",gp4H7Z2Vvn0,https://www.youtube.com/watch?v=gp4H7Z2Vvn0
cljxgsqgt00043n6lvj5enj3z,2570,right side,,Normal Gait,normal,"{'top': 46.0, 'left': 224.5, 'height': 375.0, 'width': 229.0}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",gp4H7Z2Vvn0,https://www.youtube.com/watch?v=gp4H7Z2Vvn0
cljxgsqgt00043n6lvj5enj3z,2571,right side,,Normal Gait,normal,"{'top': 45.666666666666664, 'left': 234.41666666666669, 'height': 374.8333333333333, 'width': 225.66666666666663}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",gp4H7Z2Vvn0,https://www.youtube.com/watch?v=gp4H7Z2Vvn0
cljxgsqgt00043n6lvj5enj3z,2572,right side,,Normal Gait,normal,"{'top': 45.333333333333336, 'left': 244.33333333333331, 'height': 374.6666666666667, 'width': 222.33333333333337}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",gp4H7Z2Vvn0,https://www.youtube.com/watch?v=gp4H7Z2Vvn0
