seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cljxgw12o000o3n6lm1k3e342,3411,right side,,Normal Gait,normal,"{'top': 174.0, 'left': 0.0, 'height': 160.0, 'width': 55.0}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",gp4H7Z2Vvn0,https://www.youtube.com/watch?v=gp4H7Z2Vvn0
cljxgw12o000o3n6lm1k3e342,3412,right side,,Normal Gait,normal,"{'top': 173.33333333333334, 'left': 0.0, 'height': 160.66666666666666, 'width': 59.0}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",gp4H7Z2Vvn0,https://www.youtube.com/watch?v=gp4H7Z2Vvn0
cljxgw12o000o3n6lm1k3e342,3413,right side,,Normal Gait,normal,"{'top': 172.66666666666666, 'left': 0.0, 'height': 161.33333333333334, 'width': 63.0}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",gp4H7Z2Vvn0,https://www.youtube.com/watch?v=gp4H7Z2Vvn0
cljxgw12o000o3n6lm1k3e342,3414,right side,,Normal Gait,normal,"{'top': 172.0, 'left': 0.0, 'height': 162.0, 'width': 67.0}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",gp4H7Z2Vvn0,https://www.youtube.com/watch?v=gp4H7Z2Vvn0
cljxgw12o000o3n6lm1k3e342,3415,right side,,Normal Gait,normal,"{'top': 171.33333333333334, 'left': 0.0, 'height': 162.66666666666666, 'width': 71.0}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",gp4H7Z2Vvn0,https://www.youtube.com/watch?v=gp4H7Z2Vvn0
cljxgw12o000o3n6lm1k3e342,3416,right side,,Normal Gait,normal,"{'top': 170.66666666666666, 'left': 0.0, 'height': 163.33333333333334, 'width': 75.0}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",gp4H7Z2Vvn0,https://www.youtube.com/watch?v=gp4H7Z2Vvn0
cljxgw12o000o3n6lm1k3e342,3417,right side,,Normal Gait,normal,"{'top': 170.0, 'left': 0.0, 'height': 164.0, 'width': 79.0}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",gp4H7Z2Vvn0,https://www.youtube.com/watch?v=gp4H7Z2Vvn0
cljxgw12o000o3n6lm1k3e342,3418,right side,,Normal Gait,normal,"{'top': 169.33333333333334, 'left': 0.6666666666666661, 'height': 164.66666666666666, 'width': 82.33333333333333}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",gp4H7Z2Vvn0,https://www.youtube.com/watch?v=gp4H7Z2Vvn0
cljxgw12o000o3n6lm1k3e342,3419,right side,,Normal Gait,normal,"{'top': 168.66666666666666, 'left': 1.333333333333333, 'height': 165.33333333333334, 'width': 85.66666666666667}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",gp4H7Z2Vvn0,https://www.youtube.com/watch?v=gp4H7Z2Vvn0
cljxgw12o000o3n6lm1k3e342,3420,right side,,Normal Gait,normal,"{'top': 168.0, 'left': 2.0, 'height': 166.0, 'width': 89.0}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",gp4H7Z2Vvn0,https://www.youtube.com/watch?v=gp4H7Z2Vvn0
