seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cljxgxq03000w3n6lpsp4cgc9,3790,right side,,Normal Gait,normal,"{'top': 159.0, 'left': 4.0, 'height': 166.0, 'width': 90.0}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",gp4H7Z2Vvn0,https://www.youtube.com/watch?v=gp4H7Z2Vvn0
cljxgxq03000w3n6lpsp4cgc9,3791,right side,,Normal Gait,normal,"{'top': 158.2391304347826, 'left': 7.586956521739131, 'height': 166.97826086956522, 'width': 90.78260869565219}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",gp4H7Z2Vvn0,https://www.youtube.com/watch?v=gp4H7Z2Vvn0
cljxgxq03000w3n6lpsp4cgc9,3792,right side,,Normal Gait,normal,"{'top': 157.47826086956522, 'left': 11.173913043478262, 'height': 167.9565217391304, 'width': 91.56521739130434}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",gp4H7Z2Vvn0,https://www.youtube.com/watch?v=gp4H7Z2Vvn0
cljxgxq03000w3n6lpsp4cgc9,3793,right side,,Normal Gait,normal,"{'top': 156.7173913043478, 'left': 14.76086956521739, 'height': 168.93478260869568, 'width': 92.34782608695652}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",gp4H7Z2Vvn0,https://www.youtube.com/watch?v=gp4H7Z2Vvn0
cljxgxq03000w3n6lpsp4cgc9,3794,right side,,Normal Gait,normal,"{'top': 155.95652173913044, 'left': 18.347826086956523, 'height': 169.91304347826087, 'width': 93.13043478260869}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",gp4H7Z2Vvn0,https://www.youtube.com/watch?v=gp4H7Z2Vvn0
cljxgxq03000w3n6lpsp4cgc9,3795,right side,,Normal Gait,normal,"{'top': 155.19565217391303, 'left': 21.934782608695652, 'height': 170.8913043478261, 'width': 93.91304347826086}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",gp4H7Z2Vvn0,https://www.youtube.com/watch?v=gp4H7Z2Vvn0
cljxgxq03000w3n6lpsp4cgc9,3796,right side,,Normal Gait,normal,"{'top': 154.43478260869566, 'left': 25.52173913043478, 'height': 171.86956521739128, 'width': 94.69565217391305}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",gp4H7Z2Vvn0,https://www.youtube.com/watch?v=gp4H7Z2Vvn0
cljxgxq03000w3n6lpsp4cgc9,3797,right side,,Normal Gait,normal,"{'top': 153.67391304347825, 'left': 29.108695652173914, 'height': 172.84782608695656, 'width': 95.47826086956522}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",gp4H7Z2Vvn0,https://www.youtube.com/watch?v=gp4H7Z2Vvn0
cljxgxq03000w3n6lpsp4cgc9,3798,right side,,Normal Gait,normal,"{'top': 152.91304347826087, 'left': 32.69565217391305, 'height': 173.82608695652175, 'width': 96.26086956521739}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",gp4H7Z2Vvn0,https://www.youtube.com/watch?v=gp4H7Z2Vvn0
cljxgxq03000w3n6lpsp4cgc9,3799,right side,,Normal Gait,normal,"{'top': 152.15217391304347, 'left': 36.28260869565217, 'height': 174.80434782608697, 'width': 97.04347826086958}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",gp4H7Z2Vvn0,https://www.youtube.com/watch?v=gp4H7Z2Vvn0
cljxgxq03000w3n6lpsp4cgc9,3800,right side,,Normal Gait,normal,"{'top': 151.3913043478261, 'left': 39.869565217391305, 'height': 175.78260869565216, 'width': 97.82608695652172}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",gp4H7Z2Vvn0,https://www.youtube.com/watch?v=gp4H7Z2Vvn0
cljxgxq03000w3n6lpsp4cgc9,3801,right side,,Normal Gait,normal,"{'top': 150.6304347826087, 'left': 43.45652173913044, 'height': 176.76086956521738, 'width': 98.6086956521739}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",gp4H7Z2Vvn0,https://www.youtube.com/watch?v=gp4H7Z2Vvn0
cljxgxq03000w3n6lpsp4cgc9,3802,right side,,Normal Gait,normal,"{'top': 149.8695652173913, 'left': 47.04347826086956, 'height': 177.73913043478262, 'width': 99.3913043478261}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",gp4H7Z2Vvn0,https://www.youtube.com/watch?v=gp4H7Z2Vvn0
cljxgxq03000w3n6lpsp4cgc9,3803,right side,,Normal Gait,normal,"{'top': 149.1086956521739, 'left': 50.630434782608695, 'height': 178.71739130434784, 'width': 100.17391304347825}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",gp4H7Z2Vvn0,https://www.youtube.com/watch?v=gp4H7Z2Vvn0
cljxgxq03000w3n6lpsp4cgc9,3804,right side,,Normal Gait,normal,"{'top': 148.34782608695653, 'left': 54.21739130434783, 'height': 179.69565217391303, 'width': 100.95652173913042}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",gp4H7Z2Vvn0,https://www.youtube.com/watch?v=gp4H7Z2Vvn0
