seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cljxh19il00143n6lcoxgwtoj,4083,right side,,Normal Gait,normal,"{'top': 150.0, 'left': 0.0, 'height': 161.0, 'width': 70.0}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",gp4H7Z2Vvn0,https://www.youtube.com/watch?v=gp4H7Z2Vvn0
cljxh19il00143n6lcoxgwtoj,4084,right side,,Normal Gait,normal,"{'top': 149.23529411764707, 'left': 2.176470588235294, 'height': 162.35294117647055, 'width': 71.82352941176471}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",gp4H7Z2Vvn0,https://www.youtube.com/watch?v=gp4H7Z2Vvn0
cljxh19il00143n6lcoxgwtoj,4085,right side,,Normal Gait,normal,"{'top': 148.47058823529412, 'left': 4.352941176470588, 'height': 163.7058823529412, 'width': 73.6470588235294}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",gp4H7Z2Vvn0,https://www.youtube.com/watch?v=gp4H7Z2Vvn0
cljxh19il00143n6lcoxgwtoj,4086,right side,,Normal Gait,normal,"{'top': 147.7058823529412, 'left': 6.529411764705883, 'height': 165.05882352941174, 'width': 75.47058823529412}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",gp4H7Z2Vvn0,https://www.youtube.com/watch?v=gp4H7Z2Vvn0
cljxh19il00143n6lcoxgwtoj,4087,right side,,Normal Gait,normal,"{'top': 146.94117647058823, 'left': 8.705882352941176, 'height': 166.41176470588238, 'width': 77.29411764705883}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",gp4H7Z2Vvn0,https://www.youtube.com/watch?v=gp4H7Z2Vvn0
cljxh19il00143n6lcoxgwtoj,4088,right side,,Normal Gait,normal,"{'top': 146.1764705882353, 'left': 10.882352941176471, 'height': 167.76470588235293, 'width': 79.11764705882354}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",gp4H7Z2Vvn0,https://www.youtube.com/watch?v=gp4H7Z2Vvn0
cljxh19il00143n6lcoxgwtoj,4089,right side,,Normal Gait,normal,"{'top': 145.41176470588235, 'left': 13.058823529411766, 'height': 169.1176470588235, 'width': 80.94117647058823}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",gp4H7Z2Vvn0,https://www.youtube.com/watch?v=gp4H7Z2Vvn0
cljxh19il00143n6lcoxgwtoj,4090,right side,,Normal Gait,normal,"{'top': 144.64705882352942, 'left': 15.235294117647058, 'height': 170.47058823529412, 'width': 82.76470588235294}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",gp4H7Z2Vvn0,https://www.youtube.com/watch?v=gp4H7Z2Vvn0
cljxh19il00143n6lcoxgwtoj,4091,right side,,Normal Gait,normal,"{'top': 143.88235294117646, 'left': 17.41176470588235, 'height': 171.8235294117647, 'width': 84.58823529411765}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",gp4H7Z2Vvn0,https://www.youtube.com/watch?v=gp4H7Z2Vvn0
cljxh19il00143n6lcoxgwtoj,4092,right side,,Normal Gait,normal,"{'top': 143.11764705882354, 'left': 19.58823529411765, 'height': 173.1764705882353, 'width': 86.41176470588235}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",gp4H7Z2Vvn0,https://www.youtube.com/watch?v=gp4H7Z2Vvn0
cljxh19il00143n6lcoxgwtoj,4093,right side,,Normal Gait,normal,"{'top': 142.35294117647058, 'left': 21.764705882352942, 'height': 174.52941176470588, 'width': 88.23529411764706}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",gp4H7Z2Vvn0,https://www.youtube.com/watch?v=gp4H7Z2Vvn0
cljxh19il00143n6lcoxgwtoj,4094,right side,,Normal Gait,normal,"{'top': 141.58823529411765, 'left': 23.941176470588236, 'height': 175.8823529411765, 'width': 90.05882352941177}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",gp4H7Z2Vvn0,https://www.youtube.com/watch?v=gp4H7Z2Vvn0
cljxh19il00143n6lcoxgwtoj,4095,right side,,Normal Gait,normal,"{'top': 140.8235294117647, 'left': 26.117647058823533, 'height': 177.23529411764707, 'width': 91.88235294117646}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",gp4H7Z2Vvn0,https://www.youtube.com/watch?v=gp4H7Z2Vvn0
