seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cljxh303i001c3n6lznalpt42,4370,right side,,Normal Gait,normal,"{'top': 167.0, 'left': 6.0, 'height': 164.0, 'width': 68.0}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",gp4H7Z2Vvn0,https://www.youtube.com/watch?v=gp4H7Z2Vvn0
cljxh303i001c3n6lznalpt42,4371,right side,,Normal Gait,normal,"{'top': 166.1, 'left': 7.6, 'height': 166.6, 'width': 71.80000000000001}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",gp4H7Z2Vvn0,https://www.youtube.com/watch?v=gp4H7Z2Vvn0
cljxh303i001c3n6lznalpt42,4372,right side,,Normal Gait,normal,"{'top': 165.2, 'left': 9.2, 'height': 169.2, 'width': 75.6}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",gp4H7Z2Vvn0,https://www.youtube.com/watch?v=gp4H7Z2Vvn0
cljxh303i001c3n6lznalpt42,4373,right side,,Normal Gait,normal,"{'top': 164.3, 'left': 10.8, 'height': 171.8, 'width': 79.4}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",gp4H7Z2Vvn0,https://www.youtube.com/watch?v=gp4H7Z2Vvn0
cljxh303i001c3n6lznalpt42,4374,right side,,Normal Gait,normal,"{'top': 163.4, 'left': 12.4, 'height': 174.4, 'width': 83.19999999999999}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",gp4H7Z2Vvn0,https://www.youtube.com/watch?v=gp4H7Z2Vvn0
cljxh303i001c3n6lznalpt42,4375,right side,,Normal Gait,normal,"{'top': 162.5, 'left': 14.0, 'height': 177.0, 'width': 87.0}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",gp4H7Z2Vvn0,https://www.youtube.com/watch?v=gp4H7Z2Vvn0
cljxh303i001c3n6lznalpt42,4376,right side,,Normal Gait,normal,"{'top': 161.6, 'left': 15.6, 'height': 179.6, 'width': 90.80000000000001}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",gp4H7Z2Vvn0,https://www.youtube.com/watch?v=gp4H7Z2Vvn0
cljxh303i001c3n6lznalpt42,4377,right side,,Normal Gait,normal,"{'top': 160.7, 'left': 17.2, 'height': 182.2, 'width': 94.6}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",gp4H7Z2Vvn0,https://www.youtube.com/watch?v=gp4H7Z2Vvn0
cljxh303i001c3n6lznalpt42,4378,right side,,Normal Gait,normal,"{'top': 159.8, 'left': 18.8, 'height': 184.8, 'width': 98.4}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",gp4H7Z2Vvn0,https://www.youtube.com/watch?v=gp4H7Z2Vvn0
cljxh303i001c3n6lznalpt42,4379,right side,,Normal Gait,normal,"{'top': 158.9, 'left': 20.4, 'height': 187.4, 'width': 102.19999999999999}","{'height': 480, 'width': 640, 'mime_type': 'video/mp4'}",gp4H7Z2Vvn0,https://www.youtube.com/watch?v=gp4H7Z2Vvn0
