seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cljxh7ss1001w3n6lqp12u749,259,left side,,Normal Gait,normal,"{'top': 201.0, 'left': 727.0, 'height': 218.0, 'width': 127.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxh7ss1001w3n6lqp12u749,260,left side,,Normal Gait,normal,"{'top': 200.93548387096774, 'left': 722.9032258064516, 'height': 217.74193548387098, 'width': 126.9677419354839}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxh7ss1001w3n6lqp12u749,261,left side,,Normal Gait,normal,"{'top': 200.8709677419355, 'left': 718.8064516129032, 'height': 217.48387096774195, 'width': 126.9354838709678}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxh7ss1001w3n6lqp12u749,262,left side,,Normal Gait,normal,"{'top': 200.80645161290323, 'left': 714.7096774193549, 'height': 217.22580645161293, 'width': 126.90322580645159}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxh7ss1001w3n6lqp12u749,263,left side,,Normal Gait,normal,"{'top': 200.74193548387098, 'left': 710.6129032258065, 'height': 216.96774193548384, 'width': 126.87096774193549}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxh7ss1001w3n6lqp12u749,264,left side,,Normal Gait,normal,"{'top': 200.67741935483872, 'left': 706.516129032258, 'height': 216.70967741935482, 'width': 126.83870967741939}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxh7ss1001w3n6lqp12u749,265,left side,,Normal Gait,normal,"{'top': 200.61290322580646, 'left': 702.4193548387096, 'height': 216.4516129032258, 'width': 126.80645161290329}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxh7ss1001w3n6lqp12u749,266,left side,,Normal Gait,normal,"{'top': 200.5483870967742, 'left': 698.3225806451613, 'height': 216.19354838709677, 'width': 126.77419354838707}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxh7ss1001w3n6lqp12u749,267,left side,,Normal Gait,normal,"{'top': 200.48387096774192, 'left': 694.2258064516129, 'height': 215.93548387096777, 'width': 126.74193548387098}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxh7ss1001w3n6lqp12u749,268,left side,,Normal Gait,normal,"{'top': 200.41935483870967, 'left': 690.1290322580645, 'height': 215.67741935483875, 'width': 126.70967741935488}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxh7ss1001w3n6lqp12u749,269,left side,,Normal Gait,normal,"{'top': 200.3548387096774, 'left': 686.0322580645161, 'height': 215.41935483870967, 'width': 126.67741935483878}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxh7ss1001w3n6lqp12u749,270,left side,,Normal Gait,normal,"{'top': 200.29032258064515, 'left': 681.9354838709677, 'height': 215.16129032258064, 'width': 126.64516129032268}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxh7ss1001w3n6lqp12u749,271,left side,,Normal Gait,normal,"{'top': 200.2258064516129, 'left': 677.8387096774194, 'height': 214.90322580645162, 'width': 126.61290322580646}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxh7ss1001w3n6lqp12u749,272,left side,,Normal Gait,normal,"{'top': 200.16129032258064, 'left': 673.741935483871, 'height': 214.6451612903226, 'width': 126.58064516129036}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxh7ss1001w3n6lqp12u749,273,left side,,Normal Gait,normal,"{'top': 200.09677419354838, 'left': 669.6451612903226, 'height': 214.38709677419357, 'width': 126.54838709677426}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxh7ss1001w3n6lqp12u749,274,left side,,Normal Gait,normal,"{'top': 200.03225806451613, 'left': 665.5483870967741, 'height': 214.12903225806454, 'width': 126.51612903225805}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxh7ss1001w3n6lqp12u749,275,left side,,Normal Gait,normal,"{'top': 199.96774193548387, 'left': 661.4516129032259, 'height': 213.87096774193546, 'width': 126.48387096774195}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxh7ss1001w3n6lqp12u749,276,left side,,Normal Gait,normal,"{'top': 199.90322580645162, 'left': 657.3548387096774, 'height': 213.61290322580643, 'width': 126.45161290322574}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxh7ss1001w3n6lqp12u749,277,left side,,Normal Gait,normal,"{'top': 199.83870967741936, 'left': 653.258064516129, 'height': 213.3548387096774, 'width': 126.41935483870964}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxh7ss1001w3n6lqp12u749,278,left side,,Normal Gait,normal,"{'top': 199.7741935483871, 'left': 649.1612903225806, 'height': 213.09677419354838, 'width': 126.38709677419354}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxh7ss1001w3n6lqp12u749,279,left side,,Normal Gait,normal,"{'top': 199.70967741935485, 'left': 645.0645161290322, 'height': 212.83870967741936, 'width': 126.35483870967744}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxh7ss1001w3n6lqp12u749,280,left side,,Normal Gait,normal,"{'top': 199.6451612903226, 'left': 640.9677419354839, 'height': 212.58064516129033, 'width': 126.32258064516122}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxh7ss1001w3n6lqp12u749,281,left side,,Normal Gait,normal,"{'top': 199.58064516129033, 'left': 636.8709677419355, 'height': 212.32258064516125, 'width': 126.29032258064512}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxh7ss1001w3n6lqp12u749,282,left side,,Normal Gait,normal,"{'top': 199.51612903225808, 'left': 632.7741935483871, 'height': 212.06451612903223, 'width': 126.25806451612902}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxh7ss1001w3n6lqp12u749,283,left side,,Normal Gait,normal,"{'top': 199.4516129032258, 'left': 628.6774193548388, 'height': 211.80645161290323, 'width': 126.22580645161281}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxh7ss1001w3n6lqp12u749,284,left side,,Normal Gait,normal,"{'top': 199.38709677419354, 'left': 624.5806451612904, 'height': 211.5483870967742, 'width': 126.19354838709671}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxh7ss1001w3n6lqp12u749,285,left side,,Normal Gait,normal,"{'top': 199.32258064516128, 'left': 620.483870967742, 'height': 211.29032258064518, 'width': 126.16129032258061}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxh7ss1001w3n6lqp12u749,286,left side,,Normal Gait,normal,"{'top': 199.25806451612902, 'left': 616.3870967741935, 'height': 211.03225806451616, 'width': 126.12903225806451}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxh7ss1001w3n6lqp12u749,287,left side,,Normal Gait,normal,"{'top': 199.19354838709677, 'left': 612.2903225806451, 'height': 210.77419354838713, 'width': 126.09677419354841}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxh7ss1001w3n6lqp12u749,288,left side,,Normal Gait,normal,"{'top': 199.1290322580645, 'left': 608.1935483870968, 'height': 210.51612903225805, 'width': 126.0645161290322}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxh7ss1001w3n6lqp12u749,289,left side,,Normal Gait,normal,"{'top': 199.06451612903226, 'left': 604.0967741935484, 'height': 210.25806451612902, 'width': 126.0322580645161}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxh7ss1001w3n6lqp12u749,290,left side,,Normal Gait,normal,"{'top': 199.0, 'left': 600.0, 'height': 210.0, 'width': 126.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxh7ss1001w3n6lqp12u749,291,left side,,Normal Gait,normal,"{'top': 198.96666666666667, 'left': 595.3333333333334, 'height': 209.70000000000002, 'width': 126.86666666666667}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxh7ss1001w3n6lqp12u749,292,left side,,Normal Gait,normal,"{'top': 198.93333333333334, 'left': 590.6666666666666, 'height': 209.39999999999998, 'width': 127.73333333333335}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxh7ss1001w3n6lqp12u749,293,left side,,Normal Gait,normal,"{'top': 198.9, 'left': 586.0, 'height': 209.1, 'width': 128.60000000000002}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
