seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cljxh9aq900203n6l7y6lqrt3,442,left side,,Normal Gait,normal,"{'top': 210.0, 'left': 444.0, 'height': 181.0, 'width': 68.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxh9aq900203n6l7y6lqrt3,443,left side,,Normal Gait,normal,"{'top': 210.0, 'left': 435.0, 'height': 185.33333333333331, 'width': 78.33333333333337}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxh9aq900203n6l7y6lqrt3,444,left side,,Normal Gait,normal,"{'top': 210.0, 'left': 426.0, 'height': 189.66666666666669, 'width': 88.66666666666663}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxh9aq900203n6l7y6lqrt3,445,left side,,Normal Gait,normal,"{'top': 210.0, 'left': 417.0, 'height': 194.0, 'width': 99.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxh9aq900203n6l7y6lqrt3,446,left side,,Normal Gait,normal,"{'top': 210.0, 'left': 408.0, 'height': 198.33333333333331, 'width': 109.33333333333337}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxh9aq900203n6l7y6lqrt3,447,left side,,Normal Gait,normal,"{'top': 210.0, 'left': 399.0, 'height': 202.66666666666669, 'width': 119.66666666666663}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxh9aq900203n6l7y6lqrt3,448,left side,,Normal Gait,normal,"{'top': 210.0, 'left': 390.0, 'height': 207.0, 'width': 130.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxh9aq900203n6l7y6lqrt3,449,left side,,Normal Gait,normal,"{'top': 209.95744680851064, 'left': 386.0, 'height': 206.53191489361703, 'width': 129.468085106383}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxh9aq900203n6l7y6lqrt3,450,left side,,Normal Gait,normal,"{'top': 209.91489361702128, 'left': 382.0, 'height': 206.06382978723406, 'width': 128.93617021276594}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxh9aq900203n6l7y6lqrt3,451,left side,,Normal Gait,normal,"{'top': 209.87234042553192, 'left': 378.0, 'height': 205.59574468085108, 'width': 128.40425531914894}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxh9aq900203n6l7y6lqrt3,452,left side,,Normal Gait,normal,"{'top': 209.82978723404256, 'left': 374.0, 'height': 205.12765957446805, 'width': 127.87234042553189}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxh9aq900203n6l7y6lqrt3,453,left side,,Normal Gait,normal,"{'top': 209.7872340425532, 'left': 370.0, 'height': 204.65957446808508, 'width': 127.34042553191489}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxh9aq900203n6l7y6lqrt3,454,left side,,Normal Gait,normal,"{'top': 209.74468085106383, 'left': 366.0, 'height': 204.1914893617021, 'width': 126.80851063829789}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxh9aq900203n6l7y6lqrt3,455,left side,,Normal Gait,normal,"{'top': 209.70212765957447, 'left': 362.0, 'height': 203.72340425531914, 'width': 126.27659574468083}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxh9aq900203n6l7y6lqrt3,456,left side,,Normal Gait,normal,"{'top': 209.6595744680851, 'left': 358.0, 'height': 203.25531914893617, 'width': 125.74468085106383}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxh9aq900203n6l7y6lqrt3,457,left side,,Normal Gait,normal,"{'top': 209.61702127659575, 'left': 354.0, 'height': 202.7872340425532, 'width': 125.21276595744678}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxh9aq900203n6l7y6lqrt3,458,left side,,Normal Gait,normal,"{'top': 209.5744680851064, 'left': 350.0, 'height': 202.31914893617022, 'width': 124.68085106382978}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxh9aq900203n6l7y6lqrt3,459,left side,,Normal Gait,normal,"{'top': 209.53191489361703, 'left': 346.0, 'height': 201.85106382978725, 'width': 124.14893617021278}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxh9aq900203n6l7y6lqrt3,460,left side,,Normal Gait,normal,"{'top': 209.48936170212767, 'left': 342.0, 'height': 201.38297872340422, 'width': 123.61702127659578}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxh9aq900203n6l7y6lqrt3,461,left side,,Normal Gait,normal,"{'top': 209.4468085106383, 'left': 338.0, 'height': 200.91489361702125, 'width': 123.08510638297872}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxh9aq900203n6l7y6lqrt3,462,left side,,Normal Gait,normal,"{'top': 209.40425531914894, 'left': 334.0, 'height': 200.44680851063828, 'width': 122.55319148936172}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxh9aq900203n6l7y6lqrt3,463,left side,,Normal Gait,normal,"{'top': 209.36170212765958, 'left': 330.0, 'height': 199.9787234042553, 'width': 122.02127659574467}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxh9aq900203n6l7y6lqrt3,464,left side,,Normal Gait,normal,"{'top': 209.31914893617022, 'left': 326.0, 'height': 199.51063829787233, 'width': 121.48936170212767}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxh9aq900203n6l7y6lqrt3,465,left side,,Normal Gait,normal,"{'top': 209.27659574468086, 'left': 322.0, 'height': 199.04255319148936, 'width': 120.95744680851067}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxh9aq900203n6l7y6lqrt3,466,left side,,Normal Gait,normal,"{'top': 209.2340425531915, 'left': 318.0, 'height': 198.5744680851064, 'width': 120.42553191489361}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxh9aq900203n6l7y6lqrt3,467,left side,,Normal Gait,normal,"{'top': 209.19148936170214, 'left': 314.0, 'height': 198.10638297872342, 'width': 119.89361702127661}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxh9aq900203n6l7y6lqrt3,468,left side,,Normal Gait,normal,"{'top': 209.14893617021278, 'left': 310.0, 'height': 197.6382978723404, 'width': 119.36170212765956}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxh9aq900203n6l7y6lqrt3,469,left side,,Normal Gait,normal,"{'top': 209.10638297872342, 'left': 306.0, 'height': 197.17021276595742, 'width': 118.82978723404256}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxh9aq900203n6l7y6lqrt3,470,left side,,Normal Gait,normal,"{'top': 209.06382978723406, 'left': 302.0, 'height': 196.70212765957444, 'width': 118.29787234042556}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxh9aq900203n6l7y6lqrt3,471,left side,,Normal Gait,normal,"{'top': 209.0212765957447, 'left': 298.0, 'height': 196.23404255319147, 'width': 117.7659574468085}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxh9aq900203n6l7y6lqrt3,472,left side,,Normal Gait,normal,"{'top': 208.9787234042553, 'left': 294.0, 'height': 195.76595744680853, 'width': 117.2340425531915}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxh9aq900203n6l7y6lqrt3,473,left side,,Normal Gait,normal,"{'top': 208.93617021276594, 'left': 290.0, 'height': 195.29787234042556, 'width': 116.70212765957444}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxh9aq900203n6l7y6lqrt3,474,left side,,Normal Gait,normal,"{'top': 208.89361702127658, 'left': 286.0, 'height': 194.82978723404258, 'width': 116.17021276595744}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxh9aq900203n6l7y6lqrt3,475,left side,,Normal Gait,normal,"{'top': 208.85106382978722, 'left': 282.0, 'height': 194.3617021276596, 'width': 115.63829787234044}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxh9aq900203n6l7y6lqrt3,476,left side,,Normal Gait,normal,"{'top': 208.80851063829786, 'left': 278.0, 'height': 193.89361702127658, 'width': 115.10638297872345}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxh9aq900203n6l7y6lqrt3,477,left side,,Normal Gait,normal,"{'top': 208.7659574468085, 'left': 274.0, 'height': 193.4255319148936, 'width': 114.57446808510639}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxh9aq900203n6l7y6lqrt3,478,left side,,Normal Gait,normal,"{'top': 208.72340425531914, 'left': 270.0, 'height': 192.95744680851064, 'width': 114.04255319148933}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxh9aq900203n6l7y6lqrt3,479,left side,,Normal Gait,normal,"{'top': 208.68085106382978, 'left': 266.0, 'height': 192.48936170212767, 'width': 113.51063829787233}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxh9aq900203n6l7y6lqrt3,480,left side,,Normal Gait,normal,"{'top': 208.63829787234042, 'left': 262.0, 'height': 192.0212765957447, 'width': 112.97872340425533}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxh9aq900203n6l7y6lqrt3,481,left side,,Normal Gait,normal,"{'top': 208.59574468085106, 'left': 258.0, 'height': 191.55319148936172, 'width': 112.44680851063833}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxh9aq900203n6l7y6lqrt3,482,left side,,Normal Gait,normal,"{'top': 208.5531914893617, 'left': 254.0, 'height': 191.08510638297875, 'width': 111.91489361702128}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxh9aq900203n6l7y6lqrt3,483,left side,,Normal Gait,normal,"{'top': 208.51063829787233, 'left': 250.0, 'height': 190.61702127659578, 'width': 111.38297872340422}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxh9aq900203n6l7y6lqrt3,484,left side,,Normal Gait,normal,"{'top': 208.46808510638297, 'left': 246.0, 'height': 190.14893617021275, 'width': 110.85106382978722}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxh9aq900203n6l7y6lqrt3,485,left side,,Normal Gait,normal,"{'top': 208.4255319148936, 'left': 242.0, 'height': 189.68085106382978, 'width': 110.31914893617022}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxh9aq900203n6l7y6lqrt3,486,left side,,Normal Gait,normal,"{'top': 208.38297872340425, 'left': 238.0, 'height': 189.2127659574468, 'width': 109.78723404255322}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxh9aq900203n6l7y6lqrt3,487,left side,,Normal Gait,normal,"{'top': 208.3404255319149, 'left': 234.0, 'height': 188.74468085106383, 'width': 109.25531914893617}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxh9aq900203n6l7y6lqrt3,488,left side,,Normal Gait,normal,"{'top': 208.29787234042553, 'left': 230.0, 'height': 188.27659574468086, 'width': 108.72340425531911}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxh9aq900203n6l7y6lqrt3,489,left side,,Normal Gait,normal,"{'top': 208.25531914893617, 'left': 226.0, 'height': 187.8085106382979, 'width': 108.19148936170211}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxh9aq900203n6l7y6lqrt3,490,left side,,Normal Gait,normal,"{'top': 208.2127659574468, 'left': 222.0, 'height': 187.34042553191492, 'width': 107.65957446808511}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxh9aq900203n6l7y6lqrt3,491,left side,,Normal Gait,normal,"{'top': 208.17021276595744, 'left': 218.0, 'height': 186.8723404255319, 'width': 107.12765957446811}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxh9aq900203n6l7y6lqrt3,492,left side,,Normal Gait,normal,"{'top': 208.12765957446808, 'left': 214.0, 'height': 186.40425531914892, 'width': 106.59574468085106}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxh9aq900203n6l7y6lqrt3,493,left side,,Normal Gait,normal,"{'top': 208.08510638297872, 'left': 210.0, 'height': 185.93617021276594, 'width': 106.063829787234}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxh9aq900203n6l7y6lqrt3,494,left side,,Normal Gait,normal,"{'top': 208.04255319148936, 'left': 206.0, 'height': 185.46808510638297, 'width': 105.531914893617}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxh9aq900203n6l7y6lqrt3,495,left side,,Normal Gait,normal,"{'top': 208.0, 'left': 202.0, 'height': 185.0, 'width': 105.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxh9aq900203n6l7y6lqrt3,496,left side,,Normal Gait,normal,"{'top': 208.0, 'left': 201.0, 'height': 184.5, 'width': 114.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxh9aq900203n6l7y6lqrt3,497,left side,,Normal Gait,normal,"{'top': 208.0, 'left': 200.0, 'height': 184.0, 'width': 123.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxh9aq900203n6l7y6lqrt3,498,left side,,Normal Gait,normal,"{'top': 207.8, 'left': 199.2, 'height': 183.8, 'width': 118.19999999999999}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxh9aq900203n6l7y6lqrt3,499,left side,,Normal Gait,normal,"{'top': 207.6, 'left': 198.4, 'height': 183.6, 'width': 113.4}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxh9aq900203n6l7y6lqrt3,500,left side,,Normal Gait,normal,"{'top': 207.4, 'left': 197.6, 'height': 183.4, 'width': 108.6}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxh9aq900203n6l7y6lqrt3,501,left side,,Normal Gait,normal,"{'top': 207.2, 'left': 196.8, 'height': 183.2, 'width': 103.80000000000001}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxh9aq900203n6l7y6lqrt3,502,left side,,Normal Gait,normal,"{'top': 207.0, 'left': 196.0, 'height': 183.0, 'width': 99.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxh9aq900203n6l7y6lqrt3,503,left side,,Normal Gait,normal,"{'top': 207.0, 'left': 195.33333333333334, 'height': 182.33333333333331, 'width': 88.66666666666666}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
