seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cljxhh8ya00333n6lmn4bfa1d,1493,left side,,Normal Gait,normal,"{'top': 102.0, 'left': 487.0, 'height': 354.0, 'width': 186.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhh8ya00333n6lmn4bfa1d,1494,left side,,Normal Gait,normal,"{'top': 101.76923076923077, 'left': 478.9230769230769, 'height': 354.0, 'width': 188.38461538461536}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhh8ya00333n6lmn4bfa1d,1495,left side,,Normal Gait,normal,"{'top': 101.53846153846153, 'left': 470.84615384615387, 'height': 354.0, 'width': 190.76923076923077}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhh8ya00333n6lmn4bfa1d,1496,left side,,Normal Gait,normal,"{'top': 101.3076923076923, 'left': 462.7692307692308, 'height': 354.0, 'width': 193.15384615384613}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhh8ya00333n6lmn4bfa1d,1497,left side,,Normal Gait,normal,"{'top': 101.07692307692308, 'left': 454.6923076923077, 'height': 354.0, 'width': 195.5384615384616}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhh8ya00333n6lmn4bfa1d,1498,left side,,Normal Gait,normal,"{'top': 100.84615384615384, 'left': 446.61538461538464, 'height': 354.0, 'width': 197.9230769230769}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhh8ya00333n6lmn4bfa1d,1499,left side,,Normal Gait,normal,"{'top': 100.61538461538461, 'left': 438.53846153846155, 'height': 354.0, 'width': 200.30769230769226}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhh8ya00333n6lmn4bfa1d,1500,left side,,Normal Gait,normal,"{'top': 100.38461538461539, 'left': 430.46153846153845, 'height': 354.0, 'width': 202.69230769230774}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhh8ya00333n6lmn4bfa1d,1501,left side,,Normal Gait,normal,"{'top': 100.15384615384616, 'left': 422.38461538461536, 'height': 354.0, 'width': 205.0769230769231}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhh8ya00333n6lmn4bfa1d,1502,left side,,Normal Gait,normal,"{'top': 99.92307692307692, 'left': 414.3076923076923, 'height': 354.0, 'width': 207.4615384615384}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
