seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cljxhkcct003c3n6lvn7vvhnk,1727,right side,,Normal Gait,normal,"{'top': 0.0, 'left': 0.0, 'height': 448.0, 'width': 158.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhkcct003c3n6lvn7vvhnk,1728,right side,,Normal Gait,normal,"{'top': 0.0, 'left': 6.5, 'height': 448.5, 'width': 166.75}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhkcct003c3n6lvn7vvhnk,1729,right side,,Normal Gait,normal,"{'top': 0.0, 'left': 13.0, 'height': 449.0, 'width': 175.5}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhkcct003c3n6lvn7vvhnk,1730,right side,,Normal Gait,normal,"{'top': 0.0, 'left': 19.5, 'height': 449.5, 'width': 184.25}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhkcct003c3n6lvn7vvhnk,1731,right side,,Normal Gait,normal,"{'top': 0.0, 'left': 26.0, 'height': 450.0, 'width': 193.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhkcct003c3n6lvn7vvhnk,1732,right side,,Normal Gait,normal,"{'top': 0.0, 'left': 32.5, 'height': 450.5, 'width': 201.75}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhkcct003c3n6lvn7vvhnk,1733,right side,,Normal Gait,normal,"{'top': 0.0, 'left': 39.0, 'height': 451.0, 'width': 210.5}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhkcct003c3n6lvn7vvhnk,1734,right side,,Normal Gait,normal,"{'top': 0.0, 'left': 45.5, 'height': 451.5, 'width': 219.25}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhkcct003c3n6lvn7vvhnk,1735,right side,,Normal Gait,normal,"{'top': 0.0, 'left': 52.0, 'height': 452.0, 'width': 228.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhkcct003c3n6lvn7vvhnk,1736,right side,,Normal Gait,normal,"{'top': 0.0, 'left': 50.0, 'height': 451.8333333333333, 'width': 234.66666666666669}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
