seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cljxhm9kc003o3n6lint153vq,1959,left side,,Normal Gait,normal,"{'top': 110.0, 'left': 592.0, 'height': 258.0, 'width': 134.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhm9kc003o3n6lint153vq,1960,left side,,Normal Gait,normal,"{'top': 110.14285714285714, 'left': 586.5, 'height': 258.0, 'width': 134.8571428571429}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhm9kc003o3n6lint153vq,1961,left side,,Normal Gait,normal,"{'top': 110.28571428571429, 'left': 581.0, 'height': 258.0, 'width': 135.71428571428567}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhm9kc003o3n6lint153vq,1962,left side,,Normal Gait,normal,"{'top': 110.42857142857143, 'left': 575.5, 'height': 258.0, 'width': 136.57142857142856}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhm9kc003o3n6lint153vq,1963,left side,,Normal Gait,normal,"{'top': 110.57142857142857, 'left': 570.0, 'height': 258.0, 'width': 137.42857142857144}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhm9kc003o3n6lint153vq,1964,left side,,Normal Gait,normal,"{'top': 110.71428571428571, 'left': 564.5, 'height': 258.0, 'width': 138.28571428571433}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhm9kc003o3n6lint153vq,1965,left side,,Normal Gait,normal,"{'top': 110.85714285714286, 'left': 559.0, 'height': 258.0, 'width': 139.1428571428571}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhm9kc003o3n6lint153vq,1966,left side,,Normal Gait,normal,"{'top': 111.0, 'left': 553.5, 'height': 258.0, 'width': 140.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhm9kc003o3n6lint153vq,1967,left side,,Normal Gait,normal,"{'top': 111.14285714285714, 'left': 548.0, 'height': 258.0, 'width': 140.8571428571429}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhm9kc003o3n6lint153vq,1968,left side,,Normal Gait,normal,"{'top': 111.28571428571429, 'left': 542.5, 'height': 258.0, 'width': 141.71428571428567}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhm9kc003o3n6lint153vq,1969,left side,,Normal Gait,normal,"{'top': 111.42857142857143, 'left': 537.0, 'height': 258.0, 'width': 142.57142857142856}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhm9kc003o3n6lint153vq,1970,left side,,Normal Gait,normal,"{'top': 111.57142857142857, 'left': 531.5, 'height': 258.0, 'width': 143.42857142857144}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhm9kc003o3n6lint153vq,1971,left side,,Normal Gait,normal,"{'top': 111.71428571428571, 'left': 526.0, 'height': 258.0, 'width': 144.28571428571433}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhm9kc003o3n6lint153vq,1972,left side,,Normal Gait,normal,"{'top': 111.85714285714286, 'left': 520.5, 'height': 258.0, 'width': 145.1428571428571}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhm9kc003o3n6lint153vq,1973,left side,,Normal Gait,normal,"{'top': 112.0, 'left': 515.0, 'height': 258.0, 'width': 146.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhm9kc003o3n6lint153vq,1974,left side,,Normal Gait,normal,"{'top': 112.10526315789474, 'left': 510.13157894736844, 'height': 258.0, 'width': 146.18421052631572}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhm9kc003o3n6lint153vq,1975,left side,,Normal Gait,normal,"{'top': 112.21052631578948, 'left': 505.2631578947368, 'height': 258.0, 'width': 146.36842105263162}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhm9kc003o3n6lint153vq,1976,left side,,Normal Gait,normal,"{'top': 112.3157894736842, 'left': 500.39473684210526, 'height': 258.0, 'width': 146.55263157894734}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhm9kc003o3n6lint153vq,1977,left side,,Normal Gait,normal,"{'top': 112.42105263157895, 'left': 495.5263157894737, 'height': 258.0, 'width': 146.73684210526318}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhm9kc003o3n6lint153vq,1978,left side,,Normal Gait,normal,"{'top': 112.52631578947368, 'left': 490.6578947368421, 'height': 258.0, 'width': 146.92105263157896}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhm9kc003o3n6lint153vq,1979,left side,,Normal Gait,normal,"{'top': 112.63157894736842, 'left': 485.7894736842105, 'height': 258.0, 'width': 147.1052631578948}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhm9kc003o3n6lint153vq,1980,left side,,Normal Gait,normal,"{'top': 112.73684210526316, 'left': 480.92105263157896, 'height': 258.0, 'width': 147.28947368421052}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhm9kc003o3n6lint153vq,1981,left side,,Normal Gait,normal,"{'top': 112.84210526315789, 'left': 476.0526315789474, 'height': 258.0, 'width': 147.47368421052624}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhm9kc003o3n6lint153vq,1982,left side,,Normal Gait,normal,"{'top': 112.94736842105263, 'left': 471.1842105263158, 'height': 258.0, 'width': 147.65789473684214}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhm9kc003o3n6lint153vq,1983,left side,,Normal Gait,normal,"{'top': 113.05263157894737, 'left': 466.3157894736842, 'height': 258.0, 'width': 147.84210526315786}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhm9kc003o3n6lint153vq,1984,left side,,Normal Gait,normal,"{'top': 113.15789473684211, 'left': 461.4473684210526, 'height': 258.0, 'width': 148.02631578947376}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhm9kc003o3n6lint153vq,1985,left side,,Normal Gait,normal,"{'top': 113.26315789473684, 'left': 456.57894736842104, 'height': 258.0, 'width': 148.21052631578948}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhm9kc003o3n6lint153vq,1986,left side,,Normal Gait,normal,"{'top': 113.36842105263158, 'left': 451.7105263157895, 'height': 258.0, 'width': 148.3947368421052}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhm9kc003o3n6lint153vq,1987,left side,,Normal Gait,normal,"{'top': 113.47368421052632, 'left': 446.8421052631579, 'height': 258.0, 'width': 148.57894736842104}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
