seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cljxhmxzx003s3n6lb888laay,2081,right side,,Normal Gait,normal,"{'top': 20.0, 'left': 68.0, 'height': 428.0, 'width': 141.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhmxzx003s3n6lb888laay,2082,right side,,Normal Gait,normal,"{'top': 19.75, 'left': 80.0, 'height': 428.0, 'width': 152.25}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhmxzx003s3n6lb888laay,2083,right side,,Normal Gait,normal,"{'top': 19.5, 'left': 92.0, 'height': 428.0, 'width': 163.5}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhmxzx003s3n6lb888laay,2084,right side,,Normal Gait,normal,"{'top': 19.25, 'left': 104.0, 'height': 428.0, 'width': 174.75}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhmxzx003s3n6lb888laay,2085,right side,,Normal Gait,normal,"{'top': 19.0, 'left': 116.0, 'height': 428.0, 'width': 186.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhmxzx003s3n6lb888laay,2086,right side,,Normal Gait,normal,"{'top': 19.0, 'left': 120.0, 'height': 428.0, 'width': 237.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhmxzx003s3n6lb888laay,2087,right side,,Normal Gait,normal,"{'top': 18.5, 'left': 114.5, 'height': 428.0, 'width': 252.5}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhmxzx003s3n6lb888laay,2088,right side,,Normal Gait,normal,"{'top': 18.0, 'left': 109.0, 'height': 428.0, 'width': 268.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhmxzx003s3n6lb888laay,2089,right side,,Normal Gait,normal,"{'top': 17.75, 'left': 116.25, 'height': 428.0, 'width': 266.5}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhmxzx003s3n6lb888laay,2090,right side,,Normal Gait,normal,"{'top': 17.5, 'left': 123.5, 'height': 428.0, 'width': 265.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhmxzx003s3n6lb888laay,2091,right side,,Normal Gait,normal,"{'top': 17.25, 'left': 130.75, 'height': 428.0, 'width': 263.5}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhmxzx003s3n6lb888laay,2092,right side,,Normal Gait,normal,"{'top': 17.0, 'left': 138.0, 'height': 428.0, 'width': 262.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhmxzx003s3n6lb888laay,2093,right side,,Normal Gait,normal,"{'top': 16.666666666666668, 'left': 151.33333333333334, 'height': 428.0, 'width': 262.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhmxzx003s3n6lb888laay,2094,right side,,Normal Gait,normal,"{'top': 16.333333333333332, 'left': 164.66666666666666, 'height': 428.0, 'width': 262.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhmxzx003s3n6lb888laay,2095,right side,,Normal Gait,normal,"{'top': 16.0, 'left': 178.0, 'height': 428.0, 'width': 262.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhmxzx003s3n6lb888laay,2096,right side,,Normal Gait,normal,"{'top': 15.666666666666666, 'left': 191.33333333333331, 'height': 428.0, 'width': 262.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhmxzx003s3n6lb888laay,2097,right side,,Normal Gait,normal,"{'top': 15.333333333333334, 'left': 204.66666666666669, 'height': 428.0, 'width': 262.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhmxzx003s3n6lb888laay,2098,right side,,Normal Gait,normal,"{'top': 15.0, 'left': 218.0, 'height': 428.0, 'width': 262.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhmxzx003s3n6lb888laay,2099,right side,,Normal Gait,normal,"{'top': 14.666666666666666, 'left': 231.33333333333331, 'height': 428.0, 'width': 262.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
