seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cljxhvgec004w3n6lbq9yhtpd,3797,left side,,Normal Gait,normal,"{'top': 20.0, 'left': 700.0, 'height': 379.0, 'width': 154.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhvgec004w3n6lbq9yhtpd,3798,left side,,Normal Gait,normal,"{'top': 20.25, 'left': 688.0, 'height': 379.0, 'width': 158.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhvgec004w3n6lbq9yhtpd,3799,left side,,Normal Gait,normal,"{'top': 20.5, 'left': 676.0, 'height': 379.0, 'width': 162.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhvgec004w3n6lbq9yhtpd,3800,left side,,Normal Gait,normal,"{'top': 20.75, 'left': 664.0, 'height': 379.0, 'width': 166.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhvgec004w3n6lbq9yhtpd,3801,left side,,Normal Gait,normal,"{'top': 21.0, 'left': 652.0, 'height': 379.0, 'width': 170.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhvgec004w3n6lbq9yhtpd,3802,left side,,Normal Gait,normal,"{'top': 21.25, 'left': 640.0, 'height': 379.0, 'width': 174.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhvgec004w3n6lbq9yhtpd,3803,left side,,Normal Gait,normal,"{'top': 21.5, 'left': 628.0, 'height': 379.0, 'width': 178.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhvgec004w3n6lbq9yhtpd,3804,left side,,Normal Gait,normal,"{'top': 21.75, 'left': 616.0, 'height': 379.0, 'width': 182.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhvgec004w3n6lbq9yhtpd,3805,left side,,Normal Gait,normal,"{'top': 22.0, 'left': 604.0, 'height': 379.0, 'width': 186.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhvgec004w3n6lbq9yhtpd,3806,left side,,Normal Gait,normal,"{'top': 22.0, 'left': 597.0, 'height': 379.0, 'width': 196.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
