seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cljxhxc8l00543n6le711pgu9,4071,left side,,Normal Gait,normal,"{'top': 114.0, 'left': 746.0, 'height': 253.0, 'width': 102.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhxc8l00543n6le711pgu9,4072,left side,,Normal Gait,normal,"{'top': 114.1, 'left': 739.9, 'height': 253.00000000000003, 'width': 103.89999999999998}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhxc8l00543n6le711pgu9,4073,left side,,Normal Gait,normal,"{'top': 114.2, 'left': 733.8, 'height': 253.0, 'width': 105.80000000000007}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhxc8l00543n6le711pgu9,4074,left side,,Normal Gait,normal,"{'top': 114.3, 'left': 727.7, 'height': 253.0, 'width': 107.69999999999993}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhxc8l00543n6le711pgu9,4075,left side,,Normal Gait,normal,"{'top': 114.4, 'left': 721.6, 'height': 252.99999999999997, 'width': 109.60000000000002}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhxc8l00543n6le711pgu9,4076,left side,,Normal Gait,normal,"{'top': 114.5, 'left': 715.5, 'height': 253.0, 'width': 111.5}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhxc8l00543n6le711pgu9,4077,left side,,Normal Gait,normal,"{'top': 114.6, 'left': 709.4, 'height': 253.00000000000003, 'width': 113.39999999999998}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhxc8l00543n6le711pgu9,4078,left side,,Normal Gait,normal,"{'top': 114.7, 'left': 703.3, 'height': 253.0, 'width': 115.30000000000007}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhxc8l00543n6le711pgu9,4079,left side,,Normal Gait,normal,"{'top': 114.8, 'left': 697.2, 'height': 253.0, 'width': 117.19999999999993}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhxc8l00543n6le711pgu9,4080,left side,,Normal Gait,normal,"{'top': 114.9, 'left': 691.1, 'height': 252.99999999999997, 'width': 119.10000000000002}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhxc8l00543n6le711pgu9,4081,left side,,Normal Gait,normal,"{'top': 115.0, 'left': 685.0, 'height': 253.0, 'width': 121.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhxc8l00543n6le711pgu9,4082,left side,,Normal Gait,normal,"{'top': 115.1, 'left': 678.9, 'height': 253.00000000000003, 'width': 122.89999999999998}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhxc8l00543n6le711pgu9,4083,left side,,Normal Gait,normal,"{'top': 115.2, 'left': 672.8, 'height': 253.0, 'width': 124.80000000000007}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhxc8l00543n6le711pgu9,4084,left side,,Normal Gait,normal,"{'top': 115.3, 'left': 666.7, 'height': 253.0, 'width': 126.69999999999993}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhxc8l00543n6le711pgu9,4085,left side,,Normal Gait,normal,"{'top': 115.4, 'left': 660.6, 'height': 252.99999999999997, 'width': 128.60000000000002}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhxc8l00543n6le711pgu9,4086,left side,,Normal Gait,normal,"{'top': 115.5, 'left': 654.5, 'height': 253.0, 'width': 130.5}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhxc8l00543n6le711pgu9,4087,left side,,Normal Gait,normal,"{'top': 115.6, 'left': 648.4, 'height': 253.00000000000003, 'width': 132.39999999999998}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhxc8l00543n6le711pgu9,4088,left side,,Normal Gait,normal,"{'top': 115.7, 'left': 642.3, 'height': 253.0, 'width': 134.30000000000007}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhxc8l00543n6le711pgu9,4089,left side,,Normal Gait,normal,"{'top': 115.8, 'left': 636.2, 'height': 253.0, 'width': 136.19999999999993}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhxc8l00543n6le711pgu9,4090,left side,,Normal Gait,normal,"{'top': 115.9, 'left': 630.1, 'height': 252.99999999999997, 'width': 138.10000000000002}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhxc8l00543n6le711pgu9,4091,left side,,Normal Gait,normal,"{'top': 116.0, 'left': 624.0, 'height': 253.0, 'width': 140.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhxc8l00543n6le711pgu9,4092,left side,,Normal Gait,normal,"{'top': 116.13333333333334, 'left': 618.5777777777778, 'height': 253.0, 'width': 139.84444444444443}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhxc8l00543n6le711pgu9,4093,left side,,Normal Gait,normal,"{'top': 116.26666666666667, 'left': 613.1555555555556, 'height': 253.0, 'width': 139.68888888888887}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhxc8l00543n6le711pgu9,4094,left side,,Normal Gait,normal,"{'top': 116.4, 'left': 607.7333333333333, 'height': 252.99999999999997, 'width': 139.5333333333333}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhxc8l00543n6le711pgu9,4095,left side,,Normal Gait,normal,"{'top': 116.53333333333333, 'left': 602.3111111111111, 'height': 253.00000000000003, 'width': 139.37777777777774}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhxc8l00543n6le711pgu9,4096,left side,,Normal Gait,normal,"{'top': 116.66666666666667, 'left': 596.8888888888889, 'height': 253.0, 'width': 139.22222222222217}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhxc8l00543n6le711pgu9,4097,left side,,Normal Gait,normal,"{'top': 116.8, 'left': 591.4666666666667, 'height': 253.0, 'width': 139.0666666666666}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhxc8l00543n6le711pgu9,4098,left side,,Normal Gait,normal,"{'top': 116.93333333333334, 'left': 586.0444444444445, 'height': 253.0, 'width': 138.91111111111104}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhxc8l00543n6le711pgu9,4099,left side,,Normal Gait,normal,"{'top': 117.06666666666666, 'left': 580.6222222222223, 'height': 253.0, 'width': 138.75555555555547}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhxc8l00543n6le711pgu9,4100,left side,,Normal Gait,normal,"{'top': 117.2, 'left': 575.2, 'height': 253.0, 'width': 138.5999999999999}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhxc8l00543n6le711pgu9,4101,left side,,Normal Gait,normal,"{'top': 117.33333333333333, 'left': 569.7777777777778, 'height': 253.0, 'width': 138.44444444444434}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhxc8l00543n6le711pgu9,4102,left side,,Normal Gait,normal,"{'top': 117.46666666666667, 'left': 564.3555555555556, 'height': 252.99999999999997, 'width': 138.28888888888878}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhxc8l00543n6le711pgu9,4103,left side,,Normal Gait,normal,"{'top': 117.6, 'left': 558.9333333333334, 'height': 253.00000000000003, 'width': 138.1333333333332}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhxc8l00543n6le711pgu9,4104,left side,,Normal Gait,normal,"{'top': 117.73333333333333, 'left': 553.5111111111112, 'height': 253.0, 'width': 137.97777777777776}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhxc8l00543n6le711pgu9,4105,left side,,Normal Gait,normal,"{'top': 117.86666666666666, 'left': 548.0888888888888, 'height': 253.0, 'width': 137.8222222222223}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhxc8l00543n6le711pgu9,4106,left side,,Normal Gait,normal,"{'top': 118.0, 'left': 542.6666666666666, 'height': 253.0, 'width': 137.66666666666674}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhxc8l00543n6le711pgu9,4107,left side,,Normal Gait,normal,"{'top': 118.13333333333334, 'left': 537.2444444444444, 'height': 253.0, 'width': 137.51111111111118}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhxc8l00543n6le711pgu9,4108,left side,,Normal Gait,normal,"{'top': 118.26666666666667, 'left': 531.8222222222222, 'height': 253.0, 'width': 137.3555555555556}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhxc8l00543n6le711pgu9,4109,left side,,Normal Gait,normal,"{'top': 118.4, 'left': 526.4, 'height': 252.99999999999997, 'width': 137.20000000000005}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhxc8l00543n6le711pgu9,4110,left side,,Normal Gait,normal,"{'top': 118.53333333333333, 'left': 520.9777777777778, 'height': 253.00000000000003, 'width': 137.04444444444448}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhxc8l00543n6le711pgu9,4111,left side,,Normal Gait,normal,"{'top': 118.66666666666667, 'left': 515.5555555555555, 'height': 253.0, 'width': 136.8888888888889}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhxc8l00543n6le711pgu9,4112,left side,,Normal Gait,normal,"{'top': 118.8, 'left': 510.1333333333333, 'height': 253.0, 'width': 136.73333333333335}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhxc8l00543n6le711pgu9,4113,left side,,Normal Gait,normal,"{'top': 118.93333333333334, 'left': 504.7111111111111, 'height': 253.0, 'width': 136.57777777777778}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhxc8l00543n6le711pgu9,4114,left side,,Normal Gait,normal,"{'top': 119.06666666666666, 'left': 499.2888888888889, 'height': 253.0, 'width': 136.42222222222222}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhxc8l00543n6le711pgu9,4115,left side,,Normal Gait,normal,"{'top': 119.2, 'left': 493.8666666666667, 'height': 253.0, 'width': 136.26666666666665}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
