seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cljxhzmht005c3n6ljn9iszh2,4416,left side,,Normal Gait,normal,"{'top': 69.0, 'left': 720.0, 'height': 315.0, 'width': 134.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhzmht005c3n6ljn9iszh2,4417,left side,,Normal Gait,normal,"{'top': 69.1, 'left': 709.8, 'height': 315.0, 'width': 136.5}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhzmht005c3n6ljn9iszh2,4418,left side,,Normal Gait,normal,"{'top': 69.2, 'left': 699.6, 'height': 315.0, 'width': 139.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhzmht005c3n6ljn9iszh2,4419,left side,,Normal Gait,normal,"{'top': 69.3, 'left': 689.4, 'height': 315.0, 'width': 141.5}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhzmht005c3n6ljn9iszh2,4420,left side,,Normal Gait,normal,"{'top': 69.4, 'left': 679.2, 'height': 315.0, 'width': 144.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhzmht005c3n6ljn9iszh2,4421,left side,,Normal Gait,normal,"{'top': 69.5, 'left': 669.0, 'height': 315.0, 'width': 146.5}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhzmht005c3n6ljn9iszh2,4422,left side,,Normal Gait,normal,"{'top': 69.6, 'left': 658.8, 'height': 315.0, 'width': 149.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhzmht005c3n6ljn9iszh2,4423,left side,,Normal Gait,normal,"{'top': 69.7, 'left': 648.6, 'height': 315.0, 'width': 151.5}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhzmht005c3n6ljn9iszh2,4424,left side,,Normal Gait,normal,"{'top': 69.8, 'left': 638.4, 'height': 315.0, 'width': 154.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhzmht005c3n6ljn9iszh2,4425,left side,,Normal Gait,normal,"{'top': 69.9, 'left': 628.2, 'height': 315.0, 'width': 156.5}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhzmht005c3n6ljn9iszh2,4426,left side,,Normal Gait,normal,"{'top': 70.0, 'left': 618.0, 'height': 315.0, 'width': 159.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhzmht005c3n6ljn9iszh2,4427,left side,,Normal Gait,normal,"{'top': 70.0, 'left': 610.5, 'height': 315.0, 'width': 166.5}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhzmht005c3n6ljn9iszh2,4428,left side,,Normal Gait,normal,"{'top': 70.0, 'left': 603.0, 'height': 315.0, 'width': 174.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhzmht005c3n6ljn9iszh2,4429,left side,,Normal Gait,normal,"{'top': 70.0, 'left': 595.5, 'height': 315.0, 'width': 181.5}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhzmht005c3n6ljn9iszh2,4430,left side,,Normal Gait,normal,"{'top': 70.0, 'left': 588.0, 'height': 315.0, 'width': 189.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhzmht005c3n6ljn9iszh2,4431,left side,,Normal Gait,normal,"{'top': 70.05882352941177, 'left': 580.6470588235294, 'height': 315.0, 'width': 189.3529411764706}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhzmht005c3n6ljn9iszh2,4432,left side,,Normal Gait,normal,"{'top': 70.11764705882354, 'left': 573.2941176470588, 'height': 315.0, 'width': 189.70588235294122}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhzmht005c3n6ljn9iszh2,4433,left side,,Normal Gait,normal,"{'top': 70.17647058823529, 'left': 565.9411764705883, 'height': 315.0, 'width': 190.0588235294117}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhzmht005c3n6ljn9iszh2,4434,left side,,Normal Gait,normal,"{'top': 70.23529411764706, 'left': 558.5882352941177, 'height': 315.0, 'width': 190.41176470588232}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhzmht005c3n6ljn9iszh2,4435,left side,,Normal Gait,normal,"{'top': 70.29411764705883, 'left': 551.2352941176471, 'height': 315.0, 'width': 190.76470588235293}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhzmht005c3n6ljn9iszh2,4436,left side,,Normal Gait,normal,"{'top': 70.3529411764706, 'left': 543.8823529411765, 'height': 315.0, 'width': 191.11764705882354}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhzmht005c3n6ljn9iszh2,4437,left side,,Normal Gait,normal,"{'top': 70.41176470588235, 'left': 536.5294117647059, 'height': 315.0, 'width': 191.47058823529414}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhzmht005c3n6ljn9iszh2,4438,left side,,Normal Gait,normal,"{'top': 70.47058823529412, 'left': 529.1764705882352, 'height': 315.0, 'width': 191.82352941176475}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhzmht005c3n6ljn9iszh2,4439,left side,,Normal Gait,normal,"{'top': 70.52941176470588, 'left': 521.8235294117648, 'height': 315.0, 'width': 192.17647058823525}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhzmht005c3n6ljn9iszh2,4440,left side,,Normal Gait,normal,"{'top': 70.58823529411765, 'left': 514.4705882352941, 'height': 315.0, 'width': 192.52941176470586}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhzmht005c3n6ljn9iszh2,4441,left side,,Normal Gait,normal,"{'top': 70.6470588235294, 'left': 507.11764705882354, 'height': 315.0, 'width': 192.88235294117646}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhzmht005c3n6ljn9iszh2,4442,left side,,Normal Gait,normal,"{'top': 70.70588235294117, 'left': 499.7647058823529, 'height': 315.0, 'width': 193.23529411764707}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhzmht005c3n6ljn9iszh2,4443,left side,,Normal Gait,normal,"{'top': 70.76470588235294, 'left': 492.4117647058824, 'height': 315.0, 'width': 193.58823529411762}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhzmht005c3n6ljn9iszh2,4444,left side,,Normal Gait,normal,"{'top': 70.82352941176471, 'left': 485.05882352941177, 'height': 315.0, 'width': 193.94117647058823}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhzmht005c3n6ljn9iszh2,4445,left side,,Normal Gait,normal,"{'top': 70.88235294117646, 'left': 477.70588235294116, 'height': 315.0, 'width': 194.29411764705884}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhzmht005c3n6ljn9iszh2,4446,left side,,Normal Gait,normal,"{'top': 70.94117647058823, 'left': 470.3529411764706, 'height': 315.0, 'width': 194.6470588235294}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhzmht005c3n6ljn9iszh2,4447,left side,,Normal Gait,normal,"{'top': 71.0, 'left': 463.0, 'height': 315.0, 'width': 195.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhzmht005c3n6ljn9iszh2,4448,left side,,Normal Gait,normal,"{'top': 71.06666666666666, 'left': 455.6, 'height': 315.0, 'width': 194.86666666666667}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhzmht005c3n6ljn9iszh2,4449,left side,,Normal Gait,normal,"{'top': 71.13333333333334, 'left': 448.2, 'height': 315.0, 'width': 194.7333333333333}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhzmht005c3n6ljn9iszh2,4450,left side,,Normal Gait,normal,"{'top': 71.2, 'left': 440.8, 'height': 315.0, 'width': 194.59999999999997}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhzmht005c3n6ljn9iszh2,4451,left side,,Normal Gait,normal,"{'top': 71.26666666666667, 'left': 433.4, 'height': 315.0, 'width': 194.4666666666667}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhzmht005c3n6ljn9iszh2,4452,left side,,Normal Gait,normal,"{'top': 71.33333333333333, 'left': 426.0, 'height': 315.0, 'width': 194.33333333333337}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhzmht005c3n6ljn9iszh2,4453,left side,,Normal Gait,normal,"{'top': 71.4, 'left': 418.6, 'height': 315.0, 'width': 194.19999999999993}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhzmht005c3n6ljn9iszh2,4454,left side,,Normal Gait,normal,"{'top': 71.46666666666667, 'left': 411.2, 'height': 315.0, 'width': 194.06666666666666}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhzmht005c3n6ljn9iszh2,4455,left side,,Normal Gait,normal,"{'top': 71.53333333333333, 'left': 403.8, 'height': 315.0, 'width': 193.93333333333334}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhzmht005c3n6ljn9iszh2,4456,left side,,Normal Gait,normal,"{'top': 71.6, 'left': 396.4, 'height': 315.0, 'width': 193.80000000000007}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhzmht005c3n6ljn9iszh2,4457,left side,,Normal Gait,normal,"{'top': 71.66666666666667, 'left': 389.0, 'height': 315.0, 'width': 193.66666666666663}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhzmht005c3n6ljn9iszh2,4458,left side,,Normal Gait,normal,"{'top': 71.73333333333333, 'left': 381.6, 'height': 315.0, 'width': 193.5333333333333}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhzmht005c3n6ljn9iszh2,4459,left side,,Normal Gait,normal,"{'top': 71.8, 'left': 374.2, 'height': 315.0, 'width': 193.40000000000003}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhzmht005c3n6ljn9iszh2,4460,left side,,Normal Gait,normal,"{'top': 71.86666666666666, 'left': 366.8, 'height': 315.0, 'width': 193.2666666666666}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhzmht005c3n6ljn9iszh2,4461,left side,,Normal Gait,normal,"{'top': 71.93333333333334, 'left': 359.4, 'height': 315.0, 'width': 193.13333333333333}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhzmht005c3n6ljn9iszh2,4462,left side,,Normal Gait,normal,"{'top': 72.0, 'left': 352.0, 'height': 315.0, 'width': 193.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhzmht005c3n6ljn9iszh2,4463,left side,,Normal Gait,normal,"{'top': 72.0, 'left': 343.22222222222223, 'height': 315.0, 'width': 189.11111111111114}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhzmht005c3n6ljn9iszh2,4464,left side,,Normal Gait,normal,"{'top': 72.0, 'left': 334.44444444444446, 'height': 315.0, 'width': 185.22222222222217}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxhzmht005c3n6ljn9iszh2,4465,left side,,Normal Gait,normal,"{'top': 72.0, 'left': 325.6666666666667, 'height': 315.0, 'width': 181.33333333333331}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
