seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cljxi2qbp005s3n6llajez7qb,5912,left side,,Normal Gait,normal,"{'top': 0.0, 'left': 751.0, 'height': 278.0, 'width': 103.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxi2qbp005s3n6llajez7qb,5913,left side,,Normal Gait,normal,"{'top': 0.14285714285714202, 'left': 747.0714285714286, 'height': 278.0, 'width': 103.35714285714289}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxi2qbp005s3n6llajez7qb,5914,left side,,Normal Gait,normal,"{'top': 0.28571428571428503, 'left': 743.1428571428571, 'height': 278.0, 'width': 103.71428571428578}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxi2qbp005s3n6llajez7qb,5915,left side,,Normal Gait,normal,"{'top': 0.42857142857142805, 'left': 739.2142857142857, 'height': 278.0, 'width': 104.07142857142867}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxi2qbp005s3n6llajez7qb,5916,left side,,Normal Gait,normal,"{'top': 0.5714285714285711, 'left': 735.2857142857143, 'height': 278.0, 'width': 104.42857142857133}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxi2qbp005s3n6llajez7qb,5917,left side,,Normal Gait,normal,"{'top': 0.7142857142857141, 'left': 731.3571428571429, 'height': 278.0, 'width': 104.78571428571422}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxi2qbp005s3n6llajez7qb,5918,left side,,Normal Gait,normal,"{'top': 0.8571428571428571, 'left': 727.4285714285714, 'height': 278.0, 'width': 105.14285714285711}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxi2qbp005s3n6llajez7qb,5919,left side,,Normal Gait,normal,"{'top': 1.0, 'left': 723.5, 'height': 278.0, 'width': 105.5}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxi2qbp005s3n6llajez7qb,5920,left side,,Normal Gait,normal,"{'top': 1.142857142857142, 'left': 719.5714285714286, 'height': 278.0, 'width': 105.85714285714289}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxi2qbp005s3n6llajez7qb,5921,left side,,Normal Gait,normal,"{'top': 1.2857142857142851, 'left': 715.6428571428571, 'height': 278.0, 'width': 106.21428571428578}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxi2qbp005s3n6llajez7qb,5922,left side,,Normal Gait,normal,"{'top': 1.428571428571428, 'left': 711.7142857142857, 'height': 278.0, 'width': 106.57142857142867}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxi2qbp005s3n6llajez7qb,5923,left side,,Normal Gait,normal,"{'top': 1.5714285714285712, 'left': 707.7857142857143, 'height': 278.0, 'width': 106.92857142857133}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxi2qbp005s3n6llajez7qb,5924,left side,,Normal Gait,normal,"{'top': 1.714285714285714, 'left': 703.8571428571429, 'height': 278.0, 'width': 107.28571428571422}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
cljxi2qbp005s3n6llajez7qb,5925,left side,,Normal Gait,normal,"{'top': 1.8571428571428572, 'left': 699.9285714285714, 'height': 278.0, 'width': 107.64285714285711}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",hSIYGZhRGd4,https://www.youtube.com/watch?v=hSIYGZhRGd4
