seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cljxi9qeq006o3n6lybhf28cp,2511,back,,Normal Gait,normal,"{'top': 60.0, 'left': 357.0, 'height': 215.0, 'width': 77.0}","{'height': 480, 'width': 654, 'mime_type': 'video/mp4'}",JD1AGVpftps,https://www.youtube.com/watch?v=JD1AGVpftps
cljxi9qeq006o3n6lybhf28cp,2512,back,,Normal Gait,normal,"{'top': 60.29090909090909, 'left': 356.8181818181818, 'height': 214.0545454545455, 'width': 76.69090909090909}","{'height': 480, 'width': 654, 'mime_type': 'video/mp4'}",JD1AGVpftps,https://www.youtube.com/watch?v=JD1AGVpftps
cljxi9qeq006o3n6lybhf28cp,2513,back,,Normal Gait,normal,"{'top': 60.58181818181818, 'left': 356.6363636363636, 'height': 213.10909090909092, 'width': 76.38181818181818}","{'height': 480, 'width': 654, 'mime_type': 'video/mp4'}",JD1AGVpftps,https://www.youtube.com/watch?v=JD1AGVpftps
cljxi9qeq006o3n6lybhf28cp,2514,back,,Normal Gait,normal,"{'top': 60.872727272727275, 'left': 356.45454545454544, 'height': 212.16363636363639, 'width': 76.07272727272726}","{'height': 480, 'width': 654, 'mime_type': 'video/mp4'}",JD1AGVpftps,https://www.youtube.com/watch?v=JD1AGVpftps
cljxi9qeq006o3n6lybhf28cp,2515,back,,Normal Gait,normal,"{'top': 61.163636363636364, 'left': 356.27272727272725, 'height': 211.21818181818182, 'width': 75.76363636363641}","{'height': 480, 'width': 654, 'mime_type': 'video/mp4'}",JD1AGVpftps,https://www.youtube.com/watch?v=JD1AGVpftps
cljxi9qeq006o3n6lybhf28cp,2516,back,,Normal Gait,normal,"{'top': 61.45454545454545, 'left': 356.09090909090907, 'height': 210.2727272727273, 'width': 75.4545454545455}","{'height': 480, 'width': 654, 'mime_type': 'video/mp4'}",JD1AGVpftps,https://www.youtube.com/watch?v=JD1AGVpftps
cljxi9qeq006o3n6lybhf28cp,2517,back,,Normal Gait,normal,"{'top': 61.74545454545454, 'left': 355.90909090909093, 'height': 209.3272727272727, 'width': 75.14545454545453}","{'height': 480, 'width': 654, 'mime_type': 'video/mp4'}",JD1AGVpftps,https://www.youtube.com/watch?v=JD1AGVpftps
cljxi9qeq006o3n6lybhf28cp,2518,back,,Normal Gait,normal,"{'top': 62.03636363636364, 'left': 355.72727272727275, 'height': 208.3818181818182, 'width': 74.83636363636361}","{'height': 480, 'width': 654, 'mime_type': 'video/mp4'}",JD1AGVpftps,https://www.youtube.com/watch?v=JD1AGVpftps
cljxi9qeq006o3n6lybhf28cp,2519,back,,Normal Gait,normal,"{'top': 62.32727272727273, 'left': 355.54545454545456, 'height': 207.43636363636364, 'width': 74.5272727272727}","{'height': 480, 'width': 654, 'mime_type': 'video/mp4'}",JD1AGVpftps,https://www.youtube.com/watch?v=JD1AGVpftps
cljxi9qeq006o3n6lybhf28cp,2520,back,,Normal Gait,normal,"{'top': 62.61818181818182, 'left': 355.3636363636364, 'height': 206.4909090909091, 'width': 74.21818181818179}","{'height': 480, 'width': 654, 'mime_type': 'video/mp4'}",JD1AGVpftps,https://www.youtube.com/watch?v=JD1AGVpftps
cljxi9qeq006o3n6lybhf28cp,2521,back,,Normal Gait,normal,"{'top': 62.90909090909091, 'left': 355.1818181818182, 'height': 205.54545454545453, 'width': 73.90909090909088}","{'height': 480, 'width': 654, 'mime_type': 'video/mp4'}",JD1AGVpftps,https://www.youtube.com/watch?v=JD1AGVpftps
cljxi9qeq006o3n6lybhf28cp,2522,back,,Normal Gait,normal,"{'top': 63.2, 'left': 355.0, 'height': 204.60000000000002, 'width': 73.60000000000002}","{'height': 480, 'width': 654, 'mime_type': 'video/mp4'}",JD1AGVpftps,https://www.youtube.com/watch?v=JD1AGVpftps
cljxi9qeq006o3n6lybhf28cp,2523,back,,Normal Gait,normal,"{'top': 63.49090909090909, 'left': 354.8181818181818, 'height': 203.65454545454543, 'width': 73.29090909090911}","{'height': 480, 'width': 654, 'mime_type': 'video/mp4'}",JD1AGVpftps,https://www.youtube.com/watch?v=JD1AGVpftps
