seq,frame_num,cam_view,gait_event,dataset,gait_pat,bbox,vid_info,id,url
cljxihp86007x3n6lv3i1hc0h,346,front,,Normal Gait,normal,"{'top': 266.0, 'left': 360.0, 'height': 137.0, 'width': 62.0}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cljxihp86007x3n6lv3i1hc0h,347,front,,Normal Gait,normal,"{'top': 266.28846153846155, 'left': 357.46153846153845, 'height': 137.28846153846155, 'width': 62.576923076923094}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cljxihp86007x3n6lv3i1hc0h,348,front,,Normal Gait,normal,"{'top': 266.5769230769231, 'left': 354.9230769230769, 'height': 137.57692307692304, 'width': 63.15384615384619}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cljxihp86007x3n6lv3i1hc0h,349,front,,Normal Gait,normal,"{'top': 266.86538461538464, 'left': 352.38461538461536, 'height': 137.86538461538458, 'width': 63.73076923076928}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cljxihp86007x3n6lv3i1hc0h,350,front,,Normal Gait,normal,"{'top': 267.15384615384613, 'left': 349.84615384615387, 'height': 138.1538461538462, 'width': 64.30769230769226}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cljxihp86007x3n6lv3i1hc0h,351,front,,Normal Gait,normal,"{'top': 267.4423076923077, 'left': 347.3076923076923, 'height': 138.44230769230768, 'width': 64.88461538461536}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cljxihp86007x3n6lv3i1hc0h,352,front,,Normal Gait,normal,"{'top': 267.7307692307692, 'left': 344.7692307692308, 'height': 138.73076923076923, 'width': 65.46153846153845}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cljxihp86007x3n6lv3i1hc0h,353,front,,Normal Gait,normal,"{'top': 268.0192307692308, 'left': 342.2307692307692, 'height': 139.01923076923077, 'width': 66.03846153846155}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cljxihp86007x3n6lv3i1hc0h,354,front,,Normal Gait,normal,"{'top': 268.3076923076923, 'left': 339.6923076923077, 'height': 139.30769230769232, 'width': 66.61538461538464}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cljxihp86007x3n6lv3i1hc0h,355,front,,Normal Gait,normal,"{'top': 268.59615384615387, 'left': 337.15384615384613, 'height': 139.5961538461538, 'width': 67.19230769230774}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cljxihp86007x3n6lv3i1hc0h,356,front,,Normal Gait,normal,"{'top': 268.88461538461536, 'left': 334.61538461538464, 'height': 139.88461538461542, 'width': 67.76923076923072}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cljxihp86007x3n6lv3i1hc0h,357,front,,Normal Gait,normal,"{'top': 269.1730769230769, 'left': 332.0769230769231, 'height': 140.17307692307696, 'width': 68.34615384615381}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cljxihp86007x3n6lv3i1hc0h,358,front,,Normal Gait,normal,"{'top': 269.46153846153845, 'left': 329.53846153846155, 'height': 140.46153846153845, 'width': 68.9230769230769}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cljxihp86007x3n6lv3i1hc0h,359,front,,Normal Gait,normal,"{'top': 269.75, 'left': 327.0, 'height': 140.75, 'width': 69.5}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
cljxihp86007x3n6lv3i1hc0h,360,front,,Normal Gait,normal,"{'top': 270.03846153846155, 'left': 324.46153846153845, 'height': 141.03846153846155, 'width': 70.0769230769231}","{'height': 480, 'width': 854, 'mime_type': 'video/mp4'}",KnvYRnTA3XQ,https://www.youtube.com/watch?v=KnvYRnTA3XQ
